search URL:,https://patents.google.com/?assignee=CORMEDIX+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2008138440-A1,Methods of diagnosing and alleviating gadolinium toxicity ,Cormedix Inc.,"Sundararaman Swaminathan, Sudhir V. Shah",2006-11-29,2007-11-28,2008-06-12,,https://patents.google.com/patent/US20080138440A1/en,
US-2017100407-A1,Skin-penetrating formulation of taurolidine ,Cormedix Inc.,"Bruce Reidenberg, Robert DiLuccio",2015-10-07,2016-10-07,2017-04-13,,https://patents.google.com/patent/US20170100407A1/en,https://patentimages.storage.googleapis.com/88/9d/62/e0f06da4bf3ae8/US20170100407A1-20170413-D00001.png
US-2017056561-A1,Compositions for the treatment of joints ,Cormedix Inc.,"Robert DiLuccio, Bruce Reidenberg, Randy Milby",2015-08-31,2016-08-31,2017-03-02,,https://patents.google.com/patent/US20170056561A1/en,https://patentimages.storage.googleapis.com/a6/8f/92/d8530bd0e11d4d/US20170056561A1-20170302-D00001.png
US-2017274223-A1,Field sterilizer and vascular connector kit ,Cormedix Inc.,"Bruce Reidenberg, Antony Pfaffle, Robert DiLuccio",2016-03-28,2017-03-28,2017-09-28,,https://patents.google.com/patent/US20170274223A1/en,https://patentimages.storage.googleapis.com/33/03/b1/a1778808955d19/US20170274223A1-20170928-D00000.png
US-2018184656-A1,"Antimicrobial compositions, including antimicrobial hydrogels, effective against mature biofilms ",Cormedix Inc.,Robert DiLuccio,2017-01-05,2018-01-03,2018-07-05,,https://patents.google.com/patent/US20180184656A1/en,https://patentimages.storage.googleapis.com/cb/b9/0f/ecbfadad739376/US20180184656A1-20180705-D00000.png
US-2018207103-A1,Use of an injectable antimicrobial composition for the prevention and/or treatment of osteoarthritis ,Cormedix Inc.,"Bruce E. Reidenberg, Robert DiLuccio",2015-08-31,2018-03-22,2018-07-26,,https://patents.google.com/patent/US20180207103A1/en,https://patentimages.storage.googleapis.com/1c/62/38/6fbdfcdd3dde32/US20180207103A1-20180726-D00000.png
US-2017049921-A1,"Antimicrobial wound closure materials, including antimicrobial sutures, and method for closing a wound using the same ",Cormedix Inc.,"Robert DiLuccio, Z. Paul Lorenc, Randy Milby",2015-08-18,2016-08-18,2017-02-23,,https://patents.google.com/patent/US20170049921A1/en,https://patentimages.storage.googleapis.com/8f/b5/53/70f8565a2debd2/US20170049921A1-20170223-D00001.png
US-2017056333-A1,Delivery of active agents using nanofiber webs ,Cormedix Inc.,"Robert DiLuccio, Randy Milby",2015-08-31,2016-08-31,2017-03-02,,https://patents.google.com/patent/US20170056333A1/en,https://patentimages.storage.googleapis.com/56/6f/d0/19fabe018ad959/US20170056333A1-20170302-D00000.png
US-2018117058-A1,Skin-penetrating formulation of taurolidine ,Cormedix Inc.,"Bruce Reidenberg, Robert DiLuccio",2015-10-07,2017-12-29,2018-05-03,,https://patents.google.com/patent/US20180117058A1/en,https://patentimages.storage.googleapis.com/7e/01/4e/f84de564995ec8/US20180117058A1-20180503-D00000.png
WO-2018175777-A1,Use of an injectable antimicrobial composition for the prevention and/or treatment of osteoarthritis ,Cormedix Inc.,"Bruce E. Reidenberg, Robert Diluccio",2017-03-22,2018-03-22,2018-09-27,,https://patents.google.com/patent/WO2018175777A1/en,
EP-3402527-A1,Therapeutic nanoparticles for the treatment of neuroblastoma and other cancers ,Cormedix Inc.,Robert Diluccio,2016-01-11,2017-01-11,2018-11-21,,https://patents.google.com/patent/EP3402527A1/en,
WO-2018126133-A1,Skin-penetrating formulation of taurolidine ,Cormedix Inc.,"Bruce Reidenberg, Robert Diluccio",2016-12-29,2017-12-29,2018-07-05,,https://patents.google.com/patent/WO2018126133A1/en,
US-2018185378-A1,Antimicrobial delivery system for the prevention and treatment of infections in the colon ,Cormedix Inc.,Robert DiLuccio,2017-01-05,2018-01-03,2018-07-05,,https://patents.google.com/patent/US20180185378A1/en,
