search URL:,https://patents.google.com/?assignee=CRITICAL+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2538763-C,Monoclonal antibodies against hmgb1 ,"Critical Therapeutics, Inc., Walter Newman, Shixin Qin, Theresa O'keefe, Robert Obar","Walter Newman, Shixin Qin, Theresa O'keefe, Robert Obar",2003-09-11,2004-09-10,2015-05-05,2015-05-05,https://patents.google.com/patent/CA2538763C/en,
CA-2680477-A1,Treatment of inflammation by non-invasive stimulation ,"The Feinstein Institute For Medical Research, Kevin J. Tracey, Howland Shaw Warren, Jr., Michael Allen Faltys, Jared M. Huston, Critical Therapeutics, Inc., Setpoint Medical Corporation","Kevin J. Tracey, Howland Shaw Warren, Jr., Michael Allen Faltys, Jared M. Huston",2007-03-13,2008-03-13,2008-09-18,,https://patents.google.com/patent/CA2680477A1/en,
AU-2003294488-B2,Use of HMGB fragments as anti-inflammatory agents ,"Critical Therapeutics, Inc.","Walter Newman, Theresa L. O'keefe",2002-11-20,2003-11-20,2007-05-24,2007-05-24,https://patents.google.com/patent/AU2003294488B2/en,
US-7470521-B2,RAGE protein derivatives ,"Critical Therapeutics, Inc.","Theresa O'Keefe, Peter Luciano, Shixin Qin",2004-07-20,2005-07-20,2008-12-30,2008-12-30,https://patents.google.com/patent/US7470521B2/en,https://patentimages.storage.googleapis.com/07/ff/2f/599197272ccf68/US07470521-20081230-D00003.png
US-2010040608-A1,Use of HMGB1 antagonists for the treatment of inflammatory skin conditions ,"Marie Wahren-Herlenius, Filippa Nyberg, Giovanna Marchini","Marie Wahren-Herlenius, Filippa Nyberg, Giovanna Marchini",2005-07-18,2006-07-11,2010-02-18,,https://patents.google.com/patent/US20100040608A1/en,https://patentimages.storage.googleapis.com/US20100040608A1/US20100040608A1-20100218-D00001.png
WO-2007024840-A2,Method of quantitating nucleic acids by flow cytometry microparticle-based array ,"Critical Therapeutics, Inc.","Christopher D. Tunkey, Theresa L. O'keefe",2005-08-22,2006-08-22,2007-03-01,,https://patents.google.com/patent/WO2007024840A2/en,
US-2008075728-A1,Combination Therapies Of Hmgb And Complement Inhibitors Against Inflammation ,Walter Newman,Walter Newman,2004-07-20,2005-07-20,2008-03-27,,https://patents.google.com/patent/US20080075728A1/en,https://patentimages.storage.googleapis.com/fb/a2/73/e3228ba5ccdeb1/US20080075728A1-20080327-D00000.png
EP-1494659-B1,Pharmaceutical composition comprising an alpha-ketoalkanoic acid ester or -amide and lactic acid or a lactic acid salt ,"Critical Therapeutics, Inc.",Mitchell P. Fink,2002-04-17,2003-04-17,2005-10-12,2005-10-12,https://patents.google.com/patent/EP1494659B1/en,
CA-2659512-C,"Novel piperazines, pharmaceutical compositions and methods of use thereof ","Critical Therapeutics, Inc., Roger B. Clark, Daniel Elbaum, Cornerstone Therapeutics Inc.","Roger B. Clark, Daniel Elbaum",2006-06-06,2007-06-06,2015-09-08,2015-09-08,https://patents.google.com/patent/CA2659512C/en,
US-2004141948-A1,Use of HMGB fragments as anti-inflammatory agents ,"Critical Therapeutics, Inc.",Theresa O'Keefe,2002-11-20,2003-11-20,2004-07-22,,https://patents.google.com/patent/US20040141948A1/en,https://patentimages.storage.googleapis.com/90/8d/90/2afe2521e986aa/US20040141948A1-20040722-D00001.png
US-2010273868-A1,R-Zileuton for Use in Conditions Associated with Increased 5-Lipoxygenase and/or Leukotriene Activity (EG Asthma) ,Cornerstone Therapeutics Inc.,"Walter Newman, Anjali Kumar, Lynne Libertine",2007-01-05,2008-01-04,2010-10-28,,https://patents.google.com/patent/US20100273868A1/en,https://patentimages.storage.googleapis.com/d8/a5/82/0b8e66a849f624/US20100273868A1-20101028-D00001.png
US-8003684-B2,Crystal form and pharmaceutical compositions of (+)-R-zileuton ,"Cornerstone Therapeutics, Inc.",Jason A. Hanko,2006-02-21,2007-02-21,2011-08-23,2011-08-23,https://patents.google.com/patent/US8003684B2/en,https://patentimages.storage.googleapis.com/8b/25/3e/c4598fdffc830f/US08003684-20110823-D00000.png
US-2011287023-A1,High Affinity Antibodies Against HMGB1 and Methods of Use Thereof ,"Critical Therapeutics, Inc., Medimmune, Llc","Herren Wu, Changshou Gao, Ling-Ling An, Peter Kiener, Su-Yau Mao, Anthony Coyle, Jane Tian, Theresa O'Keefe, Shixin Qin",2004-10-22,2011-03-18,2011-11-24,,https://patents.google.com/patent/US20110287023A1/en,https://patentimages.storage.googleapis.com/5b/1e/f8/6272309c0e2f13/US20110287023A1-20111124-D00001.png
US-7662965-B2,"Anabaseine derivatives, pharmaceutical compositions and method of use thereof ","Cornerstone Therapeutics, Inc.","Gregory J. Habgood, Daniel Elbaum",2006-01-26,2007-01-25,2010-02-16,2010-02-16,https://patents.google.com/patent/US7662965B2/en,
US-2004156851-A1,HMGB1 combination therapies ,"Critical Therapeutics, Inc.",Walter Newman,2002-11-20,2003-11-20,2004-08-12,,https://patents.google.com/patent/US20040156851A1/en,https://patentimages.storage.googleapis.com/8a/37/e8/f2da13059c6478/US20040156851A1-20040812-D00001.png
US-7943622-B2,"Piperazines, pharmaceutical compositions and methods of use thereof ","Cornerstone Therapeutics, Inc.","Roger B. Clark, Daniel Elbaum",2006-06-06,2007-06-06,2011-05-17,2011-05-17,https://patents.google.com/patent/US7943622B2/en,https://patentimages.storage.googleapis.com/c7/5e/61/b55363170be834/US07943622-20110517-D00001.png
US-2006040354-A1,Novel polyadenylation signal for use in expression vectors ,O'keefe Theresa L,Theresa O'Keefe,2004-07-20,2005-07-20,2006-02-23,,https://patents.google.com/patent/US20060040354A1/en,https://patentimages.storage.googleapis.com/4f/2a/79/a9a056b57a5162/US20060040354A1-20060223-D00001.png
AU-2002254525-B2,Method for preventing acute renal failure ,"Critical Therapeutics, Inc.","Mitchell P. Fink, H. Shaw Warren",2001-04-04,2002-04-03,2004-12-23,2004-12-23,https://patents.google.com/patent/AU2002254525B2/en,
AU-2002254525-A1,Method for preventing acute renal failure ,"Critical Therapeutics, Inc.","Mitchell P. Fink, H. Shaw Warren",2001-04-04,2002-04-03,2003-04-10,,https://patents.google.com/patent/AU2002254525A1/en,
AU-2007205777-A1,Use of HMGB fragments as anti-inflammatory agents ,"Critical Therapeutics, Inc.","Walter Newman, Theresa L. O'keefe",2002-11-20,2007-08-13,2007-08-30,,https://patents.google.com/patent/AU2007205777A1/en,
