search URL:,https://patents.google.com/?assignee=CUMBERLAND+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6761895-B2,Drug delivery system for averting pharmacokinetic drug interaction and method thereof ,"Yamanouchi Pharmaceutical Co., Ltd.","Toyohiro Sawada, Kazuhiro Sako, Tatsunobu Yoshioka, Shunsuke Watanabe",2000-04-17,2001-04-12,2004-07-13,2004-07-13,https://patents.google.com/patent/US6761895B2/en,https://patentimages.storage.googleapis.com/e5/a4/cc/2ebccad1587ed6/US06761895-20040713-D00001.png
US-6962970-B2,Glycopeptide derivatives and pharmaceutical compositions containing the same ,"Theravance, Inc.","J. Kevin Judice, Paul Ross Fatheree, Bernice M. T. Lam, Michael R. Leadbetter, Martin S. Linsell, YongQi Mu, Sean Gary Trapp, Guang Yang, Yan Zhu",1998-12-23,2002-03-06,2005-11-08,2005-11-08,https://patents.google.com/patent/US6962970B2/en,
CA-2411590-C,Glycopeptide phosphonate derivatives ,"Theravance, Inc., Michael R. Leadbetter, Martin S. Linsell, Theravance Biopharma Antibiotics Ip, Llc, Cumberland Pharmaceuticals Inc.","Michael R. Leadbetter, Martin S. Linsell",2000-06-22,2001-05-01,2010-10-19,2010-10-19,https://patents.google.com/patent/CA2411590C/en,
US-7544364-B2,Pharmaceutical compositions containing a glycopeptide antibiotic and a cyclodextrin ,"Theravance, Inc.","J. Kevin Judice, Jeng-Pyng Shaw, YongQi Mu, Michael W. Conner, John L. Pace",2000-05-02,2006-04-25,2009-06-09,2009-06-09,https://patents.google.com/patent/US7544364B2/en,
US-5723606-A,Condensed benzazepine derivative and pharmaceutical composition thereof ,"Yamanouchi Pharmaceutical Co., Ltd.","Akihiro Tanaka, Hiroyuki Koshio, Nobuaki Taniguchi, Akira Matsuhisa, Ken-ichiro Sakamoto, Atsuki Yamazaki, Takeyuki Yatsu",1993-07-21,1994-07-19,1998-03-03,1998-03-03,https://patents.google.com/patent/US5723606A/en,
US-7858583-B2,Process for purifying glycopeptide phosphonate derivatives ,"Theravance, Inc.","Donald E. Schmidt, Jr., Jeanmarie Donovan Sganga",2001-08-24,2008-11-17,2010-12-28,2010-12-28,https://patents.google.com/patent/US7858583B2/en,
AU-2001261107-A1,Glycopeptide phosphonate derivatives ,Cumberland Pharmaceuticals Inc.,"Michael R. Leadbetter, Martin S. Linsell",2000-06-22,2001-05-01,2002-03-21,,https://patents.google.com/patent/AU2001261107A1/en,
EP-1928449-B1,Acetylcysteine composition and uses therefor ,Cumberland Pharmaceuticals Inc.,Leo Pavliv,2005-08-24,2006-05-30,2015-09-16,2015-09-16,https://patents.google.com/patent/EP1928449B1/en,
US-6727286-B2,Pharmaceutical composition of 2-(4-isobutylphenyl) propionic acid ,Cumberland Pharmaceuticals Inc.,Leo Pavliv,2001-11-02,2001-11-02,2004-04-27,2004-04-27,https://patents.google.com/patent/US6727286B2/en,https://patentimages.storage.googleapis.com/e5/21/81/7e817f89a6c1f3/US06727286-20040427-D00001.png
US-6645959-B1,Method for treating postoperative ileus ,Warner-Lambert Company,"Rebecca Guggemos Bakker-Arkema, Milton Lethan Pressler",2000-01-26,2000-11-08,2003-11-11,2003-11-11,https://patents.google.com/patent/US6645959B1/en,
US-2002128259-A1,Treatment of pulmonary hypertension ,"Maha Ghazzi, Pressler Milton Lethan","Maha Ghazzi, Milton Pressler",2000-10-04,2001-10-03,2002-09-12,,https://patents.google.com/patent/US20020128259A1/en,https://patentimages.storage.googleapis.com/5d/c0/e0/ffddc11ea70d88/US20020128259A1-20020912-D00001.png
CA-2462452-C,Pharmaceutical composition of 2-(4-isobutylphenyl) propionic acid ,"Leo Pavliv, Cumberland Pharmaceuticals Inc.",Leo Pavliv,2001-11-02,2001-11-02,2006-07-04,2006-07-04,https://patents.google.com/patent/CA2462452C/en,
US-7521418-B2,Use of a polyene macrolide antifungal agent in combination with a glycopeptide antibacterial agent ,"Theravance, Inc.",Koné Kaniga,2003-05-27,2004-05-26,2009-04-21,2009-04-21,https://patents.google.com/patent/US7521418B2/en,
US-7902148-B2,Use of an echinocandin antifungal agent in combination with a glycopeptide antibacterial agent ,"Theravance, Inc.",Koné Kaniga,2003-07-22,2008-10-01,2011-03-08,2011-03-08,https://patents.google.com/patent/US7902148B2/en,
US-2004132823-A1,Pharmaceutical composition of 2-(4-isobutylphenyl) propionic acid ,Leo Pavliv,Leo Pavliv,2001-11-02,2003-12-19,2004-07-08,,https://patents.google.com/patent/US20040132823A1/en,https://patentimages.storage.googleapis.com/84/37/5d/74556ec587e935/US20040132823A1-20040708-D00001.png
US-8093354-B2,Process for preparing glycopeptide phosphonate derivatives ,"Theravance, Inc.","Michael R. Leadbetter, Martin S. Linsell, Junning Lee, Jyanwei Liu",2001-08-24,2010-04-13,2012-01-10,2012-01-10,https://patents.google.com/patent/US8093354B2/en,
US-7015305-B2,Process for preparing glycopeptide derivatives ,"Theravance, Inc.","Junning Lee, Jyanwei Liu",2001-08-24,2002-08-23,2006-03-21,2006-03-21,https://patents.google.com/patent/US7015305B2/en,
US-9820966-B2,Stabilized statin formulations ,Cumberland Pharmaceuticals,"Leo Pavliv, Andrew Vila",2010-04-16,2014-11-11,2017-11-21,2017-11-21,https://patents.google.com/patent/US9820966B2/en,https://patentimages.storage.googleapis.com/15/0a/f4/9268e9532f8366/US09820966-20171121-D00001.png
US-7067620-B2,Antibacterial agents ,"Theravance, Inc.","Qi-Qi Chen, John H. Griffin, Martin S. Linsell",1998-02-20,2002-10-21,2006-06-27,2006-06-27,https://patents.google.com/patent/US7067620B2/en,
AU-2011281035-B2,Acetycysteine compositions and methods of use thereof ,"Cumberland Pharmaceuticals, Inc.","Leo Pavliv, Amy Rock",2010-07-21,2011-07-21,2014-10-02,2014-10-02,https://patents.google.com/patent/AU2011281035B2/en,
CA-2407994-C,Reductive alkylation process ,"Advanced Medecine Inc., Martin S. Linsell, Theravance, Inc., Theravance Biopharma Antibiotics Ip, Llc, Cumberland Pharmaceuticals Inc.",Martin S. Linsell,2000-05-02,2001-05-01,2010-02-02,2010-02-02,https://patents.google.com/patent/CA2407994C/en,
US-7192951-B2,Treatment of congestive heart failure ,Astellas Pharma Inc.,"Rebecca Guggemos Bakker-Arkema, Milton Lethan Pressler",2000-05-03,2005-06-16,2007-03-20,2007-03-20,https://patents.google.com/patent/US7192951B2/en,
US-8003755-B2,Hydrochloride salts of a glycopeptide phosphonate derivative ,"Thervance, Inc.","Jyanwei Liu, Junning Lee",2003-10-22,2008-04-08,2011-08-23,2011-08-23,https://patents.google.com/patent/US8003755B2/en,https://patentimages.storage.googleapis.com/f6/0f/63/c030909fd490ae/US08003755-20110823-D00001.png
EP-2405748-B1,Administration of intravenous ibuprofen ,Cumberland Pharmaceuticals Inc.,Leo Pavliv,2009-03-12,2010-03-12,2018-08-15,2018-08-15,https://patents.google.com/patent/EP2405748B1/en,
US-9649284-B2,Treating critically ill patients with intravenous ibuprofen ,"Cumberland Pharmaceuticals, Inc.","Leo Pavliv, Amy Dix Rock",2009-07-15,2015-08-13,2017-05-16,2017-05-16,https://patents.google.com/patent/US9649284B2/en,https://patentimages.storage.googleapis.com/3f/99/5e/e026caff1910a9/US09649284-20170516-D00001.png
US-9114068-B2,Treating patients with intravenous ibuprofen ,"Cumberland Pharmaceuticals, Inc.","Leo Pavliv, Amy Dix Rock",2009-07-15,2014-04-29,2015-08-25,2015-08-25,https://patents.google.com/patent/US9114068B2/en,https://patentimages.storage.googleapis.com/56/93/28/9adf3e5945277f/US09114068-20150825-D00001.png
US-9693998-B2,Compositions and methods of treating cardiac fibrosis with ifetroban ,"Cumberland Pharmaceuticals, Inc., Vanderbilt University","Leo Pavliv, Bryan Voss, James West, Erica Carrier",2014-05-16,2015-05-18,2017-07-04,2017-07-04,https://patents.google.com/patent/US9693998B2/en,
US-2011028556-A1,Treating critically ill patients with intravenous ibuprofen ,"Cumberland Pharmaceuticals, Inc.","Leo Pavliv, Amy D. Rock",2009-07-31,2009-09-30,2011-02-03,,https://patents.google.com/patent/US20110028556A1/en,https://patentimages.storage.googleapis.com/82/9c/7c/ea2e0604a92eb6/US20110028556A1-20110203-D00001.png
CA-2867477-C,Injectable ibuprofen formulation ,"Cumberland Pharmaceuticals, Inc., Andrew Vila, Leo Pavliv","Andrew Vila, Leo Pavliv",2012-03-16,2013-03-14,2017-09-26,2017-09-26,https://patents.google.com/patent/CA2867477C/en,
US-6951963-B2,Process for preparing N-protected β-amino aldehyde compounds ,"Theravance, Inc.","Junning Lee, Jyanwei Liu",2002-06-17,2003-06-16,2005-10-04,2005-10-04,https://patents.google.com/patent/US6951963B2/en,
US-2017319554-A1,Methods of Treating Hepatorenal Syndrome and Hepatic Encephalopathy with Thromboxane-A2 Receptor Antagonists ,"Cumberland Emerging Technologies, Inc.","Leo Pavliv, Martin Ogletree",2010-07-14,2017-07-24,2017-11-09,,https://patents.google.com/patent/US20170319554A1/en,
US-10064845-B2,Compositions and methods of treating muscular dystrophy with thromboxane-A2 receptor antagonists ,"Cumberland Pharmaceuticals, Inc., Vanderbilt University","Leo Pavliv, James West, Ines Macias-Perez, Erica Carrier",2016-05-11,2017-05-11,2018-09-04,2018-09-04,https://patents.google.com/patent/US10064845B2/en,https://patentimages.storage.googleapis.com/c5/72/f3/7232b4c95763eb/US10064845-20180904-D00001.png
US-9072710-B2,Injectable ibuprofen formulation ,Cumberland Pharmaceuticals Inc.,"Leo Pavliv, Andrew Vila",2012-03-16,2012-03-16,2015-07-07,2015-07-07,https://patents.google.com/patent/US9072710B2/en,
AU-2011202871-B2,Acetylcysteine composition and uses therefor ,Cumberland Pharmaceuticals Inc.,Leo Pavliv,2005-08-24,2011-06-15,2014-06-12,2014-06-12,https://patents.google.com/patent/AU2011202871B2/en,
US-9072661-B2,Injectable ibuprofen formulation ,Cumberland Pharmaceuticals Inc.,"Leo Pavliv, Andrew Vila",2012-03-16,2012-03-16,2015-07-07,2015-07-07,https://patents.google.com/patent/US9072661B2/en,
US-2017000771-A1,Thromboxane Receptor Antagonists in AERD/Asthma ,"Cumberland Pharmaceuticals, Inc.",Leo Pavliv,2015-06-30,2016-06-28,2017-01-05,,https://patents.google.com/patent/US20170000771A1/en,https://patentimages.storage.googleapis.com/ee/43/27/47c980d2b3218d/US20170000771A1-20170105-D00001.png
AU-2014277744-B2,Stabilized Statin Formulations ,"Cumberland Pharmaceuticals, Inc.","Leo Pavliv, Andrew Vila",2010-04-16,2014-12-17,2017-01-19,2017-01-19,https://patents.google.com/patent/AU2014277744B2/en,
CA-2453123-C,Intermediate for condensed benzazepine derivatives ,"Yamanouchi Pharmaceutical Co., Ltd., Akihuro Tanaka, Hiroyuki Koshio, Nobuaki Taniguchi, Akira Matsuhisa, Ken Sakamoto, Atsuki Yamazaki, Takeyuki Yatsu, Astellas Pharma Inc., Astellas Ireland Co., Ltd., Astellas Pharma Us, Inc., Cumberland Pharmaceuticals Inc.","Akihuro Tanaka, Hiroyuki Koshio, Nobuaki Taniguchi, Akira Matsuhisa, Ken Sakamoto, Atsuki Yamazaki, Takeyuki Yatsu",1993-07-21,1994-07-19,2008-05-20,2008-05-20,https://patents.google.com/patent/CA2453123C/en,
US-731829-A,Support for incandescent electric lamps. ,Fred W Winbolt,Fred W Winbolt,1903-03-17,1903-03-17,1903-06-23,1903-06-23,https://patents.google.com/patent/US731829A/en,https://patentimages.storage.googleapis.com/f4/25/13/5e7057425ecedb/US731829-drawings-page-1.png
EP-3261658-B1,Doses and methods of administering telavancin ,"Theravance Biopharma Antibiotics IP, LLC","Steven L. Barriere, Arthur Lo, Mathai Mammen, Philip Worboys",2015-02-23,2016-02-18,2019-04-03,2019-04-03,https://patents.google.com/patent/EP3261658B1/en,https://patentimages.storage.googleapis.com/70/09/dc/79325d15264df1/imgf0001.png
US-2018028440-A1,Milrinone Composition and Method for Administering Same ,Vanderbilt University,"Nicholas A. Haglund, Zachary Cox, Leo Pavliv, Andrew Vila",2015-02-13,2016-02-16,2018-02-01,,https://patents.google.com/patent/US20180028440A1/en,https://patentimages.storage.googleapis.com/c6/3f/f8/406d6385bcfecd/US20180028440A1-20180201-D00001.png
US-2017273925-A1,Co-administration of intravenous ibuprofen and acetaminophen for treatment of pain ,Cumberland Pharmaceuticals Inc.,"Leo Pavliv, Amy Dix Rock",2014-10-06,2017-06-13,2017-09-28,,https://patents.google.com/patent/US20170273925A1/en,
CA-3020185-A1,Ifetroban treatment for systemic sclerosis ,"Cumberland Pharmaceuticals, Inc., Leo Pavliv, Ines MACIAS-PEREZ, James West, Erica CARRIER, Vanderbilt University","Leo Pavliv, Ines MACIAS-PEREZ, James West, Erica CARRIER",2016-04-27,2017-04-27,2017-11-02,,https://patents.google.com/patent/CA3020185A1/en,
US-2019151291-A1,Ifetroban treatment of portal hypertension ,Cumberland Pharmaceuticals Inc.,Leo Pavliv,2016-08-22,2019-01-27,2019-05-23,,https://patents.google.com/patent/US20190151291A1/en,
WO-2013112457-A1,Administration of intravenous ibuprofen to trauma patients ,"Cumberland Pharmaceuticals, Inc.",,2012-01-23,2013-01-22,2013-08-01,,https://patents.google.com/patent/WO2013112457A1/en,
