search URL:,https://patents.google.com/?assignee=CYMABAY+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6613802-B1,"Use of (-) (3-trihalomethylphenoxy) (4-halophenyl) acetic acid derivatives for treatment of insulin resistance, type 2 diabetes, hyperlipidemia and hyperuricemia ","Metabolex, Inc., Diatex, Inc.","Kenneth L. Luskey, Jian Luo",1999-06-04,2000-06-02,2003-09-02,2003-09-02,https://patents.google.com/patent/US6613802B1/en,https://patentimages.storage.googleapis.com/9b/43/b5/a0dbf64f7c4971/US06613802-20030902-D00001.png
US-7638541-B2,5-ethyl-2-{4-[4-(4-tetrazol-1-yl-phenoxymethyl)-thiazol-2-yl]-piperidin-1-yl}-pyrimidine ,Metabolex Inc.,"Xin Chen, Peng Cheng, L. Edward Clemens, Jeffrey D. Johnson, Jingyuan Ma, Alison Murphy, Imad Nashashibi, Christoper J. Rabbat, Jiangao Song, Maria E. Wilson, Yan Zhu, Zuchun Zhao",2006-12-28,2007-12-26,2009-12-29,2009-12-29,https://patents.google.com/patent/US7638541B2/en,
AU-2009307656-B2,Aryl GPR120 receptor agonists and uses thereof ,"Cymabay Therapeutics, Inc.","Xin Chen, Yun-Jung Choi, Jingyuan Ma, Imad Nashashibi, Aaron Novack, Phuongly Pham, Christopher J. Rabbat, Dong Fang Shi, Jiangao Song, Zuchun Zhao",2008-10-21,2009-10-20,2015-07-02,2015-07-02,https://patents.google.com/patent/AU2009307656B2/en,
CA-2719507-C,Oxymethylene aryl compounds and uses thereof ,"Metabolex, Inc., Maria E. Wilson, Jeffrey Johnson, L. Edward Clemens, Zuchun Zhao, Xin Chen, Cymabay Therapeutics, Inc.","Maria E. Wilson, Jeffrey Johnson, L. Edward Clemens, Zuchun Zhao, Xin Chen",2008-03-31,2009-03-30,2018-03-27,2018-03-27,https://patents.google.com/patent/CA2719507C/en,
US-8846675-B2,N-linked heterocyclic receptor agonists for the treatment of diabetes and metabolic disorders ,"Cymabay Therapeutics, Inc.","Jingyuan Ma, Christopher J. Rabbat, Jiangao Song, Xin Chen, Imad Nashashibi, Zuchun Zhao, Aaron Novack, Dong Fang Shi, Peng Cheng, Yan Zhu, Alison Murphy",2007-07-19,2012-05-03,2014-09-30,2014-09-30,https://patents.google.com/patent/US8846675B2/en,https://patentimages.storage.googleapis.com/e0/ff/49/fad8fe1f5f0ce6/US08846675-20140930-D00001.png
US-7078421-B2,Substituted phenylacetic acids ,"Metabolex, Inc.","Zuchun Zhao, Xin Chen, Jianchao Wang, Hongbin Sun, Jack Shih-Chieh Liang",2002-03-20,2003-03-19,2006-07-18,2006-07-18,https://patents.google.com/patent/US7078421B2/en,
US-8309600-B2,GPR120 receptor agonists and uses thereof ,Metabolex Inc.,"Dong Fang Shi, Jiangao Song, Jingyuan Ma, Aaron Novack, Phuongly Pham, Imad Fayek Nashashibi, Christopher J. Rabbat, Xin Chen",2008-12-18,2009-12-17,2012-11-13,2012-11-13,https://patents.google.com/patent/US8309600B2/en,
US-8299117-B2,GPR120 receptor agonists and uses thereof ,Metabolex Inc.,"Dong Fang Shi, Jiangao Song, Jingyuan Ma, Aaron Novack, Phuongly Pham, Imad Fayek Nashashibi, Christopher J. Rabbat, Xin Chen",2010-06-16,2010-06-16,2012-10-30,2012-10-30,https://patents.google.com/patent/US8299117B2/en,
EP-2582674-B1,Gpr120 receptor agonists and uses thereof ,"Cymabay Therapeutics, Inc.","Dong Fang Shi, Jiangao Song, Jingyuan Ma, Aaron Novack, Phuongly Pham, Imad Nashashibi, Christopher J. Rabbat, Xin Chen",2010-06-16,2010-06-16,2014-10-01,2014-10-01,https://patents.google.com/patent/EP2582674B1/en,
US-10188620-B2,Treatment for NAFLD and NASH ,"Cymabay Therapeutics, Inc.","Brian Roberts, Xueyan Wang, Yun-Jung Choi, David Karpf, Robert Martin, Charles McWherter",2014-04-11,2018-04-03,2019-01-29,2019-01-29,https://patents.google.com/patent/US10188620B2/en,
US-2003220399-A1,"Use of (-) (3-trihalomethylphenoxy) (4-halophenyl) acetic acid derivatives for treatment of insulin resistance, Type 2 diabetes, hyperlipidemia and hyperuricemia ","Metabolex, Inc., Diatex, Inc.","Kenneth Luskey, Jian Luo",1999-06-04,2003-03-04,2003-11-27,,https://patents.google.com/patent/US20030220399A1/en,https://patentimages.storage.googleapis.com/b4/56/86/3d28e7d6b6823d/US20030220399A1-20031127-D00001.png
US-7087394-B2,Methods and compositions for treating and diagnosing diabetes and related diseases involving beta-TRP ,"Metabolex, Inc.","Jeffrey D. Johnson, Yun-Ping Zhou",2003-03-05,2004-03-04,2006-08-08,2006-08-08,https://patents.google.com/patent/US7087394B2/en,https://patentimages.storage.googleapis.com/af/3e/d3/0c2ff27570234b/US07087394-20060808-D00005.png
US-6624194-B1,"Use of (−) (3-trihalomethylphenoxy) (4-halophenyl) acetic acid derivatives for treatment of insulin resistance, type 2 diabetes, hyperlipidemia and hyperuricemia ","Metabolex, Inc., Diatex, Inc.","Kenneth L. Luskey, Jian Luo, Zuchun Zhao",1999-06-04,2000-11-28,2003-09-23,2003-09-23,https://patents.google.com/patent/US6624194B1/en,https://patentimages.storage.googleapis.com/ee/d0/d8/b8a9cf5fa7fb0b/US06624194-20030923-D00001.png
US-5738876-A,Method of solution overcoating with gelling polymer ,"Metabolex, Inc.",Karl C. Enevold,1995-03-03,1996-09-20,1998-04-14,1998-04-14,https://patents.google.com/patent/US5738876A/en,https://patentimages.storage.googleapis.com/af/53/25/0a22265ed23382/US5738876-drawings-page-3.png
US-7323480-B2,Substituted triazoles as modulators of PPAR and methods of their preparation ,"Metabolex, Inc.","Yan Zhu, Jingyuan Ma, Peng Cheng, Zuchun Zhao, Francine M. Gregoire, Vera A. Rakhmanova",2004-05-25,2005-05-24,2008-01-29,2008-01-29,https://patents.google.com/patent/US7323480B2/en,
US-7199259-B2,Resolution of α-(phenoxy)phenylacetic acid derivatives ,"Metabolex, Inc.",Edward D. Daugs,2003-06-20,2003-09-04,2007-04-03,2007-04-03,https://patents.google.com/patent/US7199259B2/en,
US-2015197518-A1,Substituted tetrazol-1-yl-phenoxymethyl-thiazol-2-yl-piperidinyl-pyrimidine salts ,"Cymabay Therapeutics, Inc.","Jiangao Song, Charles A. McWherter, Fang Ma, Mark Andres, Igor Ivanisevic, Ekaterina Albert, Patricia Andres",2009-10-01,2014-08-25,2015-07-16,,https://patents.google.com/patent/US20150197518A1/en,https://patentimages.storage.googleapis.com/55/a4/53/474b32860e324f/US20150197518A1-20150716-D00001.png
US-7491533-B2,Polynucleotides encoding an isolated β-islet cell two-pore domain potassium channel ,"Metabolex, Inc.","Jeffrey D. Johnson, John F. Palma, Anthony C. Schweitzer, John E. Blume",2002-06-10,2006-03-03,2009-02-17,2009-02-17,https://patents.google.com/patent/US7491533B2/en,https://patentimages.storage.googleapis.com/US7491533B2/US07491533-20090217-D00001.png
US-7622491-B2,Modulators of PPAR and methods of their preparation ,Metabolex Inc.,"Yan Zhu, Jingyuan Ma, Peng Cheng, Zuchun Zhao, Francine M. Gregoire, Vera A. Rakhmanova",2004-08-13,2005-08-11,2009-11-24,2009-11-24,https://patents.google.com/patent/US7622491B2/en,
