search URL:,https://patents.google.com/?assignee=CYTOKINETICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2413426-C,Methods and compositions utilizing quinazolinones ,"Jeffrey T. Finer, Gustav Bergnes, Bainian Feng, Whitney W. Smith, John C. Chabala, David J. Morgans, Jr., Cytokinetics, Inc.","Jeffrey T. Finer, Gustav Bergnes, Bainian Feng, Whitney W. Smith, John C. Chabala, David J. Morgans, Jr.",2000-06-21,2001-04-27,2011-01-04,2011-01-04,https://patents.google.com/patent/CA2413426C/en,
US-6956961-B2,Extracting shape information contained in cell images ,"Cytokinetics, Inc.","Ge Cong, Eugeni A. Vaisberg",2001-02-20,2001-02-20,2005-10-18,2005-10-18,https://patents.google.com/patent/US6956961B2/en,https://patentimages.storage.googleapis.com/a4/b7/a6/8413fd299b5ac2/US06956961-20051018-D00000.png
EP-1226129-B1,Methods and compositions utilizing quinazolinones ,"Cytokinetics, Inc.","Jeffrey T. Finer, Gustave Bergnes, Bainian Feng, Whitney W. Smith, John C. Chabala",1999-10-27,2000-10-26,2006-05-24,2006-05-24,https://patents.google.com/patent/EP1226129B1/en,https://patentimages.storage.googleapis.com/bb/a8/b9/5cb96c5481f87a/imgf0001.png
US-6743576-B1,Database system for predictive cellular bioinformatics ,"Cytokinetics, Inc.","James H. Sabry, Cynthia L. Adams, Eugeni A. Vaisberg, Anne M. Crompton",1999-05-14,1999-05-14,2004-06-01,2004-06-01,https://patents.google.com/patent/US6743576B1/en,https://patentimages.storage.googleapis.com/eb/94/33/e35565bb8b9299/US6743576-drawings-page-4.png
US-7041676-B2,"Compounds, compositions, and methods ","Cytokinetics, Inc., Smithkline Beecham Corporation","Andrew McDonald, Pu-Ping Lu, Gustave Bergnes, David J. Morgans, Jr., Dashyant Dhanak, Steven David Knight",2002-06-14,2003-06-12,2006-05-09,2006-05-09,https://patents.google.com/patent/US7041676B2/en,
US-7482343-B2,"Compounds, methods and compositions ","Cytokinetics, Inc., Smithkline Beecham Corporation","Han-Jie Zhou, David J. Morgans, Jr., Gustave Bergnes, Steven David Knight, Kenneth A. Newlander, Dashyant Dhanak, Nicholas D. Adams",2002-05-09,2006-11-15,2009-01-27,2009-01-27,https://patents.google.com/patent/US7482343B2/en,
US-7038048-B2,"3H-pyridopyrimidin-4-one compounds, compositions, and methods of their use ","Cytokinetics, Inc., Smithkline Beecham Corporation","Pu-Ping Lu, David J. Morgans, Jr., Bing Yao, Dashyant Dhanak, Steven David Knight",2002-05-23,2003-05-22,2006-05-02,2006-05-02,https://patents.google.com/patent/US7038048B2/en,
AU-2004206860-B2,"Compounds, compositions and methods ","Cytokinetics, Inc.","Kathleen A. Elias, Erica Anne Kraynack, Pu-Ping Lu, Fady Malik, Bradley Paul Morgan, David J. Morgans Jr., Alex Muci, Xiangping Qian, Whitney Walter Smith, Todd Tochimoto, Adam Lewis Tomasi",2003-01-14,2004-01-14,2010-03-18,2010-03-18,https://patents.google.com/patent/AU2004206860B2/en,
US-6999607-B2,Method and apparatus for automated cellular bioinformatics ,"Cytokinetics, Inc.","Eskinder Kiros, Ping Ling, Robert J. Muller, Ramesh Venkat, Wesley A. Zink",2001-02-20,2002-02-20,2006-02-14,2006-02-14,https://patents.google.com/patent/US6999607B2/en,https://patentimages.storage.googleapis.com/US6999607B2/US06999607-20060214-D00000.png
US-7439254-B2,"Compounds, compositions, and methods ","Cytokinetics, Inc.",Gustave Bergnes,2003-12-08,2004-12-07,2008-10-21,2008-10-21,https://patents.google.com/patent/US7439254B2/en,
