search URL:,https://patents.google.com/?assignee=CYTOMX+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2016225810-C1,"Modified Antibody Compositions, Methods of Making and Using Thereof ","Cytomx Therapeutics, Inc.","Paul H. Bessette, Patrick Daugherty, Fred Gluck, Kathryn Kamath, Jason Sagert, Nancy E. Stagliano, James W. West",2009-01-12,2016-09-06,2018-09-20,2018-09-20,https://patents.google.com/patent/AU2016225810C1/en,
US-8541203-B2,Activatable binding polypeptides and methods of identification and use thereof ,"The Regents Of The University Of California, Cytomx Therapeutics, Inc.","Patrick Sean Daugherty, Nancy Stagliano, Jerry Thomas, James W. West, Jason Sagert",2007-08-22,2012-03-02,2013-09-24,2013-09-24,https://patents.google.com/patent/US8541203B2/en,https://patentimages.storage.googleapis.com/27/df/80/f038cbe66d9b51/US08541203-20130924-D00001.png
US-2016311903-A1,"Anti-pdl1 antibodies, activatable anti-pdl1 antibodies, and methods of use thereof ","Cytomx Therapeutics, Inc.","James William West, Li Mei, Stephen James Moore, Margaret T.L. Nguyen, Daniel Robert Hostetter, Olga Vasiljeva, Jason Gary Sagert, Jonathan Alexander Terrett",2015-03-13,2016-03-14,2016-10-27,,https://patents.google.com/patent/US20160311903A1/en,https://patentimages.storage.googleapis.com/03/f8/aa/5a1e9a879826dd/US20160311903A1-20161027-D00001.png
US-9644016-B2,Soluble notch receptor proproteins and methods of use thereof ,"Cytomx Therapeutics, Inc.","Nancy E. Stagliano, James W. West, Kathryn Kamath, Paul H. Bessette, Jason G. Sagert",2009-02-23,2015-03-30,2017-05-09,2017-05-09,https://patents.google.com/patent/US9644016B2/en,https://patentimages.storage.googleapis.com/cc/a7/4e/3b0267d1444a90/US09644016-20170509-D00001.png
US-7465790-B2,Therapeutic antibodies ,"Isis Innovation, Inc.","Herman Waldmann, Mark Raymond Frewin, Lisa Kim Gilliland, Luis Richardo Simoes da Silva Graca",2000-10-09,2001-10-09,2008-12-16,2008-12-16,https://patents.google.com/patent/US7465790B2/en,https://patentimages.storage.googleapis.com/US7465790B2/US07465790-20081216-D00001.png
US-2017298125-A1,"Anti-jagged 1/jagged 2 cross-reactive antibodies, activatable anti-jagged antibodies and methods of use thereof ","Cytomx Therapeutics, Inc.","James William West, Jason Gary Sagert, Paul H. Bessette, Henry Bernard Lowman, Nancy E. Stagliano, Olga Vasiljeva, Elizabeth-Edna Mary Menendez",2012-06-22,2017-06-23,2017-10-19,,https://patents.google.com/patent/US20170298125A1/en,https://patentimages.storage.googleapis.com/c8/0f/f1/f18629bf994761/US20170298125A1-20171019-D00001.png
US-9889211-B2,Activatable antibodies that bind epidermal growth factor receptor and methods of use thereof ,"Cytomx Therapeutics, Inc.","Henry Bernard Lowman, Luc Roland Desnoyers, Shouchun Liu, James William West, Jason Gary Sagert, Olga Vasiljeva, Elizabeth-Edna Mary Menendez",2012-04-27,2016-12-16,2018-02-13,2018-02-13,https://patents.google.com/patent/US9889211B2/en,https://patentimages.storage.googleapis.com/68/b1/fe/1c82f5bfeed95b/US09889211-20180213-D00001.png
US-9856314-B2,Activatable antibodies having non-binding steric moieties and methods of using the same ,"Cytomx Therapeutics, Inc.","Henry Bernard Lowman, Shouchun Liu",2012-06-22,2013-06-21,2018-01-02,2018-01-02,https://patents.google.com/patent/US9856314B2/en,https://patentimages.storage.googleapis.com/5c/a8/a2/893c2a26d7c18d/US09856314-20180102-D00001.png
US-2016194399-A1,"Anti-cd3 antibodies, activatable anti-cd3 antibodies, multispecific anti-cd3 antibodies, multispecific activatable anti-cd3 antibodies, and methods of using the same ","Cytomx Therapeutics, Inc.","Bryan Allen Irving, Sherry Lynn La Porte, Jason Gary Sagert, Daniel Robert Hostetter, Olivia Jennifer Razo, Clayton William White, Jennifer Hope Richardson",2014-07-25,2015-07-24,2016-07-07,,https://patents.google.com/patent/US20160194399A1/en,https://patentimages.storage.googleapis.com/22/f8/2b/99dfb843b575ce/US20160194399A1-20160707-D00001.png
US-10261083-B2,Compositions and methods for detecting protease activity in biological systems ,"Cytomx Therapeutics, Inc.","Olga Vasiljeva, Elizabeth-Edna Mary Menendez",2013-01-04,2014-01-03,2019-04-16,2019-04-16,https://patents.google.com/patent/US10261083B2/en,https://patentimages.storage.googleapis.com/d5/f2/bf/cb8e6bc434a661/US10261083-20190416-D00000.png
