search URL:,https://patents.google.com/?assignee=DICERNA+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6034135-A,Dimeric cationic lipids ,"Promega Biosciences, Inc.","David Aaron Schwartz, Brian Patrick Dwyer, William J. Daily, Kumar Srinivasan, Bob Dale Brown",1997-03-06,1997-03-06,2000-03-07,2000-03-07,https://patents.google.com/patent/US6034135A/en,https://patentimages.storage.googleapis.com/1e/3f/af/ad8c3b80b2e6d5/US6034135-drawings-page-2.png
AU-2012325997-B9,Amine cationic lipids and uses thereof ,"Dicerna Pharmaceuticals, Inc.","Sujit Kumar Basu, Bob Dale Brown, Allister Fraser, David Schwartz",2011-10-18,2012-10-18,2018-06-28,2018-06-28,https://patents.google.com/patent/AU2012325997B9/en,
US-6756054-B1,Polycationic sterol derivatives as transfection agents ,Ic-Vec Limited,"Andrew D. Miller, Robert G. Cooper, Christopher J. Etheridge",1996-05-24,1997-05-23,2004-06-29,2004-06-29,https://patents.google.com/patent/US6756054B1/en,https://patentimages.storage.googleapis.com/8b/8c/47/86e85e0ebecf77/US6756054-drawings-page-2.png
US-5958901-A,Phosphonic acid-based cationic lipids ,Genta Incorporated,"Brian Patrick Dwyer, Alexandre V. Lehedev, Bob Dale Brown, David Aaron Schwartz",1995-06-07,1996-06-05,1999-09-28,1999-09-28,https://patents.google.com/patent/US5958901A/en,https://patentimages.storage.googleapis.com/c3/ba/17/f2362e587d1519/US5958901-drawings-page-2.png
US-6670393-B2,Carbamate-based cationic lipids ,"Promega Biosciences, Inc.","David Aaron Schwartz, Bob Dale Brown, Brian Patrick Dwyer",1995-06-07,2001-06-25,2003-12-30,2003-12-30,https://patents.google.com/patent/US6670393B2/en,https://patentimages.storage.googleapis.com/a6/c0/f6/5dd8c1badec214/US06670393-20031230-D00001.png
US-6020526-A,Amide-based cationic lipids ,"Genta, Incorporated","David Aaron Schwartz, William J. Daily, Brian Patrick Dwyer, Kumar Srinivasan, Bob Dale Brown",1995-07-21,1996-07-22,2000-02-01,2000-02-01,https://patents.google.com/patent/US6020526A/en,https://patentimages.storage.googleapis.com/f5/60/cf/c9ff19dd5c5e47/US6020526-drawings-page-2.png
US-8927705-B2,Single stranded extended dicer substrate agents and methods for the specific inhibition of gene expression ,"Dicerna Pharmaceuticals, Inc.",Bob D. Brown,2008-12-18,2012-12-07,2015-01-06,2015-01-06,https://patents.google.com/patent/US8927705B2/en,https://patentimages.storage.googleapis.com/6e/7d/75/6fc01e67956c3c/US08927705-20150106-D00001.png
JP-5855463-B2,Extended dicer substrate drug and method for the specific inhibition of gene expression ,"ダイセルナ ファーマシューティカルズ， インコーポレイテッドＤｉｃｅｒｎａ Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ， Ｉｎｃ．, ダイセルナ  ファーマシューティカルズ，  インコーポレイテッドＤｉｃｅｒｎａ  Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ，  Ｉｎｃ．","ボブ ブラウン，, ボブ ブラウン，",2008-12-18,2009-12-18,2016-02-09,2016-02-09,https://patents.google.com/patent/JP5855463B2/en,https://patentimages.storage.googleapis.com/JP5855463B2/0005855463.png
US-2002156237-A1,Novel amide-based cationic lipids ,"Promega Biosciences, Inc.","David Schwartz, William Daily, Brian Dwyer, Kumar Srinivasan, Bob Brown",1995-07-21,2002-01-14,2002-10-24,,https://patents.google.com/patent/US20020156237A1/en,https://patentimages.storage.googleapis.com/04/6f/a9/274d4c20f47457/US20020156237A1-20021024-D00001.png
US-9809819-B2,Methods and compositions for the specific inhibition of KRAS by asymmetric double-stranded RNA ,"Dicerna Pharmaceuticals, Inc.",Bob D. Brown,2009-02-11,2014-11-03,2017-11-07,2017-11-07,https://patents.google.com/patent/US9809819B2/en,https://patentimages.storage.googleapis.com/3d/6e/48/25087e63ecb777/US09809819-20171107-D00001.png
