search URL:,https://patents.google.com/?assignee=DYNAVAX+TECHNOLOGIES+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-753172-B2,"Immunostimulatory oligonucleotides, compositions thereof and methods of use thereof ",Dynavax Technologies Corporation,"Dino Dina, Eyal Raz, Mark Roman, David Schwartz",1997-06-06,1998-06-05,2002-10-10,2002-10-10,https://patents.google.com/patent/AU753172B2/en,
AU-760304-B2,Immunostimulatory oligonucleotides with modified bases and methods of use thereof ,Dynavax Technologies Corporation,David Schwartz,1998-06-05,1999-06-04,2003-05-15,2003-05-15,https://patents.google.com/patent/AU760304B2/en,
US-6589940-B1,"Immunostimulatory oligonucleotides, compositions thereof and methods of use thereof ",Dynavax Technologies Corporation,"Eyal Raz, Mark Roman, Dino Dina",1997-06-06,1999-04-22,2003-07-08,2003-07-08,https://patents.google.com/patent/US6589940B1/en,https://patentimages.storage.googleapis.com/2f/a8/0d/fae9175082354e/US6589940-drawings-page-7.png
US-8222398-B2,Chimeric immunomodulatory compounds and methods of using the same-II ,Dynavax Technologies Corporation,"Karen L. Fearon, Dino Dina, Stephen F. Tuck",2001-06-21,2008-10-01,2012-07-17,2012-07-17,https://patents.google.com/patent/US8222398B2/en,https://patentimages.storage.googleapis.com/ed/9f/67/3cc2efece4d811/US08222398-20120717-D00001.png
AU-2001245628-B2,Immunomodulatory formulations and methods for use thereof ,Dynavax Technologies Corporation,"Stephen Tuck, Gary Van Nest",2000-03-10,2001-03-12,2005-11-10,2005-11-10,https://patents.google.com/patent/AU2001245628B2/en,
EP-1261378-B1,Biodegradable immunomodulatory formulations and methods for use thereof ,Dynavax Technologies Corporation,"Gary Van Nest, Stephen Tuck",2000-03-10,2001-03-12,2010-03-10,2010-03-10,https://patents.google.com/patent/EP1261378B1/en,
US-7785610-B2,Chimeric immunomodulatory compounds and methods of using the same—III ,Dynavax Technologies Corporation,"Karen L. Fearon, Dino Dina, Stephen F. Tuck",2001-06-21,2002-12-23,2010-08-31,2010-08-31,https://patents.google.com/patent/US7785610B2/en,
CA-2456328-C,Complexes of a short cpg-containing oligonucleotide bound to the surface of a solid phase microcarrier and methods for use thereof ,"Dynavax Technologies Corporation, Karen L. Fearon, Dino Dina","Karen L. Fearon, Dino Dina",2001-08-07,2002-08-07,2015-05-26,2015-05-26,https://patents.google.com/patent/CA2456328C/en,
EP-1992635-B1,Immunostimulatory sequence oligonucleotides and methods of using the same ,Dynavax Technologies Corporation,"Dino Dina, Karen L. Fearon, Jason Marshall",2002-12-23,2003-12-18,2012-02-08,2012-02-08,https://patents.google.com/patent/EP1992635B1/en,https://patentimages.storage.googleapis.com/d6/b9/90/f2a05426079a59/imgf0001.png
AU-2001245627-B2,Immunostimulatory polynucleotide sequences for use in preventing and treating viral infections ,Dynavax Technologies Corporation,"Joseph J. Eiden Jr., Gary Van Nest",2000-03-10,2001-03-12,2005-09-22,2005-09-22,https://patents.google.com/patent/AU2001245627B2/en,
US-7625872-B2,Branched immunomodulatory compounds and methods of using the same ,Dynavax Technologies Corporation,Karen L. Fearon,2002-12-23,2003-12-17,2009-12-01,2009-12-01,https://patents.google.com/patent/US7625872B2/en,
EP-1364010-B1,Immunomodulatory polynucleotides and methods of using the same ,Dynavax Technologies Corporation,"Dino Dina, Karen L. Fearon",2000-12-27,2001-12-27,2010-06-16,2010-06-16,https://patents.google.com/patent/EP1364010B1/en,
EP-1229933-B1,Immunomodulatory compositions containing an immunostimulatory sequence linked to antigen and methods of use thereof ,Dynavax Technologies Corporation,"Stephen Tuck, Gary Van Nest",1999-11-15,2000-11-15,2007-03-28,2007-03-28,https://patents.google.com/patent/EP1229933B1/en,https://patentimages.storage.googleapis.com/27/a7/3a/3ca7aaa520f9fd/imgf0001.png
US-8226957-B2,Methods of preventing and treating respiratory viral infection using immunomodulatory polynucleotide sequences ,Dynavax Technologies Corporation,Gary Van Nest,2000-03-10,2009-07-28,2012-07-24,2012-07-24,https://patents.google.com/patent/US8226957B2/en,https://patentimages.storage.googleapis.com/29/ba/a1/c55be7d4cae834/US08226957-20120724-D00001.png
DE-69931377-T2,A method for the treatment of e ig-associates diseases and compositions for use in this process ,"Dynavax Technologies Corp., Berkeley",Dino Oakland Dina,1998-09-18,1999-09-17,2007-05-10,2007-05-10,https://patents.google.com/patent/DE69931377T2/en,
US-7479285-B1,Methods of modulating an immune response using immunostimulatory sequences and compositions for use therein ,Dynavax Technologies Corporation,"Gary Van Nest, Stephen Tuck, Joseph Eiden, Jr.",1999-08-19,2000-08-18,2009-01-20,2009-01-20,https://patents.google.com/patent/US7479285B1/en,
US-7884083-B2,"Immunomodulatory compositions, methods of making, and methods of use thereof ",Dynavax Technologies Corporation,"Gary Van Nest, Stephen Tuck",2002-08-12,2003-08-12,2011-02-08,2011-02-08,https://patents.google.com/patent/US7884083B2/en,
US-7727712-B2,Methods of suppressing hepatitis virus infection using immunomodulatory polynucleotide sequences ,Dynavax Technologies Corporation,"Gary Van Nest, Joseph J. Eden, Jr.",2000-03-10,2003-02-03,2010-06-01,2010-06-01,https://patents.google.com/patent/US7727712B2/en,https://patentimages.storage.googleapis.com/US7727712B2/US07727712-20100601-D00001.png
EP-1261353-B1,Immunostimulatory polynucleotide sequences for use in preventing and treating viral infections ,Dynavax Technologies Corporation,"Gary Van Nest, Joseph J. Eiden, Jr.",2000-03-10,2001-03-12,2010-07-28,2010-07-28,https://patents.google.com/patent/EP1261353B1/en,https://patentimages.storage.googleapis.com/cb/29/4d/0c3233203cd536/imgf0001.png
US-2007027098-A1,"Immunostimulatory oligonucleotides, compositions thereof and methods of use thereof ","Eyal Raz, Mark Roman, Dino Dina","Eyal Raz, Mark Roman, Dino Dina",1997-06-06,2006-02-22,2007-02-01,,https://patents.google.com/patent/US20070027098A1/en,https://patentimages.storage.googleapis.com/1d/28/42/70330f491f25b1/US20070027098A1-20070201-D00001.png
AU-2001281459-C1,Treatment of herpes infection using immunomodulatory polynucleotide sequences ,Dynavax Technologies Corporation,Gary Van Nest,2000-03-10,2001-03-12,2006-08-31,2006-08-31,https://patents.google.com/patent/AU2001281459C1/en,
AU-2012203156-B2,Methods and compositions for inhibition of innate immune responses and autoimmunity ,Dynavax Technologies Corporation,"Franck Barrat, Robert L. Coffman",2004-09-01,2012-05-29,2012-09-20,2012-09-20,https://patents.google.com/patent/AU2012203156B2/en,
US-2009131512-A1,Inhibition of type I in IFN production ,"Dynavax Technologies Corp., Institut Curie, Inserm","Franck Barrat, Cristiana Guiducci, Vassili Soumelis",2007-10-31,2008-10-30,2009-05-21,,https://patents.google.com/patent/US20090131512A1/en,https://patentimages.storage.googleapis.com/49/5d/d2/8201d49ba2a7ee/US20090131512A1-20090521-D00001.png
AU-2001245631-A1,Biodegradable immunomodulatory formulations and methods for use thereof ,Dynavax Technologies Corporation,"Stephen Tuck, Gary Van Nest",2000-03-10,2001-03-12,2001-12-06,,https://patents.google.com/patent/AU2001245631A1/en,
US-2011123561-A1,Methods and compositions for induction or promotion of immune tolerance ,Dynavax Technologies Corporation,"Franck Barrat, Robert L. Coffman",2004-12-17,2010-08-12,2011-05-26,,https://patents.google.com/patent/US20110123561A1/en,https://patentimages.storage.googleapis.com/76/4a/90/26d07f9dcd1800/US20110123561A1-20110526-D00001.png
CA-2344558-A1,Anti hiv compositions comprising immunostimulatory polynucleotides and hiv antigens ,"Dynavax Technologies Corporation, Helen Tighe, Eyal Raz, David Schwartz, Kenji Takabayashi","Helen Tighe, Eyal Raz, David Schwartz, Kenji Takabayashi",1998-10-09,1999-10-08,2000-04-20,,https://patents.google.com/patent/CA2344558A1/en,
