search URL:,https://patents.google.com/?assignee=EAGLE+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9655898-B2,Pharmaceutical compositions containing pemetrexed having extended storage stability ,"Eagle Pharmaceuticals, Inc.","Nagesh R. Palepu, Philip Christopher Buxton",2010-07-28,2011-07-26,2017-05-23,2017-05-23,https://patents.google.com/patent/US9655898B2/en,
US-2009227549-A1,Fulvestrant formulations ,Scidose Llc,Nageswara R. Palepu,2008-03-07,2009-03-05,2009-09-10,,https://patents.google.com/patent/US20090227549A1/en,
US-2011124551-A1,Formulations of daptomycin ,"Eagle Pharmaceuticals, Inc.","Nagesh R. Palepu, Bulusu Bhanu TEJA",2009-11-23,2010-09-17,2011-05-26,,https://patents.google.com/patent/US20110124551A1/en,
US-9265831-B2,Formulations of bendamustine ,"Eagle Pharmaceuticals, Inc.","Nagesh R. Palepu, Philip Christopher Buxton",2010-01-28,2013-09-19,2016-02-23,2016-02-23,https://patents.google.com/patent/US9265831B2/en,
US-8431539-B2,Formulations of daptomycin ,"Eagle Pharmaceuticals, Inc.","Nagesh R. Palepu, Bulusu Bhanu TEJA",2009-09-17,2010-09-17,2013-04-30,2013-04-30,https://patents.google.com/patent/US8431539B2/en,
US-2013210879-A1,Formulations of bendamustine ,"Eagle Pharmaceuticals, Inc.","Nagesh R. Palepu, Philip Christopher Buxton, Srikanth Sundaram",2012-02-14,2013-02-14,2013-08-15,,https://patents.google.com/patent/US20130210879A1/en,https://patentimages.storage.googleapis.com/69/4c/32/a0458dac07e1dd/US20130210879A1-20130815-D00001.png
US-7713928-B1,Ready-to-use bivalirudin compositions ,"The Medicines Company, Eagle Pharmaceuticals, Inc.","Nagesh Palepu, Rajeshwar Motheram, Praful Shah, Gopal Krishna",2009-08-20,2009-09-21,2010-05-11,2010-05-11,https://patents.google.com/patent/US7713928B1/en,https://patentimages.storage.googleapis.com/6e/5f/8c/6f84ba22c434fd/US07713928-20100511-D00001.png
WO-2011014541-A1,Stable formulations of azacitidine ,"Eagle Pharmaceuticals, Inc.","Nagesh R. Palepu, Philip Christopher Buxton, Bulusu Bhanu Teja",2009-07-30,2010-07-28,2011-02-03,,https://patents.google.com/patent/WO2011014541A1/en,
US-9597398-B2,Formulations of bendamustine ,"Eagle Pharmaceuticals, Inc.",Srikanth Sundaram,2012-03-20,2016-01-28,2017-03-21,2017-03-21,https://patents.google.com/patent/US9597398B2/en,
US-2013267489-A1,Fulvestrant formulations ,"Scidose, Llc","Bulusu Bhanu TEJA, Nagesh R. Palepu",2012-04-09,2013-04-08,2013-10-10,,https://patents.google.com/patent/US20130267489A1/en,https://patentimages.storage.googleapis.com/18/a6/a8/68bef84251fd0e/US20130267489A1-20131010-D00001.png
US-D676572-S,Vial with collar label ,"Eagle Pharmaceuticals, Inc.",Scott L. Tarriff,2011-10-03,2011-10-03,2013-02-19,2013-02-19,https://patents.google.com/patent/USD676572S1/en,https://patentimages.storage.googleapis.com/a6/c8/05/506f61ff4659ed/USD0676572-20130219-D00000.png
US-7589106-B2,Alcohol free formulation of argatroban ,"Eagle Pharmaceuticals, Inc.",Nageswara R. Palepu,2006-09-27,2007-09-26,2009-09-15,2009-09-15,https://patents.google.com/patent/US7589106B2/en,
US-9000021-B2,Method of treating bendamustine-responsive conditions in patients requiring reduced volumes for administration ,"Eagle Pharmaceuticals, Inc.","Srikanth Sundaram, Scott L. Tarriff",2012-03-20,2013-03-15,2015-04-07,2015-04-07,https://patents.google.com/patent/US9000021B2/en,
US-8815833-B2,Stable amifostine liquid concentrate ,"Seidose, LLC",Nageswara R. Palepu,2006-11-09,2007-11-08,2014-08-26,2014-08-26,https://patents.google.com/patent/US8815833B2/en,
US-2009221622-A1,Topotecan ready to use solutions ,"Eagle Pharmaceuticals, Inc.","Bulusu Bhanu TEJA, Philip Christopher Buxton, Nagesh R. Palepu",2008-02-29,2009-02-27,2009-09-03,,https://patents.google.com/patent/US20090221622A1/en,
KR-20190005183-A,Full Best Land formulation and its use ,이글 파마슈티컬즈 인코포레이티드,"펑-징 천, 스티븐 엘. 크릴, 라마 아부 샤메이스",2016-05-06,2017-05-05,2019-01-15,,https://patents.google.com/patent/KR20190005183A/en,https://patentimages.storage.googleapis.com/5f/c3/3f/a5327b7c36f2fb/pct00053.png
US-7687516-B2,Alcohol free formulation of argatroban ,"Eagle Pharmaceuticals, Inc.",Nageswara R. Palepu,2006-09-27,2007-10-09,2010-03-30,2010-03-30,https://patents.google.com/patent/US7687516B2/en,
US-2013023559-A1,Alcohol free formulation of argatroban ,"Eagle Pharmaceuticals, Inc.",Nageswara R. Palepu,2006-09-27,2012-09-14,2013-01-24,,https://patents.google.com/patent/US20130023559A1/en,
KR-20180132643-A,Femetrexed formulation ,이글 파마슈티컬즈 인코포레이티드,"펭-징 첸, 스티븐 엘. 크릴",2016-02-19,2016-02-19,2018-12-12,,https://patents.google.com/patent/KR20180132643A/en,https://patentimages.storage.googleapis.com/2e/25/ea/211a404a5b3f19/pct00012.png
US-2015328317-A1,Aqueous buffer-free bivalirudin compositions ,"Eagle Pharmaceuticals, Inc.","Feng-Jing Chen, Steven L. Krill",2014-05-13,2015-05-13,2015-11-19,,https://patents.google.com/patent/US20150328317A1/en,https://patentimages.storage.googleapis.com/79/03/15/992c4ec6816947/US20150328317A1-20151119-D00001.png
US-2018289710-A1,Pemetrexed formulations ,"Eagle Pharmaceuticals, Inc.","Feng-Jing Chen, Steven L. Krill",2016-02-19,2017-12-01,2018-10-11,,https://patents.google.com/patent/US20180289710A1/en,https://patentimages.storage.googleapis.com/29/57/0e/37396fe89250e9/US20180289710A1-20181011-D00001.png
EP-2836199-A1,Fulvestrant formulations ,Scidose LLC,"Bulusu Bhanu Teja, Nagesh R. Palepu",2012-04-09,2013-04-09,2015-02-18,,https://patents.google.com/patent/EP2836199A1/en,
WO-2019079721-A1,Dantrolene prodrugs and methods of their use ,"Eagle Pharmaceuticals, Inc.","Charles WESCOTT, Adrian HEPNER, Alyssa Larson",2017-10-20,2018-10-19,2019-04-25,,https://patents.google.com/patent/WO2019079721A1/en,
WO-2019094650-A1,Fulvestrant formulations and methods of their use ,"Eagle Pharmaceuticals, Inc","Feng-Jing Chen, Steven L. Krill, Rama Abu SHMEIS, Adrian HEPNER, Charles WESCOTT, Tara JASKOWSKI, Michael Joyce",2017-11-08,2018-11-08,2019-05-16,,https://patents.google.com/patent/WO2019094650A1/en,
WO-2019050923-A1,Methods of using dantrolene to treat nerve agent exposure ,"Eagle Pharmaceuticals, Inc.",Adrian HEPNER,2017-09-05,2018-09-05,2019-03-14,,https://patents.google.com/patent/WO2019050923A1/en,
