search URL:,https://patents.google.com/?assignee=EDGE+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2012308658-A1,Methods and compositions to treat hemorrhagic conditions of the brain ,Macdonald R Loch,R. Loch Macdonald,2007-06-11,2012-07-13,2012-12-06,,https://patents.google.com/patent/US20120308658A1/en,https://patentimages.storage.googleapis.com/a3/52/af/32c06b301af335/US20120308658A1-20121206-D00001.png
AU-2008261668-B2,A drug delivery system for the prevention of cerebral vasospasm ,Edge Therapeutics Inc.,"Brian Leuthner, R. Loch Macdonald",2007-06-11,2008-06-11,2013-08-29,2013-08-29,https://patents.google.com/patent/AU2008261668B2/en,
US-9399019-B2,"Polymorph compositions, methods of making, and uses thereof ","Evonik Corporation, Edge Therapeutics, Inc.","R. Loch Macdonald, Cara R. Davis, Kevin Burton, Gary Winchester, Angela R. Stella, Parissa Heshmati",2012-05-09,2013-03-13,2016-07-26,2016-07-26,https://patents.google.com/patent/US9399019B2/en,https://patentimages.storage.googleapis.com/5d/bc/4b/1716caff257c2d/US09399019-20160726-D00001.png
US-9364432-B2,Intraventricular drug delivery system for improving outcome after a brain injury affecting cerebral blood flow ,"Edge Therapeutics, Inc.","R. Loch Macdonald, Brian A. Leuthner",2007-06-11,2012-04-05,2016-06-14,2016-06-14,https://patents.google.com/patent/US9364432B2/en,https://patentimages.storage.googleapis.com/90/63/2c/df4e553ee3f52f/US09364432-20160614-D00001.png
US-10092524-B2,Compositions and their use to treat complications of aneurysmal subarachnoid hemorrhage ,"Edge Therapeutics, Inc.",R. Loch Macdonald,2008-06-11,2013-03-11,2018-10-09,2018-10-09,https://patents.google.com/patent/US10092524B2/en,https://patentimages.storage.googleapis.com/27/7a/22/14ae644824b647/US10092524-20181009-D00001.png
EP-2672983-B1,Compositions and methods for improving prognosis of a human with subarachnoid hemorrhage ,"Edge Therapeutics, Inc.","Brian A. LEUTHNER, Loch R. MACDONALD",2011-02-11,2012-02-13,2017-04-19,2017-04-19,https://patents.google.com/patent/EP2672983B1/en,https://patentimages.storage.googleapis.com/b3/1b/41/7ef11181e9f900/imgf0001.png
US-2018098977-A1,Scalable microparticulate formulations containing polymorphic nimodipine form 2 prepared by a solvent evaporation process ,"Edge Therapeutics, Inc.",Alpaslan Yaman,2016-08-23,2017-08-17,2018-04-12,,https://patents.google.com/patent/US20180098977A1/en,https://patentimages.storage.googleapis.com/39/89/26/9943c14529aa82/US20180098977A1-20180412-D00001.png
AU-2016201681-B2,A drug delivery system for the prevention of cerebral vasospasm ,Edge Therapeutics Inc.,"Brian Leuthner, R. Loch Macdonald",2007-06-11,2016-03-16,2017-11-23,2017-11-23,https://patents.google.com/patent/AU2016201681B2/en,
AU-2013203192-B2,A drug delivery system for the prevention of cerebral vasospasm ,Edge Therapeutics Inc.,"Brian Leuthner, R. Loch Macdonald",2007-06-11,2013-04-09,2015-12-24,2015-12-24,https://patents.google.com/patent/AU2013203192B2/en,
US-2019054022-A1,"Formulations of site-specific, microparticulate compositions and their use to improve outcome after aneursymal subarachnoid hemorrhage ","Edge Therapeutics, Inc.",R. Loch Macdonald,2016-04-07,2017-04-05,2019-02-21,,https://patents.google.com/patent/US20190054022A1/en,https://patentimages.storage.googleapis.com/44/f3/63/26da6ed268ce0b/US20190054022A1-20190221-D00001.png
US-2018055813-A1,Compositions and methods for treating atrial fibrillation ,"Edge Therapeutics, Inc.","Michael Kurz, R. Loch Macdonald",2016-05-18,2017-05-02,2018-03-01,,https://patents.google.com/patent/US20180055813A1/en,https://patentimages.storage.googleapis.com/68/f6/b8/dd442e43990737/US20180055813A1-20180301-D00001.png
US-2016346224-A1,Compositions and methods for reducing visual loss ,"Edge Therapeutics, Inc.",R. Loch Macdonald,2015-05-29,2016-04-19,2016-12-01,,https://patents.google.com/patent/US20160346224A1/en,https://patentimages.storage.googleapis.com/44/bd/6a/c22532c12069b2/US20160346224A1-20161201-D00001.png
WO-2019018306-A1,Scalable microparticulate formulations containing micronized polymorphic nimodipine form 2 ,"Edge Therapeutics, Inc.",Alpaslan YAMAN,2017-07-17,2018-07-16,2019-01-24,,https://patents.google.com/patent/WO2019018306A1/en,
CA-2826890-A1,Compositions and methods for improving prognosis of a human with subarachnoid hemorrhage ,"Brian A. Leuthner, R. Loch Macdonald, Edge Therapeutics, Inc.","Brian A. Leuthner, R. Loch Macdonald",2011-02-11,2012-02-13,2012-08-16,,https://patents.google.com/patent/CA2826890A1/en,
