search URL:,https://patents.google.com/?assignee=ELEVEN+BIOTHERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2013342163-B2,IL-6 antagonists and uses thereof ,"Sesen Bio, Inc.","Thomas M. Barnes, David V. Erbe, Eric Steven Furfine, Michael M. Schmidt, Alison TISDALE",2012-11-08,2013-11-08,2018-08-16,2018-08-16,https://patents.google.com/patent/AU2013342163B2/en,
US-2014315817-A1,Variant serum albumin with improved half-life and other properties ,"Eleven Biotherapeutics, Inc.","Michael March Schmidt, Eric Steven Furfine, Amy Jada Andreucci, Thomas M. Barnes",2011-11-18,2012-11-18,2014-10-23,,https://patents.google.com/patent/US20140315817A1/en,https://patentimages.storage.googleapis.com/92/6c/39/97f67820537806/US20140315817A1-20141023-D00001.png
US-2013064788-A1,Il-17 family cytokine compositions and uses ,"Eleven Biotherapeutics, Inc., The Board Of Trustees Of The Leland Stanford Junior University","Thomas M. Barnes, Michael M. Schmidt, Bracken M. King, K. Christopher Garcia, Sashank Reddy, Gregory James Sieczkiewicz, Lauren K. Ely",2009-10-10,2010-10-11,2013-03-14,,https://patents.google.com/patent/US20130064788A1/en,https://patentimages.storage.googleapis.com/41/38/c3/bd78e902d93d39/US20130064788A1-20130314-D00001.png
US-9458216-B2,Nucleic acid encoding chimeric IL-1 receptor type I antagonists ,"Eleven Biotherapeutics, Inc.","Thomas M. Barnes, Jinzhao Hou, Bracken M. King",2010-07-29,2014-08-15,2016-10-04,2016-10-04,https://patents.google.com/patent/US9458216B2/en,https://patentimages.storage.googleapis.com/d4/68/ac/6e970ad297c571/US09458216-20161004-D00001.png
US-2012269765-A1,Cytokine compositions and methods of use thereof ,"Garcia K Christopher, Patrick Lupardus, Reddy Sashank K, Sieczkiewicz Gregory J","K. Christopher Garcia, Patrick Lupardus, Sashank K. Reddy, Gregory J. Sieczkiewicz",2009-07-24,2010-07-26,2012-10-25,,https://patents.google.com/patent/US20120269765A1/en,https://patentimages.storage.googleapis.com/57/cb/f6/f19edb066ce2c4/US20120269765A1-20121025-D00000.png
AU-2014243839-B2,Chimeric cytokine formulations for ocular delivery ,"Eleven Biotherapeutics, Inc.","Byeong Chang, Patricia LOWDEN, Gregory Zarbis-Papastoitsis",2013-03-13,2014-03-13,2019-01-03,2019-01-03,https://patents.google.com/patent/AU2014243839B2/en,
WO-2012103240-A2,Receptor binding agents ,"Eleven Biotherapeutics, Inc.","Thomas M. Barnes, Jinzhao Hou, Bracken M. King",2011-01-25,2012-01-25,2012-08-02,,https://patents.google.com/patent/WO2012103240A2/en,
US-2014341843-A1,Purified proteins ,"Eleven Biotherapeutics, Inc.","Thomas M. Barnes, Jinzhao Hou, Gregory Zarbis-Papastoitsis, Emily Belcher Schirmer, Gary L. McNeil, Kathryn Golden",2011-07-29,2012-07-27,2014-11-20,,https://patents.google.com/patent/US20140341843A1/en,https://patentimages.storage.googleapis.com/e5/ae/4b/8265523529f53e/US20140341843A1-20141120-D00001.png
US-2016052993-A1,Albumin variants binding to fcrn ,"Eleven Biotherapeutics, Inc.","Michael March Schmidt, Sharon Townson, Thomas M. Barnes",2013-05-03,2014-05-02,2016-02-25,,https://patents.google.com/patent/US20160052993A1/en,https://patentimages.storage.googleapis.com/47/08/fa/dbc2d1f0320551/US20160052993A1-20160225-D00001.png
WO-2011163452-A2,Treating surface of the eye disorders ,"Eleven Biotherapeutics, Inc.",Burt A. Adelman,2010-06-24,2011-06-23,2011-12-29,,https://patents.google.com/patent/WO2011163452A2/en,
EP-3215530-A1,Improved il-6 antibodies ,"Eleven Biotherapeutics, Inc.","Michael March SCHMIDT, Alison TISDALE, Eric Steven Furfine, Grigorios Zarbis-Papastoitsis",2014-11-07,2015-11-06,2017-09-13,,https://patents.google.com/patent/EP3215530A1/en,
