search URL:,https://patents.google.com/?assignee=EMERGENT+BIOSOLUTIONS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2017183396-A1,Ebola monoclonal antibodies ,"Jody Berry, Grant McClarty, Kelly Warfield, Mohammad Javad Aman","Jody Berry, Grant McClarty, Kelly Warfield, Mohammad Javad Aman",2014-02-19,2015-02-19,2017-06-29,,https://patents.google.com/patent/US20170183396A1/en,https://patentimages.storage.googleapis.com/1a/13/0f/532b16cbd00d41/US20170183396A1-20170629-D00001.png
EP-2167119-A1,Chemically modified peptides with improved immunogenicity ,"Health Protection Agency, Emergent Biosolutions Inc.","Clifford Shone, Xiaomi Tong, Joanna Clancy, Mili Gu",2007-06-14,2008-06-13,2010-03-31,,https://patents.google.com/patent/EP2167119A1/en,
AU-2012298877-B2,Clostridium difficile antibodies ,Emergent Biosolutions Canada Inc.,"Jody Berry, Joyee Antony George, Darrell JOHNSTONE, Bonnie TIGHE",2011-08-22,2012-08-22,2018-01-04,2018-01-04,https://patents.google.com/patent/AU2012298877B2/en,
EP-2318515-A1,Vaccines against clostridium difficile and methods of use ,"Emergent Product Development UK Limited, Emergent Biosolutions Inc.","Jonathan Lewis Telfer, Lisa Caproni",2008-08-06,2009-08-06,2011-05-11,,https://patents.google.com/patent/EP2318515A1/en,
EP-2471550-A1,Proteins with improved solubility and methods for producing and using same ,"Health Protection Agency, Emergent Biosolutions Inc.","Clifford C. Shone, James A. Crawford",2005-10-07,2006-10-05,2012-07-04,,https://patents.google.com/patent/EP2471550A1/en,https://patentimages.storage.googleapis.com/ed/1a/3d/b384761690a368/imgf0001.png
US-8778359-B2,Stable anthrax vaccine formulations ,Emergent Biosolutions Inc.,Elizabet Kaisheva,2008-07-30,2009-07-30,2014-07-15,2014-07-15,https://patents.google.com/patent/US8778359B2/en,https://patentimages.storage.googleapis.com/eb/fb/5b/9c3bc795c79150/US08778359-20140715-D00001.png
US-2017226192-A1,Methods of modulating an immune response ,"Jody Berry, Erica SAPHIRE","Jody Berry, Erica SAPHIRE",2014-02-19,2015-02-19,2017-08-10,,https://patents.google.com/patent/US20170226192A1/en,https://patentimages.storage.googleapis.com/f7/21/82/a6b73cc0469c56/US20170226192A1-20170810-D00001.png
US-2010297180-A1,Botulinum neurotoxin vaccine ,Clifford Shone,Clifford Shone,2007-10-12,2008-10-13,2010-11-25,,https://patents.google.com/patent/US20100297180A1/en,
US-9751919-B2,Antimicrobial compositions comprising a hyaluronic acid binding peptide and a β-lactam antibiotic ,Emergent Biosolutions Canada Inc.,"Laura Saward, Xiaobing Han, George G. Zhanel",2012-05-04,2013-05-03,2017-09-05,2017-09-05,https://patents.google.com/patent/US9751919B2/en,
AU-2013352034-B2,Antibodies against Clostridium difficile ,Emergent Biosolutions Canada Inc.,"Jody Berry, Joyee Antony George, Darrell JOHNSTONE, Cory Nykiforuk",2012-11-28,2013-11-29,2018-08-02,2018-08-02,https://patents.google.com/patent/AU2013352034B2/en,
WO-2007079173-A2,Novel 2-heteroaryloxy-phenol derivatives as antibacterial agents ,Emergent Biosolutions Inc.,"Liren Huang, Joanna Clancy, Christopher Taylor, Weitao Pan, Alenka Tomazic, W. James Jackson",2005-12-30,2006-12-29,2007-07-12,,https://patents.google.com/patent/WO2007079173A2/en,
US-2015141435-A1,2-pyridone antimicrobial compositions ,Emergent BioSolutions,"Patrick Roussel, Jutta Heim, Peter Schneider, Christian Bartels, Yaoquan Liu, Glen Dale, Daniel Milligan",2010-09-27,2015-01-07,2015-05-21,,https://patents.google.com/patent/US20150141435A1/en,
WO-2010048322-A1,Use of e. coli surface antigen 3 sequences for the export of heterologous antigens ,"Emergent Product Development United Kingdom, Emergent Biosolutions, Inc.","Jonathan Lewis Telfer, Mark Richard Redfern",2008-10-21,2009-10-21,2010-04-29,,https://patents.google.com/patent/WO2010048322A1/en,
US-2018030118-A1,Humanzied filovirus antibodies and uses thereof ,Emergent Biosolutions Canada Inc.,Darrell Johnstone,2015-02-19,2016-02-19,2018-02-01,,https://patents.google.com/patent/US20180030118A1/en,
