search URL:,https://patents.google.com/?assignee=ENDOCYTE+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2176293-B1,Conjugates containing hydrophilic spacer linkers ,"Endocyte, Inc.","Christopher Paul Leamon, Yu Wang, Iontcho Radoslavov Vlahov, Fei You, Paul Joseph Kleindl, Hari Krishna R. Santhapuram",2007-06-25,2008-06-25,2019-04-03,2019-04-03,https://patents.google.com/patent/EP2176293B1/en,https://patentimages.storage.googleapis.com/72/2c/4e/fc9cdcb35be2e8/imgf0001.png
US-8470822-B2,Folate mimetics and folate-receptor binding conjugates thereof ,"Purdue Research Foundation, Endocyte, Inc.","Mark A Green, Chun-Yen Ke, Christopher P Leamon",2001-04-24,2010-05-07,2013-06-25,2013-06-25,https://patents.google.com/patent/US8470822B2/en,https://patentimages.storage.googleapis.com/e0/98/9a/a463168d847d51/US08470822-20130625-D00001.png
US-7601332-B2,Vitamin receptor binding drug delivery conjugates ,"Endocyte, Inc.","Iontcho R. Vlahov, Christopher P. Leamon, Matthew A. Parker, Stephen J. Howard, Hari Krishna Santhapuram, Apparao Satyam, Joseph Anand Reddy",2003-01-27,2004-01-27,2009-10-13,2009-10-13,https://patents.google.com/patent/US7601332B2/en,
EP-1501551-B1,Folate-receptor targeted imaging agents ,"Endocyte, Inc.","Christopher Paul Leamon, Matthew A. Parker",2002-05-06,2003-05-06,2009-11-18,2009-11-18,https://patents.google.com/patent/EP1501551B1/en,https://patentimages.storage.googleapis.com/90/84/1c/92b179f8f1cffb/imgf0001.png
JP-5829793-B2,Drug delivery conjugate of Tubulysin the binding ligand binds ,"エンドサイト・インコーポレイテッドＥｎｄｏｃｙｔｅ， Ｉｎｃ．, エンドサイト・インコーポレイテッドＥｎｄｏｃｙｔｅ，  Ｉｎｃ．","ヴラホフ，イオンチョ，ラドスラヴフ, リーモン，クリストファー，ポール, ワン，ユ",2007-03-14,2008-03-13,2015-12-09,2015-12-09,https://patents.google.com/patent/JP5829793B2/en,https://patentimages.storage.googleapis.com/86/c5/16/9619f572a0fbcf/0005829793-109.png
US-8288557-B2,Bivalent linkers and conjugates thereof ,"Endocyte, Inc.","Iontcho Radoslavov Vlahov, Christopher Paul Leamon, Apparao Satyam, Stephen J. Howard",2004-07-23,2005-07-22,2012-10-16,2012-10-16,https://patents.google.com/patent/US8288557B2/en,https://patentimages.storage.googleapis.com/a2/0b/dc/40f30835129b43/US08288557-20121016-D00001.png
JP-5675619-B2,Folate receptors antifolate binding conjugate ,"エンドサイト，インク．Ｅｎｄｏｃｙｔｅ，Ｉｎｃ．, パーデュ リサーチ ファンデーション, パーデュ  リサーチ  ファンデーション","リーモン，クリストファー，ポール, ヴラホフ，イオンチョ，ラドスラーボフ, ロー，フィリップ，スチュアート",2008-09-17,2009-09-17,2015-02-25,2015-02-25,https://patents.google.com/patent/JP5675619B2/en,https://patentimages.storage.googleapis.com/28/81/39/6781c3e67e6ec5/0005675619-66.png
ES-2468240-T3,Conjugates ligand multidrug ,"Endocyte, Inc.","Iontcho Radoslavov Vlahov, Christopher Paul Leamon",2005-08-19,2006-08-18,2014-06-16,2014-06-16,https://patents.google.com/patent/ES2468240T3/en,
EP-1504010-B1,Vitamin-mitomycin conjugates ,"Endocyte, Inc.","Christopher Paul Leamon, Iontcho Radoslavov Vlahov",2002-05-15,2003-05-13,2009-03-25,2009-03-25,https://patents.google.com/patent/EP1504010B1/en,https://patentimages.storage.googleapis.com/81/ae/22/7c60ad09f219ea/imgf0001.png
US-9662402-B2,Drug delivery conjugates containing unnatural amino acids and methods for using ,"Endocyte, Inc.","Iontcho Radoslavov Vlahov, Christopher Paul Leamon",2012-10-16,2013-10-15,2017-05-30,2017-05-30,https://patents.google.com/patent/US9662402B2/en,https://patentimages.storage.googleapis.com/b5/2c/9a/be01ea93545754/US09662402-20170530-D00001.png
EP-2382995-A2,"Ligand conjugates of Vinca alkaloids, analogs and derivatives ","Endocyte, Inc.","Christopher Paul Leamon, Iontcho Radoslavov Vlahov",2005-08-19,2006-08-18,2011-11-02,,https://patents.google.com/patent/EP2382995A2/en,https://patentimages.storage.googleapis.com/f0/82/46/fae950e2c2ad21/imgf0001.png
US-8765096-B2,Methods and compositions for treating and diagnosing kidney disease ,"Endocyte, Inc","Christopher Paul Leamon, Iontcho Radoslavov Vlahov",2007-02-16,2012-04-05,2014-07-01,2014-07-01,https://patents.google.com/patent/US8765096B2/en,https://patentimages.storage.googleapis.com/42/e9/8d/7f4f2682f5bce6/US08765096-20140701-D00001.png
EP-2209374-B1,Tubulysins and processes for preparing ,"Endocyte, Inc.","Iontcho Radoslavov Vlahov, Yu Wang, Christopher Paul Leamon",2007-10-25,2008-10-23,2014-12-03,2014-12-03,https://patents.google.com/patent/EP2209374B1/en,
EP-1864133-B1,Method for breastcancer prognosis using cellular folate vitamin receptor quantification ,"Purdue Research Foundation, Endocyte, Inc., Mayo Foundation For Medical Education And Research","Philip Stewart Low, Lynn C. Hartmann, Christopher Paul Leamon, Phil Ronald Ellis",2005-03-30,2006-03-30,2010-03-10,2010-03-10,https://patents.google.com/patent/EP1864133B1/en,https://patentimages.storage.googleapis.com/2c/15/ab/2ec284c6fc54c6/imgf0001.png
US-8865128-B2,Folate targeted enhanced tumor and folate receptor positive tissue optical imaging technology ,"Endocyte, Inc.","Karim N. Jallad, Michael D. Kennedy, Philip S. Low, Dor Ben-Amotz",2002-02-07,2012-12-21,2014-10-21,2014-10-21,https://patents.google.com/patent/US8865128B2/en,https://patentimages.storage.googleapis.com/72/b8/70/ca2c41f5d42c88/US08865128-20141021-D00001.png
CN-101175757-B,Synthesis and purification of pteroic acid and conjugates thereof ,恩多塞特公司,"C·P·利蒙, H·K·桑塔普拉姆, I·R·弗拉霍夫, 李春红, 许乐村",2005-03-16,2006-03-14,2012-11-14,2012-11-14,https://patents.google.com/patent/CN101175757B/en,
US-6051381-A,Prokaryotic two-hybrid system ,Kornacker; Michael G.,Michael G. Kornacker,1996-12-11,1997-12-10,2000-04-18,2000-04-18,https://patents.google.com/patent/US6051381A/en,https://patentimages.storage.googleapis.com/e8/93/3f/8017286fe8836a/US6051381-drawings-page-2.png
US-2007275904-A1,Conjugates of aziridinyl-epothilone analogs and pharmaceutical compositions comprising same ,Bristol-Myers Squibb Company,"Gregory Vite, Francis Lee, Christopher Leamon, Iontcho Vlahov",2006-05-25,2007-05-25,2007-11-29,,https://patents.google.com/patent/US20070275904A1/en,https://patentimages.storage.googleapis.com/39/c3/f9/a38e8217d2aa0c/US20070275904A1-20071129-D00001.png
CA-2592302-C,Positron emission tomography imaging method ,"Purdue Research Foundation, Endocyte, Inc., Philip Stewart Low, Bindu Varghese, Iontcho Radoslavov Vlahov","Philip Stewart Low, Bindu Varghese, Iontcho Radoslavov Vlahov",2004-12-23,2005-12-23,2013-10-29,2013-10-29,https://patents.google.com/patent/CA2592302C/en,
AU-2003224989-B2,Adjuvant enhanced immunotherapy ,"Endocyte, Inc.",Yingjuan Lu,2002-04-19,2003-04-16,2008-12-04,2008-12-04,https://patents.google.com/patent/AU2003224989B2/en,
US-9782493-B2,Conjugates for treating diseases caused by PSMA expressing cells ,"Endocyte, Inc.","Iontcho Radoslavov Vlahov, Joseph Anand Reddy, Alicia BLOOMFIELD, Ryan DORTON, Melissa NELSON, Marilynn VETZEL, Christopher Paul Leamon",2012-11-15,2016-08-24,2017-10-10,2017-10-10,https://patents.google.com/patent/US9782493B2/en,https://patentimages.storage.googleapis.com/29/e7/1b/6370f235c802c9/US09782493-20171010-D00001.png
WO-2011069116-A1,Binding ligand linked drug delivery conjugates of tubulysins ,"Endocyte, Inc.","Christopher Paul Leamon, Iontcho Radoslavov Vlahov",2009-12-04,2010-12-03,2011-06-09,,https://patents.google.com/patent/WO2011069116A1/en,
US-9499849-B2,Processes for preparing tubulysins ,"Endocyte, Inc.","Iontcho Radoslavov Vlahov, Michael Groaning, Paul Joseph Kleindl, Hari Krishna R. Santhapuram, Fei You, Kevin Yu Wang, Le-Cun Xu, Katheryn Marie Stanford, Allen Ritter, Christopher Paul Leamon",2010-08-06,2016-02-26,2016-11-22,2016-11-22,https://patents.google.com/patent/US9499849B2/en,
US-8043603-B2,Folate targeted enhanced tumor and folate receptor positive tissue optical imaging technology ,"Endocyte, Inc.","Michael D. Kennedy, Philip S. Low",2002-02-07,2003-12-19,2011-10-25,2011-10-25,https://patents.google.com/patent/US8043603B2/en,https://patentimages.storage.googleapis.com/e9/95/76/870612e4f493fd/US08043603-20111025-D00001.png
US-2014107316-A1,Drug delivery conjugates containing unnatural amino acids and methods for using ,"Endocyte, Inc.","Iontcho R. Vlahov, Christopher P. Leamon",2012-10-16,2013-03-15,2014-04-17,,https://patents.google.com/patent/US20140107316A1/en,https://patentimages.storage.googleapis.com/eb/6d/c9/1b50197a388b3e/US20140107316A1-20140417-D00001.png
US-9771391-B2,Process for preparing tubulysins ,"Endocyte, Inc.","Iontcho Radoslavov Vlahov, Christopher Paul Leamon",2013-03-01,2014-02-28,2017-09-26,2017-09-26,https://patents.google.com/patent/US9771391B2/en,
EP-2831059-B1,Processes for preparing tubulysin derivatives and conjugates thereof ,"Endocyte, Inc.","Iontcho Radoslavov Vlahov, Hari Krishna R SANTHAPURAM, Paul Joseph Kleindl, Christopher Paul Leamon, Fei You",2012-03-29,2013-03-29,2017-11-29,2017-11-29,https://patents.google.com/patent/EP2831059B1/en,
US-2012258905-A1,Vitamin receptor drug delivery conjugates for treating inflammation ,"Endocyte, Inc.","Christopher Paul Leamon, Iontcho Radoslavov Vlahov, Yingjuan June Lu",2009-12-23,2010-12-22,2012-10-11,,https://patents.google.com/patent/US20120258905A1/en,https://patentimages.storage.googleapis.com/93/a4/ae/2e4d05013b8553/US20120258905A1-20121011-D00000.png
CN-101239190-B,Vitamin receptor binding drug delivery conjugates ,恩多塞特公司,"I·R·弗拉霍夫, C·P·利蒙, M·A·帕克, S·J·霍瓦德, H·K·桑塔普拉姆, A·萨特亚姆, J·A·雷迪",2003-01-27,2004-01-27,2013-09-25,2013-09-25,https://patents.google.com/patent/CN101239190B/en,
US-2007276018-A1,Aziridinyl-epothilone compounds ,Bristol-Myers Squibb Company,"Gregory Vite, Francis Lee, Christopher Leamon, Iontcho Vlahov",2006-05-25,2007-05-25,2007-11-29,,https://patents.google.com/patent/US20070276018A1/en,https://patentimages.storage.googleapis.com/b7/d9/bd/f0e64fe0c86753/US20070276018A1-20071129-D00001.png
US-2014140925-A1,Folate-targeted diagnostics and treatment ,"Endocyte, Inc.","Christopher P. Leamon, Richard Messmann, David Morgenstern",2009-07-31,2013-03-13,2014-05-22,,https://patents.google.com/patent/US20140140925A1/en,https://patentimages.storage.googleapis.com/61/16/c8/5cdf223d9eeb40/US20140140925A1-20140522-D00001.png
US-2013203680-A1,Folate conjugates for treating inflammation of the eye ,"Endocyte, Inc.","Christopher Paul Leamon, Iontcho Radoslavov Vlahov, Yingjuan June Lu",2010-09-27,2011-09-21,2013-08-08,,https://patents.google.com/patent/US20130203680A1/en,https://patentimages.storage.googleapis.com/73/ac/49/80ac10cd2d5473/US20130203680A1-20130808-D00001.png
