search URL:,https://patents.google.com/?assignee=ESPERION+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7211565-B2,Apolipoprotein A-I agonists and their use to treat dyslipidemic disorders ,"Jean-Louis Dasseux, Renate Sekul, Klaus Buttner, Isabelle Cornut, Gunther Metz, Jean Dufourcq","Jean-Louis Dasseux, Renate Sekul, Klaus Buttner, Isabelle Cornut, Gunther Metz",1997-09-29,2004-03-15,2007-05-01,2007-05-01,https://patents.google.com/patent/US7211565B2/en,
US-6680203-B2,Fourier transform mass spectrometry of complex biological samples ,"Esperion Therapeutics, Inc.","Jean-Louis H. Dasseux, Roger S. Newton, Thomas J. Rea, Charles L. Bisgaier, Michael E. Pape",2000-07-10,2000-12-12,2004-01-20,2004-01-20,https://patents.google.com/patent/US6680203B2/en,https://patentimages.storage.googleapis.com/e0/37/18/98aec4ed625120/US06680203-20040120-D00000.png
US-7312190-B2,Pharmaceutical compositions of apolipoprotein A-I agonists and their use to treat dyslipidemic disorders ,"Jean-Louis Dasseux, Renate Sekul, Buettner Klaus, Isabelle Cornut, Metz Guenther, Jean Dufourcq","Jean-Louis Dasseux, Renate Sekul, Klaus Büttner, Isabelle Cornut, Günther Metz, Jean Dufourcq",1997-09-29,2004-03-15,2007-12-25,2007-12-25,https://patents.google.com/patent/US7312190B2/en,
US-6506799-B1,"Methods of treating cardiovascular diseases, dyslipidemia, dyslipoproteinemia, and hypertension with ether compounds ","Esperion Therapeutics, Inc.",Jean-Louis Henri Dasseux,1999-04-01,2000-03-31,2003-01-14,2003-01-14,https://patents.google.com/patent/US6506799B1/en,https://patentimages.storage.googleapis.com/d6/e1/b0/eb22cc498f9774/US06506799-20030114-D00000.png
US-6617134-B1,Dimer of molecular variant of apolipoprotein and processes for the production thereof ,"Esperion Therapeutics, Inc.","Cesare Sirtori, Guido Franceschini, Lars Abrahmsén, Erik Holmgren, Mats Lake, Björn Nilsson, Joanna Chmielewska, Peter Lind",1991-12-13,1999-03-01,2003-09-09,2003-09-09,https://patents.google.com/patent/US6617134B1/en,https://patentimages.storage.googleapis.com/c5/79/62/0c58727e90c151/US6617134-drawings-page-3.png
CA-2150928-C,Expression system for producing apolipoprotein ai-m ,"Lars Abrahmsen, Erik Holmgren, Christina Kalderen, Mats Lake, Asa Mikaelsson, Torsten Sejlitz, Kabi Pharmacia Ab, Pharmacia Aktiebolag, Pharmacia & Upjohn Aktiebolag, Esperion Therapeutics Inc.","Lars Abrahmsen, Erik Holmgren, Christina Kalderen, Mats Lake, Asa Mikaelsson, Torsten Sejlitz",1992-12-11,1993-12-09,2005-02-08,2005-02-08,https://patents.google.com/patent/CA2150928C/en,
US-6287590-B1,Peptide/lipid complex formation by co-lyophilization ,"Esperion Therapeutics, Inc.",Jean-Louis Dasseux,1997-10-02,1997-10-02,2001-09-11,2001-09-11,https://patents.google.com/patent/US6287590B1/en,https://patentimages.storage.googleapis.com/85/bd/e8/766af67529e1dc/US6287590-drawings-page-3.png
US-6506879-B1,Purified Apo A and Apo E compounds and methods for using them ,"Esperion Therapeutics, Inc.","Hans Ageland, Lena Romander",1995-03-03,1999-11-22,2003-01-14,2003-01-14,https://patents.google.com/patent/US6506879B1/en,
US-8119590-B2,Prevention and treatment of restenosis by local administration of drug ,"Cedars-Sinai Medical Center, Esperion Therapeutics, Inc","Charles L. Bisgaier, Prediman Krishan Shah, Sanjay Kaul",2001-09-28,2002-09-27,2012-02-21,2012-02-21,https://patents.google.com/patent/US8119590B2/en,https://patentimages.storage.googleapis.com/ff/0f/13/a9a4e4a60a194b/US08119590-20120221-D00001.png
EP-1677597-B1,"Pharmaceutical formulations, methods and dosing regimens for the treatment and prevention of acute coronary syndromes ",Esperion Therapeutics Inc.,"Charles L. Bisgaier, Wendi V. Rodrigueza, Narendra D. Lalwani, Daniel Hartman, Jan Johansson",2003-10-20,2004-10-19,2014-01-08,2014-01-08,https://patents.google.com/patent/EP1677597B1/en,https://patentimages.storage.googleapis.com/f2/17/21/91a27da4403419/imgf0001.png
US-6703422-B2,Sulfide and disulfide compounds and compositions for cholesterol management and related uses ,"Esperion Therapeutics, Inc.","Jean-Louis Henri Dasseux, Carmen Daniela Oniciu",2000-10-11,2001-10-11,2004-03-09,2004-03-09,https://patents.google.com/patent/US6703422B2/en,https://patentimages.storage.googleapis.com/1a/c9/2e/46362322fff51a/US06703422-20040309-D00001.png
US-6713507-B2,Ether compounds and compositions for cholesterol management and related uses ,"Esperion Therapeutics, Inc.","Jean-Louis Henri Dasseux, Carmen Daniela Oniciu",2000-10-11,2001-10-11,2004-03-30,2004-03-30,https://patents.google.com/patent/US6713507B2/en,https://patentimages.storage.googleapis.com/74/11/5c/c08a70cacb94e1/US06713507-20040330-D00001.png
US-2001028895-A1,Methods of treating alzheimer's disease ,"Bisgaier Charles L., Newton Roger S.","Charles Bisgaier, Roger Newton",2000-02-04,2001-02-02,2001-10-11,,https://patents.google.com/patent/US20010028895A1/en,
CA-2486127-C,Method of treating dyslipidemic disorders ,"Esperion Therapeutics, Inc., Jean-Louis H. Dasseux, Anna A. Shenderova, Thomas J. Rea","Jean-Louis H. Dasseux, Anna A. Shenderova, Thomas J. Rea",2002-05-17,2003-05-16,2014-03-11,2014-03-11,https://patents.google.com/patent/CA2486127C/en,
US-6673780-B2,Sulfoxide and bis-sulfoxide compounds and compositions for cholesterol management and related uses ,"Esperion Therapeutics, Inc.","Jean-Louis Henri Dasseux, Carmen Daniela Oniciu",2000-10-11,2001-10-11,2004-01-06,2004-01-06,https://patents.google.com/patent/US6673780B2/en,https://patentimages.storage.googleapis.com/29/1d/d3/0b0ccfd6713889/US06673780-20040106-D00001.png
US-6423830-B1,Process for purifying apolipoprotein A or apolipoprotein E ,"Esperion Therapeutics, Inc.","Stefan Winge, Sara Wiklund",1996-08-23,2000-07-17,2002-07-23,2002-07-23,https://patents.google.com/patent/US6423830B1/en,
WO-0107892-A1,Method and device for measurement of cholesterol efflux ,"Esperion Therapeutics, Inc.",Thomas J. Rea,1999-07-27,2000-07-25,2001-02-01,,https://patents.google.com/patent/WO2001007892A1/en,
CA-2425311-C,Ketone compounds and compositions for cholesterol management and related uses ,"Esperion Therapeutics, Inc., Jean-Louis H. Dasseux, Carmen Daniela Oniciu, Alchem Laboratories Corporation","Jean-Louis H. Dasseux, Carmen Daniela Oniciu",2000-10-11,2001-10-11,2011-06-14,2011-06-14,https://patents.google.com/patent/CA2425311C/en,
AU-2002362612-A1,Prevention and treatment of restenosis by local administration of drug ,"Cedars-Sinai Medical Center, Esperion Therapeutics Inc.",Charles L Bisagaier,2001-09-28,2002-09-27,2003-06-26,,https://patents.google.com/patent/AU2002362612A1/en,
EP-0469017-B1,Expression of human apolipoproteins ai-milano in yeast ,"SIRTORI, Cesare, FRANCESCHINI, Guido","Alessandro Sidoli, Francisco Baralle, Cesare Sirtori, Guido Franceschini",1989-04-20,1990-04-17,1994-06-15,1994-06-15,https://patents.google.com/patent/EP0469017B1/en,https://patentimages.storage.googleapis.com/3b/06/4f/79ce6ec1139a34/imgf0001.png
US-8497301-B2,Hydroxyl compounds and compositions for cholesterol management and related uses ,"Esperion Therapeutics, Inc.","Jean-Louis Henri Dasseux, Carmen Daniela Oniciu",2003-01-23,2012-05-14,2013-07-30,2013-07-30,https://patents.google.com/patent/US8497301B2/en,
US-2004038891-A1,Methods and compositions for the treatment of ischemic reperfusion ,"Bisgaier Charles L., Pape Michael E., Jan Johansson, Guido Franceschini","Charles Bisgaier, Michael Pape, Jan Johansson, Guido Franceschini",2002-05-17,2003-05-16,2004-02-26,,https://patents.google.com/patent/US20040038891A1/en,https://patentimages.storage.googleapis.com/b9/11/86/cf1310efe8e068/US20040038891A1-20040226-D00001.png
US-2004122091-A1,Sulfoxide and bis-sulfoxide compounds and compositions for cholesterol management and related uses ,"Esperion Therapeutics, Inc.","Jean-Louis Dasseux, Carmen Oniciu",2000-10-11,2003-11-07,2004-06-24,,https://patents.google.com/patent/US20040122091A1/en,https://patentimages.storage.googleapis.com/db/23/f8/07aa72ea4a61b1/US20040122091A1-20040624-D00001.png
US-6559284-B1,Process for purifying a protein ,"Esperion Therapeutics, Inc.","Hans Ageland, Lena Nyström, Josefine Persson, Folke Tjerneld",1996-09-11,1997-09-05,2003-05-06,2003-05-06,https://patents.google.com/patent/US6559284B1/en,
US-6953840-B2,Methods of using non-human animal Apolipoprotein A-I protein ,"Esperion Therapeutics, Inc.","Lingyu Zhu, Narendra D. Lalwani, Jean-Louis Dasseux",2002-07-30,2003-07-29,2005-10-11,2005-10-11,https://patents.google.com/patent/US6953840B2/en,
US-2005101565-A1,"Pharmaceutical compositions and methods for treating, preventing, and managing cholesterol, dyslipidemia, and related disorders ","Esperion Therapeutics, Inc.",Jean-Louis Dasseux,2002-07-03,2003-07-02,2005-05-12,,https://patents.google.com/patent/US20050101565A1/en,
AU-2002337770-B2,Methods and apparatus for extrusion of vesicles at high pressure ,"Esperion Therapeutics, Inc.","Knut R. Hill, Wendi Rodrigueza, Gavin A. Sy",2001-09-28,2002-09-27,2007-11-08,2007-11-08,https://patents.google.com/patent/AU2002337770B2/en,
AU-731021-B2,A process for purifying apolipoprotein A or apolipoprotein E from human plasma ,Esperion Therapeutics Inc.,"Sara Wiklund, Stefan Winge",1996-08-23,1997-08-22,2001-03-22,2001-03-22,https://patents.google.com/patent/AU731021B2/en,
US-7304093-B2,Ketone compounds and compositions for cholesterol management and related uses ,"Esperion Therapeutics, Inc.","Jean-Louis Dasseux, Daniela Carmen Oniciu",2000-10-11,2003-12-24,2007-12-04,2007-12-04,https://patents.google.com/patent/US7304093B2/en,
US-2003236212-A1,"Functionalized long chain derivatives as acyl coenzyme-A mimics, compositions thereof, and methods of cholesterol management and related uses ","Jean-Louis Dasseux, Oniciu Carmen Daniela","Jean-Louis Dasseux, Carmen Oniciu",2002-04-10,2003-04-10,2003-12-25,,https://patents.google.com/patent/US20030236212A1/en,https://patentimages.storage.googleapis.com/0e/7c/b2/05713fe9a70c12/US20030236212A1-20031225-D00001.png
US-2005020694-A1,Sulfide and disulfide compounds and compositions for cholesterol management and related uses ,"Dasseux Jean-Louis Henri, Oniciu Daniela Carmen","Jean-Louis Dasseux, Daniela Oniciu",2001-10-11,2003-12-24,2005-01-27,,https://patents.google.com/patent/US20050020694A1/en,https://patentimages.storage.googleapis.com/6d/b9/99/d0fe5ff0d6147d/US20050020694A1-20050127-D00001.png
