search URL:,https://patents.google.com/?assignee=FATE+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2012207744-A1,Reprogramming compositions and methods of using the same ,"Mendlein John D, Farouz Francine S, Thies R Scott, Daniel Shoemaker","John D. Mendlein, Francine S. Farouz, R. Scott Thies, Daniel Shoemaker",2009-03-19,2010-03-19,2012-08-16,,https://patents.google.com/patent/US20120207744A1/en,
US-9732319-B2,Cell culture platform for single cell sorting and enhanced reprogramming of iPSCs ,"Fate Therapeutics, Inc.","Bahram Valamehr, Ramzey Abujarour, Peter Flynn",2010-12-22,2011-12-19,2017-08-15,2017-08-15,https://patents.google.com/patent/US9732319B2/en,https://patentimages.storage.googleapis.com/10/8b/9a/7f5cafe2c5c339/US09732319-20170815-D00001.png
US-2013274215-A1,Pharmaceutical compositions to treat fibrosis ,"Fate Therapeutics, Inc.","R. Scott Thies, Francine S. Farouz, David Jenkins",2010-04-08,2011-04-06,2013-10-17,,https://patents.google.com/patent/US20130274215A1/en,https://patentimages.storage.googleapis.com/81/f6/08/5964e521e52f18/US20130274215A1-20131017-D00001.png
US-9873722-B2,Wnt compositions and therapeutic uses of such compositions ,"Fate Therapeutics, Inc.","Tom Tong Lee, Michael J. Fitch, Kevin Lai, Peter Flynn, Monica Bennett",2011-09-16,2012-09-14,2018-01-23,2018-01-23,https://patents.google.com/patent/US9873722B2/en,https://patentimages.storage.googleapis.com/36/94/19/f3d2625f44af8f/US09873722-20180123-D00001.png
EP-2603227-B1,Improved hematopoietic stem and progenitor cell therapy ,"Fate Therapeutics, Inc.","Daniel Shoemaker, Pratik Multani, Caroline Desponts, David L. Robbins, Paul Grayson, John Mendlein",2010-08-12,2011-08-12,2017-10-04,2017-10-04,https://patents.google.com/patent/EP2603227B1/en,https://patentimages.storage.googleapis.com/66/05/cd/a3f8c2e3398bbb/imgf0001.png
WO-2012024584-A2,Oxysterol compounds ,"Fate Therapeutics, Inc.","Matt Epperson, Francine Farouz, Frank Stappenbeck, Eugene Thorsett, Wei Xiao",2010-08-20,2011-08-19,2012-02-23,,https://patents.google.com/patent/WO2012024584A2/en,
US-10287606-B2,Genomic engineering of pluripotent cells ,"Fate Therapeutics, Inc.","Bahram Valamehr, Ramzey Abujarour, Tom Tong Lee, Weijie Lan, Raedun Clarke, Ryan Bjordahl",2015-11-04,2017-11-20,2019-05-14,2019-05-14,https://patents.google.com/patent/US10287606B2/en,https://patentimages.storage.googleapis.com/63/50/fe/bf9a7200896e68/US10287606-20190514-D00001.png
US-2013189780-A1,Reprogramming compositions ,"Fate Therapeutics, Inc.","Daniel Shoemaker, Peter Flynn",2009-12-31,2010-12-21,2013-07-25,,https://patents.google.com/patent/US20130189780A1/en,
US-2012202288-A1,"Compositions comprising cyclic amp enhancers and/or ep ligands, and methods of preparing and using the same ","Fate Therapeutics, Inc.","John D. Mendlein, Francine S. Farouz, R. Scott Thies, Daniel Shoemaker",2009-03-19,2010-03-18,2012-08-09,,https://patents.google.com/patent/US20120202288A1/en,https://patentimages.storage.googleapis.com/aa/d3/71/60b2e5e697dd22/US20120202288A1-20120809-D00000.png
AU-2012321088-B8,Enhanced stem cell composition ,"Fate Therapeutics, Inc.","Caroline Desponts, John D. Mendlein, David Robbins, Dan Shoemaker",2011-12-02,2012-11-29,2016-12-15,2016-12-15,https://patents.google.com/patent/AU2012321088B8/en,
AU-2012205583-B2,Novel Wnt compositions and therapeutic uses of such compositions ,"Fate Therapeutics, Inc.","Monica Hayhurst Bennett, Michael J. Fitch, Peter Flynn, Tom Tong LEE",2011-01-11,2012-01-11,2016-01-21,2016-01-21,https://patents.google.com/patent/AU2012205583B2/en,
WO-2012024581-A2,Oxysterol compounds ,"Fate Therapeutics, Inc.","Matt Epperson, Francine Farouz, Frank Stappenbeck, Wei Xiao",2010-08-20,2011-08-19,2012-02-23,,https://patents.google.com/patent/WO2012024581A2/en,
US-10111907-B2,Methods of treating ischemia ,"Fate Therapeutics, Inc.","Dan Shoemaker, Pratik S. Multani, John D. Mendlein, David Robbins",2011-12-02,2012-11-29,2018-10-30,2018-10-30,https://patents.google.com/patent/US10111907B2/en,https://patentimages.storage.googleapis.com/77/ac/19/b3f9be22d7da2d/US10111907-20181030-D00001.png
US-2015064139-A1,Cell potency assay for therapeutic potential ,"Fate Therapeutics, Inc.","Daniel Shoemaker, David L. Robbins",2013-03-15,2014-03-11,2015-03-05,,https://patents.google.com/patent/US20150064139A1/en,https://patentimages.storage.googleapis.com/2c/eb/92/275cb5e72ed905/US20150064139A1-20150305-D00001.png
WO-2012024583-A2,Oxysterol compounds ,"Fate Therapeutics, Inc.","Matt Epperson, Francine Farouz, Frank Stappenbeck, Wei Xiao",2010-08-20,2011-08-19,2012-02-23,,https://patents.google.com/patent/WO2012024583A2/en,
WO-2011035018-A2,Suicide ready cells ,"Fate Therapeutics, Inc.","John D. Mendlein, Paul Grayson",2009-09-18,2010-09-16,2011-03-24,,https://patents.google.com/patent/WO2011035018A2/en,
US-8993633-B2,Treatment of muscle disease characterized by insulin resistance ,"Fate Therapeutics, (Canada) Inc., Ottaw Hospital Research Institute","Lynn Megeney, Carol Evans",2009-05-18,2010-05-18,2015-03-31,2015-03-31,https://patents.google.com/patent/US8993633B2/en,https://patentimages.storage.googleapis.com/91/d5/36/b43a68ddb329ac/US08993633-20150331-D00001.png
AU-2014239290-B2,Stem cell culture media and methods of enhancing cell survival ,"Fate Therapeutics, Inc.",Betsy Denise REZNER,2013-03-15,2014-03-14,2018-10-25,2018-10-25,https://patents.google.com/patent/AU2014239290B2/en,
US-2018320137-A1,Methods and compositions for inducing hematopoietic cell differentiation ,"Fate Therapeutics, Inc.","Bahram Valamehr, Raedun Clarke, Ryan Bjordahl",2015-11-04,2016-07-26,2018-11-08,,https://patents.google.com/patent/US20180320137A1/en,https://patentimages.storage.googleapis.com/a4/e9/e3/c38d8fdc11609d/US20180320137A1-20181108-D00001.png
US-9370510-B2,Small molecule compounds to treat hearing loss ,"Fate Therapeutics, Inc.","Robert Scott Thies, Francine Farouz, Zhiyong Wang, Chin-Chun Jean Lu",2012-02-24,2013-02-22,2016-06-21,2016-06-21,https://patents.google.com/patent/US9370510B2/en,https://patentimages.storage.googleapis.com/f0/1a/99/1cf6e4074d0b78/US09370510-20160621-D00001.png
US-2017073643-A1,Improved reprogramming methods and cell culture platforms ,"Fate Therapeutics, Inc.","Bahram Valamehr, Peter Flynn, Ramzey Abujarour, Megan ROBINSON",2014-03-04,2015-03-04,2017-03-16,,https://patents.google.com/patent/US20170073643A1/en,https://patentimages.storage.googleapis.com/ef/bf/77/6bfc2b6ef80373/US20170073643A1-20170316-D00001.png
WO-2009086425-A1,Methods for reprogramming cells to a pluripotent state and therapeutic applications related thereto ,"Fate Therapeutics, Inc.","Alex Rives, Tom St. John, Francine Farouz",2007-12-28,2008-12-23,2009-07-09,,https://patents.google.com/patent/WO2009086425A1/en,
US-2018072992-A1,Methods and compositions for inducing hematopoietic cell differentiation ,"Fate Therapeutics, Inc.","Bahram Valamehr, Raedun Clarke",2015-01-26,2017-11-20,2018-03-15,,https://patents.google.com/patent/US20180072992A1/en,https://patentimages.storage.googleapis.com/f0/1a/e4/b2c61bc7f02113/US20180072992A1-20180315-D00001.png
US-2018112180-A1,Cells with increased immuno-regulatory properties and methods for their use and manufacture ,"Fate Therapeutics, Inc.","David Robbins, Betsy Rezner, Leah Mitchell, Lisa Guerrettaz, Philippe Alessandro Parone, Robert Steven Tacke, Kevin Lai, Bahram Valamehr",2015-01-26,2016-01-26,2018-04-26,,https://patents.google.com/patent/US20180112180A1/en,https://patentimages.storage.googleapis.com/ed/21/3e/449d2c6f05c24a/US20180112180A1-20180426-D00001.png
AU-2017203597-B2,Impoved hematopoietic stem and progenitor cell therapy ,"Fate Therapeutics, Inc.","Caroline Desponts, Paul Grayson, John Mendlein, Pratik Multani, David L. Robbins, Daniel Shoemaker",2010-08-12,2017-05-29,2018-10-18,2018-10-18,https://patents.google.com/patent/AU2017203597B2/en,
US-10023879-B2,Minimal volume reprogramming of mononuclear cells ,"Fate Therapeutics, Inc.","Peter Flynn, Bahram Valamehr",2014-06-04,2015-06-04,2018-07-17,2018-07-17,https://patents.google.com/patent/US10023879B2/en,https://patentimages.storage.googleapis.com/d6/b5/d6/49de656100937b/US10023879-20180717-D00001.png
US-2015126507-A1,Compounds to treat hearing loss ,"Fate Therapeutics, Inc.","Robert Scott Thies, Zhiyong Wang, Bonnie Jacques, Chin-Chun Jean Lu",2013-09-05,2014-09-05,2015-05-07,,https://patents.google.com/patent/US20150126507A1/en,https://patentimages.storage.googleapis.com/5a/6c/73/2dbf4c85c5f536/US20150126507A1-20150507-D00001.png
US-2019119635-A1,Modulation of t lymphocytes ,"Fate Therapeutics, Inc.","David Robbins, Betsy Denise REZNER, Lisa Guerrettaz, Leah Mitchell",2015-05-05,2016-05-04,2019-04-25,,https://patents.google.com/patent/US20190119635A1/en,https://patentimages.storage.googleapis.com/b9/dc/07/c4faef66c01a5c/US20190119635A1-20190425-D00000.png
US-2019125795-A1,Compositions and methods for immune cell modulation in adoptive immunotherapies ,"Fate Therapeutics, Inc.","Jonathan Rosen, Betsy Rezner, Bahram Valamehr, Ryan Bjordahl, Eigen Peralta",2016-01-20,2017-01-20,2019-05-02,,https://patents.google.com/patent/US20190125795A1/en,https://patentimages.storage.googleapis.com/0c/ff/19/73ae3fd2787a39/US20190125795A1-20190502-D00000.png
US-2014171625-A1,Cardiotrophin related molecules for enhanced therapeutics ,"Fate Therapeutics, Inc.","Tom Tong Lee, Kevin Lai, John Mendlein, Peter Flynn",2011-02-01,2012-02-01,2014-06-19,,https://patents.google.com/patent/US20140171625A1/en,https://patentimages.storage.googleapis.com/c6/28/e1/12c96c48f4fbb8/US20140171625A1-20140619-D00001.png
WO-2011031875-A2,Cell-based compositions and uses thereof ,"Fate Therapeutics, Inc.",John D. Mendlein,2009-09-11,2010-09-09,2011-03-17,,https://patents.google.com/patent/WO2011031875A2/en,
EP-3405568-A1,Compositions and methods for immune cell modulation in adoptive immunotherapies ,"Fate Therapeutics, Inc.","Jonathan Rosen, Betsy REZNER, Bahram Valamehr, Ryan BJORDAHL, Eigen Peralta, Ian Hardy",2016-01-20,2017-01-20,2018-11-28,,https://patents.google.com/patent/EP3405568A1/en,
WO-2018106595-A1,Compositions and methods for immune cell modulation in adoptive immunotherapies ,"Fate Therapeutics, Inc.","Jonathan Rosen, Betsy Denise REZNER, Ian Hardy, Eigen Peralta",2016-12-05,2017-12-04,2018-06-14,,https://patents.google.com/patent/WO2018106595A1/en,
WO-2019075057-A1,Cellular reprogramming using temporal and transient plasmid vector expression system ,"Fate Therapeutics, Inc.","Bahram Valamehr, Megan ROBINSON",2017-10-11,2018-10-10,2019-04-18,,https://patents.google.com/patent/WO2019075057A1/en,
KR-20180055918-A,Platform for the induction and maintenance Castle pluripotent ground state ,"페이트 세러퓨틱스, 인코포레이티드","바흐람 발라메르, 메건 로빈슨, 람지 아부자라우",2015-10-16,2016-10-14,2018-05-25,,https://patents.google.com/patent/KR20180055918A/en,https://patentimages.storage.googleapis.com/14/fd/f4/59327cbb16ad5b/pct00011.png
WO-2018231951-A1,Compositions and methods for inducing myeloid suppressive cells and use thereof ,"Fate Therapeutics, Inc.","Philippe A. PARONE, Robert S. TACKE, Bahram Valamehr, Daniel Shoemaker, Martin HOSKING, Lisa GUERRETTAZ",2017-06-13,2018-06-13,2018-12-20,,https://patents.google.com/patent/WO2018231951A1/en,
WO-2019018603-A2,Compositions and methods for immune cell modulation in adoptive immunotherapies ,"Fate Therapeutics, Inc., Juno Therapeutics, Inc.","Jonathan Rosen, Eigen Peralta, Ian Hardy, Betsy D. REZNER, Christian MAINE, Daniel Shoemaker, David Robbins, Lucas THOMPSON",2017-07-19,2018-07-19,2019-01-24,,https://patents.google.com/patent/WO2019018603A2/en,
EP-2569412-A2,Biovessels ,"Fate Therapeutics, Inc.","Pratik Multani, Paul Grayson, Daniel Shoemaker",2010-05-10,2011-05-09,2013-03-20,,https://patents.google.com/patent/EP2569412A2/en,
