search URL:,https://patents.google.com/?assignee=FIVE+PRIME+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8747845-B2,Methods of treatment by administering antibodies that bind colony stimulating factor 1 receptor (CSF1R) ,"Five Prime Therapeutics, Inc.","Justin Wong, Maximiliano Vasquez",2010-05-04,2012-05-04,2014-06-10,2014-06-10,https://patents.google.com/patent/US8747845B2/en,https://patentimages.storage.googleapis.com/7f/f5/4f/77703ada43cf64/US08747845-20140610-D00001.png
US-8501191-B2,FGFR2-IIIb fusion proteins and methods of making them ,"Five Prime Therapeutics, Inc.","Elizabeth Bosch, Diane Hollenbaugh, Ernestine Lee, Minmin Qin, Ali Sadra",2005-07-22,2012-04-03,2013-08-06,2013-08-06,https://patents.google.com/patent/US8501191B2/en,https://patentimages.storage.googleapis.com/2d/7e/29/1c1d4d1e73420d/US08501191-20130806-D00001.png
US-10221243-B2,Methods of treating conditions with antibodies that bind colony stimulating factor 1 receptor (CSF1R) ,"Five Prime Therapeutics, Inc.","Brian Wong, Emma Masteller, Kris Reedquist",2012-08-31,2016-05-13,2019-03-05,2019-03-05,https://patents.google.com/patent/US10221243B2/en,https://patentimages.storage.googleapis.com/53/74/dc/8c111b05526bb5/US10221243-20190305-D00001.png
AU-2012374617-B2,Methods of treating conditions with antibodies that bind colony stimulating factor 1 receptor (CSF1R) ,"Five Prime Therapeutics, Inc.","Haishan Lin, Emma Masteller, Brian Wong, Justin Wong",2012-05-11,2012-05-11,2015-09-17,2015-09-17,https://patents.google.com/patent/AU2012374617B2/en,
EP-1841874-B1,Leader sequences for directing secretion of polypeptides and methods for production thereof ,"Five Prime Therapeutics, Inc.","Robert Forgan Halenbeck, Elizabeth Bosch, Thomas Linnemann, Ernestine Lee",2005-01-27,2006-01-27,2010-01-06,2010-01-06,https://patents.google.com/patent/EP1841874B1/en,https://patentimages.storage.googleapis.com/91/d5/4d/23a0ce172aef4f/imgf0001.png
US-2007248605-A1,"Fibroblast Growth Factor Receptors 1,2,3, and 4 as Targets for Therapeutic Intervention ","Five Prime Therapetutics, Inc.","Kevin Hestir, Kristen Pierce, Lewis Williams, Lorianne Masuoka, Justin Wong, Keting Chu",2003-12-19,2004-12-17,2007-10-25,,https://patents.google.com/patent/US20070248605A1/en,https://patentimages.storage.googleapis.com/85/83/7e/a0c1c271912b59/US20070248605A1-20071025-D00001.png
US-8338569-B2,FGFR extracellular domain acidic region muteins ,"Five Prime Therapeutics, Inc.","Shannon Marshall, Deborah H. Charych, Ali Sadra",2008-08-04,2009-08-04,2012-12-25,2012-12-25,https://patents.google.com/patent/US8338569B2/en,https://patentimages.storage.googleapis.com/e3/f3/8d/60c8c25757f739/US08338569-20121225-D00001.png
WO-2004020595-A2,Novel human polypeptides encoded by polynucleotides ,"Five Prime Therapeutics, Inc., Riken The Institute Of Physical And Chemical Research, Kabushiki Kaisha Dnaform","Lewis T. Williams, Keting Chu, Ernestine Lee, Kevin Hestir",2002-08-29,2003-08-28,2004-03-11,,https://patents.google.com/patent/WO2004020595A2/en,
EP-1890721-B1,Compositions and methods for treating cardiac conditions ,"Five Prime Therapeutics, Inc.","Lewis T. Williams, Hongbing Zhang, Yan Wang, Loriane Masuoka, Stephen Doberstein",2005-01-25,2006-01-25,2010-09-22,2010-09-22,https://patents.google.com/patent/EP1890721B1/en,https://patentimages.storage.googleapis.com/4f/0f/45/3459601c87a4ba/imgf0001.png
WO-2004035732-A2,Human polypeptides encoded by polynucleotides and methods of their use ,"Five Prime Therapeutics, Inc.","Lewis T. Williams, Keting Chu, Ernestine Lee, Kevin Hestir, Pierre Alvaro Beaurang, Dirk Behrens, Robert Forgan Halenbeck, Min Mei Huang, Srinivas Kothakota, Lin Haishan, Thomas Linnemann, Kristen Pierce, Yan Wang, Justin G. P. Wong, Ge Wu, Hongbing Zhang",2002-08-29,2003-08-28,2004-04-29,,https://patents.google.com/patent/WO2004035732A2/en,
CA-2574654-C,Compositions and methods of use for mgd-csf in disease treatment ,"Five Prime Therapeutics, Inc., Dirk Behrens, Elizabeth Bosch, Stephen K. Doberstein, Robert Forgan Halenbeck, Kevin Hestir, Min Mei Huang, Ernestine Lee, Haishan Lin, Thomas Linnemann, Shannon Marshall, Justin G. P. Wong, Ge Wu, Aileen Zhou, Lewis T. Williams, Cindy Leo","Dirk Behrens, Elizabeth Bosch, Stephen K. Doberstein, Robert Forgan Halenbeck, Kevin Hestir, Min Mei Huang, Ernestine Lee, Haishan Lin, Thomas Linnemann, Shannon Marshall, Justin G. P. Wong, Ge Wu, Aileen Zhou, Lewis T. Williams, Cindy Leo",2004-07-22,2005-07-21,2014-02-18,2014-02-18,https://patents.google.com/patent/CA2574654C/en,
US-2008254033-A1,"Pharmaceutical Compositions Containing Antagonists to Lrp4, Lrp8 or Megalin for Treatment of Diseases ","Kristen Pierce, Collins Amy L Tsui, Hongbing Zhang, Lewis Thomas Williams, Pierre Alvaro Beaurang","Kristen Pierce, Amy L.Tsui Collins, Hongbing Zhang, Lewis Thomas Williams, Pierre Alvaro Beaurang",2004-01-21,2005-01-21,2008-10-16,,https://patents.google.com/patent/US20080254033A1/en,
US-2012128672-A1,Treatment of cancer with elevated dosages of soluble fgfr1 fusion proteins ,"Five Prime Therapeutics, Inc.",Harold Keer,2010-11-15,2011-11-14,2012-05-24,,https://patents.google.com/patent/US20120128672A1/en,https://patentimages.storage.googleapis.com/24/f6/23/3e16a88e36d64e/US20120128672A1-20120524-D00001.png
WO-2004093804-A2,Human polypeptides encoded by polynucleotides and methods of their use ,"Five Prime Therapeutics, Inc.","Ernestine Lee, Kevin Hestir, Keting Chu, Lorianne Masuoka, Lewis Thomas Williams",2003-04-18,2004-04-19,2004-11-04,,https://patents.google.com/patent/WO2004093804A2/en,
US-8614183-B2,Use of FGFR1 extra cellular domain proteins to treat cancers characterized by ligand-dependent activating mutations in FGFR2 ,"Five Prime Therapeutics, Inc.","Thomas Harding, W. Michael Kavanaugh",2009-11-13,2010-11-12,2013-12-24,2013-12-24,https://patents.google.com/patent/US8614183B2/en,https://patentimages.storage.googleapis.com/bc/7e/81/73d1d4a23d0e80/US08614183-20131224-D00001.png
EP-2585098-B1,Fzd8 extracellular domains and fzd8 extracellular domain fusion molecules for use in treating obesity and obesity-related disorders ,"Five Prime Therapeutics, Inc.","Thomas Brennan, Ernestine Lee, Steven Smith",2010-06-28,2011-06-27,2014-08-27,2014-08-27,https://patents.google.com/patent/EP2585098B1/en,https://patentimages.storage.googleapis.com/4a/c4/f9/5c06c343eab255/imgf0001.png
US-8080246-B2,Colony stimulating factor 1 receptor (CSF1R) extracellular domain fusion molecules ,"Five Prime Therapeutics, Inc.","Haishan Lin, Li Long",2008-11-26,2009-11-25,2011-12-20,2011-12-20,https://patents.google.com/patent/US8080246B2/en,https://patentimages.storage.googleapis.com/59/f2/ee/8562b0e8a4f579/US08080246-20111220-D00001.png
US-2007054851-A1,Methods of and compositions for stimulation of glucose uptake into muscle cells and treatment of diseases ,"Junyu Lin, Srinivas Kothakota, Ge Wu, Stephen Doberstein, Thomas Brennan, Lorianne Masuoka, Minmin Qin, Shannon Marshall, Yan Wang, Diane Hollenbaugh, Williams Lewis T","Junyu Lin, Srinivas Kothakota, Ge Wu, Stephen Doberstein, Thomas Brennan, Lorianne Masuoka, Minmin Qin, Shannon Marshall, Yan Wang, Diane Hollenbaugh, Lewis Williams",2005-05-27,2006-05-30,2007-03-08,,https://patents.google.com/patent/US20070054851A1/en,https://patentimages.storage.googleapis.com/6b/25/4b/c0b35fe0588465/US20070054851A1-20070308-D00001.png
WO-2006076288-A2,Dna constructs for long-term expression of intravascularly injected naked dna ,"Five Prime Therapeutics, Inc.","Lewis T. Williams, Hongbing Zhang, Stephen Doberstein, Ernestine Lee",2005-01-11,2006-01-10,2006-07-20,,https://patents.google.com/patent/WO2006076288A2/en,
