search URL:,https://patents.google.com/?assignee=GALECTIN+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6642205-B2,Methods and compositions for reducing side effects in chemotherapeutic treatments ,"Pro-Pharmaceuticals, Inc.","Anatole Klyosov, David Platt",2000-09-25,2001-09-24,2003-11-04,2003-11-04,https://patents.google.com/patent/US6642205B2/en,https://patentimages.storage.googleapis.com/4e/78/ac/dd00d184d87567/US06642205-20031104-D00000.png
US-8236780-B2,Galactose—pronged polysaccharides in a formulation for antifibrotic therapies ,Galectin Therapeutics,"David Platt, Eliezer Zomer, Anatole Klyosov",2006-05-16,2007-11-13,2012-08-07,2012-08-07,https://patents.google.com/patent/US8236780B2/en,https://patentimages.storage.googleapis.com/33/75/9f/b53b46d5409577/US08236780-20120807-D00001.png
US-8658787-B2,Galacto-rhamnogalacturonate compositions for the treatment of non-alcoholic steatohepatitis and non-alcoholic fatty liver disease ,Galectin Therapeutics Inc.,"Peter G. Traber, Eliezer Zomer, Anatole A. Klyosov",2011-09-16,2012-09-14,2014-02-25,2014-02-25,https://patents.google.com/patent/US8658787B2/en,https://patentimages.storage.googleapis.com/0c/4a/c7/9b8d780dba451f/US08658787-20140225-D00001.png
US-7012068-B2,Co-administration of a polysaccharide with a chemotherapeutic agent for the treatment of cancer ,"Pro-Pharmaceuticals, Inc.","Anatole Klyosov, David Platt",2001-03-27,2002-03-27,2006-03-14,2006-03-14,https://patents.google.com/patent/US7012068B2/en,
US-2011077217-A1,Selectively depolymerized galactomannan polysaccharide ,"Pro-Pharmaceuticals, Inc.","David Platt, Anatole Klyosov",2003-09-08,2010-12-07,2011-03-31,,https://patents.google.com/patent/US20110077217A1/en,https://patentimages.storage.googleapis.com/96/61/c6/fd961c6e57941e/US20110077217A1-20110331-D00000.png
US-2014099319-A1,Galactose-pronged carbohydrate compounds for the treatment of diabetic nephropathy and associated disorders ,"Galectin Therapeutics, Inc.",Peter G. Traber,2012-10-10,2013-10-10,2014-04-10,,https://patents.google.com/patent/US20140099319A1/en,https://patentimages.storage.googleapis.com/cf/c9/5e/d98456f979d28e/US20140099319A1-20140410-D00001.png
JP-6415437-B2,Method of improving the specific immunotherapy in the treatment of cancer ,"ガレクティン・セラピューティクス・インコーポレイテッドＧａｌｅｃｔｉｎ Ｔｈｅｒａｐｅｕｔｉｃｓ， Ｉｎｃ．, ガレクティン・セラピューティクス・インコーポレイテッドＧａｌｅｃｔｉｎ  Ｔｈｅｒａｐｅｕｔｉｃｓ，  Ｉｎｃ．, プロビデンス・ヘルス・アンド・サービシーズ・オレゴン・ディ／ビー／エイ・アール・エイ・チャイルズ・リサーチ・インスティテュート・オブ・ザ・ロバート・ダブリュー・フランツ・キャンサー・リサーチ・センター・アット・プロビデンス・ポートランド・メディカル・センターＰｒｏｖｉｄｅｎｃｅ Ｈｅａｌｔｈ ＆ Ｓｅｒｖｉｃｅｓ Ｏｒｅｇｏｎ ｄ／ｂ／ａ Ｅａｒｌｅ Ａ． Ｃｈｉｌｅｓ Ｒｅｓｅａｒｃｈ Ｉｎｓｔｉｔｕｔｅ ｏｆ ｔｈｅ Ｒｏｂｅｒｔ Ｗ． Ｆｒａｎｚ Ｃａｎｃｅｒ Ｒｅｓｅａｒｃｈ Ｃｅｎｔｅｒ ａｔ Ｐｒｏｖｉｄｅｎｃｅ Ｐｏｒｔｌａｎｄ Ｍｅｄｉｃａｌ Ｃｅｎｔｅｒ, プロビデンス・ヘルス・アンド・サービシーズ・オレゴン・ディ／ビー／エイ・アール・エイ・チャイルズ・リサーチ・インスティテュート・オブ・ザ・ロバート・ダブリュー・フランツ・キャンサー・リサーチ・センター・アット・プロビデンス・ポートランド・メディカル・センターＰｒｏｖｉｄｅｎｃｅ  Ｈｅａｌｔｈ  ＆  Ｓｅｒｖｉｃｅｓ    Ｏｒｅｇｏｎ  ｄ／ｂ／ａ  Ｅａｒｌｅ  Ａ．  Ｃｈｉｌｅｓ  Ｒｅｓｅａｒｃｈ  Ｉｎｓｔｉｔｕｔｅ  ｏｆ  ｔｈｅ  Ｒｏｂｅｒｔ  Ｗ．  Ｆｒａｎｚ  Ｃａｎｃｅｒ  Ｒｅｓｅａｒｃｈ  Ｃｅｎｔｅｒ  ａｔ  Ｐｒｏｖｉｄｅｎｃｅ  Ｐｏｒｔｌａｎｄ  Ｍ","ピーター・ジー・トレーバー, ウィリアム・エル・レドモンド, エリーザー・ゾマー, アナトール・クリョソフ, ステファニー・エヌ・リンチ",2012-09-17,2013-09-17,2018-10-31,2018-10-31,https://patents.google.com/patent/JP6415437B2/en,https://patentimages.storage.googleapis.com/b5/73/d4/9cb83e4a8cdb07/0006415437-2.png
US-6645946-B1,Delivery of a therapeutic agent in a formulation for reduced toxicity ,"Pro-Pharmaceuticals, Inc.","Anatole Klyosov, David Platt",2001-03-27,2001-03-27,2003-11-11,2003-11-11,https://patents.google.com/patent/US6645946B1/en,
US-7491708-B1,Modified pectin ,David Platt,David Platt,1993-03-01,1993-03-01,2009-02-17,2009-02-17,https://patents.google.com/patent/US7491708B1/en,https://patentimages.storage.googleapis.com/72/82/49/9f0c2d0fd72b77/US7491708-drawings-page-2.png
AU-2016222423-B2,Composition of novel carbohydrate drug for treatment of human diseases ,"Galectin Therapeutics, Inc.","Elena CHEKHOVA, Anatole A. Klyosov, Peter G. Traber, Eliezer Zomer",2011-12-28,2016-09-01,2018-02-22,2018-02-22,https://patents.google.com/patent/AU2016222423B2/en,
