search URL:,https://patents.google.com/?assignee=GENOCEA+BIOSCIENCES+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9895436-B2,Vaccines against herpes simplex virus type 2: compositions and methods for eliciting an immune response ,"Genocea Biosciences, Inc.","Deborah Long, Jessica Flechtner, Mojca Skoberne, George R. Siber",2009-05-22,2013-11-12,2018-02-20,2018-02-20,https://patents.google.com/patent/US9895436B2/en,https://patentimages.storage.googleapis.com/98/23/61/fe1911b2dc038b/US09895436-20180220-D00001.png
AU-2010273708-B2,Vaccines and compositions against Streptococcus pneumoniae ,"Children's Medical Center Corporation, Genocea Biosciences, Inc.","Todd Gierahn, Richard Malley",2009-06-29,2010-06-29,2015-10-01,2015-10-01,https://patents.google.com/patent/AU2010273708B2/en,
US-9873870-B2,Antigen screening system ,"Genocea Biosciences, Inc.","Jessica Flechtner, Todd Gierahn",2008-07-01,2015-04-30,2018-01-23,2018-01-23,https://patents.google.com/patent/US9873870B2/en,https://patentimages.storage.googleapis.com/6a/bc/cd/48393e5aae2d50/US09873870-20180123-D00001.png
US-2011293664-A1,Chlamydia antigens and uses thereof ,"Genocea Biosciences, Inc.","Kenya Cohane, Michele Picard, Todd Gierahn, Jessica Flechtner",2008-12-17,2009-12-17,2011-12-01,,https://patents.google.com/patent/US20110293664A1/en,https://patentimages.storage.googleapis.com/aa/c9/8e/f309c3f2c23f1d/US20110293664A1-20111201-D00001.png
US-9393294-B2,Vaccines and compositions against Streptococcus pneumoniae ,"Genocea Biosciences, Inc., Children's Medical Center Corporation","Todd Gierahn, Richard Malley",2011-01-20,2012-01-20,2016-07-19,2016-07-19,https://patents.google.com/patent/US9393294B2/en,https://patentimages.storage.googleapis.com/81/8e/0e/0e3781df93907f/US09393294-20160719-D00001.png
US-9782474-B2,Vaccines against herpes simplex virus type 2: compositions and methods for eliciting an immune response ,"Genocea Biosciences, Inc.","Deborah Long, Jessica Flechtner, Mojca Skoberne",2010-11-24,2011-11-23,2017-10-10,2017-10-10,https://patents.google.com/patent/US9782474B2/en,https://patentimages.storage.googleapis.com/0b/f0/87/f65db0c7ffa514/US09782474-20171010-D00001.png
AU-2012340712-B2,Nucleic acid vaccines against Herpes Simplex Virus type 2: compositions and methods for eliciting an immune response ,"Genocea Biosciences, Inc.","Jessica Flechtner, Deborah Long, Mojca Skoberne",2011-11-23,2012-11-21,2017-09-14,2017-09-14,https://patents.google.com/patent/AU2012340712B2/en,
US-2012135025-A1,Chlamydia antigens and uses thereof ,"Genocea Biosciences, Inc.","Jessica Baker Flechtner, Kenya Prince Cohane, Todd Gierahn, Alexander Yao-Hsien Lee, George Rainer Siber",2010-10-20,2011-10-20,2012-05-31,,https://patents.google.com/patent/US20120135025A1/en,https://patentimages.storage.googleapis.com/8a/c5/07/a8b9b1e5f05f96/US20120135025A1-20120531-D00001.png
AU-2013209513-B2,Fused antigen vaccines and compositions against Streptococcus pneumoniae ,"Children's Medical Center Corporation, Genocea Biosciences, Inc.","Jessica Flechtner, Richard Malley",2012-01-20,2013-01-18,2017-10-05,2017-10-05,https://patents.google.com/patent/AU2013209513B2/en,
US-2018133310-A1,Methods and compositions for treating herpes ,"Genocea Biosciences, Inc.",Seth Vollmer Hetherington,2016-09-28,2017-09-27,2018-05-17,,https://patents.google.com/patent/US20180133310A1/en,https://patentimages.storage.googleapis.com/70/be/89/61877377de4085/US20180133310A1-20180517-D00001.png
US-2019072543-A1,Treatment methods ,"Genocea Biosciences, Inc.","Jessica Baker Flechtner, Marie Lossky-Elias, Pamela M. Carroll, Hubert Lam, Lisa K. McNeil, Wendy Jane Broom",2017-03-20,2018-03-20,2019-03-07,,https://patents.google.com/patent/US20190072543A1/en,https://patentimages.storage.googleapis.com/8a/84/fc/038e341fb9ae39/US20190072543A1-20190307-D00000.png
WO-2013134656-A1,Induction of th17 immune response ,"Genocea Biosciences, Inc., Children's Medical Center Corporation","Todd Gierahn, Richard Malley",2012-03-09,2013-03-08,2013-09-12,,https://patents.google.com/patent/WO2013134656A1/en,
WO-2014018904-A1,Fused antigen vaccines and compositions against streptococcus pneumoniae ,"Genocea Biosciences, Inc., Path Vaccine Solutions, The Uab Research Foundation","Jean-Francois Lucien Maisonneuve, David E. Briles, Jon Scott Munzer",2012-07-26,2013-07-26,2014-01-30,,https://patents.google.com/patent/WO2014018904A1/en,
