search URL:,https://patents.google.com/?assignee=GI+DYNAMICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2595347-C,Resistive anti-obesity devices ,"Gi Dynamics, Inc., Andy H. Levine, Stuart A. Randle, Ronald B. Lamport, David A. Melanson","Andy H. Levine, Stuart A. Randle, Ronald B. Lamport, David A. Melanson",2005-01-19,2006-01-18,2016-05-17,2016-05-17,https://patents.google.com/patent/CA2595347C/en,
AU-2004305450-B2,Intestinal sleeve ,"Gi Dynamics, Inc.","John F. Cvinar, Andy H. Levine, John C. Meade, David A. Melanson",2003-12-09,2004-06-01,2009-01-08,2009-01-08,https://patents.google.com/patent/AU2004305450B2/en,
JP-5502815-B2,Method and apparatus for placing gastrointestinal sleeve ,ジーアイ・ダイナミックス・インコーポレーテッドＧｉ  Ｄｙｎａｍｉｃｓ，Ｉｎｃ．,"レヴィン・アンディ・エイチ, メランソン・デイビッド・エー, ランポート・ロナルド・ビー",2004-07-09,2011-08-18,2014-05-28,2014-05-28,https://patents.google.com/patent/JP5502815B2/en,https://patentimages.storage.googleapis.com/9c/82/61/a99a182eeec1ff/0005502815-2.png
AU-2005287010-B2,Gastrointestinal anchor ,"Gi Dynamics, Inc.","Andy H. Levine, John C. Meade, David A. Melanson",2004-09-17,2005-09-16,2010-04-15,2010-04-15,https://patents.google.com/patent/AU2005287010B2/en,
JP-5065427-B2,Obesity therapeutic sleeve ,ジーアイ・ダイナミックス・インコーポレーテッドＧｉ  Ｄｙｎａｍｉｃｓ，Ｉｎｃ．,"シビナー・ジョン・エフ, メード・ジョン・シー, メランソン・デイブ, レヴィン・アンディ・エイチ",2002-12-02,2010-02-18,2012-10-31,2012-10-31,https://patents.google.com/patent/JP5065427B2/en,https://patentimages.storage.googleapis.com/2c/49/59/c474e6e9fae6af/0005065427-2.png
US-8096966-B2,Eversion resistant sleeves ,"Gi Dynamics, Inc.","Andy H. Levine, David A. Melanson, Ian Parker",2005-01-19,2010-06-21,2012-01-17,2012-01-17,https://patents.google.com/patent/US8096966B2/en,https://patentimages.storage.googleapis.com/c4/76/96/7d68f04bfd55f4/US08096966-20120117-D00000.png
US-7678068-B2,Atraumatic delivery devices ,"Gi Dynamics, Inc.","Andy H. Levine, John F. Cvinar, David A. Melanson, John C. Meade",2002-12-02,2005-12-13,2010-03-16,2010-03-16,https://patents.google.com/patent/US7678068B2/en,https://patentimages.storage.googleapis.com/US7678068B2/US07678068-20100316-D00000.png
US-7819836-B2,Resistive anti-obesity devices ,"Gi Dynamics, Inc.","Andy H. Levine, Ronald B. Lamport, David A. Melanson, Stuart A. Randle, Ezra S. Fishman",2006-06-23,2007-07-12,2010-10-26,2010-10-26,https://patents.google.com/patent/US7819836B2/en,https://patentimages.storage.googleapis.com/3f/8a/6b/6e2bca8f26c1a1/US07819836-20101026-D00000.png
US-8425451-B2,Gastrointestinal anchor compliance ,"Gi Dynamics, Inc.","Andy H. Levine, David A. Melanson",2005-06-08,2011-06-02,2013-04-23,2013-04-23,https://patents.google.com/patent/US8425451B2/en,https://patentimages.storage.googleapis.com/45/5a/2f/976b2f56fd7df2/US08425451-20130423-D00000.png
EP-1610719-B1,Sleeve for delayed introduction of enzymes into the intestine ,"GI Dynamics, Inc.","Andy H. Levine, John C. Meade",2003-03-28,2004-03-26,2010-01-13,2010-01-13,https://patents.google.com/patent/EP1610719B1/en,https://patentimages.storage.googleapis.com/5c/87/5d/a106f30579a564/imgf0001.png
US-7695446-B2,Methods of treatment using a bariatric sleeve ,"Gi Dynamics, Inc.","Andy H. Levine, John F. Cvinar, David A. Melanson, John C. Meade",2002-12-02,2005-12-13,2010-04-13,2010-04-13,https://patents.google.com/patent/US7695446B2/en,https://patentimages.storage.googleapis.com/US7695446B2/US07695446-20100413-D00000.png
US-9155609-B2,Bariatric sleeve ,"Gi Dynamics, Inc.","Andy H. Levine, John F. Cvinar, David A. Melanson, John C. Meade",2002-12-02,2012-02-21,2015-10-13,2015-10-13,https://patents.google.com/patent/US9155609B2/en,https://patentimages.storage.googleapis.com/93/4a/85/a95d74d81d0da6/US09155609-20151013-D00000.png
US-7347875-B2,Methods of treatment using a bariatric sleeve ,"Gi Dynamics, Inc.","Andy H. Levine, John Cvinar",2002-12-02,2004-11-30,2008-03-25,2008-03-25,https://patents.google.com/patent/US7347875B2/en,https://patentimages.storage.googleapis.com/US7347875B2/US07347875-20080325-D00000.png
EP-1610720-B1,Anti-obesity devices ,"GI Dynamics, Inc.","Andy H. Levine, John F. Cvinar, John C. Meade",2003-03-28,2004-03-26,2009-02-18,2009-02-18,https://patents.google.com/patent/EP1610720B1/en,https://patentimages.storage.googleapis.com/c0/e6/a3/1b3d8d2e7d4b09/imgf0001.png
