search URL:,https://patents.google.com/?assignee=GLOBAL+BLOOD+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-6242810-B2,Methods for their use in increasing the substituted benzaldehyde compound and tissue oxygenation ,"グローバル・ブラッド・セラピューティクス・インコーポレイテッドＧｌｏｂａｌ Ｂｌｏｏｄ Ｔｈｅｒａｐｅｕｔｉｃｓ，Ｉｎｃ．, グローバル・ブラッド・セラピューティクス・インコーポレイテッドＧｌｏｂａｌ  Ｂｌｏｏｄ  Ｔｈｅｒａｐｅｕｔｉｃｓ，Ｉｎｃ．, ザ リージェンツ オブ ザ ユニバーシティ オブ カリフォルニア, ザ  リージェンツ  オブ  ザ  ユニバーシティ  オブ  カリフォルニア","ブライアン・メトカルフ, チーユアン・チュアン, ジェフリー・ウォリントン, マシュー・ピー・ジェイコブソン",2011-12-28,2012-12-28,2017-12-06,2017-12-06,https://patents.google.com/patent/JP6242810B2/en,
US-9012450-B2,Substituted heteroaryl aldehyde compounds and methods for their use in increasing tissue oxygenation ,"Global Blood Therapeutics, Inc., Cytokinetics, Inc., The Regents Of The University Of California","Brian Metcalf, Chihyuan Chuang, Jeffrey Warrington, Kumar Paulvannan, Matthew P. Jacobson, Lan Hua, Bradley Morgan",2011-12-28,2012-12-28,2015-04-21,2015-04-21,https://patents.google.com/patent/US9012450B2/en,
AU-2014237348-B2,Compounds and uses thereof for the modulation of hemoglobin ,"Global Blood Therapeutics, Inc.","Stephen L. Gwaltney Ii, Jason R. Harris, Zhe Li, Brian W. Metcalf, Qing Xu, Calvin W. YEE",2013-03-15,2014-03-10,2018-08-09,2018-08-09,https://patents.google.com/patent/AU2014237348B2/en,
US-10017491-B2,Compounds and uses thereof for the modulation of hemoglobin ,"Global Blood Therapeutics, Inc.","Brian W. Metcalf, Chihyuan Chuang",2013-03-15,2017-02-28,2018-07-10,2018-07-10,https://patents.google.com/patent/US10017491B2/en,
EP-2968299-A1,Compounds and uses thereof for the modulation of hemoglobin ,"Global Blood Therapeutics, Inc.","Zhe Li, Qing Xu, Brian W. Metcalf, Ii Stephen L. Gwaltney, Jason R. Harris, Calvin W. YEE",2013-03-15,2014-03-10,2016-01-20,,https://patents.google.com/patent/EP2968299A1/en,
US-9957250-B2,Compounds and uses thereof for the modulation of hemoglobin ,"Global Blood Therapeutics, Inc.","Brian W. Metcalf, Jason R. Harris, Zhe Li, II Stephen L. Gwaltney",2013-03-15,2015-12-28,2018-05-01,2018-05-01,https://patents.google.com/patent/US9957250B2/en,
US-2016038474-A1,Compositions and methods for the modulation of hemoglobin (s) ,"Global Blood Therapeutics, Inc.","Uma Sinha, Brian W. Metcalf, Donna Oksenberg, Kobina N. DUFU, Mira P. PATEL",2013-03-15,2014-03-10,2016-02-11,,https://patents.google.com/patent/US20160038474A1/en,https://patentimages.storage.googleapis.com/27/ce/6b/c8c80271a5f6b7/US20160038474A1-20160211-D00001.png
US-9447071-B2,Crystalline polymorphs of the free base of 2-hydroxy-6-((2-(1-isopropyl-1H-pyrazol-5-yl)pyridin-3-yl)methoxy)benzaldehyde ,"Global Blood Therapeutics, Inc.","Zhe Li, Stephan D. PARENT, Travis HOUSTON",2014-02-07,2015-02-06,2016-09-20,2016-09-20,https://patents.google.com/patent/US9447071B2/en,https://patentimages.storage.googleapis.com/88/8b/f8/f51f6219f24794/US09447071-20160920-D00001.png
US-2019010176-A1,Compounds and uses thereof for the modulation of hemoglobin ,"Global Blood Therapeutics, Inc.",Jason R. Harris,2013-08-26,2018-02-06,2019-01-10,,https://patents.google.com/patent/US20190010176A1/en,https://patentimages.storage.googleapis.com/9a/96/77/376dd4dfeed203/US20190010176A1-20190110-D00001.png
US-9776960-B2,Compounds and uses thereof for the modulation of hemoglobin ,"Global Blood Therapeutics, Inc.","Qing Xu, Zhe Li",2013-03-15,2015-08-26,2017-10-03,2017-10-03,https://patents.google.com/patent/US9776960B2/en,
US-10100040-B2,Compounds and uses thereof for the modulation of hemoglobin ,"Global Blood Therapeutics, Inc.","Zhe Li, Qing Xu, Brian W. Metcalf, II Stephen L. Gwaltney, Jason R. Harris, Calvin W. YEE",2013-03-15,2014-03-10,2018-10-16,2018-10-16,https://patents.google.com/patent/US10100040B2/en,
US-10266551-B2,Compounds and uses thereof for the modulation of hemoglobin ,"Global Blood Therapeutics, Inc.","Zhe Li, Qing Xu, Brian W. Metcalf, II Stephen L. Gwaltney, Jason R. Harris, Calvin W. YEE",2013-03-15,2014-03-10,2019-04-23,2019-04-23,https://patents.google.com/patent/US10266551B2/en,
EP-2968295-A1,Compositions and methods for the modulation of hemoglobin (s) ,"Global Blood Therapeutics, Inc.","Uma Sinha, Brian W. Metcalf, Donna Oksenberg, Kobina N. DUFU, Mira P. PATEL",2013-03-15,2014-03-10,2016-01-20,,https://patents.google.com/patent/EP2968295A1/en,
US-2017157101-A1,Dosing regimens for 2-hydroxy-6-((2-(1-isopropyl-1h-pyrazol-5-yl)pyridin-3-yl)methoxy)benzaldehyde ,"Global Blood Therapeutics, Inc.","Eleanor L. Ramos, Joshua Eli Lehrer-Graiwer, Athiwat Hutchaleelaha",2015-12-04,2016-12-02,2017-06-08,,https://patents.google.com/patent/US20170157101A1/en,https://patentimages.storage.googleapis.com/13/3b/02/3d9a083d6f5fb3/US20170157101A1-20170608-D00001.png
US-9802900-B2,Bicyclic heteroaryl compounds and uses thereof for the modulation of hemoglobin ,"Global Blood Therapeutics, Inc.","Zhe Li, II Stephen L. Gwaltney, Jason R. Harris",2013-03-15,2014-03-12,2017-10-31,2017-10-31,https://patents.google.com/patent/US9802900B2/en,
AU-2014237340-C1,Compounds and uses thereof for the modulation of hemoglobin ,"Global Blood Therapeutics, Inc.","Stephen L. Gwaltney Ii, Zhe Li, Qing Xu",2013-03-15,2014-03-10,2018-11-08,2018-11-08,https://patents.google.com/patent/AU2014237340C1/en,
EP-2970184-B1,Compounds and uses thereof for the modulation of hemoglobin ,"Global Blood Therapeutics, Inc.","Jason R. Harris, Brian W. Metcalf, Zhe Li, Stephen L. Gwaltney Ii",2013-03-15,2014-03-10,2018-12-05,2018-12-05,https://patents.google.com/patent/EP2970184B1/en,https://patentimages.storage.googleapis.com/a5/27/93/f69ccd8b13cbc9/imgf0001.png
US-10004725-B2,Methods of treatment ,"Global Blood Therapeutics, Inc.","Kobina N. DUFU, Xin Geng, Uma Sinha",2015-03-30,2016-03-29,2018-06-26,2018-06-26,https://patents.google.com/patent/US10004725B2/en,https://patentimages.storage.googleapis.com/a0/69/f3/f188ab8b1dd8a9/US10004725-20180626-D00001.png
US-9248199-B2,1:1 adducts of sickle hemoglobin ,"Global Blood Therapeutics, Inc.",Brian W. Metcalf,2014-01-29,2014-01-29,2016-02-02,2016-02-02,https://patents.google.com/patent/US9248199B2/en,https://patentimages.storage.googleapis.com/20/c9/6f/5ce0d83f6bd68e/US09248199-20160202-D00001.png
US-2016207904-A1,Crystalline 2-hydroxy-6-((2-(1-isopropyl-1h-pyrazol-5-yl)pyridin-3-yl)methoxy)benzaldehyde ansolvate salts ,"Global Blood Therapeutics, Inc.",Zhe Li,2013-08-27,2014-08-25,2016-07-21,,https://patents.google.com/patent/US20160207904A1/en,https://patentimages.storage.googleapis.com/84/90/d0/403908700a042f/US20160207904A1-20160721-D00001.png
WO-2015031284-A1,Formulations comprising wetting agents and compounds for the modulation of hemoglobin (s) ,"Global Blood Therapeutics, Inc.",Brian W. Metcalf,2013-08-26,2014-08-25,2015-03-05,,https://patents.google.com/patent/WO2015031284A1/en,
US-10100043-B2,Substituted aldehyde compounds and methods for their use in increasing tissue oxygenation ,"Global Blood Therapeutics, Inc., Cytokinetics, Inc.","Brian Metcalf, Chihyuan Chuang, Zhe Li",2013-03-15,2014-03-14,2018-10-16,2018-10-16,https://patents.google.com/patent/US10100043B2/en,
WO-2015031285-A1,Crystalline 2-hydroxy-6-((2-(1-isopropyl-1h-pyrazol-5-yl)pyridin-3-yl)methoxy)benzaldehyde ansolvate salts ,"Global Blood Therapeutics, Inc.",Zhe Li,2013-08-27,2014-08-25,2015-03-05,,https://patents.google.com/patent/WO2015031285A1/en,
WO-2014150289-A1,Compounds and uses thereof for the modulation of hemoglobin ,"Global Blood Therapeutics, Inc.","Zhe Li, Qing Xu, Brian W. Metcalf, Ii Stephen L. Gwaltney, Jason R. Harris, Calvin W. YEE",2013-03-15,2014-03-10,2014-09-25,,https://patents.google.com/patent/WO2014150289A1/en,
US-2015141465-A1,Compounds and uses thereof for the modulation of hemoglobin ,"Global Blood Therapeutics, Inc.","Calvin W. YEE, Zhe Li",2013-11-18,2014-11-14,2015-05-21,,https://patents.google.com/patent/US20150141465A1/en,
US-9695166-B2,Pyrazolopyridine pyrazolopyrimidine and related compounds ,"Global Blood Therapeutics, Inc.","Zhe Li, Qing Xu, Chul Yu, Calvin Yee, II Stephen L. Gwaltney, Brian W. Metcalf, Steven Richards, Matthew A. Lardy, Lina Setti, Hing Sham",2014-05-05,2015-05-04,2017-07-04,2017-07-04,https://patents.google.com/patent/US9695166B2/en,
