search URL:,https://patents.google.com/?assignee=GLOBEIMMUNE+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8470313-B2,Ras mutation and compositions and methods related thereto ,"Globeimmune, Inc.","Zhimin Guo, Yingnian Lu, Donald Bellgrau, Alex Franzusoff",2006-03-27,2010-05-06,2013-06-25,2013-06-25,https://patents.google.com/patent/US8470313B2/en,https://patentimages.storage.googleapis.com/9f/06/3c/647180f40c1ea3/US08470313-20130625-D00001.png
US-8734778-B2,Yeast-based vaccines as immunotherapy ,"Globeimmune, Inc., The Regents Of The University Of Colorado","Alex Franzusoff, Donald Bellgrau",2002-12-16,2012-11-20,2014-05-27,2014-05-27,https://patents.google.com/patent/US8734778B2/en,https://patentimages.storage.googleapis.com/6c/70/69/2f3a1a766c45cb/US08734778-20140527-D00001.png
US-7595060-B2,Yeast-antigen compositions methods of making the same ,"Globeimmune, Inc., The Regents Of The University Of Colorado","Richard C. Duke, Donald Bellgrau, Alex Franzusoff, Cara C. Wilson",2000-11-15,2006-06-01,2009-09-29,2009-09-29,https://patents.google.com/patent/US7595060B2/en,https://patentimages.storage.googleapis.com/US7595060B2/US07595060-20090929-D00001.png
US-7736642-B2,Yeast-based vaccine for inducing an immune response ,"Globeimmune, Inc.","Richard C. Duke, Alex Franzusoff, Aurelia Haller, Thomas H. King, Yingnian Lu, Victoria Kelley Hodson",2006-02-02,2007-02-02,2010-06-15,2010-06-15,https://patents.google.com/patent/US7736642B2/en,https://patentimages.storage.googleapis.com/23/e4/e4/c80d6864acd30a/US07736642-20100615-D00001.png
US-8388980-B2,Yeast-based therapeutic for chronic hepatitis C infection ,"Globeimmune, Inc.","Richard C. Duke, Alex Franzusoff, Aurelia Haller, Thomas H. King",2004-10-18,2009-12-04,2013-03-05,2013-03-05,https://patents.google.com/patent/US8388980B2/en,https://patentimages.storage.googleapis.com/ae/53/ec/8a83cc5af1c389/US08388980-20130305-D00001.png
US-2006110755-A1,Yeast-based therapeutic for chronic hepatitis C infection ,"Globeimmune, Inc.","Richard Duke, Alex Franzusoff, Aurelia Haller, Thomas King",2002-12-16,2005-10-18,2006-05-25,,https://patents.google.com/patent/US20060110755A1/en,https://patentimages.storage.googleapis.com/2b/8c/fe/7a685c7f25aeeb/US20060110755A1-20060525-D00000.png
AU-2006268333-B2,Compositions and methods for eliciting an immune response to escape mutants of targeted therapies ,"Globeimmune, Inc.","David Apelian, Alex Franzusoff, Timothy C. Rodell",2005-07-11,2006-07-10,2012-06-14,2012-06-14,https://patents.google.com/patent/AU2006268333B2/en,
AU-2012214394-B2,Yeast-based therapeutic for chronic hepatitis B infection ,"Globeimmune, Inc.","David Apelian, Claire Coeshott, Zhimin Guo, Thomas H. King",2011-02-12,2012-02-09,2016-08-11,2016-08-11,https://patents.google.com/patent/AU2012214394B2/en,
AU-2010236206-B2,Combination immunotherapy compositions against cancer and methods ,"Globeimmune, Inc., The United States Of America, As Represented By The Secretary, Department Of Health And Human Services","Alex Franzusoff, James Hodge, Jeffrey Schlom",2009-04-17,2010-04-16,2016-10-20,2016-10-20,https://patents.google.com/patent/AU2010236206B2/en,
US-8501167-B2,Compositions and methods for targeted ablation of mutational escape of targeted therapies for cancer ,"Globeimmune, Inc.","David Apelian, Alex Franzusoff, Timothy C. Rodell",2007-03-19,2008-01-17,2013-08-06,2013-08-06,https://patents.google.com/patent/US8501167B2/en,https://patentimages.storage.googleapis.com/24/7b/c5/fe9fb257bfe2af/US08501167-20130806-D00005.png
US-2013121964-A1,Pharmacogenomic and Response-Guided Treatment of Infectious Disease Using Yeast-Based Immunotherapy ,"Globeimmune, Inc.","David Apelian, Alex Franzusoff",2010-03-14,2011-03-14,2013-05-16,,https://patents.google.com/patent/US20130121964A1/en,https://patentimages.storage.googleapis.com/5b/4a/28/f1be0426b38199/US20130121964A1-20130516-D00001.png
CA-2676783-C,Improved methods for producing yeast-based vaccines ,"Globeimmune, Inc., Alex Franzusoff, Deborah Quick","Alex Franzusoff, Deborah Quick",2007-02-02,2008-02-01,2016-04-05,2016-04-05,https://patents.google.com/patent/CA2676783C/en,
US-9333246-B2,Compositions and methods to elicit immune responses against pathogenic organisms using yeast-based vaccines ,"Globeimmune, Inc.","Claude P. Selitrennikoff, Tamara K Miller",2005-12-13,2013-03-13,2016-05-10,2016-05-10,https://patents.google.com/patent/US9333246B2/en,https://patentimages.storage.googleapis.com/96/24/26/68768175b39966/US09333246-20160510-D00001.png
US-8728489-B2,Immunotherapy for chronic hepatitis C virus infection ,"Globeimmune, Inc.","David Apelian, Richard C. Duke, Alex Franzusoff",2008-09-19,2009-09-18,2014-05-20,2014-05-20,https://patents.google.com/patent/US8728489B2/en,https://patentimages.storage.googleapis.com/35/5f/7f/b1246febac84aa/US08728489-20140520-D00001.png
WO-2010065626-A1,"Genotyping tools, methods and kits ","Globeimmune, Inc.","Yingnian Lu, Amber E. Britton, Thomas H. King, Alex Franzusoff, Zhimin Guo",2008-12-02,2009-12-02,2010-06-10,,https://patents.google.com/patent/WO2010065626A1/en,
US-9533031-B2,Yeast-MUC1 immunotherapeutic compositions and uses thereof ,"Globeimmune, Inc., The United States Of America, As Represented By The Secretary, Dept. Of Health And Human Services","Alex Franzusoff, Zhimin Guo, Jeffrey Schlom, Kwong-Yok Tsang",2011-08-17,2013-03-14,2017-01-03,2017-01-03,https://patents.google.com/patent/US9533031B2/en,https://patentimages.storage.googleapis.com/3e/32/a5/2400d86578b2f1/US09533031-20170103-D00001.png
AU-2017200715-B2,Yeast-Brachyury immunotherapeutic compositions ,"Globeimmune, Inc., The United States Of America, As Represented By The Secretary, Department Of Health And Human Services","David Apelian, Zhimin Guo, Claudia PALENA, Jeffrey Schlom",2011-03-17,2017-02-02,2018-05-31,2018-05-31,https://patents.google.com/patent/AU2017200715B2/en,
US-9254320-B2,Compositions and methods for the treatment or prevention of human adenovirus-36 infection ,"Globeimmune, Inc.","David Apelian, Thomas King, Claire Coeshott, Yingnian Lu",2010-12-17,2011-12-19,2016-02-09,2016-02-09,https://patents.google.com/patent/US9254320B2/en,https://patentimages.storage.googleapis.com/78/cd/33/8941bef436f418/US09254320-20160209-D00000.png
US-8343502-B2,Yeast-based vaccines as immunotherapy ,"Globeimmune, Inc.","Alex Franzusoff, Donald Bellgrau",2002-12-16,2009-12-21,2013-01-01,2013-01-01,https://patents.google.com/patent/US8343502B2/en,https://patentimages.storage.googleapis.com/c2/20/ba/96b351bb81e10c/US08343502-20130101-D00001.png
US-9987352-B2,Yeast-based compositions and methods for the treatment or prevention of hepatitis delta virus infection ,"Globeimmune, Inc.","Thomas H. King, David Apelian",2011-06-14,2017-01-17,2018-06-05,2018-06-05,https://patents.google.com/patent/US9987352B2/en,https://patentimages.storage.googleapis.com/fc/0d/b1/52045fcd615797/US09987352-20180605-D00001.png
US-9653272-B2,"Mass-spectral method for selection, and de-selection, of cancer patients for treatment with immune response generating therapies ","Biodesix, Inc., Globeimmune, Inc.","Joanna Röder, Heinrich Röder",2012-06-26,2013-03-15,2017-05-16,2017-05-16,https://patents.google.com/patent/US9653272B2/en,https://patentimages.storage.googleapis.com/28/cd/57/a4943c490446ae/US09653272-20170516-D00001.png
US-10226522-B2,Compositions and methods for the treatment or prevention of tuberculosis ,"Globeimmune, Inc., Colorado State University Research Foundation","Thomas H. King, Zhimin Guo, Ian M. Orme",2013-08-30,2014-08-29,2019-03-12,2019-03-12,https://patents.google.com/patent/US10226522B2/en,https://patentimages.storage.googleapis.com/c3/97/2f/0b68a419dc9cb1/US10226522-20190312-D00001.png
US-10265393-B2,Compositions and methods for the treatment or prevention of human immunodeficiency virus infection ,"Globeimmune, Inc.","Thomas H. King, David Apelian",2013-03-26,2017-09-07,2019-04-23,2019-04-23,https://patents.google.com/patent/US10265393B2/en,https://patentimages.storage.googleapis.com/ea/7a/81/c0e58dedeb910d/US10265393-20190423-D00001.png
AU-2014265873-B2,Yeast-based immunotherapy for chordoma ,"Globeimmune, Inc., The United States Of America, As Represented By The Secretary, Department Of Health And Human Services","David Apelian, Claudia PALENA, Timothy C. Rodell, Jeffrey Schlom",2013-03-19,2014-03-19,2019-01-17,2019-01-17,https://patents.google.com/patent/AU2014265873B2/en,
AU-2011254055-B2,Yeast-based therapeutic for chronic hepatitis C infection ,"Globeimmune, Inc.","Richard C. Duke, Alex Franzusoff, Aurelia Haller, Thomas H. King",2004-10-18,2011-12-15,2012-12-20,2012-12-20,https://patents.google.com/patent/AU2011254055B2/en,
US-2018214525-A1,Modified yeast-brachyury immunotherapeutic compositions ,"Globeimmune, Inc., The United States Of America, As Represented By The Secretary, Department Of Health And Human","Thomas H. King, Zhimin Guo, Jeffrey Schlom, Claudia Palena",2015-08-03,2016-08-01,2018-08-02,,https://patents.google.com/patent/US20180214525A1/en,https://patentimages.storage.googleapis.com/27/29/47/d8b19372536d7d/US20180214525A1-20180802-D00001.png
US-2017035867-A1,Yeast-based immunotherapy and type i interferon sensitivity ,"Globeimmune, Inc., The Regents Of The University Of Colorado, A Body Corporate","Donald Bellgrau, Thomas H. King",2014-04-11,2015-04-10,2017-02-09,,https://patents.google.com/patent/US20170035867A1/en,https://patentimages.storage.googleapis.com/76/2e/77/5a9557a566cdf7/US20170035867A1-20170209-D00000.png
