search URL:,https://patents.google.com/?assignee=GLYCOMIMETICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-0886639-B1,SIALYL-LEWISa AND SIALYL-LEWISx EPITOPE ANALOGUES ,"GlycoMimetics, Inc.",Reinhold Oehrlein,1996-01-30,1997-01-17,2008-05-28,2008-05-28,https://patents.google.com/patent/EP0886639B1/en,
CA-2486106-C,Compounds and methods for inhibiting selectin-mediated function ,"Glycomimetics, Inc., John L. Magnani, John T. Patton, Leonard M. Williams, Glycotech Corporation","John L. Magnani, John T. Patton, Leonard M. Williams",2002-05-16,2003-05-16,2013-07-16,2013-07-16,https://patents.google.com/patent/CA2486106C/en,
EP-0886640-B1,SIALYL-LEWISa AND SIALYL-LEWISx EPITOPE ANALOGUES ,"GlycoMimetics, Inc.",Reinhold Oehrlein,1996-01-30,1997-01-17,2007-03-21,2007-03-21,https://patents.google.com/patent/EP0886640B1/en,
US-5965457-A,Methods of screening for a candidate compound able to bind to CD34+ cells ,Magnani; John L.,John L. Magnani,1995-06-06,1995-06-06,1999-10-12,1999-10-12,https://patents.google.com/patent/US5965457A/en,https://patentimages.storage.googleapis.com/09/ed/86/a372b45a8bee91/US5965457-drawings-page-2.png
EP-0580763-B1,Compositions and methods for endothelial binding ,"The Board Of Trustees Of The Leland Stanford Junior University, John L. Magnani","John L. Magnani, Eugene C. Butcher, Ellen L. Berg",1991-04-19,1992-04-17,2006-09-06,2006-09-06,https://patents.google.com/patent/EP0580763B1/en,https://patentimages.storage.googleapis.com/38/9f/c9/ca925d7632a94f/imgf0001.png
US-6465434-B1,Methods and compositions for the inhibition of cancer metastasis mediated by endothelial adhesion molecules ,"Stanford University, John L. Magnani","John L. Magnani, Eugene C. Butcher, Ellen L. Berg",1991-04-19,1999-11-23,2002-10-15,2002-10-15,https://patents.google.com/patent/US6465434B1/en,https://patentimages.storage.googleapis.com/0b/1f/a8/25b114669b56cc/US6465434-drawings-page-4.png
US-6391857-B1,Methods and compositions for endothelial binding ,"Stanford University, John L. Magnani","John L. Magnani, Eugene C. Butcher, Ellen L. Berg",1990-06-18,1994-11-09,2002-05-21,2002-05-21,https://patents.google.com/patent/US6391857B1/en,https://patentimages.storage.googleapis.com/40/99/de/fd50344e41c087/US6391857-drawings-page-4.png
US-6387884-B1,Leukocyte homing modulation ,"Stanford University, John L. Magnani","John L. Magnani, Eugene C. Butcher, Ellen L. Berg",1990-06-18,1994-11-09,2002-05-14,2002-05-14,https://patents.google.com/patent/US6387884B1/en,https://patentimages.storage.googleapis.com/4e/2b/30/b6fb7c7a713f78/US6387884-drawings-page-4.png
US-2007054870-A1,Heterobifunctional pan-selectin inhibitors ,"Glycomimetics, Inc.","John Magnani, John Patton, Arun Sarkar, Sergei Svarovsky, Beat Ernst",2005-09-02,2006-09-01,2007-03-08,,https://patents.google.com/patent/US20070054870A1/en,https://patentimages.storage.googleapis.com/28/89/2b/092a1cc8c0dbb4/US20070054870A1-20070308-D00001.png
US-8026222-B2,Methods of use of glycomimetics with replacements for hexoses and n-acetyl hexosamines ,"Glycomimetics, Inc.",John L. Magnani,2007-02-09,2008-02-07,2011-09-27,2011-09-27,https://patents.google.com/patent/US8026222B2/en,https://patentimages.storage.googleapis.com/ac/54/c7/43f8dcf07bbdd1/US08026222-20110927-D00001.png
