search URL:,https://patents.google.com/?assignee=GTX+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6569896-B2,Selective androgen receptor modulators and methods of use thereof ,The University Of Tennessee Research Corporation,"James T. Dalton, Duane D. Miller, Donghua Yin, Yali He",2000-08-24,2001-08-23,2003-05-27,2003-05-27,https://patents.google.com/patent/US6569896B2/en,https://patentimages.storage.googleapis.com/8f/77/61/e16b09a55bf54b/US06569896-20030527-D00001.png
US-6492554-B2,Selective androgen receptor modulators and methods of use thereof ,The University Of Tennessee Research Corporation,"James T. Dalton, Duane D. Miller, Donghua Yin, Yali He",2000-08-24,2001-08-23,2002-12-10,2002-12-10,https://patents.google.com/patent/US6492554B2/en,https://patentimages.storage.googleapis.com/78/d8/ab/3f01e296886931/US06492554-20021210-D00001.png
EP-1463497-B1,Treating muscle wasting with selective androgen receptor modulators ,"GTX, Inc.","Mitchell S. Steiner, Karen A. Veverka, James T. Dalton, Duane D. Miller",2001-12-06,2002-12-05,2011-10-05,2011-10-05,https://patents.google.com/patent/EP1463497B1/en,https://patentimages.storage.googleapis.com/dd/38/62/f7f3291b2c5f45/imgf0001.png
AU-2010347233-B2,Compounds for treatment of cancer ,"Gtx, Inc., University Of Tennessee Research Foundation","Sunjoo Ahn, Jianjun Chen, James T. Dalton, Charles Duke, Chien-Ming Li, Wei Li, Yan Lu, Duane D. Miller, Zhao Wang",2010-03-01,2010-12-29,2015-06-18,2015-06-18,https://patents.google.com/patent/AU2010347233B2/en,
AU-2003216174-B2,Treating benign prostate hyperplasia with SARMs ,University Of Tennessee Research Foundation,"James T. Dalton, Wenqing Gao, Duane D. Miller, Mitchell S. Steiner, Karen A. Veverka",2002-02-07,2003-02-06,2008-12-18,2008-12-18,https://patents.google.com/patent/AU2003216174B2/en,
US-6899888-B2,Prevention and treatment of androgen-deprivation induced osteoporosis ,"Otx, Inc.","Mitchell S. Steiner, Karen A. Veverka",2001-11-29,2002-11-27,2005-05-31,2005-05-31,https://patents.google.com/patent/US6899888B2/en,https://patentimages.storage.googleapis.com/83/8d/e4/2bf0328f254a92/US06899888-20050531-D00000.png
US-4922841-A,Method and apparatus for using hazardous waste to form non-hazardous aggregate ,Kent John M,John M. Kent,1988-09-14,1989-06-06,1990-05-08,1990-05-08,https://patents.google.com/patent/US4922841A/en,https://patentimages.storage.googleapis.com/ea/83/a2/4b4a2a00585b3a/US4922841-drawings-page-2.png
AU-2004204800-B2,Large-scale synthesis of selective androgen receptor modulators ,University Of Tennessee Research Foundation,"James T. Dalton, Duane D. Miller, Karen A. Veverka",2003-01-13,2004-01-12,2011-05-12,2011-05-12,https://patents.google.com/patent/AU2004204800B2/en,
US-8579859-B2,Fluid balance monitoring system with fluid infusion pump for medical treatment ,"Board Of Regents, The University Of Texas System","George C. Kramer, Guy A. Drew, Donald J. Deyo, Allen E. Brandenburg, Richard B. Voigt",2009-12-26,2010-12-27,2013-11-12,2013-11-12,https://patents.google.com/patent/US8579859B2/en,https://patentimages.storage.googleapis.com/74/32/bf/59e35614ec9d94/US08579859-20131112-D00000.png
US-2013324602-A1,Substituted acylanilides and methods of use thereof ,"Gtx, Inc.","James T. Dalton, Duane D. Miller",2006-08-24,2013-04-23,2013-12-05,,https://patents.google.com/patent/US20130324602A1/en,https://patentimages.storage.googleapis.com/69/90/ed/a216b1d9b7b04b/US20130324602A1-20131205-D00000.png
