search URL:,https://patents.google.com/?assignee=HELICOS+BIOSCIENCES+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7220549-B2,Stabilizing a nucleic acid for nucleic acid sequencing ,Helicos Biosciences Corporation,Philip Richard Buzby,2004-12-30,2004-12-30,2007-05-22,2007-05-22,https://patents.google.com/patent/US7220549B2/en,https://patentimages.storage.googleapis.com/US7220549B2/US07220549-20070522-D00000.png
US-7593109-B2,Apparatus and methods for analyzing samples ,Helicos Biosciences Corporation,Kevin Ulmer,2004-07-19,2007-10-01,2009-09-22,2009-09-22,https://patents.google.com/patent/US7593109B2/en,https://patentimages.storage.googleapis.com/US7593109B2/US07593109-20090922-D00000.png
US-7279563-B2,Compounds for protecting hydroxyls and methods for their use ,Helicos Biosciences Corporation,Marek Kwiatkowski,1999-10-05,2003-10-27,2007-10-09,2007-10-09,https://patents.google.com/patent/US7279563B2/en,
US-7491498-B2,Short cycle methods for sequencing polynucleotides ,Helicos Biosciences Corporation,"Stanley Lapidus, Phillip Richard Buzby, Timothy Harris",2003-11-12,2006-10-26,2009-02-17,2009-02-17,https://patents.google.com/patent/US7491498B2/en,https://patentimages.storage.googleapis.com/US7491498B2/US07491498-20090217-D00001.png
EP-2007908-B1,Methods for increasing accuracy of nucleic acid sequencing ,Helicos Biosciences Corporation,Timothy D. Harris,2006-04-14,2007-04-13,2010-07-21,2010-07-21,https://patents.google.com/patent/EP2007908B1/en,https://patentimages.storage.googleapis.com/3c/8e/28/69c85d103d0a6f/imgf0001.png
US-7501245-B2,Methods and apparatuses for analyzing polynucleotide sequences ,Helicos Biosciences Corp.,"Stephen Quake, Emil Paskalev Kartalov",1999-06-28,2004-12-01,2009-03-10,2009-03-10,https://patents.google.com/patent/US7501245B2/en,https://patentimages.storage.googleapis.com/US7501245B2/US07501245-20090310-D00000.png
US-7666593-B2,Single molecule sequencing of captured nucleic acids ,Helicos Biosciences Corporation,Stanley Lapidus,2005-08-26,2005-08-26,2010-02-23,2010-02-23,https://patents.google.com/patent/US7666593B2/en,
EP-1716254-B1,Methods for analyzing polynucleotide sequences ,Helicos Biosciences Corporation,Stephen Quake,2004-02-19,2005-02-09,2010-04-07,2010-04-07,https://patents.google.com/patent/EP1716254B1/en,https://patentimages.storage.googleapis.com/e3/8c/27/ad6ccf06f89350/imgf0001.png
EP-1848829-B1,Methods and compositions for improving fidelity in a nucleic acid synthesis reaction ,Helicos Biosciences Corporation,Philip Richard Buzby,2005-01-28,2006-01-30,2012-03-07,2012-03-07,https://patents.google.com/patent/EP1848829B1/en,https://patentimages.storage.googleapis.com/dc/71/f1/09f405bd43367d/imgf0001.png
US-7635562-B2,Methods and devices for nucleic acid sequence determination ,Helicos Biosciences Corporation,"Timothy Harris, Philip Richard Buzby, Mirna Jarosz, James Joseph DiMeo, Jaime Gill",2004-05-25,2005-05-25,2009-12-22,2009-12-22,https://patents.google.com/patent/US7635562B2/en,https://patentimages.storage.googleapis.com/US7635562B2/US07635562-20091222-D00001.png
US-7767400-B2,Paired-end reads in sequencing by synthesis ,Helicos Biosciences Corporation,Timothy D. Harris,2008-02-03,2008-02-03,2010-08-03,2010-08-03,https://patents.google.com/patent/US7767400B2/en,https://patentimages.storage.googleapis.com/3c/5b/ed/4c29eb55ee1e9d/US07767400-20100803-D00001.png
US-2006024711-A1,Methods for nucleic acid amplification and sequence determination ,Helicos Biosciences Corporation,"Stanley Lapidus, Philip Buzby",2004-07-02,2005-06-23,2006-02-02,,https://patents.google.com/patent/US20060024711A1/en,https://patentimages.storage.googleapis.com/21/dd/76/351414d02731d9/US20060024711A1-20060202-D00001.png
US-2010216153-A1,Methods for detecting fetal nucleic acids and diagnosing fetal abnormalities ,Helicos Biosciences Corporation,"Stanley Lapidus, John F. Thompson, Doron Lipson, Patrice Milos, J. William Efcavitch, Stanley Letovsky",2004-02-27,2010-03-19,2010-08-26,,https://patents.google.com/patent/US20100216153A1/en,https://patentimages.storage.googleapis.com/c2/f0/dc/c6c753ce95fbee/US20100216153A1-20100826-D00000.png
US-2012015353-A1,Method of determining the nucleotide sequence of oligonucleotides and dna molecules ,Helicos Biosciences Corporation,"Peter Williams, Thomas J. Taylor, Daniel J. B. Williams, Ian Gould, Mark A. Hayes",1998-05-01,2011-06-08,2012-01-19,,https://patents.google.com/patent/US20120015353A1/en,https://patentimages.storage.googleapis.com/35/98/18/e3bb2b0c98c5eb/US20120015353A1-20120119-D00000.png
US-2006046258-A1,Applications of single molecule sequencing ,"Lapidus Stanley N, Stephen Quake","Stanley Lapidus, Stephen Quake",2004-02-27,2005-02-25,2006-03-02,,https://patents.google.com/patent/US20060046258A1/en,
