search URL:,https://patents.google.com/?assignee=ICAGEN+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2465207-C,Pyrazole-amides and -sulfonamides ,"Icagen, Inc., Robert Nelson Atkinson, Michael Francis Gross","Robert Nelson Atkinson, Michael Francis Gross",2001-11-01,2002-11-01,2011-01-04,2011-01-04,https://patents.google.com/patent/CA2465207C/en,
US-8153814-B2,Sulfonamide derivatives ,"Pfizer Limited, Icagen, Inc.","Serge Beaudoin, Michael Christopher Laufersweiler, Christopher John Markworth, Brian Edward Marron, David Simon Millan, David James Rawson, Steven Michael Reister, Kosuke Sasaki, Robert Ian Storer, Paul Anthony Stupple, Nigel Alan Swain, Christopher William West, Shulan Zhou",2009-01-12,2010-01-12,2012-04-10,2012-04-10,https://patents.google.com/patent/US8153814B2/en,
US-7582654-B2,Heterocyclo inhibitors of potassium channel function ,"Bristol-Myers Squibb Company, Icagen, Inc.","John Lloyd, Yoon T. Jeon, Heather Finlay, Lin Yan, Michael F. Gross, Serge Beaudoin",2002-04-19,2005-07-21,2009-09-01,2009-09-01,https://patents.google.com/patent/US7582654B2/en,
US-6829535-B2,Method and apparatus for generating satellite tracking information in a compact format ,"Global Locate, Inc.","Frank van Diggelen, Charles Abraham, James W. LaMance",2001-07-25,2003-09-05,2004-12-07,2004-12-07,https://patents.google.com/patent/US6829535B2/en,https://patentimages.storage.googleapis.com/66/25/cf/c0529cdd427f32/US06829535-20041207-D00000.png
US-6083986-A,Potassium channel inhibitors ,"Icagen, Inc., Eli Lilly & Company","Neil Alexander Castle, Sean Patrick Hollinshead, Philip Floyd Hughes, Jose Serafin Mendoza, Joseph Wendell Wilson, George Salvatore Amato, Serge Beaudoin, Michael Gross, Grant McNaughton-Smith",1996-07-26,1997-07-15,2000-07-04,2000-07-04,https://patents.google.com/patent/US6083986A/en,https://patentimages.storage.googleapis.com/b5/2e/ec/47953ce0a47240/US6083986-drawings-page-3.png
US-8357711-B2,Heterocyclic sulfonamides as inhibitors of ion channels ,"Pfizer Limited, Icagen, Inc.","Brian Edward Marron, Paul Christopher Fritch, Christopher John Markworth, Andrew Thomas Maynard, Nigel Alan Swain",2007-03-23,2008-03-20,2013-01-22,2013-01-22,https://patents.google.com/patent/US8357711B2/en,
CA-2693588-C,Sodium channel inhibitors ,"Icagen, Inc., Alan Bradley Fulp, Matthew Scott Johnson, Christopher John Markworth, Brian Edward Marron, Darrick Conway Seconi, Christopher William West, Xiaodong Wang, Shulan Zhou","Alan Bradley Fulp, Matthew Scott Johnson, Christopher John Markworth, Brian Edward Marron, Darrick Conway Seconi, Christopher William West, Xiaodong Wang, Shulan Zhou",2007-07-13,2008-07-14,2015-11-17,2015-11-17,https://patents.google.com/patent/CA2693588C/en,
US-7098335-B2,Pyrazolopyrimidine compositions ,"Icagen, Inc.","Robert N. Atkinson, Michael F. Gross, Albert M. Van Rhee",2001-11-01,2004-11-12,2006-08-29,2006-08-29,https://patents.google.com/patent/US7098335B2/en,
AU-2003210817-B2,Cycloalkyl inhibitors of potassium channel function ,"Bristol-Myers Squibb Company, Icagen, Inc","Serge Beaudoin, Heather Finlay, Michael F. Gross, Yoon T. Jeon, John Llloyd, Lin Yan",2002-02-01,2003-01-31,2009-07-16,2009-07-16,https://patents.google.com/patent/AU2003210817B2/en,
US-6326385-B1,Methods for treating or preventing pain ,"Icagen, Inc.","Alan David Wickenden, Gregory Cooksey Rigdon, Grant Andrew McNaughton-Smith, Michael Francis Gross",1999-08-04,2000-08-04,2001-12-04,2001-12-04,https://patents.google.com/patent/US6326385B1/en,https://patentimages.storage.googleapis.com/8d/19/41/0bca3a5e0b7c81/US06326385-20011204-D00002.png
US-7244744-B2,Piperidines ,"Icagen, Inc.","Michael F. Gross, Robert N. Atkinson, Matthew S. Johnson",2001-11-01,2002-11-01,2007-07-17,2007-07-17,https://patents.google.com/patent/US7244744B2/en,
AU-779034-B2,Benzanilides as potassium channel openers ,"Icagen, Inc.","Michael Francis Gross, Grant Andrew Mcnaughton-Smith, Alan David Wickenden",1999-08-04,2000-08-04,2005-01-06,2005-01-06,https://patents.google.com/patent/AU779034B2/en,
AU-745845-B2,Potassium channel inhibitors ,"Icagen, Inc.","Neil A. Castle, Michael F. Gross",1998-01-27,1999-01-27,2002-04-11,2002-04-11,https://patents.google.com/patent/AU745845B2/en,
US-2008220441-A1,Advanced drug development and manufacturing ,"Birnbaum Eva R, Koppisch Andrew T, Baldwin Sharon M, Warner Benjamin P, Mccleskey T Mark, Jeffrey Joseph Stewart, Berger Jennifer A, Harris Michael N, Burrell Anthony K","Eva R. Birnbaum, Andrew T. Koppisch, Sharon M. Baldwin, Benjamin P. Warner, T. Mark McCleskey, Jeffrey Joseph Stewart, Jennifer A. Berger, Michael N. Harris, Anthony K. Burrell",2001-05-16,2007-10-10,2008-09-11,,https://patents.google.com/patent/US20080220441A1/en,
CA-2803118-C,Sulfonamide derivatives as nav 1.7 inhibitors ,"Pfizer Limited, Icagen, Inc., Benjamin Scott Greener, Brian Edward Marron, David Simon Millan, David James Rawson, Robert Ian Storer, Nigel Alan Swain","Benjamin Scott Greener, Brian Edward Marron, David Simon Millan, David James Rawson, Robert Ian Storer, Nigel Alan Swain",2010-07-09,2011-07-01,2015-11-03,2015-11-03,https://patents.google.com/patent/CA2803118C/en,
US-8772293-B2,Chemical compounds ,"Pfizer Limited, Icagen Inc.","Alan Daniel Brown, Marcel John De Groot, Brian Edward Marron, David James Rawson, Thomas Ryckmans, Robert Ian Storer, Paul Anthony Stupple, Nigel Alan Swain, Christopher William West",2010-07-09,2011-07-08,2014-07-08,2014-07-08,https://patents.google.com/patent/US8772293B2/en,
EP-2590972-B1,N-sulfonylbenzamides as inhibitors of voltage-gated sodium channels ,"Pfizer Limited, ICAgen, Inc.","Christopher John Markworth, Brian Edward Marron, David James Rawson, Robert Ian Storer, Nigel Alan Swain, Christopher William West, Shulan Zhou",2010-07-09,2011-06-28,2015-01-21,2015-01-21,https://patents.google.com/patent/EP2590972B1/en,
