search URL:,https://patents.google.com/?assignee=IDENIX+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2506129-C,2'-branched nucleosides and flaviviridae mutation ,"Idenix (Cayman) Limited, Jean-Pierre Sommadossi, Paolo La Colla, David Standring, Vadim Bichko, Lin Qu, Universita Degli Studi Di Cagliari, Idenix Pharmaceuticals, Inc.","Jean-Pierre Sommadossi, Paolo La Colla, David Standring, Vadim Bichko, Lin Qu",2002-11-15,2003-11-17,2015-02-17,2015-02-17,https://patents.google.com/patent/CA2506129C/en,
CA-2490191-C,Modified 2' and 3' -nucleoside prodrugs for treating flaviviridae infections ,"Idenix (Cayman) Limited, Jean-Pierre Sommadossi, Paolo La Colla, Richard Storer, Gilles Gosselin, Universita Degli Studi Di Cagliari, Centre National De La Recherche Scientifique, Idenix Pharmaceuticals, Inc., L'universite Montpellier Ii, Idenix Pharmaceuticals Llc, University Of Montpellier","Jean-Pierre Sommadossi, Paolo La Colla, Richard Storer, Gilles Gosselin",2002-06-28,2003-06-27,2010-08-03,2010-08-03,https://patents.google.com/patent/CA2490191C/en,
AU-2006203121-B2,Methods and compositions for treating Hepatitis C virus ,"Idenix Pharmaceuticals, Inc., Universita Degli Studi Di Cagliari","Paulo Lacolla, Jean-Pierre Sommadossi",2000-05-23,2006-07-21,2009-10-01,2009-10-01,https://patents.google.com/patent/AU2006203121B2/en,
CA-2490200-C,2' and 3'-nucleoside prodrugs for treating flaviviridae infections ,"Idenix (Cayman) Limited, Jean-Pierre Sommadossi, Paolo La Colla, Richard Storer, Gilles Gosselin, Universita Degli Studi Di Cagliari, Centre National De La Recherche Scientifique, Idenix Pharmaceuticals, Inc., L'universite Montpellier Ii","Jean-Pierre Sommadossi, Paolo La Colla, Richard Storer, Gilles Gosselin",2002-06-28,2003-06-27,2012-01-03,2012-01-03,https://patents.google.com/patent/CA2490200C/en,
AU-2007339226-B2,Compounds and pharmaceutical compositions for the treatment of viral infections ,"Centre National De La Recherche Scientifique, Idenix Pharmaceuticals, Inc., L'universite Montpellier Ii","Gilles Gosselin, Christian Perigaud, Suzanne Peyrottes, Claire Pierra, Jean-Pierre Sommadossi",2006-12-28,2007-12-28,2013-03-07,2013-03-07,https://patents.google.com/patent/AU2007339226B2/en,
CA-2410579-C,Methods and compositions for treating flaviviruses and pestiviruses ,"Jean-Pierre Sommadossi, Paolo Lacolla, Universita Degli Studi Di Cagliari, Idenix (Cayman) Limited, Novirio Pharmaceuticals Limited, Idenix Pharmaceuticals, Inc.","Jean-Pierre Sommadossi, Paolo Lacolla",2000-05-26,2001-05-23,2010-04-20,2010-04-20,https://patents.google.com/patent/CA2410579C/en,
US-7456155-B2,2′-C-methyl-3′-O-L-valine ester ribofuranosyl cytidine for treatment of flaviviridae infections ,"Idenix Pharmaceuticals, Inc., Universita Degli Studi Di Cagliari, Centre National De La Recherche Scientifique","Jean-Pierre Sommadossi, Paolo LaColla, Gilles Gosselin",2002-06-28,2003-06-27,2008-11-25,2008-11-25,https://patents.google.com/patent/US7456155B2/en,https://patentimages.storage.googleapis.com/a4/ea/9a/b7b7ddd325799f/US07456155-20081125-D00009.png
US-7138376-B2,Methods and compositions for treating hepatitis C virus using 4'-modified nucleosides ,"Idenix Pharmaceuticals, Inc., Centre National De La Recherche Scientifique","Gilles Gosselin, Jean-Louis Imbach, Jean-Pierre Sommadossi",2001-09-28,2002-09-30,2006-11-21,2006-11-21,https://patents.google.com/patent/US7138376B2/en,
US-7608600-B2,Modified 2′ and 3′-nucleoside prodrugs for treating Flaviviridae infections ,"Idenix Pharmaceuticals, Inc., University Of Cagliari, Centre National De La Recherche Scientifique, L'Universite Montfellier II","Richard Storer, Gilles Gosselin, Jean-Pierre Sommadossi, Paola LaColla",2002-06-28,2003-06-27,2009-10-27,2009-10-27,https://patents.google.com/patent/US7608600B2/en,
US-8362068-B2,"5,5-fused arylene or heteroarylene hepatitis C virus inhibitors ","Idenix Pharmaceuticals, Inc.","Cyril B. Dousson, David Dukhan, Christophe Claude Parsy, Claire Pierra, Francois-Rene Alexandre, Guillaume Brandt, Daniel Da Costa, Houcine Rahali, Jean-Laurent Paparin, Michel Derock, Thierry Convard, Dominique Surleraux",2009-12-18,2010-12-17,2013-01-29,2013-01-29,https://patents.google.com/patent/US8362068B2/en,
US-6569837-B1,β-L-2′-deoxy pyrimidine nucleosides for the treatment of hepatitis B ,Idenix Pharmaceuticals Inc.,"Gilles Gosselin, Jean-Louis Imbach, Martin L. Bryant",1998-08-10,2001-12-14,2003-05-27,2003-05-27,https://patents.google.com/patent/US6569837B1/en,https://patentimages.storage.googleapis.com/3a/d8/f6/403820ec416201/US06569837-20030527-D00001.png
US-9186369-B2,Purine nucleoside analogues for treating flaviviridae including hepatitis C ,"Idenix Pharmaceuticals, Llc","Richard Storer, Gilles Gosselin, David Dukhan, Frederic Leroy",2003-07-25,2014-05-02,2015-11-17,2015-11-17,https://patents.google.com/patent/US9186369B2/en,https://patentimages.storage.googleapis.com/bb/eb/db/a386d5f8383af6/US09186369-20151117-D00001.png
EP-2319853-B1,Process for the production of 2'-branched nucleosides ,"IDENIX Pharmaceuticals, Inc.","Richard Storer, Adel Moussa, Narayan Chaudhuri, Frank Waligora",2002-12-12,2003-12-12,2014-03-12,2014-03-12,https://patents.google.com/patent/EP2319853B1/en,https://patentimages.storage.googleapis.com/d0/e3/8c/1344dc178d89f5/imgf0001.png
CA-2410488-C,Methods of treating hepatitis delta virus infection with .beta.-l-2' deoxy-nucleosides ,"Idenix (Cayman) Limited, Jean-Pierre Sommadossi, Martin L. Bryant, Novirio Pharmaceuticals Limited, Idenix Pharmaceuticals, Inc., Novartis Ag","Jean-Pierre Sommadossi, Martin L. Bryant",2000-05-26,2001-05-29,2009-10-27,2009-10-27,https://patents.google.com/patent/CA2410488C/en,
US-9211300-B2,4′-fluoro nucleosides for the treatment of HCV ,"Idenix Pharmaceuticals Llc, Centre National De La Recherche Scientifique, Universite Montpellier 2 Sciences Et Techniques","Benjamin Alexander Mayes, Adel M. Moussa, Alistair James STEWART, Gilles Gosselin",2012-12-19,2013-12-17,2015-12-15,2015-12-15,https://patents.google.com/patent/US9211300B2/en,
US-6602664-B2,"3′-azido-2′,3′-dideoxyuridine in an anti-HIV effectiveness test protocol ","Emory University, Idenix Pharmaceuticals, Inc.","Raymond F. Schinazi, Martin L. Bryant, Maureen W. Myers",1998-06-24,2001-02-26,2003-08-05,2003-08-05,https://patents.google.com/patent/US6602664B2/en,https://patentimages.storage.googleapis.com/b4/4a/0f/b345e39d128a10/US06602664-20030805-D00001.png
