search URL:,https://patents.google.com/?assignee=IGNYTA+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2012339640-B2,Uracil derivatives as AXL and c-MET kinase inhibitors ,"Ignyta, Inc.","Reddeppareddy Dandu, Robert L. Hudkins, Kurt A. Josef, Catherine P. Prouty, Rabindranath Tripathy",2011-11-14,2012-11-14,2017-01-05,2017-01-05,https://patents.google.com/patent/AU2012339640B2/en,
US-2015283132-A1,Molecules for administration to ros1 mutant cancer cells ,"Ignyta, Inc., Nerviano Medical Sciences S.R.I.","Jonathan Lim, Elena Ardini, Maria Menichincheri",2014-02-20,2015-02-17,2015-10-08,,https://patents.google.com/patent/US20150283132A1/en,https://patentimages.storage.googleapis.com/93/44/9a/beec2f284ea36f/US20150283132A1-20151008-D00001.png
US-9896446-B2,Azaquinazoline inhibitors of atypical protein kinase C ,Cancer Research Technology Limited,"Henry J. Breslin, Bruce D. Dorsey, Benjamin J. Dugan, Robert L. Hudkins, Eugen F. Mesaros, Gregory R. Ott, Craig A. Zificsak, Allison L. Zulli, Ming Tao, Katherine M. Fowler, Emma L. Morris, Gregoire A. Pave, Jonathan R. A. Roffey, Nathaniel J. T. Monck, Christelle N. Soudy, Ikeoluwa Olowoye",2012-09-28,2015-12-18,2018-02-20,2018-02-20,https://patents.google.com/patent/US9896446B2/en,
US-9604994-B2,Thienopyrimidine inhibitors of atypical protein kinase C ,Cancer Research Technology Limited,"Bruce D Dorsey, Keith S. Learn, Emma L. Morris, Gregory R Ott, Jonathan R. A. Roffey, Christelle N. Soudy, Jason C. Wagner",2011-11-23,2014-05-22,2017-03-28,2017-03-28,https://patents.google.com/patent/US9604994B2/en,
US-2018177792-A1,Compositions and methods for treating patients with rtk mutant cells ,"Ignyta, Inc.",Ge Wei,2015-05-29,2016-05-25,2018-06-28,,https://patents.google.com/patent/US20180177792A1/en,https://patentimages.storage.googleapis.com/7d/de/39/9a3bf8cd8860fc/US20180177792A1-20180628-D00001.png
US-9913827-B2,Bendamustine derivatives and methods of using same ,"Ignyta, Inc.","Roger P. Bakale, Peter D. Brown, Jian Chen, Anthony S. Drager, Rachel Y. LaBell, Robert E. McKean, Piyush R. Patel, Renee C. Roemmele",2012-11-12,2017-03-10,2018-03-13,2018-03-13,https://patents.google.com/patent/US9913827B2/en,https://patentimages.storage.googleapis.com/87/11/c5/4ba6f3cb2406c8/US09913827-20180313-D00001.png
US-10028956-B2,Methods of treating various cancers using an AXL/cMET inhibitor in combination with other agents ,"Ignyta, Inc.","Thelma S. Angeles, Mark A. Ator, Mangeng M. Cheng, Bruce Dorsey, Robert L. Hudkins, Bruce A. Ruggeri",2013-08-02,2014-07-31,2018-07-24,2018-07-24,https://patents.google.com/patent/US10028956B2/en,https://patentimages.storage.googleapis.com/f2/e5/73/678787f2bf944b/US10028956-20180724-D00001.png
US-10085979-B2,Combinations for the treatment of neuroblastoma ,"Ignyta, Inc.","Zachary Dolph Hornby, Gang Li, David Wesley Anderson, Garrett M. Brodeur, Radhika Iyer",2014-12-02,2015-11-30,2018-10-02,2018-10-02,https://patents.google.com/patent/US10085979B2/en,https://patentimages.storage.googleapis.com/6f/39/6d/20999b22a30ce4/US10085979-20181002-D00001.png
EP-3087070-B1,"Pyrazolo[1,5-a]pyridine derivatives and methods of their use ","Ignyta, Inc.","Robert L. Hudkins, Allison L. Zulli",2013-12-26,2014-12-18,2017-11-08,2017-11-08,https://patents.google.com/patent/EP3087070B1/en,
AU-2016204294-B9,Solid State Forms Of A Quinazoline Derivative And Its Use As A BRAF Inhibitor ,"Ignyta, Inc.","Stephen J. Bierlmaier, Ralph C. Haltiwanger, Martin J. Jacobs",2013-03-11,2016-06-23,2017-09-21,2017-09-21,https://patents.google.com/patent/AU2016204294B9/en,
