search URL:,https://patents.google.com/?assignee=IMARX+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-777304-B2,Novel methods of imaging and treatment with targeted compositions ,"Imarx Therapeutics, Inc.","Evan C. Ungr, Yunqiu Wu",1999-02-03,2000-02-02,2004-10-07,2004-10-07,https://patents.google.com/patent/AU777304B2/en,
AU-711788-B2,Methods and apparatus for performing diagnostic and therapeutic ultrasound simultaneously ,"Imarx Therapeutics, Inc.","Evan C. Unger, David W. Yellowhair",1995-06-06,1996-05-24,1999-10-21,1999-10-21,https://patents.google.com/patent/AU711788B2/en,
AU-736301-B2,Methods for delivering compounds into a cell ,"Imarx Therapeutics, Inc.","Thomas Mccreery, Evan C. Unger",1996-05-01,1997-04-30,2001-07-26,2001-07-26,https://patents.google.com/patent/AU736301B2/en,
US-6808720-B2,Charged lipids and uses for the same ,"Imarx Therapeutics, Inc.",Evan C. Unger,1997-03-21,2002-01-15,2004-10-26,2004-10-26,https://patents.google.com/patent/US6808720B2/en,https://patentimages.storage.googleapis.com/6f/9b/1d/e5f76282236499/US06808720-20041026-D00001.png
US-5469854-A,Methods of preparing gas-filled liposomes ,Imarx Pharmaceutical Corp.,"Evan C. Unger, Thomas A. Fritz, Terry Matsunaga, VaradaRajan Ramaswami, David Yellowhair, Guanli Wu",1989-12-22,1993-06-11,1995-11-28,1995-11-28,https://patents.google.com/patent/US5469854A/en,https://patentimages.storage.googleapis.com/9e/68/18/8f22d2e3991305/US5469854-drawings-page-4.png
US-6461586-B1,Method of magnetic resonance focused surgical and therapeutic ultrasound ,"Imarx Therapeutics, Inc.",Evan C. Unger,1989-12-22,2000-07-10,2002-10-08,2002-10-08,https://patents.google.com/patent/US6461586B1/en,
US-5088499-A,Liposomes as contrast agents for ultrasonic imaging and methods for preparing the same ,Unger Evan C,Evan C. Unger,1989-12-22,1990-08-20,1992-02-18,1992-02-18,https://patents.google.com/patent/US5088499A/en,https://patentimages.storage.googleapis.com/73/97/28/6bec49c803cdc9/US5088499-drawings-page-3.png
EP-0740528-B1,Gas microspheres for topical and subcutaneous application ,"Imarx Therapeutics, Inc.","Terry Matsunaga, Evan C. Unger, David Yellowhair",1993-11-30,1994-11-30,2003-03-26,2003-03-26,https://patents.google.com/patent/EP0740528B1/en,https://patentimages.storage.googleapis.com/82/50/41/bd337762b7920d/01410001.png
US-6443898-B1,Therapeutic delivery systems ,Imarx Pharmaceutical Corp.,"Evan C. Unger, Thomas A. Fritz, Terry Matsunaga, VaradaRajan Ramaswami, David Yellowhair, Guanli Wu",1989-12-22,1995-06-07,2002-09-03,2002-09-03,https://patents.google.com/patent/US6443898B1/en,https://patentimages.storage.googleapis.com/53/cc/1e/bfd64a9e88b71d/US6443898-drawings-page-8.png
US-6071495-A,Targeted gas and gaseous precursor-filled liposomes ,Imarx Pharmaceutical Corp.,"Evan C. Unger, Thomas A. Fritz, Terry Matsunaga, VaradaRajan Ramaswami, David Yellowhair, Guanli Wu",1989-12-22,1997-10-02,2000-06-06,2000-06-06,https://patents.google.com/patent/US6071495A/en,https://patentimages.storage.googleapis.com/f3/27/53/db2a2fa6cd0b58/US6071495-drawings-page-7.png
