search URL:,https://patents.google.com/?assignee=IMMUNE+DESIGN+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9044420-B2,Immunogenic compositions and methods of using the compositions for inducing humoral and cellular immune responses ,Immune Design Corp.,"Thomas W. Dubensky, Jr., Scott H. Robbins",2011-04-08,2012-04-06,2015-06-02,2015-06-02,https://patents.google.com/patent/US9044420B2/en,https://patentimages.storage.googleapis.com/af/d6/06/5e710178a614cf/US09044420-20150602-D00001.png
AU-2010276194-B2,Lentiviral vectors pseudotyped with a Sindbis virus envelope glycoprotein ,Immune Design Corp,"James M. Allen, Thomas W. Dubensky Jr., Jin Zhong Li, Derek D. Sloan, Neal S. Van Hoeven",2009-07-24,2010-07-22,2012-02-02,2012-02-02,https://patents.google.com/patent/AU2010276194B2/en,
AU-2013237900-B2,Lentiviral vector particles having improved transduction efficiency for cells expressing DC- SIGN ,Immune Design Corp.,"Christopher James Nicolai, Semih U. Tareen",2012-03-30,2013-03-29,2017-07-27,2017-07-27,https://patents.google.com/patent/AU2013237900B2/en,
US-9555099-B2,Vaccines for HSV-2 ,Immune Design Corp.,"Thomas W. Dubensky, Jr., Nancy A. Hosken, Scott H. Robbins, Margaret D. Moore",2012-05-16,2013-05-16,2017-01-31,2017-01-31,https://patents.google.com/patent/US9555099B2/en,https://patentimages.storage.googleapis.com/28/7a/4d/61c47cbdcc7439/US09555099-20170131-D00001.png
US-2012263754-A1,Methods for Enhancing Immunogen Specific Immune Responses by Vectored Vaccines ,Immune Design Corp.,"Thomas W. Dubensky, Jr., Jared M. Odegard, Scott H. Robbins",2011-02-15,2012-02-15,2012-10-18,,https://patents.google.com/patent/US20120263754A1/en,https://patentimages.storage.googleapis.com/fc/35/77/4d8a85ee8908aa/US20120263754A1-20121018-D00001.png
EP-3104878-B1,Immunotherapy of cancer through combination of local and systemic immune stimulation ,Immune Design Corp.,"Jan Henrik Ter Meulen, Carlos V. PAYA CUENCA",2014-02-14,2015-02-13,2019-05-22,2019-05-22,https://patents.google.com/patent/EP3104878B1/en,https://patentimages.storage.googleapis.com/52/cf/6f/ce5338f007bb2a/imgf0001.png
US-8962593-B2,GLA monotherapy for use in cancer treatment ,Immune Design Corp.,"Carlos V. Paya Cuenca, Jan Henrik Ter Meulen",2013-04-18,2014-07-17,2015-02-24,2015-02-24,https://patents.google.com/patent/US8962593B2/en,https://patentimages.storage.googleapis.com/0f/77/22/4a6a4706c7bb96/US08962593-20150224-D00001.png
US-2012288515-A1,Synthetic long peptide (slp)-based vaccines ,Immune Design Corp.,"Scott H. Robbins, Thomas W. Dubensky, Jr.",2011-04-27,2012-04-27,2012-11-15,,https://patents.google.com/patent/US20120288515A1/en,https://patentimages.storage.googleapis.com/de/8d/7a/8966adbf6cf916/US20120288515A1-20121115-D00001.png
US-2017196954-A1,Prime-boost regimens with a tlr4 agonist adjuvant and a lentiviral vector ,Immune Design Corp.,"Richard Kenney, Frank Hsu, Jan Henrik Ter Meulen, Peter Lars Aksel BERGLUND",2014-07-15,2015-07-14,2017-07-13,,https://patents.google.com/patent/US20170196954A1/en,https://patentimages.storage.googleapis.com/f8/07/da/1a4ce501594d08/US20170196954A1-20170713-D00001.png
US-8323662-B1,Methods useful for generating highly mannosylated pseudotyped lentiviral vector particles comprising a Vpx protein ,Immune Design Corp.,"Christopher James Nicolai, Semih Ullah Tareen",2012-03-30,2012-03-30,2012-12-04,2012-12-04,https://patents.google.com/patent/US8323662B1/en,https://patentimages.storage.googleapis.com/e4/53/27/8a11426930ee8d/US08323662-20121204-D00000.png
AU-2011224245-B2,Vaccines for influenza ,Immune Design Corp.,"Christopher H. Clegg, Steven G. Reed, Neal Van Hoeven",2010-03-11,2011-03-10,2014-12-04,2014-12-04,https://patents.google.com/patent/AU2011224245B2/en,
US-9713635-B2,Materials and methods for producing improved lentiviral vector particles ,Immune Design Corp.,"Christopher James Nicolai, Semih U. Tareen",2012-03-30,2013-03-29,2017-07-25,2017-07-25,https://patents.google.com/patent/US9713635B2/en,https://patentimages.storage.googleapis.com/cd/24/19/041cc887d2b080/US09713635-20170725-D00001.png
US-2019119350-A1,Ny-eso-1 specific tcrs and methods of use thereof ,Immune Design Corp.,"Hailing Lu, Jan Henrik Ter Meulen",2015-09-09,2016-09-08,2019-04-25,,https://patents.google.com/patent/US20190119350A1/en,https://patentimages.storage.googleapis.com/6e/94/f8/40b214a2a6c62f/US20190119350A1-20190425-D00001.png
US-10179919-B2,Multigenome retroviral vector preparations and methods and systems for producing and using same ,Immune Design Corp.,"Jan Henrik Ter Meulen, Peter Lars Aksel BERGLUND",2016-02-23,2017-02-22,2019-01-15,2019-01-15,https://patents.google.com/patent/US10179919B2/en,https://patentimages.storage.googleapis.com/9d/83/88/d1d486cadfb28f/US10179919-20190115-D00001.png
US-2016193326-A1,Vaccine Compositions for Drug Addiction ,Immune Design Corp.,Christopher H. Clegg,2013-09-05,2014-09-04,2016-07-07,,https://patents.google.com/patent/US20160193326A1/en,https://patentimages.storage.googleapis.com/e1/a7/77/cae04c57d011d0/US20160193326A1-20160707-D00001.png
US-2016030459-A1,Compositions and methods for treating allergic conditions ,Immune Design Corp.,"Steven G. Reed, Christopher H. Clegg, Christopher Arendt, Alexandra Kropotova, Kurt Stoeckli",2014-01-21,2015-01-20,2016-02-04,,https://patents.google.com/patent/US20160030459A1/en,https://patentimages.storage.googleapis.com/5f/7b/68/535b3dad17d77c/US20160030459A1-20160204-D00001.png
EP-3374374-A1,Compositions comprising lentiviral vectors expressing il-12 and methods of use thereof ,Immune Design Corp.,"Jan Henrik Ter Meulen, Peter Lars Aksel BERGLUND, Tinglan Tina ALBERSHARDT",2015-11-09,2016-11-08,2018-09-19,,https://patents.google.com/patent/EP3374374A1/en,
WO-2017083356-A1,A retroviral vector for the administration and expression of replicon rna expressing heterologous nucleic acids ,Immune Design Corp.,"Peter Lars Aksel BERGLUND, Jacob Freeman ARCHER, Tsai-Yu Lin",2015-11-09,2016-11-09,2017-05-18,,https://patents.google.com/patent/WO2017083356A1/en,
CY-1115020-T1,Lentiiikoi ENTITIES pseudotyped with a glycoprotein of the file the virus sindbis ,Immune Design Corp,"James M Allen, Hoeven Neal S Van, jin zhong Li, Derek D Sloan, Thomas W Dubensky Jr",2009-07-24,2014-04-08,2016-12-14,,https://patents.google.com/patent/CY1115020T1/en,
WO-2018148180-A3,Materials and methods for identifying and treating cancer patients ,Immune Design Corp.,"Jan Henrik Ter Meulen, Hailing Lu, Frank Hsu",2017-02-07,2018-02-06,2018-09-27,,https://patents.google.com/patent/WO2018148180A3/en,
