search URL:,https://patents.google.com/?assignee=IMPRIMIS+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5837289-A,Transdermal delivery of medications using a combination of penetration enhancers ,"Grasela; John C., Grasela; Joseph E., Jubenville; Robert M., Mccloskey; Joseph J.","John C. Grasela, Joseph E. Grasela, Robert M. Jubenville, Joseph J. McCloskey",1996-07-23,1996-07-23,1998-11-17,1998-11-17,https://patents.google.com/patent/US5837289A/en,https://patentimages.storage.googleapis.com/9b/7c/73/145b6be26b4a85/US5837289-drawings-page-2.png
US-7414039-B2,Interstitial therapy for immediate symptom relief and chronic therapy in interstitial cystitis ,The Regents Of The University Of California,C. Lowell Parsons,2004-01-28,2005-01-27,2008-08-19,2008-08-19,https://patents.google.com/patent/US7414039B2/en,https://patentimages.storage.googleapis.com/US7414039B2/US07414039-20080819-D00001.png
US-2013210840-A1,Anti-Cellulite Composition and Method of Treating Cellulite ,"Imprimis Pharmaceuticals, Inc.","Joseph Grasela, Joachim Schupp, Sergio Nacht",2010-06-11,2011-06-13,2013-08-15,,https://patents.google.com/patent/US20130210840A1/en,https://patentimages.storage.googleapis.com/4d/63/a8/ba8064ce17201c/US20130210840A1-20130815-D00001.png
US-9918993-B2,Pharmaceutical compositions for anesthesiological applications ,"Imprimis Pharmaceuticals, Inc.","John Berdahl, William F. WILEY, Dennis Elias Saadeh",2015-06-19,2016-06-16,2018-03-20,2018-03-20,https://patents.google.com/patent/US9918993B2/en,
US-9301936-B2,Pharmaceutical formulations of tranexamic acid and their use ,"Imprimis Pharmaceuticals, Inc.","Matthew James Buderer, Jeffrey Joel Abrams",2013-07-08,2014-07-08,2016-04-05,2016-04-05,https://patents.google.com/patent/US9301936B2/en,
US-2017105931-A1,Pharmaceutical compositions comprising gels and methods for fabricating thereof ,"Imprimis Pharmaceuticals, Inc.",John Scott Karolchyk,2014-05-23,2016-12-30,2017-04-20,,https://patents.google.com/patent/US20170105931A1/en,
US-10179136-B2,Pharmaceutical compositions and methods for anesthesiological applications ,"Imprimis Pharmaceuticals, Inc.","John Berdahl, William F. WILEY, Dennis Elias Saadeh",2015-06-19,2018-02-23,2019-01-15,2019-01-15,https://patents.google.com/patent/US10179136B2/en,
US-9849133-B2,"Pharmaceutical formulations of xanthine or xanthine derivatives, and their use ","Eton Pharmaceuticals, Inc.",Matthew J. Buderer,2013-06-18,2014-06-18,2017-12-26,2017-12-26,https://patents.google.com/patent/US9849133B2/en,
US-10166240-B2,Pharmaceutical compositions and methods for anesthesiological applications ,"Imprimis Pharmaceuticals, Inc.","John Berdahl, William F. WILEY, Dennis Elias Saadeh",2015-06-19,2018-02-23,2019-01-01,2019-01-01,https://patents.google.com/patent/US10166240B2/en,
US-9814673-B2,Intraocular lens comprising pharmaceutical compositions and methods for fabricating thereof ,"Imprimis Pharmaceuticals, Inc.","Gary Seelhorst, Thomas HARVEY, Mark L. Baum",2014-08-12,2016-03-10,2017-11-14,2017-11-14,https://patents.google.com/patent/US9814673B2/en,
