search URL:,https://patents.google.com/?assignee=INHIBITEX+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2010203416-B2,Phosphoramidate derivatives of guanosine nucleoside compounds for treatment of viral infections ,"Inhibitex, Inc., University College Of Cardiff Consultants Limited","Mohamed ALJARAH, Stanley Chamberlain, Arnaud Gilles, Jeff Hutchins, Karolina MADELA, Christopher Mcguigan, John Vernachio",2009-01-09,2010-01-11,2013-01-31,2013-01-31,https://patents.google.com/patent/AU2010203416B2/en,
AU-2002322127-B2,Cross-reactive monoclonal and polyclonal antibodies which recognize surface proteins from coagulase-negative staphylococci and staphylococcus aureus ,"Inhibitex, Inc., The Provost Fellows And Scholars Of The College Of The Holy And Undivided Trinity Of Queens Elizabeth Near Dublin, Universita' Degli Studi Di Pavia","Timothy J. Foster, Jeff T. Hutchins, Mark Pallen, Joseph M. Patti, Fiona Roche, Pietro Speziale",2001-06-15,2002-06-17,2008-08-21,2008-08-21,https://patents.google.com/patent/AU2002322127B2/en,
US-6692739-B1,Staphylococcal immunotherapeutics via donor selection and donor stimulation ,"Inhibitex, Inc., The Provost Fellows And Scholars Of The College Of The Holy And Undivided Trinity Of Queen Elizabeth Near Dublin, The Texas A&M University System","Joseph M. Patti, Timothy J. Foster, Magnus Hook",1998-08-31,1999-08-31,2004-02-17,2004-02-17,https://patents.google.com/patent/US6692739B1/en,https://patentimages.storage.googleapis.com/a5/d2/68/430d7cedbec43b/US6692739-drawings-page-4.png
AU-2002256985-B8,Monoclonal antibodies to the ClfA protein and method of use in treating or preventing infections ,"Inhibitex, Inc","Paul Domanski, Andrea Hall, Jeff T. Hutchins, Pratisksha Patel, Joseph M. Patti",2001-01-26,2002-01-28,2008-03-20,2008-03-20,https://patents.google.com/patent/AU2002256985B8/en,
CA-2340304-C,Multicomponent vaccines ,"Inhibitex, Inc., Joseph M. Patti, Timothy J. Foster, Magnus Hook, The Provost Fellows And Scholars Of The College Of The Holy And Undivide D Trinity Of Queen Elizabeth Near Dublin, The Texas A & M University System","Joseph M. Patti, Timothy J. Foster, Magnus Hook",1998-08-31,1999-08-31,2012-12-04,2012-12-04,https://patents.google.com/patent/CA2340304C/en,
EP-1034277-B1,Extracellular matrix-binding proteins from Staphylococcus aureus ,"Inhibitex, Inc., Bioresearch Ireland, Texas A & M University","Joseph M. Patti, Timothy J. Foster, Elizabet Josefsson, Deirdre Ni Eidhin, Magnus A. O. Hook, Samuel E. Perkins",1997-11-26,1998-11-25,2012-06-27,2012-06-27,https://patents.google.com/patent/EP1034277B1/en,https://patentimages.storage.googleapis.com/f1/3b/16/4d1501bf7af14c/imgf0001.png
JP-5757841-B2,Polysaccharide staphylococcal surface adhesin carrier protein conjugates for immunization against nosocomial infections ,"ワイス・ホールディングズ・コーポレイション, インヒビテックス・インコーポレイテッドＩｎｈｉｂｉｔｅｘ， Ｉｎｃ．, インヒビテックス・インコーポレイテッドＩｎｈｉｂｉｔｅｘ，  Ｉｎｃ．","ビリアム・パブリアク, スティーブン・モリス・ベイカー, スブラモニア・パドマナバ・ピライ, ジョゼフ・エム・パティ, ブラッドリー・ディ・プレイター",2003-03-07,2011-10-18,2015-08-05,2015-08-05,https://patents.google.com/patent/JP5757841B2/en,https://patentimages.storage.googleapis.com/6b/f8/74/347bef342ad2d7/0005757841-17.png
US-7666438-B1,Multicomponent vaccines ,"Inhibitex, Inc., The Provost Fellows and Scholars of the College of the Holy and Undivived Trinity of Queen Elizabeth Near Dublin, The Texas A&M University System","Joseph M. Patti, Timothy J. Foster, Magnus Hook",1998-08-31,2004-03-09,2010-02-23,2010-02-23,https://patents.google.com/patent/US7666438B1/en,https://patentimages.storage.googleapis.com/US7666438B1/US07666438-20100223-D00000.png
AU-762978-B2,Staphylococcal immunotherapeutics via donor selection and donor stimulation ,"Inhibitex, Inc., Provost, Fellows And Scholars Of The College Of The Holy And Undivided Trinity Of Queen Elizabeth Near Dublin, The, The Texas A & M University System","Timothy J. Foster, Magnus Hook, Joseph M Patti",1998-08-31,1999-08-31,2003-07-10,2003-07-10,https://patents.google.com/patent/AU762978B2/en,
AU-2002322127-A1,Cross-reactive monoclonal and polyclonal antibodies which recognize surface proteins from coagulase-negative staphylococci and staphylococcus aureus ,"Inhibitex, Inc., The Provost Fellows And Scholars Of The College Of The Holy And Undivided Trinity Of Queens Elizabeth Near Dublin, Universita' Degli Studi Di Pavia","Timothy J. Foster, Jeff T. Hutchins, Mark Pallen, Joseph M. Patti, Fiona Roche, Pietro Speziale",2001-06-15,2002-06-17,2003-05-15,,https://patents.google.com/patent/AU2002322127A1/en,
