search URL:,https://patents.google.com/?assignee=INOTEK+PHARMACEUTICALS+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6903079-B2,Nucleoside compounds and compositions thereof ,Inotek Pharmaceuticals Corporation,"Prakash Jagtap, Garry Southan, Andrew Salzman, Csaba Szabo, Siya Ram",2000-04-06,2002-12-16,2005-06-07,2005-06-07,https://patents.google.com/patent/US6903079B2/en,
US-6531464-B1,Methods for the treatment of neurodegenerative disorders using substituted phenanthridinone derivatives ,Inotek Pharmaceutical Corporation,"Csaba Szabo, Prakash Jagtap, Garry Southan, Andrew Salzman",1999-12-07,2000-06-29,2003-03-11,2003-03-11,https://patents.google.com/patent/US6531464B1/en,https://patentimages.storage.googleapis.com/cd/bc/44/ba616a9bfc4426/US06531464-20030311-D00001.png
US-6476048-B1,Substituted phenanthridinones and methods of use thereof ,Inotek Pharamaceuticals Corporation,"Csaba Szabo, Prakash Jagtap, Garry Southan, Andrew Salzman",1999-12-07,2000-06-22,2002-11-05,2002-11-05,https://patents.google.com/patent/US6476048B1/en,https://patentimages.storage.googleapis.com/bb/23/13/06970f48c31e06/US06476048-20021105-D00001.png
US-7217709-B2,Tetracyclic benzamide derivatives and methods of use thereof ,Inotek Pharmaceuticals Corporation,"Prakash Jagtap, Csaba Szabo",2003-02-28,2004-02-26,2007-05-15,2007-05-15,https://patents.google.com/patent/US7217709B2/en,
US-7268143-B2,Isoquinoline derivatives and methods of use thereof ,Inotek Pharmaceuticals Corporation,"Prakash Jagtap, Csaba Szabo, Andrew L. Salzman, Aloka Roy, William Williams",2001-08-31,2004-10-12,2007-09-11,2007-09-11,https://patents.google.com/patent/US7268143B2/en,
US-7652028-B2,Indenoisoquinolinone analogs and methods of use thereof ,Inotek Pharmaceuticals Corporation,"Prakash Jagtap, Duy-Phong Pham-Huu",2005-08-24,2006-08-23,2010-01-26,2010-01-26,https://patents.google.com/patent/US7652028B2/en,
ES-2345436-T3,"Substituted derivatives of indeno (1,2-c) isoquinoline and methods of use thereof. ",Inotek Pharmaceuticals Corporation,"Erkan Baloglu, Prakash G. Jagtap, Andrew L. Salzman, Csaba Szabo, John H. Van Duzer",2001-08-31,2002-08-30,2010-09-23,2010-09-23,https://patents.google.com/patent/ES2345436T3/en,
US-6277990-B1,Substituted phenanthridinones and methods of use thereof ,Inotek Corporation,"Prakash Jagtap, Gary Southan, Andrew Salzman, Csaba Szabo",1999-12-07,1999-12-07,2001-08-21,2001-08-21,https://patents.google.com/patent/US6277990B1/en,
US-7642250-B2,N-benzyl substituted pyridyl porphyrin compounds and methods of use thereof ,Inotek Pharmaceuticals Corporation,William Williams,2005-09-28,2006-09-26,2010-01-05,2010-01-05,https://patents.google.com/patent/US7642250B2/en,
AU-2002329920-A1,"Substituted indeno[1,2-c]isoquinoline derivatives and methods of use thereof ",Inotek Pharmaceuticals Corporation,"Erkan Baloglu, Prakash G. Jagtap, Andrew L. Salzman, Csaba Szabo, John H. Van Duzer",2001-08-31,2002-08-30,2003-06-05,,https://patents.google.com/patent/AU2002329920A1/en,
US-2005228007-A1,Isoquinoline derivatives and methods of use thereof ,"Prakash Jagtap, Erkan Baloglu, Van Duzer John H, Csaba Szabo, Salzman Andrew L, Aloka Roy, William Williams, Alexander Nivorozhkin","Prakash Jagtap, Erkan Baloglu, John van Duzer, Csaba Szabo, Andrew Salzman, Aloka Roy, William Williams, Alexander Nivorozhkin",2004-02-26,2005-02-25,2005-10-13,,https://patents.google.com/patent/US20050228007A1/en,https://patentimages.storage.googleapis.com/aa/60/97/7821e8948e931c/US20050228007A1-20051013-D00001.png
US-7432369-B2,Pyridyl-substituted porphyrin compounds and methods of use thereof ,Inotek Pharmaceuticals Corporation,"William Williams, Garry Southan",2004-03-29,2005-03-25,2008-10-07,2008-10-07,https://patents.google.com/patent/US7432369B2/en,
US-2007238694-A1,Purine compounds and methods of use thereof ,Inotek Pharmaceuticals Corporation,"Andrew Salzman, Prakash Jagtap",2006-03-23,2007-03-22,2007-10-11,,https://patents.google.com/patent/US20070238694A1/en,https://patentimages.storage.googleapis.com/96/ac/af/d435221eead0c9/US20070238694A1-20071011-D00001.png
US-2004019208-A1,"5-Aryltetrazole Compounds, compositions thereof, and uses therefor ","Alex Nivorozhkin, John Van Duzer, Andrew Salzman, Garry Southan, Siya Ram, Qi Zeng, Csaba Szabo","Alex Nivorozhkin, John Van Duzer, Andrew Salzman, Garry Southan, Siya Ram, Qi Zeng, Csaba Szabo",2002-07-18,2002-07-18,2004-01-29,,https://patents.google.com/patent/US20040019208A1/en,
EP-1758596-B9,Purine derivatives as adenosine a1 receptor agonists and methods of use thereof ,Inotek Pharmaceuticals Corporation,"Prakash Jagtap, Csaba Szabo, Andrew L. Salzman",2004-05-26,2005-05-25,2010-09-15,2010-09-15,https://patents.google.com/patent/EP1758596B9/en,https://patentimages.storage.googleapis.com/41/70/e9/1a67b943f62fc2/imgf0001.png
US-6281222-B1,Compositions and method for treatment of acetaminophen intoxication ,Inotek Corporation,"Andrew L. Salzman, Jon Mabley, Csaba Szabo",1999-08-19,2000-08-17,2001-08-28,2001-08-28,https://patents.google.com/patent/US6281222B1/en,https://patentimages.storage.googleapis.com/12/92/4f/8519c236a1973b/US06281222-20010828-D00001.png
AU-2006320578-B2,Purine derivatives and methods of use thereof ,Inotek Pharmaceuticals Corporation,"Prakash Jagtap, Andrew L. Salzman",2005-11-30,2006-11-30,2013-01-31,2013-01-31,https://patents.google.com/patent/AU2006320578B2/en,
US-8470800-B2,Method of reducing intraocular pressure in humans ,Inotek Pharmaceuticals Corporation,"Shikha Barman, Rudolf A. BAUMGARTNER",2009-05-01,2010-04-30,2013-06-25,2013-06-25,https://patents.google.com/patent/US8470800B2/en,https://patentimages.storage.googleapis.com/ad/59/54/08cf8678420fac/US08470800-20130625-D00001.png
US-8133880-B2,Purine derivatives and methods of use thereof ,Inotek Pharmaceuticals Corporation,"Prakash Jagtap, Andrew L. Salzman, Csaba Szabo",2004-09-20,2010-11-12,2012-03-13,2012-03-13,https://patents.google.com/patent/US8133880B2/en,https://patentimages.storage.googleapis.com/d5/63/72/061984d61759a4/US08133880-20120313-D00001.png
US-2005261288-A1,Tetracyclic lactam derivatives and uses thereof ,"Prakash Jagtap, William Williams, Csaba Szabo","Prakash Jagtap, William Williams, Csaba Szabo",2004-02-26,2005-02-25,2005-11-24,,https://patents.google.com/patent/US20050261288A1/en,
US-2006287313-A1,Isoquinoline compounds and methods of use thereof ,Inotek Pharmaceuticals Corporation,"Prakash Jagtap, Csaba Szabo",2005-02-25,2006-02-15,2006-12-21,,https://patents.google.com/patent/US20060287313A1/en,
US-2006287311-A1,Tetracyclic Sulfonamide Compounds and methods of use thereof ,Inotek Pharmaceuticals Corporation,"Prakash Jagtap, Csaba Szabo",2005-02-25,2006-02-15,2006-12-21,,https://patents.google.com/patent/US20060287311A1/en,
US-2006287312-A1,Tetracyclic amino and carboxamido compounds and methods of use thereof ,Inotek Pharmaceuticals Corporation,"Prakash Jagtap, Csaba Szabo",2005-02-25,2006-02-15,2006-12-21,,https://patents.google.com/patent/US20060287312A1/en,
US-2006019980-A1,Methods for treating or preventing erectile dysfunction or urinary incontinence ,"Inotek Pharmaceutical, Corp.","Csaba Szabo, Andrew Salzman",2004-06-16,2005-06-15,2006-01-26,,https://patents.google.com/patent/US20060019980A1/en,
US-6958324-B2,Inosine compounds and their use for treating or preventing an inflamation or a reperfusion disease ,Inotek Pharmaceuticals Corporation,"Andrew L. Salzman, Csaba Szabo",1998-12-02,2002-03-26,2005-10-25,2005-10-25,https://patents.google.com/patent/US6958324B2/en,https://patentimages.storage.googleapis.com/34/20/3f/fbee24b6a1d96b/US06958324-20051025-D00001.png
US-7087631-B2,"Aryltetrazole compounds, and compositions thereof ",Inotek Pharmaceuticals Corporation,"Alex Nivorozhkin, John Van Duzer, Garry Southan, Siya Ram, Qi Zeng",2002-07-18,2003-07-17,2006-08-08,2006-08-08,https://patents.google.com/patent/US7087631B2/en,
EP-2523669-B1,"Combination, kit and method of reducing intraocular pressure ",Inotek Pharmaceuticals Corporation,"Norman N. Kim, William K. Mcvicar, Thomas Mccauley, Rudolf A. Baumgartner",2010-01-11,2011-01-11,2016-12-07,2016-12-07,https://patents.google.com/patent/EP2523669B1/en,https://patentimages.storage.googleapis.com/96/5d/b9/8f1f3ebfc123f2/imgf0001.png
US-7407645-B2,Bioconjugates of metal complexes of nitrogen-containing macrocyclic ligands ,"Metaphore Pharmaceuticals, Inc.","William L. Neumann, Dennis P. Riley, Randy H. Weiss, Susan L. Henke, Patrick J Lennon, Karl W. Aston",1995-08-17,2003-12-16,2008-08-05,2008-08-05,https://patents.google.com/patent/US7407645B2/en,
EP-2555776-B1,Combination compositions of adenosine a1 agonists and non-selective beta-adrenergic receptor blockers for reducing intraocular pressure ,Inotek Pharmaceuticals Corporation,"Norman N. Kim, William K. Mcvicar, Thomas G. Mccauley",2010-03-19,2011-03-18,2016-12-07,2016-12-07,https://patents.google.com/patent/EP2555776B1/en,https://patentimages.storage.googleapis.com/03/a3/18/8d1943ac8d769a/imgf0001.png
CN-101010085-B,Purine derivatives as adenosine A1 receptor agonists and methods of use thereof ,伊诺泰克制药公司,"普拉卡什·耶格塔普, 乔鲍·绍博, 安德鲁·L·萨尔兹曼",2004-05-26,2005-05-25,2012-12-26,2012-12-26,https://patents.google.com/patent/CN101010085B/en,
US-2011123622-A1,Ophthalmic formulation and method of manufacture thereof ,Inotek Pharmaceuticals Corporation,"Kenneth L. Avery, Harun Takruri",2009-10-26,2010-10-26,2011-05-26,,https://patents.google.com/patent/US20110123622A1/en,https://patentimages.storage.googleapis.com/33/58/95/f22be226ecbc61/US20110123622A1-20110526-D00001.png
US-2010304415-A1,Chromatography of metal complexes ,"Slomczynska Urszula J, Trawick Bobby N, Riley Dennis P, Arati Naik","Urszula J. Slomczynska, Bobby N. Trawick, Dennis P. Riley, Arati Naik",2001-03-02,2010-05-25,2010-12-02,,https://patents.google.com/patent/US20100304415A1/en,https://patentimages.storage.googleapis.com/26/ae/bd/36ab90e8276fb6/US20100304415A1-20101202-D00001.png
US-8501708-B2,Adenosine compounds and their use thereof ,Inotek Pharmaceuticals Corporation,Prakash Jagtap,2010-03-26,2011-03-25,2013-08-06,2013-08-06,https://patents.google.com/patent/US8501708B2/en,https://patentimages.storage.googleapis.com/59/27/bc/4eb18b83ebb7ff/US08501708-20130806-D00001.png
