search URL:,https://patents.google.com/?assignee=INSYS+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8628796-B2,Room-temperature stable dronabinol formulations ,"Insys Therapeutics, Inc.","S. George Kottayil, Zhongyuan Zhu, Venkat R. Goskonda",2004-12-09,2005-12-09,2014-01-14,2014-01-14,https://patents.google.com/patent/US8628796B2/en,https://patentimages.storage.googleapis.com/d0/3e/18/0eb80d23c09b0f/US08628796-20140114-D00001.png
AU-2007208229-B2,Sublingual fentanyl spray ,Insys Therapeutics Inc.,"Venkat R. Goskonda, Linet Kattookaran, S. George Kottayil, Neha N. Parikh, Zhongyuan Zhu",2006-01-25,2007-01-25,2009-11-05,2009-11-05,https://patents.google.com/patent/AU2007208229B2/en,
US-2008112895-A1,Aqueous dronabinol formulations ,Insys Therapeutics Inc.,"S. George Kottayil, Venkat R. Goskonda, Zhongyuan Zhu, Linet Kattookaran",2006-08-04,2007-08-06,2008-05-15,,https://patents.google.com/patent/US20080112895A1/en,https://patentimages.storage.googleapis.com/US20080112895A1/US20080112895A1-20080515-D00001.png
US-8222292-B2,Liquid cannabinoid formulations ,"Insys Therapeutics, Inc.","Venkat R. Goskonda, Ashok Chavan, Amit Kokate, Howard Gill",2007-08-06,2011-08-31,2012-07-17,2012-07-17,https://patents.google.com/patent/US8222292B2/en,https://patentimages.storage.googleapis.com/66/c5/d9/3bf81166fd4aa1/US08222292-20120717-D00001.png
US-2009181080-A1,Oral cannabinnoid liquid formulations and methods of treatment ,Insys Therapeutics Inc.,"S. George Kottayil, Venkat R. Goskonda, Zhongyuan Zhu, Linet Kattookaran",2007-08-06,2008-08-06,2009-07-16,,https://patents.google.com/patent/US20090181080A1/en,https://patentimages.storage.googleapis.com/US20090181080A1/US20090181080A1-20090716-D00001.png
US-2013296368-A1,Sublingual fentanyl spray ,"Insys Therapeutics, Inc.","S. George Kottayil, Venkat R. Goskonda, Zhongyuan Zhu, Linet Kattookaran, Neha Parikh",2007-08-02,2013-05-15,2013-11-07,,https://patents.google.com/patent/US20130296368A1/en,https://patentimages.storage.googleapis.com/a6/15/55/1def29b273dac4/US20130296368A1-20131107-D00001.png
US-2005048115-A1,Buprenorphine microspheres ,"Murty Mangena, Murty B. Ram","Murty Mangena, B. Murty",2003-08-27,2003-08-27,2005-03-03,,https://patents.google.com/patent/US20050048115A1/en,
US-9345771-B2,Oral cannabinoid formulations ,"Insys Development Company, Inc.","Venkat R. Goskonda, Ashok Chavan, Amit Kokate, Howard Gill",2012-10-04,2012-10-04,2016-05-24,2016-05-24,https://patents.google.com/patent/US9345771B2/en,
US-2008176885-A1,Novel synergistic opioid-cannabinoid codrug for pain management ,University Of Kentucky,"Joseph R. Holtman, Peter A. Crooks, Harpreet K. Dhooper",2006-10-10,2007-10-10,2008-07-24,,https://patents.google.com/patent/US20080176885A1/en,
US-8741341-B2,Manufacturing and packaging room temperature stable dronabinol capsules ,"Insys Therapeutics, Inc.","Venkat Goskonda, Ashok Chavan, Kiran Amancha, Scott Crisman, Crystal Lopez",2012-05-07,2013-03-20,2014-06-03,2014-06-03,https://patents.google.com/patent/US8741341B2/en,
CY-1117263-T1,Sublingual SPRAY fentanylis ,"Insys Therapeutics, Inc.","S George Kottayil, Venkat R Goskonda, Zhongyuan Zhu, Linet Kattookaran, Neha N Parikh",2006-01-25,2015-05-08,2017-04-26,,https://patents.google.com/patent/CY1117263T1/en,
IN-2007DN04456-A,Room-temperature stable dronabinol formulations ,"Insys Therapeutics,Inc.","George S Kottayil, Zhongyuan Zhu, Venkat R Goskonda",2004-12-09,2007-06-11,2007-08-24,,https://patents.google.com/patent/IN2007DN04456A/en,
