search URL:,https://patents.google.com/?assignee=INTERCEPT+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10155787-B2,Preparation and uses of obeticholic acid ,"Intercept Pharmaceuticals, Inc.","André Steiner, Heidi Waenerlund Poulsen, Emilie Jolibois, Melissa Rewolinski, Ralf Gross, Emma Sharp, Fiona Dubas-Fisher, Alex Eberlin",2012-06-19,2015-11-20,2018-12-18,2018-12-18,https://patents.google.com/patent/US10155787B2/en,https://patentimages.storage.googleapis.com/23/ed/67/c105eb09bcc3c7/US10155787-20181218-D00001.png
US-9732117-B2,Steroids as agonists for FXR ,"Intercept Pharmaceuticals, Inc.",Roberto Pellicciari,2001-03-12,2016-02-05,2017-08-15,2017-08-15,https://patents.google.com/patent/US9732117B2/en,
CA-2608539-C,Process for preparing 3.alpha.(.beta.)-7.alpha.(.beta.)-dihydroxy-6.alpha.(.beta.)-alkyl-5.beta.-cholanic acid ,"Erregierre S.P.A., Massimo Ferrari, Roberto Pellicciari, Intercept Pharmaceuticals, Inc.","Massimo Ferrari, Roberto Pellicciari",2005-05-19,2006-05-19,2013-02-26,2013-02-26,https://patents.google.com/patent/CA2608539C/en,
EP-2040713-B1,Bile acid derivatives as fxr ligands for the prevention or treatment of fxr-mediated deseases or conditions ,Intercept Pharmaceuticals Inc.,"Roberto Pellicciari, Stefano Fiorucci, Mark Pruzanski",2006-06-27,2007-06-27,2014-06-18,2014-06-18,https://patents.google.com/patent/EP2040713B1/en,https://patentimages.storage.googleapis.com/98/7a/71/ca325a4bae8b20/imgf0001.png
AU-2008209566-B2,23-substituted bile acids as TGR5 modulators and methods of use thereof ,"Intercept Pharmaceuticals, Inc.",Roberto Pellicciari,2007-01-19,2008-01-18,2012-09-20,2012-09-20,https://patents.google.com/patent/AU2008209566B2/en,
US-7812011-B2,Steroid agonist for FXR ,"Intercept Pharmaceuticals, Inc.",Roberto Pellicciari,2004-02-26,2005-02-28,2010-10-12,2010-10-12,https://patents.google.com/patent/US7812011B2/en,
US-7858608-B2,Bile acid derivatives as FXR ligands for the prevention or treatment of FXR-mediated diseases or conditions ,"Intercept Pharmaceuticals, Inc.","Roberto Pellicciari, Stefano Fiorucci, Mark Pruzanski",2006-02-14,2009-05-04,2010-12-28,2010-12-28,https://patents.google.com/patent/US7858608B2/en,https://patentimages.storage.googleapis.com/f6/86/e1/29eda32d1a1e02/US07858608-20101228-D00001.png
US-9498484-B2,Treatment of fibrosis using FXR ligands ,"Intercept Pharmaceuticals, Inc.","Stefano Fiorucci, Roberto Pellicciari, Mark Pruzanski",2004-03-12,2005-03-14,2016-11-22,2016-11-22,https://patents.google.com/patent/US9498484B2/en,https://patentimages.storage.googleapis.com/10/b4/c7/5532467b86b30f/US09498484-20161122-D00001.png
DK-2997035-T3,11-hydroxy-6-substituted derivatives of bile acids and amino acid conjugates thereof as Farnesoid X-receptor modulators ,Intercept Pharmaceuticals Inc,Roberto Pellicciari,2013-05-14,2014-05-14,2018-07-02,2018-07-02,https://patents.google.com/patent/DK2997035T3/en,
AU-2002308295-A1,Steroids as agonists for FXR ,"Intercept Pharmaceuticals, Inc.",Roberto Pellicciari,2001-03-12,2002-02-21,2003-03-20,,https://patents.google.com/patent/AU2002308295A1/en,
US-9650409-B2,TGR5 modulators and methods of use thereof ,"Intercept Pharmaceuticals, Inc.",Roberto Pellicciari,2008-11-19,2013-04-26,2017-05-16,2017-05-16,https://patents.google.com/patent/US9650409B2/en,https://patentimages.storage.googleapis.com/bb/a5/1f/c587fcfd8b2d2d/US09650409-20170516-D00001.png
CA-2732323-C,Tgr5 modulators and methods of use thereof ,"Intercept Pharmaceuticals, Inc., Roberto Pellicciari",Roberto Pellicciari,2008-07-30,2009-07-30,2017-06-27,2017-06-27,https://patents.google.com/patent/CA2732323C/en,
US-2006252670-A1,Method of reducing drug-induced adverse side effects in a patient ,Intercept Pharmaceuticals Inc.,"Stefano Fiorucci, Roberto Pellicciari, Mark Pruzanski",2004-10-14,2005-10-13,2006-11-09,,https://patents.google.com/patent/US20060252670A1/en,
US-2016213689-A1,Treatment of Pulmonary Disease ,"Intercept Pharmaceuticals, Inc.","Mark Pruzanski, Luciano Adorini",2012-11-28,2016-01-28,2016-07-28,,https://patents.google.com/patent/US20160213689A1/en,https://patentimages.storage.googleapis.com/8f/96/36/285eb7ab997ea6/US20160213689A1-20160728-D00001.png
AU-2009316484-B2,TGR5 modulators and methods of use thereof ,"Intercept Pharmaceuticals, Inc.",Roberto Pellicciari,2008-11-19,2009-11-19,2015-04-16,2015-04-16,https://patents.google.com/patent/AU2009316484B2/en,
ES-2655034-T3,Process for preparing bile acid derivatives ,"Intercept Pharmaceuticals, Inc.","Roberto Pellicciari, Antimo GIOIELLO",2012-10-26,2013-10-25,2018-02-16,2018-02-16,https://patents.google.com/patent/ES2655034T3/en,
EP-1947108-A1,TGR5 modulators and methods of use thereof ,"Intercept Pharmaceuticals, Inc.",Roberto Prof. Pellicciari,2007-01-19,2007-01-19,2008-07-23,,https://patents.google.com/patent/EP1947108A1/en,
WO-2016205475-A2,Tgr5 modulators and methods of use thereof ,"Intercept Pharmaceuticals, Inc., Les Laboratoires Servier","Roberto Pellicciari, Antimo GIOIELLO, Antonio Macchiarulo, Francoise Perron-Sierra, Klaus Seedorf",2015-06-19,2016-06-16,2016-12-22,,https://patents.google.com/patent/WO2016205475A2/en,
WO-2017027396-A1,Methods for preparation of bile acids and derivatives thereof ,"Intercept Pharmaceuticals, Inc.",Gabriel M. GALVIN,2015-08-07,2016-08-05,2017-02-16,,https://patents.google.com/patent/WO2017027396A1/en,
US-10052337-B2,Compositions of obeticholic acid and methods of use ,"Intercept Pharmaceuticals, Inc.","Richard Gail Lancaster, Kay K. Olmstead, Masashi Kagihiro, Mitsuhiro Matono, Ikuko Taoka, Mark Pruzanski, David Shapiro, Roya Hooshmand-Rad, Richard Pencek, Cathi Sciacca, Lise Eliot, Jeffrey Edwards, Leigh A. MacConell, Tonya K. Marmon",2015-04-27,2016-04-26,2018-08-21,2018-08-21,https://patents.google.com/patent/US10052337B2/en,https://patentimages.storage.googleapis.com/e5/8f/b0/92e17db04db569/US10052337-20180821-D00000.png
US-2018008616-A1,Pharmaceutical compositions for combination therapy ,"Intercept Pharmaceuticals, Inc.","Mark Pruzanski, Luciano Adorini",2015-02-06,2016-02-05,2018-01-11,,https://patents.google.com/patent/US20180008616A1/en,https://patentimages.storage.googleapis.com/ab/ae/f7/4bf131e4741ed0/US20180008616A1-20180111-D00001.png
US-2019002493-A1,3-desoxy derivative and pharmaceutical compositions thereof ,"Intercept Pharmaceuticals, Inc.","Roberto Pellicciari, Antimo Gioiello",2016-03-11,2018-09-06,2019-01-03,,https://patents.google.com/patent/US20190002493A1/en,https://patentimages.storage.googleapis.com/ff/e8/99/294765bcf33a4c/US20190002493A1-20190103-D00001.png
US-9982008-B2,Preparation and uses of obeticholic acid ,"Intercept Pharmaceuticals, Inc.","André Steiner, Heidi Waenerlund Poulsen, Emilie Jolibois, Melissa Rewolinski, Ralf Gross, Emma Sharp, Fiona Dubas-Fisher, Alex Eberlin",2012-06-19,2015-12-22,2018-05-29,2018-05-29,https://patents.google.com/patent/US9982008B2/en,https://patentimages.storage.googleapis.com/ee/8c/c9/045c93b036c366/US09982008-20180529-D00001.png
US-2018117065-A1,Pharmaceutical compositions for combination therapy ,"Intercept Pharmaceuticals, Inc.","Mark Pruzanski, Luciano Adorini",2015-04-07,2016-04-06,2018-05-03,,https://patents.google.com/patent/US20180117065A1/en,https://patentimages.storage.googleapis.com/9e/88/9b/742aba3ab9b1a9/US20180117065A1-20180503-D00001.png
KR-20180095070-A,Polymorphic crystalline forms of obetic acid ,"인터셉트 파마슈티컬즈, 인크.","안드레 슈타이너, 하이디 웨넬룬드 포울센, 에밀리 졸리부아, 멜리사 레볼린스키, 랄프 그로스, 엠마 샤프, 피오나 두바스-피셔, 알렉스 에벌린",2015-12-22,2016-01-08,2018-08-24,,https://patents.google.com/patent/KR20180095070A/en,https://patentimages.storage.googleapis.com/bf/a7/6a/6880f7a2409e0e/pct00057.png
