search URL:,https://patents.google.com/?assignee=INTREXON+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7505618-B2,Method and apparatus for selectively targeting specific cells within a cell population ,"Cyntellect, Inc.","Bernhard O. Palsson, Manfred R. Koller, Timothy M. Eisfeld",1997-03-27,2003-02-04,2009-03-17,2009-03-17,https://patents.google.com/patent/US7505618B2/en,https://patentimages.storage.googleapis.com/US7505618B2/US07505618-20090317-D00000.png
US-8218840-B2,Method and device for selectively targeting cells within a three-dimensional specimen ,Intrexon Corporation,"Timothy M Eisfeld, Manfred R Koller, Bernhard O Palsson",2000-10-24,2011-02-17,2012-07-10,2012-07-10,https://patents.google.com/patent/US8218840B2/en,https://patentimages.storage.googleapis.com/27/7e/70/2ec40f35370d10/US08218840-20120710-D00000.png
US-5874266-A,Targeted system for removing tumor cells from cell populations ,Palsson; Bernhard O.,Bernhard O. Palsson,1997-03-27,1997-03-27,1999-02-23,1999-02-23,https://patents.google.com/patent/US5874266A/en,https://patentimages.storage.googleapis.com/38/c9/8d/f0ffad06939ea8/US5874266-drawings-page-3.png
US-6534308-B1,Method and apparatus for selectively targeting specific cells within a mixed cell population ,"Oncosis, Llc","Bernhard O. Palsson, Manfred R. Koller, Timothy M. Eisfeld",1997-03-27,1999-11-30,2003-03-18,2003-03-18,https://patents.google.com/patent/US6534308B1/en,https://patentimages.storage.googleapis.com/99/89/9c/3a3f8d974b50d8/US6534308-drawings-page-3.png
CA-2595929-C,Site-specific serine recombinases and methods of their use ,"Intrexon Corporation, Malla Padidam, Rheogene, Inc.",Malla Padidam,2005-02-02,2005-02-08,2016-02-02,2016-02-02,https://patents.google.com/patent/CA2595929C/en,
EP-1266015-B1,Ecdysone receptor-based inducible gene expression system ,RheoGene Holdings Inc.,"Subba Reddy Palli, Marianna Zinovjevna Kapitskaya, Dean Ervin Cress",2000-03-22,2001-03-21,2006-08-30,2006-08-30,https://patents.google.com/patent/EP1266015B1/en,https://patentimages.storage.googleapis.com/20/45/60/ed1202d2897a68/imgf0001.png
EP-2205618-B1,"Synthetic 5'utrs, expression vectors, and methods for increasing transgene expression ",Intrexon Corporation,Thomas Reed,2007-09-26,2008-09-26,2016-11-09,2016-11-09,https://patents.google.com/patent/EP2205618B1/en,https://patentimages.storage.googleapis.com/6b/45/79/5ab7a4a874e823/imgf0001.png
AU-765306-B2,Ligands for modulating the expression of exogenous genes via an ecdysone receptor complex ,Intrexon Corporation,"Glenn Richard Carlson, Dean Ervin Cress, Tarlochan Singh Dhadialla, Robert Eugene Hormann, Dat Phat Le",1998-06-17,1999-06-07,2003-09-18,2003-09-18,https://patents.google.com/patent/AU765306B2/en,
US-6642018-B1,Method for inducing a response in one or more targeted cells ,Oncosis Llc,"Manfred R. Koller, Bernhard O. Palsson, Timothy M. Eisfeld",1998-03-27,2000-03-13,2003-11-04,2003-11-04,https://patents.google.com/patent/US6642018B1/en,https://patentimages.storage.googleapis.com/65/0b/96/c02796cdf602c3/US06642018-20031104-D00001.png
EP-1334200-B1,Multiple inducible gene regulation system ,Intrexon Corporation,"Tarlochan Singh Dhadialla, Dean Ervin Cress, Glenn Richard Carlson, Robert Eugene Hormann, Subba Reddy Palli, Arthur John Kudla, Ronald Phillip Herzig, Jr., Mohan Philip",2000-10-03,2001-09-28,2011-04-13,2011-04-13,https://patents.google.com/patent/EP1334200B1/en,https://patentimages.storage.googleapis.com/e8/1c/fb/186badad947696/imgf0001.png
EP-2374891-B1,Chimeric retinoid X receptors and their use in a novel ecdysone receptor-based inducible gene expression system ,Intrexon Corporation,"Subba Reddy Palli, Marianna Zinovjevna Kapitskaya",2001-02-20,2002-02-20,2013-05-08,2013-05-08,https://patents.google.com/patent/EP2374891B1/en,https://patentimages.storage.googleapis.com/d0/1e/48/c2f2181d9eae73/imgf0001.png
US-8076454-B2,Mutant receptors and their use in a nuclear receptor-based inducible gene expression system ,Intrexon Corporation,"Subba Reddy Palli, Mohan Basavaraju Kumar",2004-04-30,2007-08-20,2011-12-13,2011-12-13,https://patents.google.com/patent/US8076454B2/en,
US-9322026-B2,Substitution mutant receptors and their use in a nuclear receptor-based inducible gene expression system ,Intrexon Corporation,"Subba Reddy Palli, Mohan Basavaraju Kumar, Dean Ervin Cress, Ted Tsutomu Fujimoto",2001-02-20,2012-09-14,2016-04-26,2016-04-26,https://patents.google.com/patent/US9322026B2/en,https://patentimages.storage.googleapis.com/6f/e1/a7/e127b4353ff9bf/US09322026-20160426-D00001.png
AU-2002333551-B2,Optoinjection methods ,Intrexon Corporation,"Timothy M. Eisfeld, Elie G. Hanania, Manfred R. Koller, Bernhard O. Palsson",2001-09-21,2002-09-09,2007-08-02,2007-08-02,https://patents.google.com/patent/AU2002333551B2/en,
US-8202718-B2,Ecdysone receptor-based inducible gene expression system ,Intrexon Corporation,"Subba Reddy Palli, Marianna Zinovjevna Kapitskaya, Dean Ervin Cress",2000-03-22,2010-06-17,2012-06-19,2012-06-19,https://patents.google.com/patent/US8202718B2/en,https://patentimages.storage.googleapis.com/ef/ee/36/c6e0ce2dc6f1f5/US08202718-20120619-D00001.png
US-10087231-B2,Substitution mutant receptors and their use in an ecdysone receptor-based inducible gene expression system ,Intrexon Corporation,"Subba Reddy Palli, Marianna Zinovievna Kapitskaya",2001-02-20,2015-12-17,2018-10-02,2018-10-02,https://patents.google.com/patent/US10087231B2/en,https://patentimages.storage.googleapis.com/f2/7b/ab/c203f38a74d6ba/US10087231-20181002-D00001.png
AU-2003247892-B8,Ketone ligands for modulating the expression of exogenous genes via an ecdysone receptor complex ,Intrexon Corporation,"Robert E. Hormann, Enrique L. Michelotti, Colin M. Tice",2002-07-05,2003-07-05,2010-04-22,2010-04-22,https://patents.google.com/patent/AU2003247892B8/en,
US-6576422-B1,Method for identifying products employing gene expression ,Rohm And Haas Company,"Barry Weinstein, Lorraine Holowach Keller, Subba Reddy Palli",2000-10-17,2000-10-17,2003-06-10,2003-06-10,https://patents.google.com/patent/US6576422B1/en,
US-8669072-B2,Oxadiazoline ligands for modulating the expression of exogenous genes via an ecdysone receptor complex ,Intrexon Corporation,"Robert Eugene Hormann, Orestes Chortyk, Dat Phat Le",2003-02-21,2007-08-13,2014-03-11,2014-03-11,https://patents.google.com/patent/US8669072B2/en,
US-9169210-B2,Bioavailable diacylhydrazine ligands for modulating the expression of exogenous genes via an ecdysone receptor complex ,Intrexon Corporation,"Robert Eugene Hormann, David W. Potter, Orestes Chortyk, Colin M. Tice, Glenn Richard Carlson, Andrew Meyer, Thomas R. Opie",2003-02-28,2012-09-05,2015-10-27,2015-10-27,https://patents.google.com/patent/US9169210B2/en,https://patentimages.storage.googleapis.com/25/8a/07/2e0f5e37acc38c/US09169210-20151027-D00001.png
