search URL:,https://patents.google.com/?assignee=IOMAI+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2002252378-B2,Transcutaneous immunostimulation ,"Intercell Usa, Inc.","Gregory M. Glenn, Howard R. Six",2001-03-19,2002-03-19,2007-10-18,2007-10-18,https://patents.google.com/patent/AU2002252378B2/en,
CN-101242869-B,Devices for transcutaneous delivery of vaccines and transdermal delivery of drugs and uses thereof ,Iomai公司,"乔纳森·I·卡普兰, 于建梅, 克里斯蒂娜·P·维勒, 克里斯蒂娜·W·麦克尔哈尼, 凯尔·J·德克森, 吉娜·L·罗梅罗, 大卫·A·卢宾斯基, 大卫·弗雷里奇斯, 安托尼·C·皮利亚坎波, 布赖恩·J·马松, 彼得·S·麦克唐纳, 拉里·R·埃林斯沃思, 查尔斯·F·斯蒂夫斯三世, 格雷戈里·M·格伦, 约翰·W·莱, 罗伯特·I·利斯特, 莱昂内尔·莫里, 萨利·H·马德森, 阿伦·A·亨宁斯戈德, 阿德里安·B·詹姆斯, 马修·D·井上, 默文·L·哈默, 黛安娜·E·埃珀森",2005-09-02,2006-09-05,2010-05-26,2010-05-26,https://patents.google.com/patent/CN101242869B/en,
US-2005287157-A1,Dry formulation for transcutaneous immunization ,Iomai Corporation,"Gregory Glenn, Tanya Scharton-Kersten",1999-04-08,2005-06-03,2005-12-29,,https://patents.google.com/patent/US20050287157A1/en,https://patentimages.storage.googleapis.com/31/b6/81/7c8107f83b7b02/US20050287157A1-20051229-D00001.png
EP-1061951-A1,Use of skin penetration enhancers and barrier disruption agents to enhance the transcutaneous immune response induced by adp-ribosylating exotoxin ,Iomai Corporation,"Carl B. Alving, Gregory M. Glenn",1998-02-25,1999-02-25,2000-12-27,,https://patents.google.com/patent/EP1061951A1/en,
EP-1381381-A1,Patch for transcutaneous immunization ,"Adams, Christopher L, Gregory M. Glenn, Mervyn L. Hamer, Iomai Corporation, Jesus Miranda, Jianmei Yu","Christopher L. Adams, Gregory M. Glenn, Mervyn L. Hamer, Jesus Miranda, Jianmei Yu",2001-03-19,2002-03-19,2004-01-21,,https://patents.google.com/patent/EP1381381A1/en,
US-2009136480-A1,Transcutaneous immunostimulation ,Iomai Corporation,"Gregory M. Glenn, Larry R. Ellingsworth, Scott A. Hammond",2001-03-19,2007-08-06,2009-05-28,,https://patents.google.com/patent/US20090136480A1/en,https://patentimages.storage.googleapis.com/US20090136480A1/US20090136480A1-20090528-D00000.png
WO-2005079841-A2,Gm1 binding deficient exotoxins for use as immunoadjuvants ,Iomai Corporation,"Paul Zoeteweij, Gregory M. Glenn, Larry Ellingsworth",2003-12-09,2004-12-09,2005-09-01,,https://patents.google.com/patent/WO2005079841A2/en,
US-2009017056-A1,Skin immunization using lt-sta fusion proteins ,Iomai Corporation,"Jian-Hui Tian, Gregory M. Glenn, Larry R. Ellingsworth",2004-06-15,2005-06-15,2009-01-15,,https://patents.google.com/patent/US20090017056A1/en,https://patentimages.storage.googleapis.com/US20090017056A1/US20090017056A1-20090115-D00001.png
CN-1913918-A,GM1 binding deficient exotoxins for use as immunoadjuvants ,Iomai公司,"保罗·佐特魏, 格雷戈里·M·格伦, 拉里·埃林斯沃思",2003-12-09,2004-12-09,2007-02-14,,https://patents.google.com/patent/CN1913918A/en,
WO-2005005603-A2,Method for inducing an immune response to cancer antigen ,Iomai Corporation,"Diane E. Epperson, Gregory M. Glenn, Scott A. Hammond",2003-06-10,2004-06-10,2005-01-20,,https://patents.google.com/patent/WO2005005603A2/en,
