search URL:,https://patents.google.com/?assignee=IRONWOOD+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7772188-B2,Methods and compositions for the treatment of gastrointestinal disorders ,"Ironwood Pharmaceuticals, Inc.","Mark G. Currie, Shalina Mahajan-Miklos, Angelika Fretzen, Li Jing Sun, Caroline Kurtz, Thea Norman, G. Todd Milne",2003-01-28,2005-02-08,2010-08-10,2010-08-10,https://patents.google.com/patent/US7772188B2/en,https://patentimages.storage.googleapis.com/47/ed/bf/53b1983516bfae/US07772188-20100810-D00001.png
US-8110553-B2,Methods and compositions for the treatment of gastrointestinal disorders ,"Ironwood Pharmaceuticals, Inc.","Mark G. Currie, Shalina Mahajan-Miklos, G. Todd Milne, Thea Norman",2003-01-28,2010-05-27,2012-02-07,2012-02-07,https://patents.google.com/patent/US8110553B2/en,https://patentimages.storage.googleapis.com/1d/11/b9/1a9f862d50afe1/US08110553-20120207-D00001.png
JP-5406716-B2,Indole compound ,アイアンウッド  ファーマシューティカルズ  インコーポレイテッドＩｒｏｎｗｏｏｄ  Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ，Ｉｎｃ．,"ジョン・ジェフリー・タリー, ケビン・スプロット, ジェイムズ・フィリップ・ピアソン, ジー・トッド・ミルン, ウェイン・シャイラー, ヤン・ジェーン, チャールズ・キム, ティモシー・バーデン, レジーナ・ルンドリガン, アラ・マーメリアン, マーク・ジー・カリー",2006-08-07,2007-08-07,2014-02-05,2014-02-05,https://patents.google.com/patent/JP5406716B2/en,https://patentimages.storage.googleapis.com/f1/88/cc/4b688b446269de/0005406716-836.png
US-8779090-B2,Methods and compositions for the treatment of heart failure and other disorders ,"Ironwood Pharmaceuticals, Inc.","Daniel Zimmer, Angelika Fretzen, Mark Currie, G. Todd Milne",2007-02-26,2008-02-26,2014-07-15,2014-07-15,https://patents.google.com/patent/US8779090B2/en,https://patentimages.storage.googleapis.com/b6/17/67/7b58bf6713b1ca/US08779090-20140715-D00001.png
AU-2004210161-B2,Methods and compositions for the treatment of gastrointestinal disorders ,"Ironwood Pharmaceuticals, Inc.","Mark G. Currie, Shalina Mahajan-Miklos, Todd G. Milne, Thea Norman",2003-01-28,2004-01-28,2009-11-26,2009-11-26,https://patents.google.com/patent/AU2004210161B2/en,
US-9840536-B2,Methods and compositions for the treatment of gastrointestinal disorders ,"Ironwood Pharmaceuticals, Inc.","Mark G. Currie, Shalina Mahajan-Miklos, Li Jing Sun",2003-06-13,2015-11-09,2017-12-12,2017-12-12,https://patents.google.com/patent/US9840536B2/en,https://patentimages.storage.googleapis.com/96/81/96/9d69615e5f3a65/US09840536-20171212-D00001.png
US-7494979-B2,Method for treating congestive heart failure and other disorders ,"Ironwood Pharmaceuticals, Inc.","Mark G. Currie, Shalina Mahajan-Miklos, Li Jing Sun, Caroline Kurtz",2003-06-13,2005-02-08,2009-02-24,2009-02-24,https://patents.google.com/patent/US7494979B2/en,https://patentimages.storage.googleapis.com/dc/1a/e7/4ee6499a5d14c4/US07494979-20090224-D00074.png
US-7320972-B2,4-Biarylyl-1-phenylazetidin-2-ones ,"Microbia, Inc.","Eduardo Martinez, John J. Talley, Stephen Antonelli, Timothy C. Barden, Regina Lundrigan-Soucy, Wayne C. Schairer, Jing-Jing Yang, Daniel P. Zimmer, Brian Cali, Mark G. Currie, Peter S. Yorgey",2003-11-10,2004-11-10,2008-01-22,2008-01-22,https://patents.google.com/patent/US7320972B2/en,
CA-2803292-C,Sgc stimulators ,"Ironwood Pharmaceuticals, Inc., Charles Kim, Takashi Nakai, Thomas Wai-Ho Lee, Joel Moore, Nicholas Robert Perl, Jason Rohde, Rajesh R. Iyengar, Ara Mermerian, Angelika Fretzen","Charles Kim, Takashi Nakai, Thomas Wai-Ho Lee, Joel Moore, Nicholas Robert Perl, Jason Rohde, Rajesh R. Iyengar, Ara Mermerian, Angelika Fretzen",2010-06-30,2011-06-30,2016-06-14,2016-06-14,https://patents.google.com/patent/CA2803292C/en,
US-9481689-B2,sGC stimulators ,"Ironwood Pharmaceuticals, Inc.","Takashi Nakai, Joel Moore, Nicholas Robert Perl, Rajesh R. Iyengar, Ara Mermerian, G-yoon Jamie Im, Thomas Wai-Ho Lee, Colleen Hudson, Glen Robert RENNIE, James Jia, Paul Allan Renhowe, Timothy Claude Barden, Xiang Y. Yu, James Edward SHEPPECK, Karthik Iyer, Joon Jung, George Todd MILNE, Kimberly Kafadar LONG, Mark G. Currie",2013-03-15,2014-03-14,2016-11-01,2016-11-01,https://patents.google.com/patent/US9481689B2/en,
