search URL:,https://patents.google.com/?assignee=JAGUAR+ANIMAL+HEALTH+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2017100429-A1,Methods of Treating Diarrhea in Neonatal and Young Non-Human Animals ,"Jaguar Animal Health, Inc.",Serge Martinod,2014-05-29,2015-05-28,2017-04-13,,https://patents.google.com/patent/US20170100429A1/en,https://patentimages.storage.googleapis.com/db/0a/1d/b42d2aafbaf225/US20170100429A1-20170413-D00001.png
US-2017095442-A1,Methods of Treating Salmonella-Induced Diarrhea in Non-Human Animals ,"Jaguar Animal Health, Inc.",Serge Martinod,2014-05-29,2015-05-28,2017-04-06,,https://patents.google.com/patent/US20170095442A1/en,https://patentimages.storage.googleapis.com/d2/1a/06/bd90fac2cb6832/US20170095442A1-20170406-D00001.png
US-2016143879-A1,Methods of treating ulcers and related symptoms in non-human animals ,"Jaguar Animal Health, Inc.",Serge Martinod,2014-11-04,2015-11-03,2016-05-26,,https://patents.google.com/patent/US20160143879A1/en,https://patentimages.storage.googleapis.com/f3/eb/6d/7a407a9e6bde9e/US20160143879A1-20160526-D00001.png
WO-2015184109-A1,Methods of treating diarrhea in adult non-human animals ,"Jaguar Animal Health, Inc.",Serge Martinod,2014-05-29,2015-05-28,2015-12-03,,https://patents.google.com/patent/WO2015184109A1/en,
WO-2016138125-A1,Methods of treating diarrhea and promoting intestinal health in non-human animals ,"Jaguar Animal Health, Inc.","Serge Martinod, Michael Hauser",2015-02-26,2016-02-24,2016-09-01,,https://patents.google.com/patent/WO2016138125A1/en,
UY-37025-A,"Methods of treating diarrhea in non-human, neonatal and young, pre-weaning animals ",Jaguar Animal Health Inc,Siobhan Mcauliffe,2015-12-16,2016-12-15,2017-06-30,,https://patents.google.com/patent/UY37025A/en,
EP-3242557-A1,Methods of treating diarrhea in companion animals ,"Jaguar Animal Health, Inc.",Serge Martinod,2015-01-09,2016-01-08,2017-11-15,,https://patents.google.com/patent/EP3242557A1/en,
UY-36146-A,"Treatment of diarrhea in neonatal non-human animals, youth and adults ",Jaguar Animal Health Inc,Martinod Serge,2014-05-29,2015-05-29,2016-01-08,,https://patents.google.com/patent/UY36146A/en,
AR-103768-A1,Compositions for use in the treatment of diarrhea and in promoting intestinal health in non-human animals ,Jaguar Animal Health Inc,"Hauser Michael, Martinod Serge",2015-06-08,2016-02-25,2017-05-31,,https://patents.google.com/patent/AR103768A1/en,
AR-100652-A1,"Treatment of diarrhea in neonatal non-human animals, youth and adults ",Jaguar Animal Health Inc,Martinod Serge,2014-05-29,2015-05-29,2016-10-19,,https://patents.google.com/patent/AR100652A1/en,
UY-37099-A,Treatment of gastric ulcers in non-human animals using uncoated or enterically protected proanthocyanidin polymers comprising botanical extracts or derivatives or calophyllum formulations croton ,Jaguar Animal Health Inc,"A Conte Lisa, F Sesin David",2016-01-28,2017-01-30,2017-08-31,,https://patents.google.com/patent/UY37099A/en,
WO-2016138118-A1,Use of croton- or calophyllum-derived proanthocyanidin polymers or botanical extracts in combination with rifaximin for the treatment of diarrhea in non-human animals ,"Jaguar Animal Health, Inc.",Michael Hauser,2015-02-26,2016-02-24,2016-09-01,,https://patents.google.com/patent/WO2016138118A1/en,
