search URL:,https://patents.google.com/?assignee=JAZZ+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5578484-A,Hybridoma and monoclonal antibody 9H10-A4 specific to an antigen of LNCaP cells ,Cytogen Corporation,Julius S. Horoszewicz,1988-06-03,1994-09-16,1996-11-26,1996-11-26,https://patents.google.com/patent/US5578484A/en,https://patentimages.storage.googleapis.com/38/91/93/1f50673c52ebb1/US5578484-drawings-page-2.png
US-5527885-A,Bifunctional isothiocyanate derived thiocarbonyls as ligands for metal binding ,Cytogen Corporation,"Daniel J. Coughlin, Benjamin A. Belinka, Jr.",1992-04-09,1994-06-30,1996-06-18,1996-06-18,https://patents.google.com/patent/US5527885A/en,https://patentimages.storage.googleapis.com/c1/69/6a/6e2617a9ab9546/US5527885-drawings-page-2.png
US-7797171-B2,Sensitive drug distribution system and method ,"Jpi Commercial, Llc","Dayton T. Reardan, Patti A. Engel, Bob Gagne",2002-12-17,2005-04-01,2010-09-14,2010-09-14,https://patents.google.com/patent/US7797171B2/en,https://patentimages.storage.googleapis.com/99/fd/4d/f6e1eeaf871942/US07797171-20100914-D00000.png
US-5587454-A,Omega conopeptide compositions ,Neurex Corporation,"Alan Justice, Tejinder Singh, Kishor C. Gohil, Karen L. Valentino, George P. Miljanich",1991-12-30,1993-04-15,1996-12-24,1996-12-24,https://patents.google.com/patent/US5587454A/en,https://patentimages.storage.googleapis.com/44/63/c5/69e6598dc4ad71/US5587454-drawings-page-2.png
US-8513198-B2,Pharmaceutical formulation for reducing pain ,Jazz Pharmaceuticals International Limited,"David J. Ellis, George P. Miljanich, David E. Shields",2003-10-02,2012-09-14,2013-08-20,2013-08-20,https://patents.google.com/patent/US8513198B2/en,https://patentimages.storage.googleapis.com/ce/44/ed/1392a00590cb15/US08513198-20130820-D00001.png
US-5593656-A,Metal-binding targeted polypeptide constructs ,Cytogen Corporation,"Benjamin A. Belinka, Jr., Daniel J. Coughlin, Vernon L. Alvarez, Richard Wood",1993-09-28,1995-06-07,1997-01-14,1997-01-14,https://patents.google.com/patent/US5593656A/en,https://patentimages.storage.googleapis.com/23/50/44/1fdb944a7652de/US5593656-drawings-page-2.png
US-6361938-B1,Peptides which enhance transport across tissues and methods of identifying and using the same ,"Elan Corporation, Plc","Daniel Joseph O'Mahony, Vernon L. Alvarez, Michela Seveso",1996-11-08,1997-05-15,2002-03-26,2002-03-26,https://patents.google.com/patent/US6361938B1/en,https://patentimages.storage.googleapis.com/e8/07/e5/56d4f15e73f0f5/US6361938-drawings-page-2.png
US-5795864-A,Stable omega conopetide formulations ,Neurex Corporation,"Gary Arthur Amstutz, Stephen Scott Bowersox, Kishorchandra Gohil, Peter Isadore Adriaenssens, Ramasharma Kristipati",1995-06-27,1995-06-27,1998-08-18,1998-08-18,https://patents.google.com/patent/US5795864A/en,https://patentimages.storage.googleapis.com/16/89/86/1ecb33e78459b2/US5795864-drawings-page-2.png
US-8461203-B2,Microbiologically sound and stable solutions of gamma-hydroxybutyrate salt for the treatment of narcolepsy ,"Jazz Pharmaceuticals, Inc.","Harry Cook, Martha Hamilton, Douglas Danielson, Colette Goderstad, Dayton T. Reardan",1998-12-23,2011-07-13,2013-06-11,2013-06-11,https://patents.google.com/patent/US8461203B2/en,https://patentimages.storage.googleapis.com/3d/81/f1/85951874483242/US08461203-20130611-D00001.png
US-5424218-A,Screening method for neuroprotective compounds ,Neurex Corporation,"George P. Miljanich, Robert S. Bitner, Stephen S. Bowersox, James A. Fox, Karen L. Valentino, Donald H. Yamashiro",1989-11-22,1993-11-04,1995-06-13,1995-06-13,https://patents.google.com/patent/US5424218A/en,https://patentimages.storage.googleapis.com/b2/25/c5/6f59b3398a1492/US5424218-drawings-page-2.png
