search URL:,https://patents.google.com/?assignee=JUNO+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2954414-A1,Engineered cells for adoptive cell therapy ,"Juno Therapeutics, Inc., Kendall M. Mohler, Hyam I. Levitsky","Kendall M. Mohler, Hyam I. Levitsky",2014-07-15,2015-07-15,2016-01-21,,https://patents.google.com/patent/CA2954414A1/en,
US-2016152723-A1,Antibodies and chimeric antigen receptors specific for cd19 ,"Juno Therapeutics, Inc.","Yan Chen, Steve Shamah, Csaba Pazmany, Jui DUTTA-SIMMONS",2014-08-28,2015-08-28,2016-06-02,,https://patents.google.com/patent/US20160152723A1/en,https://patentimages.storage.googleapis.com/31/1a/69/3e66fe0d3bce19/US20160152723A1-20160602-D00001.png
US-2017037369-A1,"Methods for isolating, culturing, and genetically engineering immune cell populations for adoptive therapy ","Juno Therapeutics, Inc.","Chris RAMSBORG, Mark L. Bonyhadi, Calvin Chan, Pascal BEAUCHESNE",2014-04-23,2015-04-23,2017-02-09,,https://patents.google.com/patent/US20170037369A1/en,https://patentimages.storage.googleapis.com/17/b7/4e/9f078e8aca1e2a/US20170037369A1-20170209-D00001.png
US-2016122782-A1,Methods for transduction and cell processing ,"Juno Therapeutics, Inc.","Ryan L. Crisman, Chris RAMSBORG, Travis Wood",2014-11-05,2015-11-04,2016-05-05,,https://patents.google.com/patent/US20160122782A1/en,https://patentimages.storage.googleapis.com/25/cc/a3/7301a91e0bc1e7/US20160122782A1-20160505-D00001.png
EP-3322801-A1,Engineered cells for adoptive cell therapy ,"Juno Therapeutics, Inc.","Kendall M. Mohler, Hyam I. Levitsky, Blythe SATHER",2015-07-15,2016-07-15,2018-05-23,,https://patents.google.com/patent/EP3322801A1/en,
US-2016158359-A1,Methods and compositions for adoptive cell therapy ,"Juno Therapeutics, Inc.",Mark J. Gilbert,2014-12-03,2015-12-03,2016-06-09,,https://patents.google.com/patent/US20160158359A1/en,https://patentimages.storage.googleapis.com/4a/3e/54/c587014244e00e/US20160158359A1-20160609-D00001.png
US-2016206656-A1,Methods and compositions for dosing in adoptive cell therapy ,"Juno Therapeutics, Inc.",Mark J. Gilbert,2014-10-20,2015-10-20,2016-07-21,,https://patents.google.com/patent/US20160206656A1/en,https://patentimages.storage.googleapis.com/c2/02/26/9bb750eb17802c/US20160206656A1-20160721-D00001.png
US-2018161368-A1,Composition and methods for regulating inhibitory interactions in genetically engineered cells ,"Juno Therapeutics, Inc.",Valerie Odegard,2015-05-29,2016-05-27,2018-06-14,,https://patents.google.com/patent/US20180161368A1/en,https://patentimages.storage.googleapis.com/b1/00/07/a0598ab562b86f/US20180161368A1-20180614-D00000.png
US-2018265593-A1,Antibodies and chimeric antigen receptors specific for ror1 ,"Juno Therapeutics, Inc.","Yan Chen, Steven M. Shamah, Csaba Pazmany, Jui DUTTA-SIMMONS",2015-01-16,2018-06-04,2018-09-20,,https://patents.google.com/patent/US20180265593A1/en,https://patentimages.storage.googleapis.com/af/3b/0c/3d166e260495d0/US20180265593A1-20180920-D00001.png
EP-1888000-B1,Method to predict and prevent oxygen-induced inflammatory tissue injury ,"The Government of the United States of America as represented by the Secretary of the Department of Health and Human Services, Michail V. Sitkovsky","Michail V. Sitkovsky, Manfred Thiel",2005-02-04,2006-01-26,2016-11-02,2016-11-02,https://patents.google.com/patent/EP1888000B1/en,
