search URL:,https://patents.google.com/?assignee=KEMPHARM+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
ES-2705233-T3,"Conjugates of fatty acids of quetiapine, process for its manufacture and uses ",Kempharm Inc,"Travis Mickle, Sven Guenther, Sanjib Bera",2010-03-11,2011-03-09,2019-03-22,2019-03-22,https://patents.google.com/patent/ES2705233T3/en,
EP-2560624-B1,Therapeutic formulation for reduced drug side effects ,"KemPharm, Inc.",Subhash Desai,2010-04-23,2011-04-25,2018-07-04,2018-07-04,https://patents.google.com/patent/EP2560624B1/en,https://patentimages.storage.googleapis.com/a9/a4/ef/5e02b81afc67d1/imgf0001.png
EP-2519101-B1,"Amino acid conjugates of quetiapine, process for making and using the same ","Kempharm, Inc.","Travis Mickle, Sven Guenther, Sanjib Bera",2009-12-31,2010-12-22,2015-08-19,2015-08-19,https://patents.google.com/patent/EP2519101B1/en,https://patentimages.storage.googleapis.com/bd/e6/7d/024690851c97fb/imgf0001.png
US-7776917-B2,Non-standard amino acid conjugates of amphetamine and processes for making and using the same ,Mickle Travis C,Travis C. Mickle,2006-12-11,2007-12-10,2010-08-17,2010-08-17,https://patents.google.com/patent/US7776917B2/en,https://patentimages.storage.googleapis.com/4d/01/c2/9cde49d3254c40/US07776917-20100817-D00001.png
US-7772222-B2,Polar hydrophilic prodrugs of amphetamine and other stimulants and processes for making and using the same ,Mickle Travis C,Travis C. Mickle,2007-02-08,2008-02-08,2010-08-10,2010-08-10,https://patents.google.com/patent/US7772222B2/en,https://patentimages.storage.googleapis.com/ee/15/d1/a08e78bc3bd669/US07772222-20100810-D00001.png
CA-2766388-C,"Benzoic acid, benzoic acid derivatives and heteroaryl carboxylic acid conjugates of hydrocodone, prodrugs, methods of making and use thereof ","Kempharm, Inc., Travis Mickle, Sven Guenther, Christal Mickle, Guochen Chi, Jaroslaw Kanski, Andrea K. Martin, Bindu Bera","Travis Mickle, Sven Guenther, Christal Mickle, Guochen Chi, Jaroslaw Kanski, Andrea K. Martin, Bindu Bera",2009-07-02,2010-07-01,2014-05-27,2014-05-27,https://patents.google.com/patent/CA2766388C/en,
US-8816083-B2,"Benzoic acid, benzoic acid derivatives and heteroaryl carboxylic acid conjugates of hydromorphone, prodrugs, methods of making and use thereof ","Kempharm, Inc.","Travis Mickle, Sven Guenther, Guochen Chi, Jaroslaw Kanski, Andrea K. Martin, Bindu Bera",2011-10-26,2012-10-25,2014-08-26,2014-08-26,https://patents.google.com/patent/US8816083B2/en,https://patentimages.storage.googleapis.com/a8/52/fe/757fc016803e27/US08816083-20140826-D00001.png
CA-2765836-C,"Phenylethanoic acid, phenylpropanoic acid and phenylpropenoic acid conjugates and prodrugs of hydrocodone, methods of making and use thereof ","Kempharm, Inc., Travis Mickle, Sven Guenther, Christal Mickle, Guochen Chi, Jaroslaw Kanski, Andrea K. Martin, Bindu Bera","Travis Mickle, Sven Guenther, Christal Mickle, Guochen Chi, Jaroslaw Kanski, Andrea K. Martin, Bindu Bera",2009-07-02,2010-07-01,2014-10-07,2014-10-07,https://patents.google.com/patent/CA2765836C/en,
KR-20180069934-A,"Methylphenidate-prodrugs, processes of making and using the same ",켐팜 인코포레이티드,"스벤 귄터, 꺼우천 츠, 빈두 베라, 트래비스 마이클, 산지브 베라",2011-07-28,2012-07-27,2018-06-25,,https://patents.google.com/patent/KR20180069934A/en,https://patentimages.storage.googleapis.com/3c/b0/27/0c3fac84579432/pat00080.png
AU-2012286683-A1,"Methylphenidate-prodrugs, processes of making and using the same ","Kempharm, Inc.","Sanjib Bera, Bindu Bera, Guochen Chi, Sven Guenther, Travis Mickle",2011-07-28,2012-07-27,2013-12-12,,https://patents.google.com/patent/AU2012286683A1/en,
