search URL:,https://patents.google.com/?assignee=KITE+PHARMA+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2015344844-A1,Methods for producing autologous t cells useful to treat b cell malignancies and other cancers and compositions thereof ,"Marc Better, Steven A. Feldman, Steven A. Rosenberg","Marc Better, Steven A. Feldman, Steven A. Rosenberg",2014-02-04,2015-02-04,2015-12-03,,https://patents.google.com/patent/US20150344844A1/en,https://patentimages.storage.googleapis.com/a2/79/c8/e5cb3c488797ea/US20150344844A1-20151203-D00001.png
US-2017368101-A1,Methods of conditioning patients for t cell therapy ,"Kite Pharma, Inc., United States Of America, As Represented By The Secretary, Department Of Health And Human Services","Adrian Bot, Jeffrey S. WIEZOREK, William GO, Rajul JAIN, James N. KOCHENDERFER, Steven A. Rosenberg",2015-05-28,2017-07-13,2017-12-28,,https://patents.google.com/patent/US20170368101A1/en,https://patentimages.storage.googleapis.com/80/6e/12/d9aab4cf0e1c48/US20170368101A1-20171228-D00001.png
KR-20180133252-A,Chimeric and T cell receptors and methods of use ,카이트 파마 인코포레이티드,제드 윌치우스,2016-04-01,2017-03-31,2018-12-13,,https://patents.google.com/patent/KR20180133252A/en,https://patentimages.storage.googleapis.com/bf/e1/b2/8e14eb54a43c4d/pct00055.png
US-2017136063-A1,Methods of Preparing T Cells for T Cell Therapy ,"Kite Pharma, Inc., National Cancer Institute","Arianne Perez, Marianna Sabatino, Steven A. Rosenberg, Nicholas P. Restifo",2015-10-20,2016-10-20,2017-05-18,,https://patents.google.com/patent/US20170136063A1/en,https://patentimages.storage.googleapis.com/bb/2c/2c/8c805ea2a78bd1/US20170136063A1-20170518-D00001.png
JP-2018531026-A6,Methods of preparing t cells for T cell therapy ,"カイト  ファーマ  インコーポレイテッドＫｉｔｅ  Ｐｈａｒｍａ，  Ｉｎｃ, アメリカ合衆国","アリアンヌ ペレズ, マリアンナ サバティーノ, スティーヴン  エイ． ローゼンバーグ, ニコラス  ピー． レスティフォ",2015-10-20,2016-10-20,2018-12-13,,https://patents.google.com/patent/JP2018531026A6/en,https://patentimages.storage.googleapis.com/b5/0e/9a/bca885b73b00e6/2018531026-5.png
US-2018296601-A1,Treatment using chimeric receptor t cells incorporating optimized polyfunctional t cells ,"Kite Pharma, Inc.","John M. Rossi, Adrian I. Bot",2017-04-03,2018-04-03,2018-10-18,,https://patents.google.com/patent/US20180296601A1/en,https://patentimages.storage.googleapis.com/93/e8/ae/814fabc6021861/US20180296601A1-20181018-D00000.png
US-2017283504-A1,Bcma binding molecules and methods of use thereof ,"Kite Pharma, Inc.","Jed WILTZIUS, Ruben Alvarez Rodriguez",2016-04-01,2017-03-31,2017-10-05,,https://patents.google.com/patent/US20170283504A1/en,https://patentimages.storage.googleapis.com/89/7a/aa/b52984048182f7/US20170283504A1-20171005-D00001.png
KR-20190021203-A,Chimeric receptors for FLT3 and methods for their use ,"암젠 인크, 카이트 파마 인코포레이티드","앨리스 베커, 로렌 우, 타라 알벳슨, 제드. 제이. 윌트지우스, 루벤 알바레즈 로드리게즈",2016-04-01,2017-03-31,2019-03-05,,https://patents.google.com/patent/KR20190021203A/en,https://patentimages.storage.googleapis.com/9b/eb/59/ff4bdcf2dade23/pct00003.png
US-2019092818-A1,Chimeric polypeptides and uses thereof ,"Kite Pharma, Inc.","Jed J.W. Wiltzius, Stuart A. Sievers",2017-09-22,2018-09-21,2019-03-28,,https://patents.google.com/patent/US20190092818A1/en,https://patentimages.storage.googleapis.com/b6/53/06/5b747b33348a26/US20190092818A1-20190328-D00000.png
US-2019144515-A1,Modified chimeric antigen receptors and methods of use ,"Kite Pharma, Inc.","Stuart A. Sievers, Jed J. W. Wiltzius",2017-11-16,2018-11-15,2019-05-16,,https://patents.google.com/patent/US20190144515A1/en,https://patentimages.storage.googleapis.com/02/a5/62/ea1e406edc5b75/US20190144515A1-20190516-D00000.png
US-2018016620-A1,Antigen binding molecules and methods of use thereof ,"Kite Pharma, Inc.","Jed WILTZIUS, Stuart SIEVERS, Arianne PEREZ GARCIA",2016-07-12,2017-07-11,2018-01-18,,https://patents.google.com/patent/US20180016620A1/en,https://patentimages.storage.googleapis.com/b2/1a/89/97495355fbc06d/US20180016620A1-20180118-D00000.png
