search URL:,https://patents.google.com/?assignee=KYTHERA+BIOPHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2008038306-A1,Fluidic Tissue Augmentation Compositions and Methods ,David Nathaniel E,Nathaniel David,2006-03-13,2007-03-12,2008-02-14,,https://patents.google.com/patent/US20080038306A1/en,
US-2010004216-A1,Medicinal lipolysis of accumulation of fat ,"Merz Pharma Gmbh & Co. Kgaa, Maria Clementine Martin Klosterfrau Vertriebsgessellschaft Mbh","Peter Boderke, Matthias Gossel, Walter Kamm, Karl-Heinz Nietsch, Rainer Pooth, Juergen Sandow, Joerg Hager, Gerhard Sattler",2003-12-22,2009-09-01,2010-01-07,,https://patents.google.com/patent/US20100004216A1/en,
US-2012329765-A1,Medicinal targeted local lipolysis ,"Kythera Biopharmaceuticals, Inc.","Peter Boderke, Rainer Pooth, Juergen Sandow, Matthias Gossel, Karl-Heinz Nietsch, Gerhard Sattler, Gerhard Vogel",2003-10-24,2012-01-24,2012-12-27,,https://patents.google.com/patent/US20120329765A1/en,
US-6417179-B1,Ear wax solution ,"Craig G. Burkhart, Craig N. Burkhart","Craig G. Burkhart, Craig N. Burkhart",1998-10-13,2001-10-22,2002-07-09,2002-07-09,https://patents.google.com/patent/US6417179B1/en,
US-2005214325-A1,Compositions and methods to increase the effect of a neurotoxin treatment ,"Vvii Newco 2003, Inc.",Nathaniel David,2004-03-26,2004-03-26,2005-09-29,,https://patents.google.com/patent/US20050214325A1/en,https://patentimages.storage.googleapis.com/45/13/44/4e77a18e1f9b17/US20050214325A1-20050929-D00001.png
US-2008044439-A1,Compositions and Methods for Preventing and Treating Skin and Hair Conditions ,David Nathaniel E,Nathaniel E. David,2004-03-11,2005-02-25,2008-02-21,,https://patents.google.com/patent/US20080044439A1/en,https://patentimages.storage.googleapis.com/US20080044439A1/US20080044439A1-20080221-D00001.png
US-8883770-B2,Synthetic bile acid compositions and methods ,"Kythera Biopharmaceuticals, Inc.","Robert M. Moriarty, Nathaniel E. David, Nadir Ahmeduddin Mahmood",2007-06-19,2013-01-14,2014-11-11,2014-11-11,https://patents.google.com/patent/US8883770B2/en,https://patentimages.storage.googleapis.com/16/db/6b/6fdac2b5e5b91d/US08883770-20141111-D00001.png
US-2005203111-A1,Compositions and methods for preventing and treating skin and hair conditions ,"Vvii Newco 2003, Inc.",Nathaniel David,2004-03-12,2004-03-12,2005-09-15,,https://patents.google.com/patent/US20050203111A1/en,https://patentimages.storage.googleapis.com/bf/5e/76/472f0fa11a2e1c/US20050203111A1-20050915-D00001.png
US-2010196445-A1,Systems and methods for delivery of biologically active agents ,"David Nathaniel E, Mahmood Tahir A, Tobin Dickerson","Nathaniel E. David, Tahir A. Mahmood, Tobin Dickerson",2008-11-12,2009-11-12,2010-08-05,,https://patents.google.com/patent/US20100196445A1/en,https://patentimages.storage.googleapis.com/44/2c/e3/87667bdcfc7094/US20100196445A1-20100805-D00000.png
AU-2008265721-B2,"Synthetic bile acid composition, method, and preparation ","Kythera Biopharmaceuticals, Inc.","Nathaniel E. David, Nadir Ahmeduddin Mahmood, Robert M. Moriarty, Achampeta Rathan Prasad, John Gregory Reid, Akhila Kumar Sahoo, Roy A. Swaringen Jr.",2007-06-19,2008-06-18,2014-03-20,2014-03-20,https://patents.google.com/patent/AU2008265721B2/en,
