search URL:,https://patents.google.com/?assignee=LOXO+ONCOLOGY+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10045991-B2,Methods of treating pediatric cancers ,"Loxo Oncology, Inc.","Michael Cox, Nisha Nanda",2016-04-04,2017-06-14,2018-08-14,2018-08-14,https://patents.google.com/patent/US10045991B2/en,https://patentimages.storage.googleapis.com/8a/6a/2e/993364d8a53dc4/US10045991-20180814-D00001.png
US-2018140604-A1,Methods of diagnosing and treating cancer ,"Loxo Oncology, Inc.","Brian B. Tuch, Joshua H. Bilenker",2015-06-01,2016-06-01,2018-05-24,,https://patents.google.com/patent/US20180140604A1/en,https://patentimages.storage.googleapis.com/0d/0b/1f/723a6177ea1064/US20180140604A1-20180524-D00000.png
US-2018030548-A1,Point mutations in trk inhibitor-resistant cancer and methods relating to the same ,"Loxo Oncology, Inc., Array Biopharma, Inc.","Nisha Nanda, Josh H. Bilenker, James F. Blake, Gabrielle R. Kolakowski, Barbara J. Brandhuber, Steven W. Andrews",2015-10-26,2017-10-16,2018-02-01,,https://patents.google.com/patent/US20180030548A1/en,https://patentimages.storage.googleapis.com/d8/b3/40/8070434c64f476/US20180030548A1-20180201-D00001.png
US-9975897-B2,Pyrazolopyrimidine derivatives useful as inhibitors of Bruton's tyrosine kinase ,"Loxo Oncology, Inc.","Mathew Calder, Nicolas E. S. Guisot",2014-06-11,2015-06-11,2018-05-22,2018-05-22,https://patents.google.com/patent/US9975897B2/en,
US-10137127-B2,"Liquid formulations of (S)-N-(5-((R)-2-(2,5-difluorophenyl)-pyrrolidin-1-yl)-pyrazolo[1,5-A]pyrimidin-3-yl)-3-hydroxypyrrolidine-1-carboxamide ","Loxo Oncology, Inc.","Mark Reynolds, Steven A. Smith",2016-04-04,2017-06-14,2018-11-27,2018-11-27,https://patents.google.com/patent/US10137127B2/en,https://patentimages.storage.googleapis.com/0e/d6/56/1cee93c8bd1710/US10137127-20181127-D00001.png
KR-20180129911-A,How to treat pediatric cancer ,"록쏘 온콜로지, 인코포레이티드","마이클 콕스, 니샤 난다, 마크 레이놀즈, 스티븐 에이. 스미쓰",2016-04-04,2017-04-04,2018-12-05,,https://patents.google.com/patent/KR20180129911A/en,https://patentimages.storage.googleapis.com/a5/2f/e2/fb344b6b6d4818/pct00063.png
AU-2017348259-A1,"Process for the preparation of pyrazolo[1,5-a]pyrimidines and salts thereof ","Array Biopharma Inc., Loxo Oncology, Inc.","Charles Todd Eary, Julia Haas, Yutong Jiang, Stacey Spencer, Qian Zhao",2016-10-26,2017-10-26,2019-05-09,,https://patents.google.com/patent/AU2017348259A1/en,
KR-20180109842-A,compound ,"록쏘 온콜로지, 인코포레이티드",니콜라스 기소트,2015-09-16,2016-09-16,2018-10-08,,https://patents.google.com/patent/KR20180109842A/en,
US-2019000806-A1,Compounds useful as kinase inhibitors ,"Loxo Oncology, Inc.",Nicolas Guisot,2015-12-16,2018-08-27,2019-01-03,,https://patents.google.com/patent/US20190000806A1/en,
MA-43601-A1,"Liquid formulations of (S) -N- (5 - ((R) -2- (2,5-difluorophenyl) -pyrrolidin-1-yl) -pyrazolo [1,5-a] pyrimidin-3-yl) -3 -hydroxypyrrolidine-1-carboxamide ",Loxo Oncology Inc,"Mark Reynolds, Steven A Smith",2016-04-04,2017-04-04,2019-03-29,,https://patents.google.com/patent/MA43601A1/en,
MA-42175-A1,pyrazolopyrimidine derivatives such as Btk inhibitors for the treatment of cancer ,Loxo Oncology Inc,Nicolas Guisot,2015-09-16,2016-09-16,2018-11-30,,https://patents.google.com/patent/MA42175A1/en,
MA-42871-A1,Compounds used as inhibitors of Bruton tyrosine kinase (Btk) ,Loxo Oncology Inc,Nicolas Guisot,2015-12-16,2016-12-16,2019-04-30,,https://patents.google.com/patent/MA42871A1/en,
UY-37926-A,"Formulations of 6- (2-hydroxy-2-methylpropoxy) -4- (6- (6 - ((6-methoxypyridin-3-yl) methyl) -3,6-diazabicyclo [3.1.1] heptan-3-yl ) pyridin-3-yl) pyrazolo [1,5-a] pyridine-3-carbonitrile ",Loxo Oncology Inc,"Mark Reynolds, Charles Todd Eary",2017-10-10,2018-10-10,2019-04-30,,https://patents.google.com/patent/UY37926A/en,
AU-2017246547-A1,Methods of treating pediatric cancers ,"Loxo Oncology, Inc.","Michael Cox, Nisha NANDA, Mark Reynolds, Steven A. Smith",2016-04-04,2017-04-04,2018-10-25,,https://patents.google.com/patent/AU2017246547A1/en,
IL-262964-D0,"Preparation of (s)-n-(5-((r)-2-(2,5-difluorophenyl)pyrrolidin-1-yl)pyrazolo[1,5-a]pyrimidin-3-y l)-3-hydroxypyrrolidine-1-carboxamide ","Array Biopharma Inc, Loxo Oncology Inc",,2016-05-18,2018-11-12,2018-12-31,,https://patents.google.com/patent/IL262964D0/en,
UY-37927-A,"Process for the preparation of 6- (2-hydroxy-2-methylpropoxy) -4- (6- (6 - ((6-methoxypyridin-3-yl) methyl) -3,6-diazabicyclo [3.1.1] heptan- 3-yl) pyridin-3-yl) pyrazolo [1,5-a] pyridine-3-carbonitrile ","Array Biopharma Inc, Loxo Oncology Inc","Andrew T Metcalf, Gabrielle R Kolakowski, Charles Todd Eary, Stacey Spencer, Zack Crane, Katelyn Chando, Sylvie Asselin, Weidong Liu, Mike Welch, Adam Cook, David A Moreno, Tony P Tang",2017-10-10,2018-10-10,2019-04-30,,https://patents.google.com/patent/UY37927A/en,
