search URL:,https://patents.google.com/?assignee=MACROGENICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2495251-C,Fc.gamma.riib-specific antibodies and methods of use thereof ,"Macrogenics, Inc., Scott Koenig, Maria-Concetta Veri","Scott Koenig, Maria-Concetta Veri",2002-08-14,2003-08-14,2018-03-06,2018-03-06,https://patents.google.com/patent/CA2495251C/en,
AU-2006236439-B2,Covalent diabodies and uses thereof ,"Macrogenics, Inc.","Ling Huang, Leslie S. Johnson",2005-04-15,2006-04-17,2012-05-03,2012-05-03,https://patents.google.com/patent/AU2006236439B2/en,
CA-2163989-C,Methods and materials for modulation of the immunosuppressive activity and toxicity of monoclonal antibodies ,"Jeffrey A. Bluestone, Robert A. Zivin, Linda Jolliffe, Arch Development Corp., Ortho Pharmaceutical Corporation, Tolerance Therapeutics, Inc., Ortho-Mcneil Pharmaceutical, Inc., Macrogenics, Inc., Arch Development Corporation","Jeffrey A. Bluestone, Robert A. Zivin, Linda Jolliffe",1993-06-01,1994-06-01,2008-08-05,2008-08-05,https://patents.google.com/patent/CA2163989C/en,
CA-2512729-C,Identification and engineering of antibodies with variant fc regions and methods of using same ,"Macrogenics, Inc., Jeffrey Stavenhagen, Sujata Vijh","Jeffrey Stavenhagen, Sujata Vijh",2003-01-09,2004-01-09,2014-09-16,2014-09-16,https://patents.google.com/patent/CA2512729C/en,
AU-2005335714-B2,Engineering Fc antibody regions to confer effector function ,"Macrogenics, Inc.","Scott Koenig, Jeffrey Stavenhagen",2004-11-10,2005-11-10,2012-07-26,2012-07-26,https://patents.google.com/patent/AU2005335714B2/en,
AU-2005327521-B2,Identification and engineering of antibodies with variant Fc regions and methods of using the same ,"Macrogenics, Inc.","Sergey Gorlatov, Ling Huang, Christopher Rankin, Jeffrey Stavenhagen, Sujata Vijh",2004-07-12,2005-07-12,2011-10-06,2011-10-06,https://patents.google.com/patent/AU2005327521B2/en,
AU-2001257597-B2,Human pancreatic epithelial progenitor cells and methods of isolation and use thereof ,"Macrogenics West, Inc.","Jennie Powell Mather, Penelope E. Roberts",2000-04-10,2001-04-10,2006-07-20,2006-07-20,https://patents.google.com/patent/AU2001257597B2/en,
AU-2006279945-B2,Identification and engineering of antibodies with variant FC regions and methods of using same ,"Macrogenics, Inc.","Sergey Gorlatov, Christopher Rankin, Jeffery Stavenhagen, Nadine Tuaillon",2005-08-10,2006-08-10,2012-04-12,2012-04-12,https://patents.google.com/patent/AU2006279945B2/en,
US-9714295-B2,"Antibodies reactive with B7-H3, immunologically active fragments thereof and uses thereof ","Macrogenics, Inc.","Leslie S. Johnson, Paul A. Moore, Ling Huang, Deryk T. Loo, Francine Zhifen Chen",2010-03-04,2015-06-01,2017-07-25,2017-07-25,https://patents.google.com/patent/US9714295B2/en,https://patentimages.storage.googleapis.com/2b/8c/b1/3f7f552d086cc6/US09714295-20170725-D00001.png
US-6406840-B1,Cell arrays and the uses thereof ,"Biomosaic Systems, Inc.","Ronghao Li, Jennie P. Mather",1999-12-17,1999-12-17,2002-06-18,2002-06-18,https://patents.google.com/patent/US6406840B1/en,https://patentimages.storage.googleapis.com/aa/d2/0a/a76c233f742b38/US6406840-drawings-page-2.png
