search URL:,https://patents.google.com/?assignee=MANNKIND+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2131366-C,Self-assembling diketopiperazine drug delivery system ,"Robert Feldstein, John Glass, Solomon S. Steiner, Pharmaceutical Delivery Technologies, Pharmaceutical Discovery Corporation, Mannkind Corporation","Robert Feldstein, John Glass, Solomon S. Steiner",1992-03-11,1993-03-11,2003-09-23,2003-09-23,https://patents.google.com/patent/CA2131366C/en,
CA-2537498-C,Unit dose cartridge and dry powder inhaler ,"Mannkind Corporation, Solomon S. Steiner, Trent A. Poole, Per B. Fog, Roderike Pohl, Michael Crick, Robert Feldstein","Solomon S. Steiner, Trent A. Poole, Per B. Fog, Roderike Pohl, Michael Crick, Robert Feldstein",2003-09-04,2004-09-03,2009-03-24,2009-03-24,https://patents.google.com/patent/CA2537498C/en,
US-8389470-B2,Methods and compositions for delivering peptides ,Mannkind Corporation,"Solomon S. Steiner, Rodney J. Woods, Joseph W. Sulner",1999-06-29,2011-01-05,2013-03-05,2013-03-05,https://patents.google.com/patent/US8389470B2/en,https://patentimages.storage.googleapis.com/b7/54/f1/4677efb75f3583/US08389470-20130305-D00001.png
US-10201672-B2,Dry powder inhaler and system for drug delivery ,Mannkind Corporation,"Chad C. Smutney, P. Spencer Kinsey, Carl R. Sahi, Benoit Adamo, John M. Polidoro, Scott McLean, Dennis Overfiled, Anthony Bryant",2008-06-13,2013-07-02,2019-02-12,2019-02-12,https://patents.google.com/patent/US10201672B2/en,https://patentimages.storage.googleapis.com/49/5f/11/94a088da037b75/US10201672-20190212-D00000.png
US-6331318-B1,Carbon-substituted diketopiperazine delivery systems ,Emisphere Technologies Inc.,Sam J. Milstein,1994-09-30,1994-09-30,2001-12-18,2001-12-18,https://patents.google.com/patent/US6331318B1/en,https://patentimages.storage.googleapis.com/e6/ad/4f/b7cb79cfa6fc98/US6331318-drawings-page-6.png
US-5693338-A,Diketopiperazine-based delivery systems ,"Emisphere Technologies, Inc.",Sam J. Milstein,1994-09-29,1994-09-29,1997-12-02,1997-12-02,https://patents.google.com/patent/US5693338A/en,https://patentimages.storage.googleapis.com/5e/23/bd/4c2a4e4047b499/US5693338-drawings-page-5.png
US-8394414-B2,Method for drug delivery to the pulmonary system ,Mannkind Corporation,"Solomon S. Steiner, Robert Feldstein, Huiling Lian, Christopher A. Rhodes, Gregory S. Shen",1995-05-15,2003-11-12,2013-03-12,2013-03-12,https://patents.google.com/patent/US8394414B2/en,https://patentimages.storage.googleapis.com/34/9a/12/e6c83de7c79025/US08394414-20130312-D00001.png
US-7950423-B2,Powder transport systems and methods ,Mannkind Corporation,"Trent A. Poole, David F. Bonneau, Per B. Fog",2005-11-21,2006-11-20,2011-05-31,2011-05-31,https://patents.google.com/patent/US7950423B2/en,https://patentimages.storage.googleapis.com/e5/93/69/26efff1e30d511/US07950423-20110531-D00000.png
US-6977074-B2,Method of inducing a CTL response ,Mannkind Corporation,"Thomas M. Kündig, John J. L. Simard",1997-07-10,2001-02-02,2005-12-20,2005-12-20,https://patents.google.com/patent/US6977074B2/en,https://patentimages.storage.googleapis.com/62/93/1b/847e0ecbfa2506/US06977074-20051220-D00001.png
AU-2007216966-C1,A method for improving the pharmaceutic properties of microparticles comprising diketopiperazine and an active agent ,Mannkind Corporation,"Marshall Grant, Bryan R. Wilson",2006-02-22,2007-02-22,2014-03-20,2014-03-20,https://patents.google.com/patent/AU2007216966C1/en,
