search URL:,https://patents.google.com/?assignee=MAP+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-750459-B2,Method and apparatus for delivering aerosolized medication ,"Map Pharmaceuticals, Inc.","Thomas Alex Armer, Bryce Burwick Evans, Nahed Mohsen Mohsen, Richard Matthew Pavkov, Atul M. Sudhalkar",1997-10-17,1998-10-15,2002-07-18,2002-07-18,https://patents.google.com/patent/AU750459B2/en,
US-6367471-B1,Internal vortex mechanism for inhaler device ,"Sheffield Pharmaceuticals, Inc.","Amir Genosar, Richard Matthew Pavkov",1999-11-01,1999-11-01,2002-04-09,2002-04-09,https://patents.google.com/patent/US6367471B1/en,https://patentimages.storage.googleapis.com/83/47/a7/fb27cb3aaf14ad/US6367471-drawings-page-2.png
US-8486043-B2,Inhalation drug delivery ,"Map Pharmaceuticals, Inc.","Laxmi Iyer, Paul S. Uster",2007-10-12,2008-10-13,2013-07-16,2013-07-16,https://patents.google.com/patent/US8486043B2/en,https://patentimages.storage.googleapis.com/26/2e/a1/975a0883894039/US08486043-20130716-D00000.png
US-2007253913-A1,Aerosol formulations for delivery of dihydroergotamine to the systemic circulation via pulmonary inhalation ,"Nahed Mohsen, Armer Thomas A, Pavkov Richard M","Nahed Mohsen, Thomas Armer, Richard Pavkov",2003-09-10,2007-03-13,2007-11-01,,https://patents.google.com/patent/US20070253913A1/en,https://patentimages.storage.googleapis.com/cc/58/57/3558de92ecaab0/US20070253913A1-20071101-D00000.png
US-6527151-B1,Aerosol air flow control system and method ,"Sheffield Pharmaceuticals, Inc.","Richard M. Pavkov, Thomas A. Armer, Nahed M. Mohsen",1999-09-13,2000-09-13,2003-03-04,2003-03-04,https://patents.google.com/patent/US6527151B1/en,https://patentimages.storage.googleapis.com/67/46/5a/abf49f9ec50505/US06527151-20030304-D00000.png
US-2003091513-A1,Method to generate water soluble or nonwater soluble in nanoparticulates directly in suspension or dispersion media ,"Mohsen Nahed M., Armer Thomas A.","Nahed Mohsen, Thomas Armer",2001-10-03,2002-10-03,2003-05-15,,https://patents.google.com/patent/US20030091513A1/en,
US-9610415-B2,Enhanced eductor design ,"Map Pharmaceuticals, Inc.","Benjamin Stedman, Prashant Kakade, Darrell Woehler, John Leonard",2009-12-23,2015-11-18,2017-04-04,2017-04-04,https://patents.google.com/patent/US9610415B2/en,https://patentimages.storage.googleapis.com/52/52/59/bd9bc01cbdbf87/US09610415-20170404-D00000.png
DK-2120875-T3,A method for the therapeutic administration of DHE in order to enable quick relief of migraine while minimizing the side effect profile ,Map Pharmaceuticals Inc,"Nabih N Ramadan, Thomas A Armer, Robert O Cook, Stephen B Shrewsbury",2007-02-11,2008-02-11,2018-10-22,2018-10-22,https://patents.google.com/patent/DK2120875T3/en,
US-8312125-B1,System and method for bulk web domain generation and management ,Local Corporation,"Adam Rioux, Mark Roah",2010-03-12,2010-03-12,2012-11-13,2012-11-13,https://patents.google.com/patent/US8312125B1/en,https://patentimages.storage.googleapis.com/84/f7/b2/b9435424d6d273/US08312125-20121113-D00000.png
US-9365591-B2,Fluoroergoline analogs ,"Map Pharmaceuticals, Inc.","Robert O. Cook, Jian Zhang, Thomas A. Armer",2011-06-23,2015-08-28,2016-06-14,2016-06-14,https://patents.google.com/patent/US9365591B2/en,https://patentimages.storage.googleapis.com/be/2c/1f/9df2011407b3a9/US09365591-20160614-D00000.png
US-2010196286-A1,Inhalation delivery methods and devices ,"Armer Thomas A, Cook Robert O, Terry Alfredson, Anthony Sun","Thomas A. Armer, Robert O. Cook, Terry Alfredson, Anthony Sun",2008-12-01,2009-12-01,2010-08-05,,https://patents.google.com/patent/US20100196286A1/en,
