search URL:,https://patents.google.com/?assignee=MEDGENICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2002341378-B2,"Closed automated system for tissue based therapy, dosing and administration using same ","Medgenics, Inc.","Einat Almon, Stephen F. Bellomo, Mordechay Bukhman, Leonard I. Garfinkel, Itzhak Lippin, Andrew L. Pearlman, Guillermo A. Piva, Lior Rosenberg, Noam Shani, Menachem D. Shavitt, Niv Sher",2001-11-05,2002-11-05,2008-04-17,2008-04-17,https://patents.google.com/patent/AU2002341378B2/en,
US-8142990-B2,"Dermal micro-organs, methods and apparatuses for producing and using the same ",Medgenics Inc.,"Stephen F. Bellomo, Itzhak Lippin, Guillermo Alberto Piva, Lior Rosenberg, Mordechay Bukhman, Baruch S. Stern, David Shalhevet, Menachem D. Shavitt, Andrew L. Pearlman, Noam Shani, Einat Almon",2001-11-05,2008-07-02,2012-03-27,2012-03-27,https://patents.google.com/patent/US8142990B2/en,https://patentimages.storage.googleapis.com/86/9b/57/2d76a844a9c76e/US08142990-20120327-D00001.png
JP-5128813-B2,Dermal micro organ and a method and apparatus for making and using it ,メドジニックス・インコーポレイテッドＭｅｄｇｅｎｉｃｓ，  Ｉｎｃ．,"ベッローモ、スティーブン・エフ, リッピン、イツハク, ピバ、ギレーモ・アルベルト, ローゼンバーグ、リオール, ブクマン、モーデカイ, ステルン、バルヒ・エス, シャルヘベット・デイビッド, シャビット、メナケム、ディー, パールマン、アンドリュー・エル",2003-05-01,2004-04-29,2013-01-23,2013-01-23,https://patents.google.com/patent/JP5128813B2/en,https://patentimages.storage.googleapis.com/28/1c/7b/74e0543be86fd2/0005128813-2.png
US-8088568-B2,"Dermal micro-organs, methods and apparatuses for producing and using the same ","Medgentics, Inc.","Stephen F. Bellomo, Itzhak Lippin, Guillermo Alberto Piva, Lior Rosenberg, Mordechay Bukhman, Baruch S. Stern, David Shalhevet, Menachem D. Shavitt, Andrew L. Pearlman, Noam Shani, Einat Almon",2001-11-05,2009-10-01,2012-01-03,2012-01-03,https://patents.google.com/patent/US8088568B2/en,https://patentimages.storage.googleapis.com/97/21/42/7a8d473a7b3378/US08088568-20120103-D00001.png
US-2003124565-A1,Efficient methods for assessing and validating ecandidate protein-based therapeutic molecules encoded by nucleic acid sequences of interest ,"Garfinkel Leonard I., Pearlman Andrew L., Mitrani Eduardo N.","Leonard Garfinkel, Andrew Pearlman, Eduardo Mitrani",2001-07-09,2002-07-09,2003-07-03,,https://patents.google.com/patent/US20030124565A1/en,https://patentimages.storage.googleapis.com/4d/1f/c0/379082156a9492/US20030124565A1-20030703-D00001.png
US-2005244967-A1,Closed automated system for tissue based therapy ,"Pearlman Andrew L, Bellomo Stephen F, Garfinkel Leonard I, Piva Guillermo A, Shavitt Menachem D, Lior Rosenberg, Itzhak Lippin, Mordechay Bukhman, Einat Almon, Niv Sher","Andrew Pearlman, Stephen Bellomo, Leonard Garfinkel, Guillermo Piva, Menachem Shavitt, Lior Rosenberg, Itzhak Lippin, Mordechay Bukhman, Einat Almon, Niv Sher",2004-05-03,2004-05-03,2005-11-03,,https://patents.google.com/patent/US20050244967A1/en,https://patentimages.storage.googleapis.com/dc/2b/b2/781ea9cdec870e/US20050244967A1-20051103-D00001.png
SI-1653807-T1,Use of dermal micro organs ,Medgenics Inc,"Stephen F Bellomo, Itzhak Lippin, Guillermo Alberto Piva, Lior Rosenberg, Mordechay Bukhman, Baruch S Stern, David Shalhevet, Menachem D Shavitt, Andrew L Pearlman, Shani Noam, Einat Almon",2003-05-01,2004-04-29,2012-08-31,,https://patents.google.com/patent/SI1653807T1/en,
IL-161746-A,"Closed automated system for tissue based therapy, dosing and administration using same ","Medgenics Inc, Andrew L Pearlman, Stephen F Bellomo, Leonard I Garfinkel, Guillermo A Piva, Menachem D Shavitt, Lior Rosenberg, Itzhak Lippin, Mordechay Bukhman, Einat Almon, Noam Shani, Niv Sher","Andrew L Pearlman, Stephen F Bellomo, Leonard I Garfinkel, Guillermo A Piva, Menachem D Shavitt, Lior Rosenberg, Itzhak Lippin, Mordechay Bukhman, Einat Almon, Noam Shani, Niv Sher",2001-11-05,2004-05-03,2011-07-31,,https://patents.google.com/patent/IL161746A/en,
IL-206316-A,"Closed automated system for tissue based therapy, dosing and administration using same ","Medgenics Inc, Andrew L Pearlman, Stephen F Bellomo, Leonard I Garfinkel, Guillermo A Piva, Menachem D Shavitt, Lior Rosenberg, Itzhak Lippin, Mordechay Bukhman, Einat Almon, Noam Shani, Niv Sher","Andrew L Pearlman, Stephen F Bellomo, Leonard I Garfinkel, Guillermo A Piva, Menachem D Shavitt, Lior Rosenberg, Itzhak Lippin, Mordechay Bukhman, Einat Almon, Noam Shani, Niv Sher",2001-11-05,2010-06-10,2013-11-28,,https://patents.google.com/patent/IL206316A/en,
WO-2016061149-A1,Genetically-modified micro-organ secreting a therapeutic peptide and methods of use thereof ,"Medgenics Medical Israel Ltd., Medgenics, Inc.","Nir Shapir, Garry NEIL, Amos Panet, Reem Miari",2014-10-14,2015-10-13,2016-04-21,,https://patents.google.com/patent/WO2016061149A1/en,
