search URL:,https://patents.google.com/?assignee=MEMORY+PHARMACEUTICALS+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8691841-B2,"Indazoles, benzothiazoles, benzoisothiazoles, benzisoxazoles, and preparation and use thereof ",Memory Pharmaceuticals Corporation,"Wenge Xie, Brian Herbert, Richard Schumacher, Truc Nguyen, Jianguo Ma, Carla Gauss, Ashok Tehim",2004-03-25,2013-03-15,2014-04-08,2014-04-08,https://patents.google.com/patent/US8691841B2/en,
CA-2499128-C,"Indazoles, benzothiazoles, and benzoisothiazoles, and preparation and uses thereof ","Memory Pharmaceuticals Corporation, Wenge Xie, Brian Herbert, Truc Minh Nguyen, Carla Maria Gauss, Ashok Tehim","Wenge Xie, Brian Herbert, Truc Minh Nguyen, Carla Maria Gauss, Ashok Tehim",2002-09-25,2003-09-25,2012-07-31,2012-07-31,https://patents.google.com/patent/CA2499128C/en,
US-7488737-B2,"Indoles, 1H-indazoles, 1,2-benzisoxazoles, 1,2-benzoisothiazoles, and preparation and uses thereof ",Memory Pharmaceutical Corporation,"Wenge Xie, Brian Herbert, Jianguo Ma, Truc Minh Nguyen, Richard Schumacher, Carla Maria Gauss, Ashok Tehim",2004-04-22,2005-04-22,2009-02-10,2009-02-10,https://patents.google.com/patent/US7488737B2/en,
US-7696198-B2,Phosphodiesterase 4 inhibitors ,Memory Pharmaceuticals Corporation,"Ashok Tehim, Allen Hopper, Ruiping Liu, Erik Kuester, Robert F. Dunn, Thomas E. Renau",2003-04-16,2004-04-16,2010-04-13,2010-04-13,https://patents.google.com/patent/US7696198B2/en,
US-8106066-B2,"Indazoles, benzothiazoles, benzoisothiazoles, benzisoxazoles, pyrazolopyridines, isothiazolopyridines, and preparation and uses thereof ",Memory Pharmaceuticals Corporation,"Richard Schumacher, Mihaela Diana Danca, Jianguo Ma, Brian Herbert, True Minh Nguyen, Wenge Xie, Ashok Tehim",2005-09-23,2006-09-22,2012-01-31,2012-01-31,https://patents.google.com/patent/US8106066B2/en,
US-7405230-B2,"Phosphodiesterase 4 inhibitors, including N-substituted aniline and diphenylamine analogs ",Memory Pharmaceuticals Corporation,"Richard A. Schumacher, Allen T. Hopper, Ashok Tehim, Hans-Jurgen Ernst Hess, Axel Unterbeck, Erik Kuester, William Frederick Brubaker, Jr., Robert F. Dunn",2002-07-19,2003-07-21,2008-07-29,2008-07-29,https://patents.google.com/patent/US7405230B2/en,
US-7396833-B2,"Indoles, 1H-indazoles, 1,2-benzisoxazoles, and 1,2-benzisothiazoles, and preparation and uses thereof ",Memory Pharmaceuticals Corporation,"Wenge Xie, Brian Herbert, Jianguo Ma, Truc Minh Nguyen, Richard Schumacher, Carla Maria Gauss, Ashok Tehim",2003-12-22,2004-12-22,2008-07-08,2008-07-08,https://patents.google.com/patent/US7396833B2/en,
EP-1692109-B1,"Phosphodiesterase 4 inhibitors, including n-substituted diarylamine analogs ","Memory Pharmaceuticals Corporation, F.Hoffmann-La Roche Ag","Richard Schumacher, Allen Hopper, Robert Dunn, Erik Kuester, Ashok Tehim, Thomas E. Renau, Joan Caroon, Francisco Talamas, Sharada Labadie",2003-12-11,2004-12-10,2010-08-18,2010-08-18,https://patents.google.com/patent/EP1692109B1/en,
US-2007093515-A1,Phosphodiesterase 10 inhibitors ,"Arrington Mark P, Conticello Richard D, Gauss Carla M, Stephen Hitchcock, Allen Hopper, Ruiping Liu, Nguyen Truc M, Ashok Tehim","Mark Arrington, Richard Conticello, Carla Gauss, Stephen Hitchcock, Allen Hopper, Ruiping Liu, Truc Nguyen, Ashok Tehim",2005-08-16,2006-08-16,2007-04-26,,https://patents.google.com/patent/US20070093515A1/en,
US-2006160814-A1,Phosphodiesterase 10 inhibitors ,"Arrington Mark P, Ruiping Liu, Conticello Richard D, Gauss Carla M, Allen Hopper, Nguyen Truc M, Ashok Tehim","Mark Arrington, Ruiping Liu, Richard Conticello, Carla Gauss, Allen Hopper, Truc Nguyen, Ashok Tehim",2004-09-03,2005-09-02,2006-07-20,,https://patents.google.com/patent/US20060160814A1/en,
