search URL:,https://patents.google.com/?assignee=MERRIMACK+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2678181-C,Antibodies against erbb3 and uses thereof ,"Merrimack Pharmaceuticals, Inc., Birgit Schoeberl, Ulrik Nielsen, Michael Feldhaus, Arumugam Muruganandam, David Buckler","Birgit Schoeberl, Ulrik Nielsen, Michael Feldhaus, Arumugam Muruganandam, David Buckler",2007-02-16,2008-02-15,2016-12-13,2016-12-13,https://patents.google.com/patent/CA2678181C/en,
US-9724303-B2,Liposomes useful for drug delivery ,Ipsen Biopharm Ltd.,"Keelung Hong, Daryl C. Drummond, Dmitri Kirpotin",2004-05-03,2015-12-10,2017-08-08,2017-08-08,https://patents.google.com/patent/US9724303B2/en,https://patentimages.storage.googleapis.com/a0/df/2b/de817ed9bf428a/US09724303-20170808-D00000.png
US-8927694-B2,Human serum albumin linkers and conjugates thereof ,"Merrimack Pharmaceuticals, Inc.","Charlotte McDonagh, Michael Feldhaus, Alexandra Huhalov",2008-11-18,2009-10-14,2015-01-06,2015-01-06,https://patents.google.com/patent/US8927694B2/en,https://patentimages.storage.googleapis.com/d1/ed/c5/f6d1983d91d6a1/US08927694-20150106-D00001.png
AU-2005249396-B2,Bispecific binding agents for modulating biological activity ,"Merrimack Pharmaceuticals, Inc.","Ulrik B. Nielsen, Birgit M. Schoeberl",2004-05-05,2005-05-05,2011-10-20,2011-10-20,https://patents.google.com/patent/AU2005249396B2/en,
AU-2009234253-C1,Human serum albumin linkers and conjugates thereof ,"Merrimack Pharmaceuticals, Inc.","Michael Feldhaus, Alexandra Huhalov, Charlotte Mcdonagh",2008-04-11,2009-04-10,2015-05-07,2015-05-07,https://patents.google.com/patent/AU2009234253C1/en,
ES-2433424-T3,Methods and systems for predicting response of cells to a therapeutic agent ,"Merrimack Pharmaceuticals, Inc.","Birgit Schoeberl, Brian Harms, Francis David Gibbons, Jonathan Basil Fitzgerald, Matthew David Onsum, Ulrik Nielsen, William Kubasek",2008-08-15,2009-08-17,2013-12-11,2013-12-11,https://patents.google.com/patent/ES2433424T3/en,
US-2009246206-A1,Bispecific binding agents for modulating biological activity ,"Merrimack Pharmaceuticals, Inc.","Ulrik B. Nielsen, Birgit M. Schoeberl",2005-02-23,2005-05-05,2009-10-01,,https://patents.google.com/patent/US20090246206A1/en,
US-6110491-A,Compound-loaded liposomes and methods for their preparation ,"Hermes Biosciences, Inc.",Dmitri Kirpotin,1996-10-22,1997-10-21,2000-08-29,2000-08-29,https://patents.google.com/patent/US6110491A/en,https://patentimages.storage.googleapis.com/4d/ac/cf/f2a6bc007652d1/US6110491-drawings-page-2.png
CA-2800173-C,Bi-specific fusion proteins ,"Ulrik Nielsen, Merrimack Pharmaceuticals, Inc., Thomas Wickham, Birgit Schoeberl, Brian Harms, Bryan Linggi, Matthew Onsum, Byron Delabarre, Shaun M. Lippow","Ulrik Nielsen, Thomas Wickham, Birgit Schoeberl, Brian Harms, Bryan Linggi, Matthew Onsum, Byron Delabarre, Shaun M. Lippow",2010-05-21,2011-05-20,2019-05-14,2019-05-14,https://patents.google.com/patent/CA2800173C/en,
US-8658203-B2,Liposomes useful for drug delivery to the brain ,"Merrimack Pharmaceuticals, Inc.","Daryl C. Drummond, Dmitri Kirpotin",2004-05-03,2006-11-17,2014-02-25,2014-02-25,https://patents.google.com/patent/US8658203B2/en,https://patentimages.storage.googleapis.com/a1/fa/bd/55bb4e9f28a6ad/US08658203-20140225-D00000.png
