search URL:,https://patents.google.com/?assignee=METABOLIX+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-0981381-B1,Polyhydroxyalkanoates for in vivo applications ,"Metabolix, Inc.","Simon F. Williams, David P. Martin, Tillman Gerngross, Daniel M. Horowitz",1997-05-12,1998-05-12,2007-02-21,2007-02-21,https://patents.google.com/patent/EP0981381B1/en,
AU-725516-B2,Biological systems for manufacture of polyhydroxyalkanoate polymers containing 4-hydroxyacids ,"Metabolix, Inc.","Gjalt W. Huisman, David P. Martin, Oliver P. Peoples, Frank A. Skraly",1997-09-19,1998-09-18,2000-10-12,2000-10-12,https://patents.google.com/patent/AU725516B2/en,
AU-778081-B2,Medical devices and applications of polyhydroxyalkanoate polymers ,"Tepha, Inc.","David P. Martin, Frank Skraly, Simon F. Williams",1999-03-25,2000-03-24,2004-11-11,2004-11-11,https://patents.google.com/patent/AU778081B2/en,
US-6610764-B1,Polyhydroxyalkanoate compositions having controlled degradation rates ,"Metabolix, Inc.","David P. Martin, Frank Skraly, Simon F. Williams",1997-05-12,1998-12-22,2003-08-26,2003-08-26,https://patents.google.com/patent/US6610764B1/en,https://patentimages.storage.googleapis.com/84/2e/15/6d0872c9a4dac3/US6610764-drawings-page-4.png
US-6867248-B1,Polyhydroxyalkanoate compositions having controlled degradation rates ,"Metabolix, Inc.","David P. Martin, Frank Skraly, Simon F. Williams",1997-05-12,2003-03-28,2005-03-15,2005-03-15,https://patents.google.com/patent/US6867248B1/en,https://patentimages.storage.googleapis.com/1c/7e/c9/c8cd244e400467/US06867248-20050315-D00001.png
US-6828357-B1,Polyhydroxyalkanoate compositions having controlled degradation rates ,"Metabolix, Inc.","David P. Martin, Frank Skraly, Simon F. Williams",1997-07-31,2003-03-28,2004-12-07,2004-12-07,https://patents.google.com/patent/US6828357B1/en,https://patentimages.storage.googleapis.com/ac/3a/28/d15a1e39623fc6/US06828357-20041207-D00001.png
US-4477654-A,3-Hydroxybutyrate polymers ,Imperial Chemical Industries Plc,"Paul A. Holmes, Stephen H. Collins, Leonard F. Wright",1981-07-07,1982-06-29,1984-10-16,1984-10-16,https://patents.google.com/patent/US4477654A/en,
EP-1305439-B1,Production of polyhydroxyalkanoates from polyols ,"Metabolix, Inc.","Frank A. Skraly, Martha Sholl",2000-07-21,2001-07-20,2006-06-07,2006-06-07,https://patents.google.com/patent/EP1305439B1/en,https://patentimages.storage.googleapis.com/f4/56/f5/8bc6cff0adc2cb/imgf0001.png
US-4910145-A,Separation process ,Imperial Chemical Industries Plc,"Paul A. Holmes, Guan B. Lim",1983-11-23,1989-06-30,1990-03-20,1990-03-20,https://patents.google.com/patent/US4910145A/en,
US-5811272-A,Method for controlling molecular weight of polyhydroxyalkanoates ,Massachusetts Institute Of Technology,"Kristi D. Snell, Scott A. Hogan, Sang Jun Sim, Anthony J. Sinskey, ChoKyun Rha",1996-07-26,1996-07-26,1998-09-22,1998-09-22,https://patents.google.com/patent/US5811272A/en,https://patentimages.storage.googleapis.com/42/bb/eb/80143514466342/US5811272-drawings-page-4.png
CA-2109221-C,Production of polyhydroxyalkanoate in plants ,"Simon William Jonathan Bright, David Byrom, Philip Anthony Fentem, Imperial Chemical Industries Plc, Zeneca Limited, Monsanto Company, Metabolix, Inc.","Simon William Jonathan Bright, David Byrom, Philip Anthony Fentem",1991-04-24,1992-04-23,2007-03-06,2007-03-06,https://patents.google.com/patent/CA2109221C/en,
EP-1593705-B1,"Use of organic phosphonic or phosphinic acids, or of oxides, hydroxides or carboxylic acid salts of metals as thermal stabilizers for polyhydroxyalcanoates ","Metabolix, Inc.","Jawed Asrar, Jean R. Pierre",1997-10-31,1998-10-27,2009-08-12,2009-08-12,https://patents.google.com/patent/EP1593705B1/en,
US-6117658-A,Methods of making polyhydroxyalkanoates comprising 4-hydroxybutyrate monomer units ,James Madison University,"Douglas E. Dennis, Henry E. Valentin",1997-02-13,1998-02-12,2000-09-12,2000-09-12,https://patents.google.com/patent/US6117658A/en,https://patentimages.storage.googleapis.com/97/d5/23/b48480228416af/US6117658-drawings-page-2.png
EP-0920517-B1,Dna sequence useful for the production of polyhydroxyalkanoates ,"Metabolix, Inc.","Niels KRÜGER, Alexander Steinbüchel",1996-08-13,1997-08-13,2010-11-10,2010-11-10,https://patents.google.com/patent/EP0920517B1/en,https://patentimages.storage.googleapis.com/08/8a/0a/c99112e104fa64/imgf0001.png
EP-1105514-B1,Polyhydroxyalkanoate production from polyols ,"Metabolix, Inc.","Frank Skraly, Oliver P. Peoples",1998-08-04,1999-08-04,2008-02-06,2008-02-06,https://patents.google.com/patent/EP1105514B1/en,https://patentimages.storage.googleapis.com/84/7b/2e/b1935e79fb121d/imgf0001.png
EP-1042388-B1,Polyhydroxyalkanoate compositions having controlled degradation rates ,"Metabolix, Inc.","David P. Martin, Frank A. Skraly, Simon F. Williams",1997-12-22,1998-12-22,2006-11-15,2006-11-15,https://patents.google.com/patent/EP1042388B1/en,https://patentimages.storage.googleapis.com/78/b3/5d/a07176c71a497e/imgf0001.png
US-8093022-B2,Polyhydroxyalkanoate biopolymer compositions ,"Metabolix, Inc.","Frank A. Skraly, Oliver P. Peoples",1998-05-22,2007-03-08,2012-01-10,2012-01-10,https://patents.google.com/patent/US8093022B2/en,https://patentimages.storage.googleapis.com/fb/ca/b3/18e8e5628ec14f/US08093022-20120110-D00001.png
EP-1654373-B1,Bioabsorbable polymer containing 2-hydroxyacid monomers ,"Metabolix, Inc., Tepha, Inc.","David P. Martin, Frank A. Skraly",2002-05-10,2003-05-07,2012-08-15,2012-08-15,https://patents.google.com/patent/EP1654373B1/en,https://patentimages.storage.googleapis.com/96/33/29/6fffa572648b75/imgf0001.png
