search URL:,https://patents.google.com/?assignee=MIRNA+THERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8258111-B2,Compositions and methods related to miRNA modulation of neovascularization or angiogenesis ,"The Johns Hopkins University, Mirna Therapeutics, Inc.","Jikui Shen, Kevin Kelnar, Jeffrey Shelton, David Brown, Peter Campochiaro",2008-05-08,2009-05-08,2012-09-04,2012-09-04,https://patents.google.com/patent/US8258111B2/en,https://patentimages.storage.googleapis.com/40/b7/f6/443bbf9ed3020d/US08258111-20120904-D00001.png
US-8071562-B2,MiR-124 regulated genes and pathways as targets for therapeutic intervention ,"Mirna Therapeutics, Inc.","Andreas G. Bader, Jason F. Wiggins, Lubna Patrawala, Kevin Kelnar, Mike Byrom, David Brown",2007-12-01,2008-12-01,2011-12-06,2011-12-06,https://patents.google.com/patent/US8071562B2/en,https://patentimages.storage.googleapis.com/bc/ef/9a/ec72be95aa727e/US08071562-20111206-D00001.png
US-8900627-B2,Compositions for the in vivo delivery of RNAi agents ,"Mirna Therapeutics, Inc., Bioo Scientific Corporation","Lance Ford, David Brown, Andreas G. Bader",2008-06-06,2009-06-05,2014-12-02,2014-12-02,https://patents.google.com/patent/US8900627B2/en,https://patentimages.storage.googleapis.com/75/1d/ce/9b14c5bb90d86e/US08900627-20141202-D00001.png
US-2014314833-A1,Methods and compositions involving mirna and mirna inhibitor molecules ,"Mirna Therapeutics, Inc.","David Brown, Lance Ford, Angie Cheng, Rich Jarvis, Mike Byrom, Dmitriy Ovcharenko, Eric Devroe, Kevin Kelnar",2004-11-12,2014-04-16,2014-10-23,,https://patents.google.com/patent/US20140314833A1/en,https://patentimages.storage.googleapis.com/e6/0b/9c/d52f8539f02f71/US20140314833A1-20141023-D00001.png
US-2009131356-A1,"miR-15, miR-26, miR-31, miR-145, miR-147, miR-188, miR-215, miR-216, miR-331, mmu-miR-292-3P REGULATED GENES AND PATHWAYS AS TARGETS FOR THERAPEUTIC INTERVENTION ","Asuragen, Inc.","Andreas G. Bader, Mike W. Byrom, Lubna Patrawala, Charles D. Johnson, David Brown",2006-09-19,2008-07-03,2009-05-21,,https://patents.google.com/patent/US20090131356A1/en,https://patentimages.storage.googleapis.com/US20090131356A1/US20090131356A1-20090521-D00000.png
US-2010179213-A1,Methods and Compositions Involving miRNAs In Cancer Stem Cells ,"Mirna Therapeutics, Inc., The Board Of Regents Of The University Of Texas System","Lubna Patrawala, Dean G. Tang, Kevin Kelnar, Jason Wiggins, Stephanie Volz, Jeffrey Shelton, Can Liu, Andreas G. Bader, David Brown",2008-11-11,2009-11-11,2010-07-15,,https://patents.google.com/patent/US20100179213A1/en,https://patentimages.storage.googleapis.com/6c/78/8b/09b812fb679dfd/US20100179213A1-20100715-D00001.png
US-2009227533-A1,miR-34 Regulated Genes and Pathways as Targets for Therapeutic Intervention ,"Bader Andreas G, Lubna Patrawala, Wiggins Jason F, Byrom Mike W, Johnson Charles D, David Brown","Andreas G. Bader, Lubna Patrawala, Jason F. Wiggins, Mike W. Byrom, Charles D. Johnson, David Brown",2007-06-08,2008-06-06,2009-09-10,,https://patents.google.com/patent/US20090227533A1/en,https://patentimages.storage.googleapis.com/US20090227533A1/US20090227533A1-20090910-D00000.png
US-2009163430-A1,Functions and targets of let-7 micro rnas ,"Johnson Charles D, Byrom Mike W, Bader Andreas G, Slack Frank J, David Brown","Charles D. Johnson, Mike W. Byrom, Andreas G. Bader, Frank J. Slack, David Brown",2006-12-08,2007-12-31,2009-06-25,,https://patents.google.com/patent/US20090163430A1/en,https://patentimages.storage.googleapis.com/US20090163430A1/US20090163430A1-20090625-D00001.png
US-2009163435-A1,miR-200 REGULATED GENES AND PATHWAYS AS TARGETS FOR THERAPEUTIC INTERVENTION ,"Bader Andreas G, Byrom Mike W, Johnson Charles D, David Brown","Andreas G. Bader, Mike W. Byrom, Charles D. Johnson, David Brown",2006-09-19,2008-05-21,2009-06-25,,https://patents.google.com/patent/US20090163435A1/en,
US-2009163434-A1,miR-20 Regulated Genes and Pathways as Targets for Therapeutic Intervention ,"Bader Andreas G, Mike Byrom, Johnson Charles D, David Brown","Andreas G. Bader, Mike Byrom, Charles D. Johnson, David Brown",2006-12-08,2008-04-30,2009-06-25,,https://patents.google.com/patent/US20090163434A1/en,
US-2009192102-A1,miR-21 REGULATED GENES AND PATHWAYS AS TARGETS FOR THERAPEUTIC INTERVENTION ,"Bader Andreas G, Mike Byrom, Johnson Charles D, David Brown","Andreas G. Bader, Mike Byrom, Charles D. Johnson, David Brown",2006-12-08,2008-05-14,2009-07-30,,https://patents.google.com/patent/US20090192102A1/en,https://patentimages.storage.googleapis.com/US20090192102A1/US20090192102A1-20090730-D00000.png
US-2009175827-A1,miR-16 REGULATED GENES AND PATHWAYS AS TARGETS FOR THERAPEUTIC INTERVENTION ,"Byrom Mike W, Lubna Patrawala, Johnson Charles D, David Brown, Bader Andreas G","Mike W. Byrom, Lubna Patrawala, Charles D. Johnson, David Brown, Andreas G. Bader",2006-12-29,2007-12-31,2009-07-09,,https://patents.google.com/patent/US20090175827A1/en,https://patentimages.storage.googleapis.com/US20090175827A1/US20090175827A1-20090709-D00000.png
US-2009131354-A1,miR-126 REGULATED GENES AND PATHWAYS AS TARGETS FOR THERAPEUTIC INTERVENTION ,"Bader Andreas G, Byrom Mike W, Lubna Patrawala, Johnson Charles D, David Brown","Andreas G. Bader, Mike W. Byrom, Lubna Patrawala, Charles D. Johnson, David Brown",2007-05-22,2008-05-22,2009-05-21,,https://patents.google.com/patent/US20090131354A1/en,https://patentimages.storage.googleapis.com/US20090131354A1/US20090131354A1-20090521-D00000.png
US-2009192114-A1,miR-10 Regulated Genes and Pathways as Targets for Therapeutic Intervention ,"Dmitriy Ovcharenko, Johnson Charles D, Bader Andreas G, David Brown","Dmitriy Ovcharenko, Charles D. Johnson, Andreas G. Bader, David Brown",2007-12-21,2008-12-19,2009-07-30,,https://patents.google.com/patent/US20090192114A1/en,
US-2009232893-A1,miR-143 REGULATED GENES AND PATHWAYS AS TARGETS FOR THERAPEUTIC INTERVENTION ,"Bader Andreas G, Byrom Mike W, Johnson Charles D, David Brown","Andreas G. Bader, Mike W. Byrom, Charles D. Johnson, David Brown",2007-05-22,2008-05-22,2009-09-17,,https://patents.google.com/patent/US20090232893A1/en,https://patentimages.storage.googleapis.com/US20090232893A1/US20090232893A1-20090917-D00001.png
EP-2670850-B1,Synthetic mimics of mir-34 ,"Mirna Therapeutics, Inc.","Kevin Kelnar, David Brown",2011-02-03,2012-02-03,2016-10-26,2016-10-26,https://patents.google.com/patent/EP2670850B1/en,
