search URL:,https://patents.google.com/?assignee=MOMENTA+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-8209132-B2,Methods and products related to the improved analysis of carbohydrates ,"Momenta Pharmaceuticals, Inc., Massachusetts Institute Of Technology","Carlos Bosques, Nishla Keiser, Aravind Srinivasan, Rahul Raman, Karthik Viswanathan, Ram Sasisekharan, Pankaj Gandhe, Sasi Raguram",2004-04-15,2009-11-20,2012-06-26,2012-06-26,https://patents.google.com/patent/US8209132B2/en,https://patentimages.storage.googleapis.com/c9/19/8e/287e0d6927da61/US08209132-20120626-D00001.png
EP-2137655-B1,Defined glycoprotein products and related methods ,"Momenta Pharmaceuticals, Inc.","Ganesh Venkataraman, Brian Edward Collins, Carlos J. Bosques, Lakshmanan Thiruneelakantapillai, Dorota A. Bulik, Ian Christopher Parsons, Zachary Shriver, Rajeev Chillakuru",2007-04-16,2008-04-15,2012-07-11,2012-07-11,https://patents.google.com/patent/EP2137655B1/en,https://patentimages.storage.googleapis.com/f3/4a/65/bde7fd8a4ffb5e/imgf0001.png
US-8000904-B2,Methods and products related to the improved analysis of carbohydrates ,"Momenta Pharmaceuticals, Inc., Massachusetts Institute Of Technology","Nishla Keiser, Carlos Bosques, Ram Sasisekharan, Pankaj Gandhe, Sasi Raguram, Aravind Srinivasan",2004-04-15,2009-10-06,2011-08-16,2011-08-16,https://patents.google.com/patent/US8000904B2/en,https://patentimages.storage.googleapis.com/09/a0/11/1580602ef3a7a8/US08000904-20110816-D00000.png
US-8715953-B2,Analysis of sulfated polysaccharides ,"Momenta Pharmaceuticals, Inc.","Ganesh Kaundinya, Zachary Shriver, Mallikarjun Sundaram, Yi-Wei QI, Ram Sasisekharan",2002-03-11,2013-11-01,2014-05-06,2014-05-06,https://patents.google.com/patent/US8715953B2/en,https://patentimages.storage.googleapis.com/da/74/bc/fdce3cef1097fc/US08715953-20140506-D00001.png
US-9921210-B2,High mannose glycans ,"Momenta Pharmaceuticals, Inc.","Brian Edward Collins, Jay Duffner, Carlos J. Bosques, Dorota A. Bulik, James Myette, James Meador",2010-04-07,2011-04-07,2018-03-20,2018-03-20,https://patents.google.com/patent/US9921210B2/en,https://patentimages.storage.googleapis.com/50/81/a9/301c40ef095978/US09921210-20180320-D00001.png
AU-2003299730-B2,Glycan markers for diagnosing and monitoring disease ,"Momenta Pharmaceuticals, Inc.","Ram Sasisekharan, Zachary Shriver, Mallikarjun Sundaram, Ganesh Venkataraman",2002-12-20,2003-12-19,2009-04-02,2009-04-02,https://patents.google.com/patent/AU2003299730B2/en,
US-8361705-B2,Characterization of N-glycans using exoglycosidases ,"Momenta Pharmaceuticals, Inc.","Ian Christopher Parsons, Dorota A. Bulik, Carlos J. Bosques, Lakshmanan Thiruneelakantapillai, Brian Edward Collins",2007-04-16,2008-04-15,2013-01-29,2013-01-29,https://patents.google.com/patent/US8361705B2/en,https://patentimages.storage.googleapis.com/f7/9a/ce/ef3ab8da6f4be3/US08361705-20130129-D00000.png
US-8609632-B2,Low molecular weight heparin composition and uses thereof ,"Momenta Pharmaceuticals, Inc.","Zachary Shriver, Mallikarjun Sundaram, Ganesh Venkataraman, Pat Oliver-Shaffer, Yiming Yao, Zainab Sirajbhai Mamuwala, Ian David Fier, Yiwei Qi, Ishan Capila, Nur Sibel Gunay, Daniela Beccati, Cuihua Liu, Corinne Bauer, Ying Li",2006-05-25,2007-05-24,2013-12-17,2013-12-17,https://patents.google.com/patent/US8609632B2/en,https://patentimages.storage.googleapis.com/29/ce/82/491bafbc1590db/US08609632-20131217-D00001.png
US-2015158943-A1,Methods related to adalimumab ,"Momenta Pharmaceuticals, Inc.","John Robblee, Brian Edward Collins, Ganesh Kaundinya, Carlos J. Bosques",2012-06-01,2013-05-31,2015-06-11,,https://patents.google.com/patent/US20150158943A1/en,https://patentimages.storage.googleapis.com/d7/3f/89/5387c5925526bd/US20150158943A1-20150611-D00001.png
US-8304250-B2,Multi-dimensional chromatographic methods for separating N-glycans ,"Momenta Pharmaceuticals, Inc.","Ian Christopher Parsons, Ting Zheng, Nur Sibel Gunay, Carlos J. Bosques",2007-04-16,2008-04-15,2012-11-06,2012-11-06,https://patents.google.com/patent/US8304250B2/en,https://patentimages.storage.googleapis.com/c6/6c/7a/d825648034e05e/US08304250-20121106-D00001.png
