search URL:,https://patents.google.com/?assignee=MYOGEN+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5932730-A,"Carboxylic acid derivatives, their preparation and use ",Basf Aktiengesellschaft,"Hartmut Riechers, Dagmar Klinge, Wilhelm Amberg, Andreas Kling, Stefan Muller, Ernst Baumann, Joachim Rheinheimer, Uwe Josef Vogelbacher, Wolfgang Wernet, Liliane Unger, Manfred Raschack",1994-10-14,1995-10-07,1999-08-03,1999-08-03,https://patents.google.com/patent/US5932730A/en,
US-6706686-B2,Inhibition of histone deacetylase as a treatment for cardiac hypertrophy ,The Regents Of The University Of Colorado,"Carlin Long, Eric N. Olson, Michael Bristow, Timothy A. McKinsey",2001-09-27,2002-09-26,2004-03-16,2004-03-16,https://patents.google.com/patent/US6706686B2/en,https://patentimages.storage.googleapis.com/cb/cd/3a/f3a2be9cfe5141/US06706686-20040316-D00001.png
US-6201165-B1,Transgenic animal models for cardiac hypertrophy and methods of use thereof ,"Board Of Regents, University Of Texas System","Stephen R. Grant, Eric N. Olson",1997-10-16,1998-10-15,2001-03-13,2001-03-13,https://patents.google.com/patent/US6201165B1/en,https://patentimages.storage.googleapis.com/d3/c9/2b/155f868a3e9694/US6201165-drawings-page-5.png
US-2005182011-A1,Inhibition of TRP channels as a treatment for cardiac hypertrophy and heart failure ,"Eric Olson, Erik Bush","Eric Olson, Erik Bush",2003-11-13,2004-11-12,2005-08-18,,https://patents.google.com/patent/US20050182011A1/en,https://patentimages.storage.googleapis.com/1a/49/9f/751fc60c6fdb10/US20050182011A1-20050818-D00001.png
US-7482331-B1,Diagnosis and treatment of myocardial failure ,The Regents Of The University Of Colorado,"Michael R. Bristow, Leslie A. Leinwand, Wayne Minobe, Koichi Nakao",1997-01-30,2000-04-25,2009-01-27,2009-01-27,https://patents.google.com/patent/US7482331B1/en,https://patentimages.storage.googleapis.com/US7482331B1/US07482331-20090127-D00001.png
US-6632628-B1,Methods and compositions relating to HDAC 4 and 5 regulation of cardiac gene expression ,"Board Of Regents, The University Of Texas System","Eric N. Olson, Jianrong Lu, Timothy McKinsey",1999-08-20,2000-08-21,2003-10-14,2003-10-14,https://patents.google.com/patent/US6632628B1/en,https://patentimages.storage.googleapis.com/64/5d/ec/b3ed53962b683c/US06632628-20031014-D00001.png
US-6372957-B1,Transgenic mouse comprising a MEF2 binding site operatively linked to an indicator gene and methods of use ,"Board Of Regents, The University Of Texas System",Eric N. Olson,1998-11-10,1999-11-10,2002-04-16,2002-04-16,https://patents.google.com/patent/US6372957B1/en,https://patentimages.storage.googleapis.com/f7/ad/6d/ca4803d8b9d075/US6372957-drawings-page-3.png
US-2003096782-A1,Expression profiling in the intact human heart ,The Regents Of The University Of Colorado,"Michael Bristow, Wayne Minobe, Brian Lowes, M. Perryman",2001-09-11,2002-09-11,2003-05-22,,https://patents.google.com/patent/US20030096782A1/en,
US-5840722-A,Use of carboxylic acid derivatives as drugs ,Basf Aktiengesellschaft,"Ernst Baumann, Uwe Josef Vogelbacher, Joachim Rheinheimer, Dagmar Klinge, Hartmut Riechers, Burkhard Kroger, Siegfried Bialojan, Claus Bollschweiler, Wolfgang Wernet, Liliane Unger, Manfred Raschack",1994-03-31,1995-03-23,1998-11-24,1998-11-24,https://patents.google.com/patent/US5840722A/en,
US-5703017-A,"3-(Het) arylcarboxylic acid derivatives, their preparation and intermediates for their preparation ",Basf Aktiengesellschaft,"Ernst Baumann, Joachim Rheinheimer, Uwe Josef Vogelbacher, Matthias Bratz, Hans Theobald, Matthias Gerber, Karl-Otto Westphalen, Helmut Walter, Wilhelm Rademacher",1993-04-23,1994-04-13,1997-12-30,1997-12-30,https://patents.google.com/patent/US5703017A/en,
