search URL:,https://patents.google.com/?assignee=NANTKWEST+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-10138462-B2,Natural killer cell lines and methods of use ,"Nantkwest, Inc.",Hans Klingemann,1997-04-30,2001-12-07,2018-11-27,2018-11-27,https://patents.google.com/patent/US10138462B2/en,https://patentimages.storage.googleapis.com/a8/9c/82/b042b62302ca72/US10138462-20181127-D00001.png
US-8034332-B2,Interleukin-secreting natural killer cell lines and methods of use ,"Conkwest, Inc.",Hans Klingemann,1997-04-30,2003-06-06,2011-10-11,2011-10-11,https://patents.google.com/patent/US8034332B2/en,https://patentimages.storage.googleapis.com/fd/c5/a3/7a4bc2c0d8ad1c/US08034332-20111011-D00001.png
US-2018163176-A1,Modified nk-92 cells for treating cancer ,"Nantkwest, Inc.",Tien Lee,2015-06-10,2016-06-10,2018-06-14,,https://patents.google.com/patent/US20180163176A1/en,https://patentimages.storage.googleapis.com/05/62/b9/d620d1c854ab1f/US20180163176A1-20180614-D00000.png
US-10258649-B2,Tumoricidal and antimicrobial compositions and methods ,"Nantkwest, Inc.","Hans G. Klingemann, Barry J. Simon",2013-11-01,2014-10-28,2019-04-16,2019-04-16,https://patents.google.com/patent/US10258649B2/en,https://patentimages.storage.googleapis.com/c1/24/1a/ee07cf27ac5c32/US10258649-20190416-D00001.png
US-2017304364-A1,Nk-92 cells in combination therapy with cancer drugs ,"Nantkwest, Inc.","Tien Lee, Hans G. Klingemann, Barry J. Simon",2015-03-27,2016-03-25,2017-10-26,,https://patents.google.com/patent/US20170304364A1/en,https://patentimages.storage.googleapis.com/f9/f0/41/c90781e88b9c2a/US20170304364A1-20171026-D00001.png
US-2018193383-A1,Genetically modified nk-92 cells and monoclonal antibodies for the treatment of cancer ,"Nantkwest, Inc.","Tien Lee, Hans G. Klingemann, Barry J. Simon, Laurent Boissel",2015-03-27,2016-03-25,2018-07-12,,https://patents.google.com/patent/US20180193383A1/en,https://patentimages.storage.googleapis.com/7e/2f/c2/6d6feb0aafc5ab/US20180193383A1-20180712-D00000.png
US-2018258397-A1,MODIFIED NK-92 haNK003 CELLS FOR THE CLINIC ,"Nantkwest, Inc.","Hans Klingemann, Laurent Boissel, Patrick Soon-Shiong",2017-03-08,2018-03-07,2018-09-13,,https://patents.google.com/patent/US20180258397A1/en,https://patentimages.storage.googleapis.com/eb/c4/58/3ddd74756fd288/US20180258397A1-20180913-D00000.png
US-2018360881-A1,Compositions and Methods for Treatment of Her2 Positive Metastatic Breast Cancer ,"Nant Holdings Ip, Llc, Nantcell, Inc., Nantkwest, Inc.","Shahrooz Rabizadeh, Patrick Soon-Shiong, Hans Klingemann",2015-12-09,2016-12-09,2018-12-20,,https://patents.google.com/patent/US20180360881A1/en,https://patentimages.storage.googleapis.com/c6/db/ce/3df921d885c3e9/US20180360881A1-20181220-D00001.png
US-2016244716-A1,Protocol and media for storage and transport of nk-92 cell line ,"Hans G. Klingemann, Barry J. Simon, Nantkwest, Inc.","Hans G. Klingemann, Barry J. Simon",2013-10-08,2014-10-07,2016-08-25,,https://patents.google.com/patent/US20160244716A1/en,https://patentimages.storage.googleapis.com/fa/de/ac/3c87fdf0ce4a51/US20160244716A1-20160825-D00001.png
US-2017246209-A1,Treating viral hemorrhagic fever with nk-92 cells ,"Nantkwest, Inc.","Tien Lee, Barry Simon",2014-10-06,2015-10-02,2017-08-31,,https://patents.google.com/patent/US20170246209A1/en,https://patentimages.storage.googleapis.com/20/21/9c/eb7260eaa3aa16/US20170246209A1-20170831-D00001.png
WO-2018129346-A1,Genetically modified nk-92 cells with decreased cd96/tigit expression ,"Nantkwest, Inc.","Francisco Navarro, Hans Klingemann",2017-01-06,2018-01-05,2018-07-12,,https://patents.google.com/patent/WO2018129346A1/en,
WO-2018064594-A2,Hla class i-deficient nk-92 cells with decreased immunogenicity ,"Nantkwest, Inc.","Francisco Navarro, Hans Klingemann",2016-09-29,2017-09-29,2018-04-05,,https://patents.google.com/patent/WO2018064594A2/en,
WO-2019028337-A1,Treating and inhibiting leukemia with nk-92 cells ,"Nantkwest, Inc.","Hans G. KLINGEMANN, Tien Lee",2017-08-04,2018-08-03,2019-02-07,,https://patents.google.com/patent/WO2019028337A1/en,
WO-2018209208-A1,Anti-egfr/high affinity nk-cells compositions and methods for chordoma treatment ,"Nantkwest, Inc.","Patrick Soon-Shiong, John Lee",2017-05-11,2018-05-11,2018-11-15,,https://patents.google.com/patent/WO2018209208A1/en,
WO-2018236887-A1,Methods for treating merkel cell carcinoma (mcc) using nk-92 cells ,"Nantkwest, Inc.","Hans Klingemann, Tien Lee, Laurent BOISSEL",2017-06-20,2018-06-19,2018-12-27,,https://patents.google.com/patent/WO2018236887A1/en,
WO-2018013975-A1,Hdac inhibitors for use with nk cell based therapies ,"Viracta Therapeutics, Inc., Nantkwest, Inc.","James N. Woody, Patrick Soon-Shiong",2016-07-15,2017-07-14,2018-01-18,,https://patents.google.com/patent/WO2018013975A1/en,
US-2017182292-A1,Treating solid tumours with nk-92 cells applied by microcatheter ,"Nantkwest, Inc.",Hans G. Klingemann,2014-05-22,2015-05-21,2017-06-29,,https://patents.google.com/patent/US20170182292A1/en,
WO-2019089813-A1,Nk-92 cells to stimulate anti-cancer vaccine ,"Nantkwest, Inc.","Hans G. KLINGEMANN, Laurent H. BOISSEL, Nathan SCHOMER",2017-11-01,2018-10-31,2019-05-09,,https://patents.google.com/patent/WO2019089813A1/en,
WO-2018236890-A1,Nk-92 cells and il-15 agonist combination therapy ,"Nantkwest, Inc.","Hans Klingemann, Tien Lee, Laurent BOISSEL",2017-06-20,2018-06-19,2018-12-27,,https://patents.google.com/patent/WO2018236890A1/en,
