search URL:,https://patents.google.com/?assignee=NEUROGESX+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5591767-A,Liquid reservoir transdermal patch for the administration of ketorolac ,Pharmetrix Corporation,"Judy M. Mohr, Richard W. Baker, Lisa A. Nakaji",1993-01-25,1995-06-06,1997-01-07,1997-01-07,https://patents.google.com/patent/US5591767A/en,https://patentimages.storage.googleapis.com/a2/f4/62/1b6433e63020ea/US5591767-drawings-page-2.png
US-7943166-B2,Methods and compositions for administration of TRPV1 agonists ,"Neurogesx, Inc.","Naweed Muhammad, Gene C. Jamieson, Keith R. Bley, Sanjay Chanda",2003-04-10,2004-04-12,2011-05-17,2011-05-17,https://patents.google.com/patent/US7943166B2/en,https://patentimages.storage.googleapis.com/db/62/9d/b429732d3c731c/US07943166-20110517-D00001.png
US-5589498-A,Transdermal delivery of the active enantiomer of ketorolac ,Pharmetrix Corporation,"Judy M. Mohr, Richard W. Baker, Lisa A. Nakaji",1992-11-09,1995-06-06,1996-12-31,1996-12-31,https://patents.google.com/patent/US5589498A/en,https://patentimages.storage.googleapis.com/ba/c2/88/e1bbeb4d25b632/US5589498-drawings-page-2.png
US-2008318905-A1,Prodrugs and methods of making and using the same ,"Naweed Muhammad, Bley Keith R","Naweed Muhammad, Keith R. Bley",2006-12-05,2007-12-05,2008-12-25,,https://patents.google.com/patent/US20080318905A1/en,
US-2012323258-A1,Compositions and kits for the removal of irritating compounds from bodily surfaces ,"Neurogesx, Inc.","Arturo J. Angel, Larry W. LITLE, Keith R. Bley, Allan L. Wilcox, Gene Curtis Jamieson, Naweed Muhammad",2002-09-05,2012-08-28,2012-12-20,,https://patents.google.com/patent/US20120323258A1/en,https://patentimages.storage.googleapis.com/d0/1d/d7/62a2bea2c827d3/US20120323258A1-20121220-D00000.png
US-7771760-B2,Oils of capsaicinoids and methods of making and using the same ,"Neurogesx, Inc.","Gene Curtis Jamieson, Naweed Muhammad, Keith R. Bley",2005-04-01,2006-03-31,2010-08-10,2010-08-10,https://patents.google.com/patent/US7771760B2/en,
EP-1763370-B1,"Formulations comprising capsaicin, a local anesthetic and/or an antipruritic agent for the treatment of pain ",NeurogesX Inc.,Manoj Maniar,2004-06-02,2005-06-02,2015-04-29,2015-04-29,https://patents.google.com/patent/EP1763370B1/en,
US-9981998-B2,Water-soluble acetaminophen analogs ,"Acorda Therapeutics, Inc.","Naweed Muhammad, Keith R. Bley",2008-05-20,2016-03-22,2018-05-29,2018-05-29,https://patents.google.com/patent/US9981998B2/en,https://patentimages.storage.googleapis.com/b0/c9/2d/8e692701f313dc/US09981998-20180529-D00001.png
US-7632519-B2,"TRPV1 agonist compounds, formulations, prodrugs, methods for using the same ","Neurogesx, Inc.","Gene Curtis Jamieson, Naweed Muhammad, Keith R. Bley",2005-04-25,2006-04-25,2009-12-15,2009-12-15,https://patents.google.com/patent/US7632519B2/en,
US-2019062273-A1,Hepatoprotectant acetaminophen mutual prodrugs ,"Acorda Therapeutics, Inc.","Naweed Muhammad, Keith R. Bley, Jeffrey Tobias",2008-05-20,2018-03-15,2019-02-28,,https://patents.google.com/patent/US20190062273A1/en,https://patentimages.storage.googleapis.com/c8/06/16/3f21836e7540ee/US20190062273A1-20190228-D00001.png
US-2006222690-A1,Low-concentration capsaicin patch and methods for treating neuropathic pain ,Bley Keith R,Keith Bley,2005-03-30,2006-03-30,2006-10-05,,https://patents.google.com/patent/US20060222690A1/en,https://patentimages.storage.googleapis.com/3b/ce/0e/6d810a012f07da/US20060222690A1-20061005-D00001.png
US-2006204561-A1,Device for delivery of TRPV1 agonists ,"Naweed Muhammad, Jamieson Gene C, Bley Keith R","Naweed Muhammad, Gene Jamieson, Keith Bley",2005-02-14,2006-02-14,2006-09-14,,https://patents.google.com/patent/US20060204561A1/en,https://patentimages.storage.googleapis.com/0d/40/a1/90f5daf46ccde7/US20060204561A1-20060914-D00001.png
US-9289501-B2,Carbonate prodrugs and methods of using the same ,"Acorda Therapeutics, Inc.","Naweed Muhammad, Keith R. Bley",2008-05-20,2015-02-23,2016-03-22,2016-03-22,https://patents.google.com/patent/US9289501B2/en,https://patentimages.storage.googleapis.com/5b/00/a8/52b9f73d7f6cf2/US09289501-20160322-D00001.png
WO-03077885-A2,Free-base formulations of local anesthetics ,"Neurogesx, Inc.","Allan L. Wilcox, Keith R. Bley, Larry Litle, Arturo Angel, Gene Jamieson, Naweed Muhammad, Wendye R. Robbins",2002-03-12,2003-03-11,2003-09-25,,https://patents.google.com/patent/WO2003077885A2/en,
EP-0668759-B1,Transdermal delivery of ketorolac ,"Neurogesx, Inc.","Richard W. Baker, Judy M. Mohr, Lisa A. Nakaji",1992-11-09,1993-11-09,2003-05-28,2003-05-28,https://patents.google.com/patent/EP0668759B1/en,https://patentimages.storage.googleapis.com/29/54/6f/4cdb5aae5d8fc6/00410001.png
WO-2013044064-A1,"Acetaminophen conjugates, compositions and methods of use thereof ","Neurogesx, Inc.","Keith R. Bley, Bernd Jandeleit",2011-09-22,2012-09-21,2013-03-28,,https://patents.google.com/patent/WO2013044064A1/en,
AU-2011226818-A1,Formulations comprising a capsaicinoid a local anesthetic and/or an antipruritic agent for the treatment of pain ,"Neurogesx, Inc.",Manoj Maniar,2004-06-02,2011-09-22,2011-10-13,,https://patents.google.com/patent/AU2011226818A1/en,
