search URL:,https://patents.google.com/?assignee=NEW+RIVER+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-7060708-B2,Active agent delivery systems and methods for protecting and administering active agents ,New River Pharmaceuticals Inc.,"Thomas Piccariello, Randal J. Kirk, Travis Mickle",1999-03-10,2002-05-29,2006-06-13,2006-06-13,https://patents.google.com/patent/US7060708B2/en,https://patentimages.storage.googleapis.com/1b/e2/93/65a346398098f4/US07060708-20060613-D00001.png
US-6716452-B1,Active agent delivery systems and methods for protecting and administering active agents ,New River Pharmaceuticals Inc.,"Thomas Piccariello, Lawrence P. Olon, Randall J. Kirk",2000-08-22,2000-08-22,2004-04-06,2004-04-06,https://patents.google.com/patent/US6716452B1/en,https://patentimages.storage.googleapis.com/42/78/48/cfab34d48648d9/US06716452-20040406-D00000.png
US-7375083-B2,Pharmaceutical compositions for prevention of overdose or abuse ,Shire Llc,"Travis Mickle, Suma Krishnan, James Scott Moncrief, Christopher Lauderback, Christal Mickle",2003-09-30,2004-09-30,2008-05-20,2008-05-20,https://patents.google.com/patent/US7375083B2/en,https://patentimages.storage.googleapis.com/c9/a3/d6/4bcb67e23abf9f/US07375083-20080520-D00153.png
CA-2477004-C,Novel sustained release pharmaceutical compounds to prevent abuse of controlled substances ,"Thomas Piccariello, Randal J. Kirk, New River Pharmaceuticals Inc., Shire Llc","Thomas Piccariello, Randal J. Kirk",2002-02-22,2003-02-24,2011-05-10,2011-05-10,https://patents.google.com/patent/CA2477004C/en,
US-7662787-B2,Abuse resistant lysine amphetamine compounds ,Shire Llc,"Travis Mickle, Suma Krishnan, Barney Bishop, Christopher Lauderback, James Scott Moncrief, Rob Oberlender, Thomas Piccariello, Bernhard J. Paul, Christopher A. Verbicky",2003-05-29,2007-05-07,2010-02-16,2010-02-16,https://patents.google.com/patent/US7662787B2/en,https://patentimages.storage.googleapis.com/db/af/64/bc5751f3bebd1b/US07662787-20100216-D00001.png
US-7105486-B2,Abuse-resistant amphetamine compounds ,New River Pharmaceuticals Inc.,"Travis Mickle, Suma Krishnan, Barney Bishop, Christopher Lauderback, James Scott Moncrief, Rob Oberlender, Thomas Piccariello",2002-02-22,2004-06-01,2006-09-12,2006-09-12,https://patents.google.com/patent/US7105486B2/en,https://patentimages.storage.googleapis.com/a5/f3/58/d8cd315f839dc9/US07105486-20060912-D00004.png
US-7375082-B2,Abuse-resistant hydrocodone compounds ,Shire Llc,"Travis Mickle, Suma Krishnan, James Scott Moncrief, Christal Mickle, Christopher Lauderback, Thomas Piccariello",2002-02-22,2004-09-30,2008-05-20,2008-05-20,https://patents.google.com/patent/US7375082B2/en,https://patentimages.storage.googleapis.com/87/a2/d1/4a182680c03e1a/US07375082-20080520-D00001.png
US-5910569-A,Iodothyronine polymers ,Lotus Biochemical Corporation,"Keith Roger Latham, Vincent Ernest Latham",1994-11-22,1997-08-25,1999-06-08,1999-06-08,https://patents.google.com/patent/US5910569A/en,
US-5767227-A,Iodothyronine polymers ,Lotus Biochemical Corp.,"Keith Roger Latham, Vincent Ernest Latham",1989-11-03,1994-11-22,1998-06-16,1998-06-16,https://patents.google.com/patent/US5767227A/en,
US-7169752-B2,Compounds and compositions for prevention of overdose of oxycodone ,New River Pharmaceuticals Inc.,"Travis Mickle, Suma Krishnan, James Scott Moncrief, Christopher Lauderback, Sanjib Bera, Sven Guenther, Wendy Hirschelman",2003-09-30,2004-09-30,2007-01-30,2007-01-30,https://patents.google.com/patent/US7169752B2/en,https://patentimages.storage.googleapis.com/US7169752B2/US07169752-20070130-D00001.png
US-2002099013-A1,Active agent delivery systems and methods for protecting and administering active agents ,"Thomas Piccariello, Olon Lawrence P., Kirk Randal J.","Thomas Piccariello, Lawrence Olon, Randal Kirk",2000-11-14,2001-08-22,2002-07-25,,https://patents.google.com/patent/US20020099013A1/en,https://patentimages.storage.googleapis.com/ed/2a/12/f0308794fc78a6/US20020099013A1-20020725-D00001.png
US-7700561-B2,Abuse-resistant amphetamine prodrugs ,Shire Llc,"Travis Mickle, Suma Krishnan, Barney Bishop, Christopher Lauderback, James Scott Moncrief, Robert Oberlender, Thomas Piccariello, Bernhard J. Paul, Christopher A. Verbicky",2002-02-22,2006-04-10,2010-04-20,2010-04-20,https://patents.google.com/patent/US7700561B2/en,https://patentimages.storage.googleapis.com/49/bd/15/6d45aa78d6d523/US07700561-20100420-D00000.png
US-7338939-B2,Abuse-resistant hydrocodone compounds ,New River Pharmaceuticals Inc.,"Travis Mickle, Suma Krishnan, James Scott Moncrief, Christopher Lauderback, Christal Miller",2003-09-30,2004-09-30,2008-03-04,2008-03-04,https://patents.google.com/patent/US7338939B2/en,https://patentimages.storage.googleapis.com/bd/e5/e0/a697ff8aaac6ba/US07338939-20080304-D00001.png
AU-2001286599-A1,Active agent delivery systems and methods for protecting and administering active agents ,Shire Llc,"Randall J. Kirk, Lawrence P. Olon, Thomas Piccariello",2000-08-22,2001-08-22,2002-07-11,,https://patents.google.com/patent/AU2001286599A1/en,
CA-2477088-A1,Active agent delivery systems and methods for protecting and administering active agents ,"New River Pharmaceuticals Inc., Thomas Piccariello, Randal J. Kirk, Lawrence P. Olon, Shire Llc","Thomas Piccariello, Randal J. Kirk, Lawrence P. Olon",2002-02-22,2003-02-24,2003-10-02,,https://patents.google.com/patent/CA2477088A1/en,
US-2005065086-A1,Use of peptide-drug conjugation to reduce inter-subject variability of drug serum levels ,New River Pharmaceuticals Inc.,"Randal Kirk, Thomas Piccariello",2002-02-22,2004-08-23,2005-03-24,,https://patents.google.com/patent/US20050065086A1/en,https://patentimages.storage.googleapis.com/b8/a6/51/244e459726a126/US20050065086A1-20050324-D00000.png
WO-2007120864-A2,"Compositions and methods for enhancing analgesic potency of covalently bound compounds, attenuating its adverse side effects, and preventing their abuse ",Shire Llc,"Randal J. Kirk, Suma Krishnan, James Scott Moncrief",2006-04-14,2007-04-16,2007-10-25,,https://patents.google.com/patent/WO2007120864A2/en,
US-2007060500-A1,Pharmaceutical compositions for prevention of overdose or abuse ,New River Pharmaceuticals Inc.,"Travis Mickle, Suma Krishnan, James Moncrief, Christopher Lauderback, Christal Miller, Thomas Piccariello",2000-08-22,2006-03-30,2007-03-15,,https://patents.google.com/patent/US20070060500A1/en,https://patentimages.storage.googleapis.com/cd/a5/89/6ff06cea7791d3/US20070060500A1-20070315-D00001.png
US-7438900-B2,Dendritic encapsulation of active agents ,Shire Llc,"Thomas Piccariello, Travis Mickle, Barney Bishop",2002-01-08,2004-07-08,2008-10-21,2008-10-21,https://patents.google.com/patent/US7438900B2/en,
US-2006014697-A1,Pharmaceutical compositions for prevention of overdose or abuse ,"Travis Mickle, Suma Krishnan, Moncrief James S, Christopher Lauderback","Travis Mickle, Suma Krishnan, James Moncrief, Christopher Lauderback",2001-08-22,2005-03-25,2006-01-19,,https://patents.google.com/patent/US20060014697A1/en,https://patentimages.storage.googleapis.com/7a/2f/b6/596667f7a53a8d/US20060014697A1-20060119-D00001.png
US-7018654-B2,Pharmaceutical composition containing an active agent in an amino acid copolymer structure ,New River Pharmaceuticals Inc.,"Randal J. Kirk, Keith R. Latham",1999-03-05,2001-11-08,2006-03-28,2006-03-28,https://patents.google.com/patent/US7018654B2/en,
WO-2007120648-A2,Mono and di-substituted oxycodone compounds and compositions ,Shire Llc,"Travis Mickle, Suma Krishnan, James Scott Moncrief, Christopher Lauderback, Sanjib Bera",2006-04-10,2007-04-10,2007-10-25,,https://patents.google.com/patent/WO2007120648A2/en,
US-2007099841-A1,Prodrugs of T3 and T4 with enhanced bioavailability ,New River Pharmaceuticals Inc.,"James Moncrief, Travis Mickle, Lawrence Olon, Thomas Piccariello",2005-09-08,2006-09-08,2007-05-03,,https://patents.google.com/patent/US20070099841A1/en,https://patentimages.storage.googleapis.com/4c/bb/ed/47fe0580f18d6b/US20070099841A1-20070503-D00001.png
US-8394813-B2,Active agent delivery systems and methods for protecting and administering active agents ,Shire Llc,"Travis Mickle, Suma Krishnan, James Scott Moncrief, Christopher Lauderback, Thomas Piccariello, Randal Kirk",2000-11-14,2008-07-08,2013-03-12,2013-03-12,https://patents.google.com/patent/US8394813B2/en,https://patentimages.storage.googleapis.com/f3/d2/2d/f645e70d0e8a38/US08394813-20130312-D00001.png
US-7163918-B2,Iodothyronine compositions ,New River Pharmaceuticals Inc.,"Thomas Piccariello, Lawrence Peter Olon, Alex Saunders Goldstein, James Scott Moncrief, Nancy Johnston Boerth",2000-08-22,2002-05-02,2007-01-16,2007-01-16,https://patents.google.com/patent/US7163918B2/en,
WO-03020200-A2,A novel pharmaceutical compound and methods of making and using same ,New River Pharmaceuticals Inc.,Thomas Picariello,2000-11-16,2001-11-16,2003-03-13,,https://patents.google.com/patent/WO2003020200A2/en,
US-2007066537-A1,Compounds and compositions for prevention of overdose of oxycodone ,New River Pharmaceuticals Inc.,"Travis Mickle, Suma Krishnan, James Moncrief, Christopher Lauderback, Thomas Piccariello, Sanjib Bera, Sven Guenther, Wendy Hirschelman",2002-02-22,2004-09-30,2007-03-22,,https://patents.google.com/patent/US20070066537A1/en,https://patentimages.storage.googleapis.com/4d/6e/3a/0da7b570c91db5/US20070066537A1-20070322-D00001.png
US-2008090771-A1,"Abuse-resistant hydrocodone compounds, compositions and methods of using the same ",Shire Llc,James Moncrief,2006-10-06,2007-10-08,2008-04-17,,https://patents.google.com/patent/US20080090771A1/en,https://patentimages.storage.googleapis.com/f2/b6/2a/c18547556fff79/US20080090771A1-20080417-D00000.png
AU-771188-B2,Use of protein conformation for the protection and release of chemical compounds ,Shire Llc,"Randal J. Kirk, Keith R. Latham",1999-03-05,2000-03-06,2004-03-18,2004-03-18,https://patents.google.com/patent/AU771188B2/en,
US-6627660-B1,Stabilized thyroxine compounds ,New River Pharmaceuticals Inc.,"Thomas Piccariello, Anne F. LeClercq",1999-11-16,1999-11-16,2003-09-30,2003-09-30,https://patents.google.com/patent/US6627660B1/en,https://patentimages.storage.googleapis.com/f7/dd/40/a5403cffb09b53/US6627660-drawings-page-2.png
US-2006100136-A1,Synergistic effects of combined administration of mirtazapine and a stimulant compound ,Kirk Randal J,Randal Kirk,2004-11-08,2005-11-08,2006-05-11,,https://patents.google.com/patent/US20060100136A1/en,
US-2008207668-A1,Pharmaceutical compositions of hydromorphone for prevention of overdose or abuse ,New River Pharmaceuticals Inc.,James Scott Moncrief,2006-10-06,2007-10-05,2008-08-28,,https://patents.google.com/patent/US20080207668A1/en,
US-8133881-B2,Carbohydrate conjugates to prevent abuse of controlled substances ,Shire Llc,"Travis Mickle, Thomas Piccariello, James Scott Moncrief, Nancy Johnston Boerth, Barney Bishop",2003-01-13,2005-07-13,2012-03-13,2012-03-13,https://patents.google.com/patent/US8133881B2/en,https://patentimages.storage.googleapis.com/73/9c/1e/c2e22f0d9e9d1a/US08133881-20120313-D00001.png
US-2008260691-A1,Prodrugs of Ribavirin with Improved Hepatic Delivery ,New River Pharmaceuticals Inc.,"Travis Mickle, Sven Guenther",2004-11-02,2005-11-02,2008-10-23,,https://patents.google.com/patent/US20080260691A1/en,
WO-03034980-A2,A novel pharmaceutical compound containing abacavir sulfate and methods of making and using same ,New River Pharmaceuticals Inc.,Thomas Picariello,2000-11-14,2001-11-14,2003-05-01,,https://patents.google.com/patent/WO2003034980A2/en,
US-2004152783-A1,Controlled absorption of admixed thyroid hormone formulations ,"Olon Lawrence Peter, Moncrief James Scott, Boerth Nancy Johnston, Thomas Piccariello","Lawrence Olon, James Moncrief, Nancy Boerth, Thomas Piccariello",2002-11-05,2003-11-05,2004-08-05,,https://patents.google.com/patent/US20040152783A1/en,https://patentimages.storage.googleapis.com/ef/94/ed/1778e0fe3b4796/US20040152783A1-20040805-D00001.png
CA-2072613-C,Iodothyronine polymers ,"Keith R. Latham, Vincent E. Latham, Boots Pharmaceuticals, Inc., Inovar Chemicals, Inc., New River Pharmaceuticals Inc., Shire Llc","Keith R. Latham, Vincent E. Latham",1989-11-03,1990-10-31,2002-02-05,2002-02-05,https://patents.google.com/patent/CA2072613C/en,
WO-02051432-A1,A novel pharmaceutical compound and methods of making and using same ,New River Pharmaceuticals Inc.,Thomas Piccariello,2001-11-16,2001-11-16,2002-07-04,,https://patents.google.com/patent/WO2002051432A1/en,
WO-2007033099-A2,Prodrugs of phentermine ,Shire Llc,Travis Mickle,2005-09-13,2006-09-13,2007-03-22,,https://patents.google.com/patent/WO2007033099A2/en,
EP-1594513-A2,Carbohydrate conjugates to prevent abuse of controlled substances ,New River Pharmaceuticals Inc.,"Barney Bishop, Nancy Johnston Boerth, Travis Mickle, James Scott Moncrief, Thomas Piccariello",2003-01-13,2004-01-13,2005-11-16,,https://patents.google.com/patent/EP1594513A2/en,
EP-1865980-A2,Abuse-resistant amphetamine prodrugs ,New River Pharmaceuticals Inc.,"Barney Bishop, Suma Krishnan, Travis Mickle, Rob Oberlender, Christopher Lauderback, James Scott Moncrief, Thomas Piccariello",2005-04-08,2006-04-10,2007-12-19,,https://patents.google.com/patent/EP1865980A2/en,
AU-2001298033-B2,A novel pharmaceutical compound containing abacavir sulfate and methods of making and using same ,Shire Llc,Thomas Picariello,2000-11-14,2001-11-14,2007-08-09,2007-08-09,https://patents.google.com/patent/AU2001298033B2/en,
CN-100413533-C,Sustained release pharmaceutical compounds to prevent abuse of controlled substances ,希拉有限责任公司,"R·J·科克, T·皮卡里罗",2002-02-22,2003-02-24,2008-08-27,2008-08-27,https://patents.google.com/patent/CN100413533C/en,
WO-03072047-A2,Idothyronine compositions ,New River Pharmaceuticals Inc.,"Thomas Piccariello, Randal J. Kirk, Lawrence P. Olon",2002-02-22,2003-02-24,2003-09-04,,https://patents.google.com/patent/WO2003072047A2/en,
WO-2007100668-A2,Antidepressant prodrugs ,Shire Llc,"Travis Mickle, Wendy Hirschelman Severs",2006-02-24,2007-02-22,2007-09-07,,https://patents.google.com/patent/WO2007100668A2/en,
CA-2428971-A1,Conjugates of a therapeutic agent and a peptide carrier ,"New River Pharmaceuticals Inc., Thomas Piccariello, Shire Llc",Thomas Piccariello,2000-11-14,2001-11-14,2003-05-01,,https://patents.google.com/patent/CA2428971A1/en,
EP-1357928-A4,A novel pharmaceutical compound and methods of making and using same ,New River Pharmaceuticals Inc,Thomas Picariello,2000-11-16,2001-11-16,2004-12-29,,https://patents.google.com/patent/EP1357928A4/en,
CN-101193650-A,Abuse-resistant amphetamine prodrugs ,新河药品股份有限公司,"B·毕舍普, C·罗德巴克, J·S·芒克里夫, R·奥博伦德, S·克里希南, T·皮卡里罗, T·米克尔",2005-04-08,2006-04-10,2008-06-04,,https://patents.google.com/patent/CN101193650A/en,
EP-1401374-A1,A novel pharmaceutical compound containing abacavir sulfate and methods of making and using same ,"New River Pharmaceuticals Inc., Thomas Picariello",Thomas Picariello,2000-11-14,2001-11-14,2004-03-31,,https://patents.google.com/patent/EP1401374A1/en,
ZA-200602598-B,Pharmaceutical compositions for prevention of overdose or abuse ,New River Pharmaceuticals Inc,"Mickle Travis, Moncrief James Scott, Miller Christal, Krishnan Suma, Lauderback Christopher",2003-09-30,2006-03-29,2007-12-27,,https://patents.google.com/patent/ZA200602598B/en,
ZA-200510383-B,Abuse resistant amphetamine compounds ,New River Pharmaceuticals Inc,"Mickle Travis, Bishop Barney, Moncrief James Scott, Krishnan Suma, Lauderback Christopher, Oberlender Rob",2003-05-29,2005-12-21,2007-06-27,,https://patents.google.com/patent/ZA200510383B/en,
IL-155905-D0,A novel pharmaceutical composition containing abacavir sulfate and methods of making and using same ,"New River Pharmaceuticals Inc, Thomas Piccariello",,2000-11-14,2001-11-14,2003-12-23,,https://patents.google.com/patent/IL155905D0/en,
KR-20080006024-A,Active agent delivery systems and methods for protecting and administering active agents ,뉴 리버 파마슈티칼스 인크.,"로렌스 피. 올론, 랜달 제이. 커크, 토마스 피카릴로",2000-08-22,2001-08-22,2008-01-15,,https://patents.google.com/patent/KR20080006024A/en,https://patentimages.storage.googleapis.com/eb/eb/a1/e581141b3edfeb/112007094342542-PAT00030.png
IL-155928-D0,A novel pharmaceutical compound and methods of making and using same ,New River Pharmaceuticals Inc,,2000-11-16,2001-11-16,2003-12-23,,https://patents.google.com/patent/IL155928D0/en,
AU-2007203485-A1,A novel pharmaceutical compound containing Abacavir sulfate and methods of making and using same ,New River Pharmaceuticals Inc.,Thomas Picariello,2000-11-14,2007-07-26,2007-08-16,,https://patents.google.com/patent/AU2007203485A1/en,
CN-101305099-A,Prodrugs of T3 and T4 with enhanced bioavailability ,夏尔有限责任公司,"J·S·芒克里夫, T·米克尔, L·奥龙, T·皮卡里罗",2005-09-08,2006-09-08,2008-11-12,,https://patents.google.com/patent/CN101305099A/en,
CA-2429345-A1,Conjugates of a therapeutic agent and a peptide carrier ,"New River Pharmaceuticals Inc., Thomas Picariello, Shire Llc",Thomas Picariello,2000-11-16,2001-11-16,2003-03-13,,https://patents.google.com/patent/CA2429345A1/en,
