search URL:,https://patents.google.com/?assignee=NEWLINK+GENETICS+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2697227-B1,Fused imidazole derivatives useful as ido inhibitors ,Newlink Genetics Corporation,"Mario Mautino, Sanjeev Kumar, Jesse Waldo, Firoz Jaipuri, Tanay Kesharwani, Xiaoxia Zhang",2011-04-15,2012-04-12,2016-02-03,2016-02-03,https://patents.google.com/patent/EP2697227B1/en,https://patentimages.storage.googleapis.com/d5/de/a3/373e7b6efce218/imgf0001.png
CA-2707308-C,Ido inhibitors ,"Newlink Genetics Corporation, Mario Mautino, Firoz Jaipuri, Agnieszka Marcinowicz-Flick, Tanay Kesharwani, Jesse Waldo, Steven James Collier","Mario Mautino, Firoz Jaipuri, Agnieszka Marcinowicz-Flick, Tanay Kesharwani, Jesse Waldo, Steven James Collier",2007-11-30,2008-12-01,2016-08-02,2016-08-02,https://patents.google.com/patent/CA2707308C/en,
EP-2493862-B1,Imidazole derivatives as ido inhibitors ,Newlink Genetics Corporation,"Mario R. Mautino, Sanjeev Kumar, Firoz Jaipuri, Jesse Waldo, Tanay Kesharwani, Xiaoxia Zhang",2009-10-28,2010-10-27,2016-10-05,2016-10-05,https://patents.google.com/patent/EP2493862B1/en,
AU-2014241079-B9,Tricyclic compounds as inhibitors of immunosuppression mediated by tryptophan metabolization ,Newlink Genetics Corporation,"Firoz Jaipuri, Sanjeev Kumar, Mario Mautino, Jesse Waldo",2013-03-14,2014-03-10,2017-04-06,2017-04-06,https://patents.google.com/patent/AU2014241079B9/en,
US-8748469-B2,IDO inhibitors ,"Newlink Genetics Corporation, Lankeanau Institute For Medical Research","Mario R. Mautino, Sanjeev Kumar, Firoz Jaipuri, Jesse Waldo, Tanay Kesharwani, Nicholas N. Vahanian, Charles J. Link",2008-04-24,2009-04-24,2014-06-10,2014-06-10,https://patents.google.com/patent/US8748469B2/en,
EP-1735429-A2,Methods and compositions for obtaining hematopoietic stem cells derived from embryonic stem cells and uses thereof ,Newlink Genetics Corporation,"Richard K. Newlink Genetics Corporation BURT, Larissa Newlink Genetics Corporation VERDA, Charles J. Jr. Newlink Genetics Corporation LINK",2004-03-31,2005-03-31,2006-12-27,,https://patents.google.com/patent/EP1735429A2/en,
US-8916169-B2,Enhanced immunogenicity of tumor associated antigens by addition of alphagal epitopes ,Newlink Genetics Corporation,"Mario R. Mautino, Nicholas N. Vahanian, Won-Bin Young, Gabriela Rossi, Charles J. Link, Firoz Jaipuri",2006-10-25,2012-12-17,2014-12-23,2014-12-23,https://patents.google.com/patent/US8916169B2/en,https://patentimages.storage.googleapis.com/53/0f/d6/d66c093606ebd5/US08916169-20141223-D00001.png
US-2004191873-A1,Method for high throughput elucidation of transcriptional profiles and genome annotation ,"Won-Bin Young, Link Charles J.","Won-Bin Young, Charles Link",2003-03-27,2004-03-26,2004-09-30,,https://patents.google.com/patent/US20040191873A1/en,https://patentimages.storage.googleapis.com/1e/39/f0/2235ea45cc1596/US20040191873A1-20040930-D00000.png
US-10207990-B2,Salts and prodrugs of 1-methyl-D-tryptophan ,Newlink Genetics Corporation,"Mario Mautino, Sanjeev Kumar, Firoz Jaipuri, Jesse Waldo, Hima POTTURI, Hong Zhuang",2015-07-24,2017-06-27,2019-02-19,2019-02-19,https://patents.google.com/patent/US10207990B2/en,https://patentimages.storage.googleapis.com/be/c9/3d/9b8befaec83505/US10207990-20190219-D00001.png
US-2013149331-A1,Rhamnose and forssman conjugated immunogenic agents ,"Peng George Wang, Wenlan Alex Chen, Brian Martin, Mario R. Mautino, Nicholas N. Vahanian, Charles J. Link, Jr.","Peng George Wang, Wenlan Alex Chen, Brian Martin, Mario R. Mautino, Nicholas N. Vahanian, Charles J. Link, Jr.",2011-05-03,2012-05-03,2013-06-13,,https://patents.google.com/patent/US20130149331A1/en,https://patentimages.storage.googleapis.com/04/0e/f6/f3248ee9bc253b/US20130149331A1-20130613-D00001.png
