search URL:,https://patents.google.com/?assignee=NORTHWEST+BIOTHERAPEUTICS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5788963-A,Isolation and/or preservation of dendritic cells for prostate cancer immunotherapy ,Pacific Northwest Cancer Foundation,"Gerald P. Murphy, Alton L. Boynton, Benjamin A. Tjoa",1995-07-31,1995-07-31,1998-08-04,1998-08-04,https://patents.google.com/patent/US5788963A/en,https://patentimages.storage.googleapis.com/b8/0d/30/836993074df74e/US5788963-drawings-page-4.png
US-6150508-A,Monoclonal antibodies specific for the extracellular domain of prostate-specific membrane antigen ,"Northwest Biotherapeutics, Inc.","Gerald P. Murphy, Alton L. Boynton, Eric H. Holmes, William Thomas Tino",1996-03-25,1998-03-18,2000-11-21,2000-11-21,https://patents.google.com/patent/US6150508A/en,https://patentimages.storage.googleapis.com/8f/21/f6/e92edefdc71d3e/US6150508-drawings-page-2.png
AU-766675-B2,Therapeutic and diagnostic applications based on the role of the CXCR-4 gene in tumorigenesis ,"Northwest Biotherapeutics, Inc.","Alton L. Boynton, Gerald P. Murphy, Anil Sehgal",1998-03-30,1999-03-29,2003-10-23,2003-10-23,https://patents.google.com/patent/AU766675B2/en,
US-7695627-B2,Tangential flow filtration devices and methods for leukocyte enrichment ,"Northwest Biotherapeutics, Inc.","Marnix L. Bosch, Paul C. Harris, Steven J. Monahan, Allen Turner, Alton L. Boynton, Patricia A. Lodge",2002-06-19,2003-06-19,2010-04-13,2010-04-13,https://patents.google.com/patent/US7695627B2/en,https://patentimages.storage.googleapis.com/US7695627B2/US07695627-20100413-D00000.png
CA-2250141-C,Monoclonal antibodies specific for the extracellular domain of prostate specific membrane antigen ,"Pacific Northwest Cancer Foundation, Gerald P. Murphy, Alton L. Boynton, Eric H. Holmes, William T. Tino, Northwest Biotherapeutics, Inc., Medarex, Inc., Medarex, L.L.C., E. R. Squibb & Sons, L.L.C.","Gerald P. Murphy, Alton L. Boynton, Eric H. Holmes, William T. Tino",1996-03-25,1997-03-25,2008-07-29,2008-07-29,https://patents.google.com/patent/CA2250141C/en,
CA-2380783-C,Human monoclonal antibodies to prostate specific membrane antigen ,"Yashwant Deo, Robert Graziano, Debra Hudson, Northwest Biotherapeutics, Inc., Eric H. Holmes, William T. Tino, Northwest Biotherapeutics, Llc, Medarex, Inc.","Yashwant Deo, Robert Graziano, Debra Hudson, Eric H. Holmes, William T. Tino",1999-07-29,2000-07-26,2009-01-27,2009-01-27,https://patents.google.com/patent/CA2380783C/en,
US-2015202291-A1,Combinations of checkpoint inhibitors and therapeutics to treat cancer ,"Cognate Bioservices, Inc., Northwest Biotherapeutics, The Regents Of The University Of California, RevImmune, Inc.","Marnix Leo Bosch, James Kelly Ganjel, Linda F. Powers, Linda M. Liau, Robert M. Prins",2013-11-05,2014-11-05,2015-07-23,,https://patents.google.com/patent/US20150202291A1/en,https://patentimages.storage.googleapis.com/fc/b1/9f/02676c59b7a3b6/US20150202291A1-20150723-D00001.png
CA-2546349-C,Tangential flow filtration devices and methods for stem cell enrichment ,"Northwest Biotherapeutics, Inc., Marnix L. Bosch, Patricia A. Lodge, Julie Anna Mcearchern, Alton L. Boynton, Paul G. Hugenholtz","Marnix L. Bosch, Patricia A. Lodge, Julie Anna Mcearchern, Alton L. Boynton, Paul G. Hugenholtz",2003-11-24,2004-11-19,2015-07-07,2015-07-07,https://patents.google.com/patent/CA2546349C/en,
CA-2459713-C,Compositions and methods for priming monocytic dendritic cells and t cells for th-1 response ,"Northwest Biotherapeutics, Inc., Marnix L. Bosch",Marnix L. Bosch,2001-09-06,2002-09-06,2015-08-18,2015-08-18,https://patents.google.com/patent/CA2459713C/en,
US-9102917-B2,Generation of dendritic cells from monocytic dendritic precursor cells with GM-CSF in the absence of additional cytokines ,"Northwest Biotherapeutics, Inc.","Benjamin A. Tjoa, Marnix L. Bosch",2003-02-27,2013-03-05,2015-08-11,2015-08-11,https://patents.google.com/patent/US9102917B2/en,https://patentimages.storage.googleapis.com/9a/39/88/f31c74d75a0662/US09102917-20150811-D00001.png
