search URL:,https://patents.google.com/?assignee=NOVABAY+PHARMACEUTICALS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6426066-B1,"Use of physiologically balanced, ionized, acidic solution in wound healing ","California Pacific Labs, Inc.","Ramin Najafi, Suzanne M. Bernard",2000-01-12,2000-01-12,2002-07-30,2002-07-30,https://patents.google.com/patent/US6426066B1/en,https://patentimages.storage.googleapis.com/14/98/9a/9f339ef64b1c44/US06426066-20020730-D00001.png
US-7393522-B2,"Physiologically balanced, ionized, acidic solution and methodology for use in wound healing ","Novabay Pharmaceuticals, Inc.","Ramin Najafi, Lu Wang, Mansour Bassiri, Jane Yang",2000-01-12,2003-09-03,2008-07-01,2008-07-01,https://patents.google.com/patent/US7393522B2/en,
AU-2003251547-B2,"Physiologically balanced, ionized, acidic solution and methodology for use in wound healing ","Novabay Pharmaceuticals, Inc.","Mansour Bassiri, Suzanne Bernard, Ramin Najafi, Nader Namdar, Jack O'reilly",2002-07-30,2003-06-16,2009-01-15,2009-01-15,https://patents.google.com/patent/AU2003251547B2/en,
CA-2535926-C,"N,n-dihalogenated amino acids and derivatives ","Novacal Pharmaceuticals, Inc., Mansour Bassiri, Ramin Najafi, Lu Wang, Jane Yang, Novabay Pharmaceuticals, Inc.","Mansour Bassiri, Ramin Najafi, Lu Wang, Jane Yang",2003-08-18,2004-08-17,2012-10-09,2012-10-09,https://patents.google.com/patent/CA2535926C/en,
AU-2006208046-B2,"N-halogenated amino acids and N, N-dihalogenated amino acids in combination with hypohalous acids ","Novabay Pharmaceuticals, Inc.","Mansour Bassiri, Behzad Khosrovi, Ramin Najafi, Lu Wang",2005-01-25,2006-01-25,2011-03-24,2011-03-24,https://patents.google.com/patent/AU2006208046B2/en,
US-2007292488-A1,Method for treatment of wound treatment using aganocides ,"Mansour Bassiri, Ramin Najafi, Behzad Khosrovi","Mansour Bassiri, Ramin Najafi, Behzad Khosrovi",2006-06-14,2007-06-14,2007-12-20,,https://patents.google.com/patent/US20070292488A1/en,
AU-2006302370-B2,System and method for the prevention of bacterial and fungal infections including urinary tract infections (UTI) using N-halogenated amino acids ,"Novabay Pharmaceuticals, Inc.","Mansour Bassiri, Behzad Khosrovi, Ramin Najafi, Lu Wang",2005-10-06,2006-10-05,2012-06-14,2012-06-14,https://patents.google.com/patent/AU2006302370B2/en,
US-8415497-B2,N-halogenated amino compounds and derivatives ,"Novabay Pharmaceuticals, Inc.","Ramin Najafi, Rakesh K. Jain, Timothy P. Shiau, Eddy Low, Satheesh K. Nair",2006-12-29,2007-12-28,2013-04-09,2013-04-09,https://patents.google.com/patent/US8415497B2/en,
US-2009221989-A1,System and method for the prevention and treatment of bacterial and fungal infections including urinary tract infections (uti) using a hypohalous acid composition ,Novabay Pharmaceuticals Inc,"Ramin Najafi, Mansour Bassiri, Lu Wang, Behzad Khosrovi",2005-09-21,2006-09-21,2009-09-03,,https://patents.google.com/patent/US20090221989A1/en,
US-2011020474-A1,Methods of Treating Infections of the Nail or Skin Using Hypohalite ,"Novabay Pharmaceuticals, Inc.","Ramin Najafi, Lu Wang",2009-07-27,2010-07-26,2011-01-27,,https://patents.google.com/patent/US20110020474A1/en,https://patentimages.storage.googleapis.com/93/2b/9f/5567817248314b/US20110020474A1-20110127-D00000.png
US-8278482-B2,Antimicrobial N-chlorinated compositions ,"Novabay Pharmaceuticals, Inc.","Rakesh K. Jain, Eddy Low, Charles Francavilla, Timothy P. Shiau, Satheesh K. Nair",2008-11-07,2009-11-06,2012-10-02,2012-10-02,https://patents.google.com/patent/US8278482B2/en,
US-2010272783-A1,Methods of Treating Infections of the Nail ,"Novabay Pharmaceuticals, Inc.","Lu Wang, Bahram Memarzadeh",2009-04-24,2010-04-23,2010-10-28,,https://patents.google.com/patent/US20100272783A1/en,https://patentimages.storage.googleapis.com/65/9d/b7/06754e4de8876b/US20100272783A1-20101028-D00001.png
JP-5681630-B2,Antibacterial gel formulation ,"ノバベイ・ファーマシューティカルズ・インコーポレイテッドＮｏｖａｂａｙ Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ，Ｉｎｃ．, ノバベイ・ファーマシューティカルズ・インコーポレイテッドＮｏｖａｂａｙ  Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ，Ｉｎｃ．","ワン・ル, アザー・ナジャフィ, バーラム・メマーザデー, クルディーパク・シャーマ, キム・フオン・ホ",2008-08-12,2009-08-12,2015-03-11,2015-03-11,https://patents.google.com/patent/JP5681630B2/en,https://patentimages.storage.googleapis.com/ef/ae/7c/ae71109bf6d68c/0005681630-6.png
US-2011190392-A1,Polysaccharide Based Antimicrobial Formulations ,"Azar Najafi, Bahram Memarzadeh, Ibrahim Sarah A, Mark Brian Anderson","Azar Najafi, Bahram Memarzadeh, Sarah A. Ibrahim, Mark Brian Anderson",2010-02-04,2011-02-02,2011-08-04,,https://patents.google.com/patent/US20110190392A1/en,https://patentimages.storage.googleapis.com/88/c5/f6/aff2f8d787d1e5/US20110190392A1-20110804-D00001.png
US-9248117-B2,"Substituted N,N-dihaloamines as antimicrobials ","Novabay Pharmaceuticals, Inc.","Rakesh K. Jain, Timothy Shiau, Charles Francavilla, Eddy Low, Eric Douglas Turtle, Donogh John Roger O'Mahony",2010-10-19,2011-10-18,2016-02-02,2016-02-02,https://patents.google.com/patent/US9248117B2/en,
US-8722715-B2,"Antimicrobial oxazolidinone, hydantoin and imidazolidinone compositions ",NovaBay Pharmaceuticals,"Rakesh K. Jain, Eddy Low, Charles Francavilla, Timothy P. Shiau, Bum Kim, Satheesh K. Nair",2008-11-07,2009-11-04,2014-05-13,2014-05-13,https://patents.google.com/patent/US8722715B2/en,
US-2011151025-A1,"Compositions Comprising N-Halogenated or N,N-Dihalogenated Amine for Treatment and Prophylaxis of Bronchopulmonary Infections ","Novabay Pharmaceuticals, Inc.","Waldemar Gottardi, Markus Nagl, Ramin Najafi, Lu Wang, Rakesh K. Jain, Timothy Shiau, Eddy Low, Charles Francavilla",2008-04-10,2009-04-10,2011-06-23,,https://patents.google.com/patent/US20110151025A1/en,https://patentimages.storage.googleapis.com/81/fd/e9/9deda2ad263605/US20110151025A1-20110623-D00001.png
US-8851091-B2,Contact lens cleaning system with monitor ,"Novabay Pharmaceuticals, Inc","Charles Francavilla, Ramin Najafi, Eddy Low, Timothy Shiau, Eric Douglas Turtle, Donogh John Roger O'Mahony",2011-02-23,2012-02-23,2014-10-07,2014-10-07,https://patents.google.com/patent/US8851091B2/en,https://patentimages.storage.googleapis.com/27/dd/52/0f570b6022401a/US08851091-20141007-D00000.png
US-8729112-B2,Antimicrobial haloalkyl heterocycle compounds ,"Novabay Pharmaceuticals, Inc.","Timothy Shiau, Charles Francavilla, Eddy Low, Eric Douglas Turtle, Donogh John Roger O'Mahony, Rakesh K. Jain",2011-11-14,2012-11-14,2014-05-20,2014-05-20,https://patents.google.com/patent/US8729112B2/en,
US-2014227201-A1,Antimicrobial Gel Formulations ,"Novabay Pharmaceuticals, Inc.","Lu Wang, Azar Najafi, Bahram Memarzadeh, Kuldeepak Sharma, Kim Phuong Ho",2013-02-13,2013-02-13,2014-08-14,,https://patents.google.com/patent/US20140227201A1/en,https://patentimages.storage.googleapis.com/f6/70/04/bfc9e62d192dc5/US20140227201A1-20140814-D00001.png
US-9625744-B2,Contact lens cleaning system with insulation ,"Novabay Pharmaceuticals, Inc.","Charles Francavilla, David Stroman",2013-10-31,2014-10-31,2017-04-18,2017-04-18,https://patents.google.com/patent/US9625744B2/en,https://patentimages.storage.googleapis.com/19/af/73/85af2fda988c08/US09625744-20170418-D00000.png
US-2016331779-A1,Method of inactivating toxins using oxidative chlorine species ,"Novabay Pharmaceuticals, Inc.","John Crew, Kathryn Najafi-Tagol, Ron Najafi, Dmitri Debabov, Camron Noorbakhsh, Timothy Shiau, Lu Wang",2015-05-11,2016-05-10,2016-11-17,,https://patents.google.com/patent/US20160331779A1/en,https://patentimages.storage.googleapis.com/b3/19/61/83331dd46a87a0/US20160331779A1-20161117-D00001.png
US-2017051842-A1,Magnetic Valve System ,"Novabay Pharmaceuticals, Inc.",Charles Francavilla,2015-08-20,2015-08-20,2017-02-23,,https://patents.google.com/patent/US20170051842A1/en,https://patentimages.storage.googleapis.com/e0/65/09/236d16026a2ada/US20170051842A1-20170223-D00000.png
US-2016346324-A1,Method of Inactivating Bacterial Lipases Using Oxidative Chlorine Species ,"Novabay Pharmaceuticals, Inc.","Arthur B. Epstein, Lu Wang, Dmitri Debabov, Kathryn Najafi, Ramin Najafi",2015-05-29,2016-05-27,2016-12-01,,https://patents.google.com/patent/US20160346324A1/en,https://patentimages.storage.googleapis.com/37/88/3c/a3819cb55a13a9/US20160346324A1-20161201-D00001.png
JP-2011516578-T,Compositions and methods for the treatment and prevention of bronchopulmonary infections ,ノバベイ・ファーマシューティカルズ・インコーポレイテッドＮｏｖａｂａｙ  Ｐｈａｒｍａｃｅｕｔｉｃａｌｓ，Ｉｎｃ．,"ヴァルデマル・ゴッタルディ, エディ・ロウ, チャールズ・フランカビラ, ティモシー・ピー・シアウ, マルクス・ナクル, ラケシュ・ケイ・ジェイン, ラミン・ナジャフィ, ワン・ル",2008-04-10,2009-04-10,2011-05-26,,https://patents.google.com/patent/JP2011516578T/en,https://patentimages.storage.googleapis.com/JP2011516578T/2011516578.png
