search URL:,https://patents.google.com/?assignee=NOVACEA+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
AU-2002363959-B2,Pharmaceutical compositions comprising active vitamin D compounds ,"Novacea, Inc.","Andrew-Xian Chen, Jun Fan, Martha J Whitehouse, Xi-Yun Yu",2001-12-03,2002-12-03,2007-12-13,2007-12-13,https://patents.google.com/patent/AU2002363959B2/en,
US-2005101576-A1,Methods of using vitamin D compounds in the treatment of myelodysplastic syndromes ,"Novacea, Inc.","Martha Whitehouse, John Curd",2003-11-06,2004-05-10,2005-05-12,,https://patents.google.com/patent/US20050101576A1/en,https://patentimages.storage.googleapis.com/59/e6/c5/07e503ffe2ea61/US20050101576A1-20050512-D00001.png
US-2006172014-A1,Treatment of lung cancer with active vitamin D compounds in combination with other treatments ,"Novacea, Inc.","John Curd, Martha Whitehouse, Jeffrey Cleland",2003-06-11,2005-12-12,2006-08-03,,https://patents.google.com/patent/US20060172014A1/en,
US-2005020546-A1,Pharmaceutical compositions comprising active vitamin D compounds ,"Novacea, Inc.","Barbara Laidlaw, James Swarbrick",2003-06-11,2004-06-10,2005-01-27,,https://patents.google.com/patent/US20050020546A1/en,https://patentimages.storage.googleapis.com/27/46/33/456ed467b666eb/US20050020546A1-20050127-D00001.png
US-2005009793-A1,Treatment of liver disease with active vitamin D compounds ,"Novacea, Inc.",John Curd,2002-11-21,2004-05-10,2005-01-13,,https://patents.google.com/patent/US20050009793A1/en,
US-2006178351-A1,Treatment of immune-mediated disorders with active vitamin D compounds alone or in combination with other therapeutic agents ,"Novacea, Inc.","John Curd, Martha Whitehouse, Jeffrey Cleland",2003-06-11,2005-12-12,2006-08-10,,https://patents.google.com/patent/US20060178351A1/en,
US-2007142339-A1,Prevention of arterial restenosis with active vitamin d compounds ,"Novacea, Inc.","Martha Whitehouse, Bradford Goodwin",2004-05-10,2005-05-10,2007-06-21,,https://patents.google.com/patent/US20070142339A1/en,
US-2005026877-A1,Pharmaceutical compositions comprising active vitamin D compounds ,"Novacea, Inc.","Andrew Chen, Jun Fan, Xi-Yun Yu, Martha Whitehouse, Barbara Laidlaw, James Swarbrick",2002-12-03,2004-05-10,2005-02-03,,https://patents.google.com/patent/US20050026877A1/en,https://patentimages.storage.googleapis.com/78/58/31/2279921267bdf7/US20050026877A1-20050203-D00001.png
US-2006177374-A1,Treatment of cancer with active vitamin D compounds in combination with radiotherapeutic agents and treatments ,"Novacea, Inc.","John Curd, Jeffrey Cleland",2003-06-11,2005-12-12,2006-08-10,,https://patents.google.com/patent/US20060177374A1/en,
US-2007037779-A1,Prevention of thrombotic disorders with active vitamin D compounds or mimics thereof ,"Curd John G, Henner William D, Beer Tomasz M, Goodwin Bradford S","John Curd, William Henner, Tomasz Beer, Bradford Goodwin",2005-01-05,2006-07-07,2007-02-15,,https://patents.google.com/patent/US20070037779A1/en,
US-8048872-B2,Treatment of hyperproliferative diseases with vinca alkaloid N-oxide and analogs ,Stat of Oregon Acting by and Through The Oregon State Board of Higher Education on Behalf of the University of Oregon,"John G. Curd, John F. W. Keana, Alshad S. Lalani, Paul B. Westberg, Bradford Goodwin, W. David Henner",2006-02-17,2008-04-29,2011-11-01,2011-11-01,https://patents.google.com/patent/US8048872B2/en,https://patentimages.storage.googleapis.com/dd/b7/83/468eb4ae0ac217/US08048872-20111101-D00001.png
US-2006189586-A1,Pharmaceutical compositions comprising active vitamin D compounds ,Cleland Jeffrey L,Jeffrey Cleland,2003-06-11,2005-12-12,2006-08-24,,https://patents.google.com/patent/US20060189586A1/en,https://patentimages.storage.googleapis.com/34/cd/0c/5ec8d5e91e2246/US20060189586A1-20060824-D00001.png
WO-2005117542-A2,Treatment of pancreatic cancer with active vitamin d compounds in combination with other treatments ,"Novacea, Inc.",John G. Curd,2004-05-10,2005-05-10,2005-12-15,,https://patents.google.com/patent/WO2005117542A2/en,
WO-2008115499-A1,Mannich base n-oxide drugs ,State Of Oregon Acting By And Through The Oregon State Board Of Higher Education On Behalf Of The University Of Oregon,"John G. Curd, John F. W. Keana, Alshad L. Lalani, Paul Westberg",2007-03-19,2008-03-19,2008-09-25,,https://patents.google.com/patent/WO2008115499A1/en,
