search URL:,https://patents.google.com/?assignee=NUPATHE+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-9272137-B2,Transdermal methods and systems for the delivery of anti-migraine compounds ,Teva Pharmaceuticals International Gmbh,"Carter R. Anderson, Russell L. Morris, Terri B. Sebree",2006-04-13,2011-05-11,2016-03-01,2016-03-01,https://patents.google.com/patent/US9272137B2/en,https://patentimages.storage.googleapis.com/f8/cd/06/9a051ff26e44ef/US09272137-20160301-D00001.png
US-8463373-B2,Transdermal systems for the delivery of therapeutic agents including granisetron using iontophoresis ,"Teikoku Pharma Usa, Inc.","Carter R. Anderson, Walter L. Sembrowich, Russell L. Morris, Robert Cohen",2005-04-22,2010-11-29,2013-06-11,2013-06-11,https://patents.google.com/patent/US8463373B2/en,https://patentimages.storage.googleapis.com/c3/60/9e/f4c2ce8823eed4/US08463373-20130611-D00000.png
AU-2007235232-B2,Implants for the treatment of dopamine associated states ,"Nupathe Inc., The Trustees Of The University Of Pennsylvania","Terri B. Sebree, Steven J. Siegel",2006-04-06,2007-04-06,2013-07-11,2013-07-11,https://patents.google.com/patent/AU2007235232B2/en,
EP-2393549-B1,Electronic control of drug delivery system ,NuPathe Inc.,"David Saar, Bogdan Mariusz Baudis, Rainuka Gupta, Vaishali Vilas Kamat, Matthew Kent Reich, Rajagopalan Srinivasan",2008-12-30,2009-12-29,2014-10-01,2014-10-01,https://patents.google.com/patent/EP2393549B1/en,https://patentimages.storage.googleapis.com/ee/ff/70/a292ef50fe0cd4/imgf0001.png
US-7904146-B2,Transdermal systems for the delivery of ionic agents directly to open wounds and surgically repaired incisions ,Travanti Pharma Inc.,"Carter R. Anderson, Russell L. Morris, Robert Cohen",2006-11-13,2007-11-09,2011-03-08,2011-03-08,https://patents.google.com/patent/US7904146B2/en,https://patentimages.storage.googleapis.com/45/12/cc/69e95bfc1c2840/US07904146-20110308-D00000.png
AU-2010282660-B2,Methods for iontophoretically treating nausea and migraine ,Teva Pharmaceuticals International Gmbh,"Carol O'neill, Mark Pierce, Terri B. Sebree",2009-08-10,2010-08-10,2015-06-25,2015-06-25,https://patents.google.com/patent/AU2010282660B2/en,
US-9327114-B2,User-activated self-contained co-packaged iontophoretic drug delivery system ,Teva Pharmaceuticals International Gmbh,"Terri B. Sebree, Robert P. STATHOPULOS, Mihai A. VINATORU",2010-11-23,2013-03-13,2016-05-03,2016-05-03,https://patents.google.com/patent/US9327114B2/en,https://patentimages.storage.googleapis.com/62/c4/c0/5661d6d004d0c9/US09327114-20160503-D00000.png
US-8295923-B2,Sacrificial electrode design and delivery species suitable for prolonged iontophoresis application periods ,"Teikoku Pharma Usa, Inc.","Kathleen A. Eischen, Carter R. Anderson, Russell L. Morris",2008-09-02,2009-08-31,2012-10-23,2012-10-23,https://patents.google.com/patent/US8295923B2/en,https://patentimages.storage.googleapis.com/da/03/2a/8c683d34228639/US08295923-20121023-D00000.png
US-9744353-B2,Detection of presence and alignment of a therapeutic agent in an iontophoretic drug delivery device ,Teva Pharmaceuticals International Gmbh,"Ronalee Lo Mann, Jason Clevenger, David Saar",2012-11-14,2012-11-14,2017-08-29,2017-08-29,https://patents.google.com/patent/US9744353B2/en,https://patentimages.storage.googleapis.com/26/72/f9/fba5e5470d3266/US09744353-20170829-D00000.png
US-9492650-B2,Iontophoretic drug delivery packaging ,Teva Pharmaceuticals International Gmbh,Todd A. Krinke,2008-09-05,2009-09-03,2016-11-15,2016-11-15,https://patents.google.com/patent/US9492650B2/en,https://patentimages.storage.googleapis.com/3d/1e/db/290cb3db4e0302/US09492650-20161115-D00000.png
