search URL:,https://patents.google.com/?assignee=OBAGI+MEDICAL+PRODUCTS+INC
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-5131384-A,Combination applicator/massager ,Obagi Zein E,Zein E. Obagi,1991-05-23,1991-05-23,1992-07-21,1992-07-21,https://patents.google.com/patent/US5131384A/en,https://patentimages.storage.googleapis.com/c2/c5/06/71de3ba4eb766c/US5131384-drawings-page-2.png
US-4874361-A,Method for healing damaged skin ,Obagi Zein E,Zein E. Obagi,1986-12-29,1986-12-29,1989-10-17,1989-10-17,https://patents.google.com/patent/US4874361A/en,
US-4867522-A,Wavelength sensitive optical devices ,British Telecommunications Public Limited Company,Stephen A. Cassidy,1986-07-22,1987-07-17,1989-09-19,1989-09-19,https://patents.google.com/patent/US4867522A/en,https://patentimages.storage.googleapis.com/ad/43/6d/b8b0cae49d3773/US4867522-drawings-page-2.png
US-5827884-A,Skin peel maintenance composition and method ,Omp Acquisition Corporation,"Zein E. Obagi, George H. Michel",1995-09-15,1996-06-28,1998-10-27,1998-10-27,https://patents.google.com/patent/US5827884A/en,
US-5166176-A,Composition for healing damaged skin ,"Obagi Zein E, Michel George H","Zein E. Obagi, George H. Michel",1986-12-29,1989-03-24,1992-11-24,1992-11-24,https://patents.google.com/patent/US5166176A/en,
US-7927614-B2,Anti-aging treatment using copper and zinc compositions ,"Jr Chem, Llc","Joseph R. Faryniarz, Jose E. Ramirez",2006-02-03,2006-06-14,2011-04-19,2011-04-19,https://patents.google.com/patent/US7927614B2/en,https://patentimages.storage.googleapis.com/84/44/ef/9bcde5eb93b2f8/US07927614-20110419-D00000.png
US-2006251598-A1,System for improved percutaneous absorption of skin benefiting agents ,"Ramirez Jose E, Mcnamara Austin, Judy Hattendorf, Steve Goldner","Jose Ramirez, Austin McNamara, Judy Hattendorf, Steve Goldner",2004-12-02,2005-12-01,2006-11-09,,https://patents.google.com/patent/US20060251598A1/en,
US-7390431-B2,Stable organic peroxide compositions ,"Jr Chem, Llc","Joseph R. Faryniarz, Jose E. Ramirez",2005-03-10,2006-03-10,2008-06-24,2008-06-24,https://patents.google.com/patent/US7390431B2/en,
US-2008067474-A1,Stable organic peroxide compositions ,"Faryniarz Joseph R, Ramirez Jose E","Joseph Faryniarz, Jose Ramirez",2005-06-29,2007-11-21,2008-03-20,,https://patents.google.com/patent/US20080067474A1/en,
US-7897800-B2,Chemical compositions and methods of making them ,"Jr Chem, Llc","José E. Ramirez, Joseph Faryniarz",2006-02-03,2007-01-29,2011-03-01,2011-03-01,https://patents.google.com/patent/US7897800B2/en,
