search URL:,https://patents.google.com/?assignee=OMEROS+CORP
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CA-2490007-C,"Biodegradable triblock copolymers, synthesis methods therefor, and hydrogels and biomaterials made there from ","Omeros Corporation, Jun Li, Xu Li, Xiping Ni, Kam W. Leong, Institute Of Materials Research And Engineering","Jun Li, Xu Li, Xiping Ni, Kam W. Leong",2002-07-19,2003-07-18,2011-05-24,2011-05-24,https://patents.google.com/patent/CA2490007C/en,
CA-2608486-C,Cyclooxygenase inhibitor and calcium channel antagonist compositions and methods for use in urological procedures ,"Omeros Corporation, Gregory A. Demopulos, Jeffrey M. Herz, Wayne R. Gombotz, Hui-Rong Shen","Gregory A. Demopulos, Jeffrey M. Herz, Wayne R. Gombotz, Hui-Rong Shen",2005-05-20,2006-03-17,2011-08-23,2011-08-23,https://patents.google.com/patent/CA2608486C/en,
EP-0797416-B1,Tendon and ligament repair system ,Omeros Corporation,"Gregory A. Demopulos, Stephen A. Yencho, David A. Herrin, Neil G. Mcilvaine, Michael D. Nelson, Milton R. Sigelmann, Jose T. V. De Castro, George Selecman, John Collins, Imraan Aziz, Gorm Bressner",1994-12-02,1995-12-04,2006-03-01,2006-03-01,https://patents.google.com/patent/EP0797416B1/en,https://patentimages.storage.googleapis.com/fa/59/15/63201a8f9367fa/imgf0001.png
US-6420432-B2,Surgical irrigation solution and method for inhibition of pain and inflammation ,Omeros Corporation,"Gregory A. Demopulos, Pamela A. Pierce, Jeffrey M. Herz",1995-12-12,2001-04-17,2002-07-16,2002-07-16,https://patents.google.com/patent/US6420432B2/en,https://patentimages.storage.googleapis.com/ab/7f/20/8fb4e918cecd5d/US06420432-20020716-D00001.png
EP-1257205-B1,Soft tissue repair system ,Omeros Corporation,"Gregory A. Demopulos, Scott W. Reed, Alan B. Bachman, Frederick T. Karl, William J. Allen, Leland R. Adams, G. Lawrence Thatcher",2000-02-07,2001-02-07,2010-12-08,2010-12-08,https://patents.google.com/patent/EP1257205B1/en,https://patentimages.storage.googleapis.com/fc/71/92/cc2165e23a2fb4/imgf0001.png
EP-1609477-B1,Irrigation solution and use thereof for the perioperative inhibition of pain/inflammation and/or spasm at a vascular structure ,Omeros Corporation,"Gregory Demopulos, MD PhD Pamela Pierce Palmer, Jeffrey M. Herz",1994-12-12,1995-12-12,2011-11-09,2011-11-09,https://patents.google.com/patent/EP1609477B1/en,https://patentimages.storage.googleapis.com/5e/77/30/8b75e465cdc094/imgf0001.png
US-7067144-B2,Compositions and methods for systemic inhibition of cartilage degradation ,Omeros Corporation,"Gregory A. Demopulos, Pamela Pierce Palmer, Jeffrey M. Herz",1998-10-20,2003-01-31,2006-06-27,2006-06-27,https://patents.google.com/patent/US7067144B2/en,https://patentimages.storage.googleapis.com/US7067144B2/US07067144-20060627-D00000.png
CA-2648188-C,Methods for treating conditions associated with masp-2 dependent complement activation ,"University Of Leicester, Omeros Corporation, Hans-Wilhelm Schwaeble, Cordula Margaret Stover, Clark E. Tedford, James B. Parent, Teizo Fujita","Hans-Wilhelm Schwaeble, Cordula Margaret Stover, Clark E. Tedford, James B. Parent, Teizo Fujita",2006-04-03,2007-03-27,2016-05-17,2016-05-17,https://patents.google.com/patent/CA2648188C/en,
US-6492332-B1,"Irrigation solution and methods for inhibition of tumor cell adhesion, pain and inflammation ",Omeros Corporation,"Gregory A. Demopulos, Pamela Pierce-Palmer, Jeffrey M. Herz, Darrell L. Tanelian",1995-12-12,2000-09-11,2002-12-10,2002-12-10,https://patents.google.com/patent/US6492332B1/en,https://patentimages.storage.googleapis.com/d2/51/49/3d726c32d9c35b/US06492332-20021210-D00001.png
EP-1534313-B1,Ophthalmologic irrigation solutions and method ,Omeros Corporation,"Gregory A. Demopulos, Pamela Pierce Palmer, Jeffrey M. Herz",2002-07-30,2003-07-30,2012-10-17,2012-10-17,https://patents.google.com/patent/EP1534313B1/en,
